account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-03 07:13:40,True,,,1790,9329.5,1879.5,4740.8,2709.2,2709.2,2
2,2023-01-03 21:45:40,False,2023-12-01 03:14:40,RR1.00:3-4:341:1274,461,311.0,483.0,-172.0,0.0,0.0,0
3,2023-01-05 21:37:40,True,,,1775,11334.0,1863.75,5741.4,3728.85,3728.85,3
4,2023-01-23 06:01:40,True,,,1751,15559.5,1838.55,100.01,13620.94,13620.94,8
5,2023-02-14 09:01:40,True,,,1711,13465.5,1796.55,5251.85,6417.1,6417.1,5
6,2023-02-14 09:01:40,True,,,1717,14608.0,1802.85,100.01,12705.14,12705.14,8
7,2023-03-15 01:00:40,True,,,1657,14871.0,1739.85,100.01,13031.14,13031.14,8
8,2023-03-15 01:00:40,True,,,1657,14016.5,1739.85,100.01,12176.64,12176.64,8
9,2023-03-15 01:00:40,True,,,1656,13899.5,1738.8,6403.95,5756.75,5756.75,7
10,2023-03-17 06:08:40,False,2024-02-02 19:30:00,RR1.00:16-17:579:1634,378,-510.0,395.85,-905.85,0.0,0.0,0
11,2023-03-17 06:08:40,False,2024-04-16 23:30:00,RR1.00:21-22:376:1362,466,248.0,488.25,-240.25,0.0,0.0,0
12,2023-03-17 06:08:40,False,2024-04-19 09:30:00,RR1.00:5-6:303:1353,475,210.0,497.7,-287.7,0.0,0.0,0
13,2023-05-02 08:09:40,False,2024-04-22 16:31:40,RR1.00:16-17:600:1705,401,-235.5,420.0,-655.5,0.0,0.0,0
14,2023-05-02 08:09:40,True,,,1574,11689.0,1652.7,5129.8,4906.5,4906.5,5
15,2023-05-02 08:09:40,True,,,1576,13301.0,1654.8,100.01,11546.19,11546.19,8
16,2023-05-09 06:33:20,True,,,1560,13599.0,1638.0,100.01,11860.99,11860.99,7
17,2023-05-09 06:33:20,True,,,1559,12677.5,1636.95,100.01,10940.54,10940.54,6
18,2023-05-09 06:33:20,True,,,1555,12713.5,1632.75,100.01,10980.74,10980.74,8
19,2023-05-09 06:33:20,True,,,1561,10799.0,1639.05,100.01,9059.94,9059.94,6
20,2023-05-09 06:33:20,True,,,1559,8877.0,1636.95,1889.3,5350.75,5350.75,5
21,2023-09-05 07:23:40,True,,,1402,7424.5,1472.1,1901.8,4050.6,4050.6,4
22,2023-09-07 21:56:40,True,,,1392,6482.5,1461.6,477.6,4543.3,4543.3,5
23,2023-09-07 21:56:40,False,2026-06-29 20:30:00,RR1.00:17-18:390:1969,1373,4478.5,1440.6,355.15,2682.75,2682.75,4
24,2023-09-07 21:56:40,False,2026-06-29 20:30:00,RR1.00:17-18:390:1969,1374,5318.0,1441.65,116.2,3760.15,3760.15,4
25,2023-09-07 21:56:40,False,2024-08-08 16:00:00,RR1.00:13-14:419:1571,374,-26.0,391.65,-417.65,0.0,0.0,0
