at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-06-04 00:00:00,1,2023-01,1,500.0,500.0,500.0,500.0,32455.75,31955.75,0.0,
2024-06-05 00:00:00,3,2023-01,1,500.0,500.0,500.0,500.0,32512.25,32012.25,0.0,
2024-06-14 00:00:00,1,2023-01,2,500.0,500.0,500.0,500.0,32574.6,32074.6,0.0,
2024-06-15 00:00:00,3,2023-01,2,500.0,500.0,500.0,500.0,32644.6,32144.6,0.0,
2024-06-27 00:00:00,1,2023-01,3,500.0,500.0,500.0,500.0,32538.7,32038.7,0.0,
2024-06-28 00:00:00,3,2023-01,3,500.0,500.0,500.0,500.0,32769.1,32269.1,0.0,
2024-06-28 00:00:00,8,2023-03,1,500.0,500.0,500.0,500.0,32642.95,32142.95,0.0,
2024-07-09 00:00:00,1,2023-01,4,500.0,500.0,500.0,500.0,33320.4,32820.4,0.0,
2024-07-10 00:00:00,3,2023-01,4,500.0,500.0,500.0,500.0,33290.5,32790.5,0.0,
2024-07-10 00:00:00,8,2023-03,2,500.0,500.0,500.0,500.0,33164.35,32664.35,0.0,
2024-07-13 00:00:00,25,2023-09,1,500.0,500.0,500.0,500.0,32722.6,32222.6,0.0,
2024-08-15 00:00:00,1,2023-01,5,500.0,500.0,500.0,500.0,32534.3,32034.3,0.0,
2024-08-15 00:00:00,3,2023-01,5,500.0,500.0,500.0,500.0,32477.6,31977.6,0.0,
2024-08-16 00:00:00,8,2023-03,3,500.0,500.0,500.0,500.0,32840.25,32340.25,0.0,
2024-08-17 00:00:00,25,2023-09,2,500.0,500.0,500.0,500.0,32416.55,31916.55,0.0,
2024-08-22 00:00:00,4,2023-01,1,500.0,500.0,500.0,500.0,32402.5,31902.5,0.0,
2024-08-28 00:00:00,1,2023-01,6,500.0,500.0,500.0,500.0,33207.8,32707.8,0.0,
2024-08-28 00:00:00,3,2023-01,6,500.0,500.0,500.0,500.0,33151.1,32651.1,0.0,
2024-08-30 00:00:00,8,2023-03,4,500.0,500.0,500.0,500.0,33148.45,32648.45,0.0,
2024-09-13 00:00:00,1,2023-01,7,500.0,500.0,500.0,500.0,32902.65,32402.65,0.0,
2024-09-13 00:00:00,3,2023-01,7,500.0,500.0,500.0,500.0,32845.95,32345.95,0.0,
2024-09-13 00:00:00,25,2023-09,3,500.0,500.0,500.0,500.0,32424.25,31924.25,0.0,
2024-09-13 00:00:00,34,2023-09,1,500.0,500.0,500.0,500.0,32418.65,31918.65,0.0,
2024-09-13 00:00:00,35,2023-09,1,500.0,500.0,500.0,500.0,32432.45,31932.45,0.0,
2024-09-14 00:00:00,4,2023-01,2,500.0,500.0,500.0,500.0,32467.0,31967.0,0.0,
2024-09-14 00:00:00,8,2023-03,5,500.0,500.0,500.0,500.0,32896.7,32396.7,0.0,
2024-09-20 00:00:00,17,2023-05,1,500.0,500.0,500.0,500.0,32501.6,32001.6,0.0,
2024-09-27 00:00:00,1,2023-01,8,500.0,500.0,500.0,500.0,33632.0,33132.0,0.0,
2024-09-27 00:00:00,3,2023-01,8,500.0,500.0,500.0,500.0,33575.3,33075.3,0.0,
2024-09-27 00:00:00,25,2023-09,4,500.0,500.0,500.0,500.0,33153.6,32653.6,0.0,
