at,count,emergency
2023-01-03T07:13:40,1,True
2023-01-03T21:45:40,1,True
2023-01-05T21:37:40,1,True
2023-01-09T04:07:40,1,True
2023-01-09T05:46:20,2,True
2023-01-17T23:00:40,3,True
2023-01-23T05:16:40,3,True
2023-01-23T06:01:40,4,True
2023-02-14T09:01:40,2,True
2023-03-15T01:00:40,3,True
2023-03-17T06:08:40,7,True
2023-05-09T06:33:20,8,True
2023-09-07T21:56:40,8,True
2023-09-07T22:50:20,11,True
2024-03-06T09:44:40,4,True
2024-04-08T22:32:40,12,True
2024-06-24T07:41:40,1,True
2024-07-11T11:32:40,20,True
2024-09-16T22:39:40,7,True
2025-05-28T21:01:20,19,True
2025-09-11T22:31:40,1,True
2025-12-18T15:01:40,15,True
2026-04-23T17:30:40,2,True
2026-04-29T14:36:40,20,True
2026-06-03T14:28:40,20,True
2026-06-29T16:13:40,3,True
2026-07-06T10:43:40,2,True
