account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-03 07:13:40,False,2026-07-06 16:13:40,RR1.00:15-16:710:2334,131,-1029.5,136.5,-1166.0,0.0,0.0,0
2,2023-01-03 21:45:40,True,,,2719,18217.0,2854.95,100.01,15262.04,15262.04,10
3,2023-01-05 21:37:40,True,,,5002,31287.5,5252.1,100.01,25935.39,25841.85,21
4,2023-01-09 04:07:40,True,,,367,1617.0,385.35,1231.65,0.0,0.0,0
5,2023-01-09 05:46:20,True,,,4819,30056.0,5059.95,100.01,24896.04,24896.04,20
6,2023-01-09 05:46:20,False,2026-07-06 16:13:40,RR1.00:15-16:710:2334,106,-1140.0,110.25,-1250.25,0.0,0.0,0
7,2023-01-17 23:00:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,324,313.5,339.15,-25.65,0.0,0.0,0
8,2023-01-17 23:00:40,True,,,4570,23456.0,4798.5,1208.9,17448.6,17448.6,18
9,2023-01-17 23:00:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,3406,13080.5,3575.25,171.85,9333.4,9333.4,10
10,2023-01-23 05:16:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,3571,13757.5,3748.5,171.85,9837.15,9837.15,10
11,2023-01-23 05:16:40,True,,,629,1904.0,660.45,1243.55,0.0,0.0,0
12,2023-01-23 05:16:40,False,2026-06-29 16:26:40,RR1.00:16-17:896:2549,273,470.0,285.6,184.4,0.0,0.0,0
13,2023-01-23 06:01:40,True,,,392,1619.0,411.6,1207.4,0.0,0.0,0
14,2023-01-23 06:01:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,216,-218.5,225.75,-444.25,0.0,0.0,0
15,2023-01-23 06:01:40,False,2026-06-29 16:26:40,RR1.00:16-17:896:2549,364,563.0,381.15,181.85,0.0,0.0,0
16,2023-01-23 06:01:40,False,2026-06-29 16:26:40,RR1.00:16-17:896:2549,3501,13408.5,3675.0,180.1,9553.4,9553.4,10
17,2023-02-14 09:01:40,False,2026-06-29 16:26:40,RR1.00:16-17:896:2549,2581,10674.0,2709.0,180.1,7784.9,7784.9,8
18,2023-02-14 09:01:40,False,2026-07-06 16:13:40,RR1.00:15-16:710:2334,464,622.0,486.15,135.85,0.0,0.0,0
19,2023-02-14 09:01:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,686,337.5,719.25,-381.75,0.0,0.0,0
20,2023-02-14 09:01:40,False,2026-06-29 16:26:40,RR1.00:16-17:896:2549,94,-1117.0,97.65,-1214.65,0.0,0.0,0
21,2023-02-14 09:01:40,True,,,2476,17949.0,2599.8,100.01,15249.19,15249.19,10
22,2023-02-21 07:07:40,True,,,2642,18231.0,2774.1,100.01,15356.89,15356.89,10
23,2023-02-21 07:07:40,False,2026-07-06 16:13:40,RR1.00:15-16:710:2334,356,-398.5,372.75,-771.25,0.0,0.0,0
24,2023-02-21 07:07:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,755,956.0,791.7,164.3,0.0,0.0,0
25,2023-03-15 01:00:40,True,,,229,1460.5,240.45,1220.05,0.0,0.0,0
26,2023-03-15 01:00:40,True,,,3335,13762.0,3501.75,1220.15,9040.1,9040.1,10
27,2023-03-15 01:00:40,True,,,1570,10171.0,1648.5,4917.45,3605.05,3605.05,3
28,2023-03-15 01:00:40,True,,,2422,10689.5,2543.1,1224.05,6922.35,6922.35,7
29,2023-03-15 01:00:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,348,450.0,364.35,85.65,0.0,0.0,0
30,2023-03-15 01:00:40,True,,,3343,13786.5,3510.15,1225.4,9050.95,9050.95,10
31,2023-03-15 01:00:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,802,1016.0,841.05,174.95,0.0,0.0,0
32,2023-03-15 01:00:40,False,2026-07-06 16:13:40,RR1.00:15-16:710:2334,786,955.5,824.25,131.25,0.0,0.0,0
33,2023-03-15 01:00:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,614,808.0,643.65,164.35,0.0,0.0,0
34,2023-03-17 06:08:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,340,395.5,355.95,39.55,0.0,0.0,0
35,2023-03-17 06:08:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,458,354.0,479.85,-125.85,0.0,0.0,0
36,2023-03-17 06:08:40,False,2026-07-06 16:13:40,RR1.00:15-16:710:2334,888,1067.0,931.35,135.65,0.0,0.0,0
37,2023-03-17 06:08:40,True,,,2257,10538.5,2369.85,1224.05,6944.6,6944.6,7
38,2023-03-17 06:08:40,False,2026-07-06 16:13:40,RR1.00:15-16:710:2334,136,-414.0,141.75,-555.75,0.0,0.0,0
39,2023-03-17 06:08:40,True,,,1419,9978.5,1489.95,4917.45,3571.1,3571.1,3
40,2023-03-17 06:08:40,False,2026-07-06 16:13:40,RR1.00:15-16:710:2334,249,-230.0,260.4,-490.4,0.0,0.0,0
41,2023-03-17 06:08:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,435,630.0,455.7,174.3,0.0,0.0,0
42,2023-03-17 06:08:40,False,2026-07-06 16:13:40,RR1.00:15-16:710:2334,264,-221.5,276.15,-497.65,0.0,0.0,0
43,2023-03-17 06:08:40,True,,,2408,10604.5,2528.4,1230.6,6845.5,6845.5,7
44,2023-03-17 06:08:40,True,,,3367,20816.5,3535.35,100.01,17181.14,17181.14,12
45,2023-03-20 21:35:20,True,,,2869,18319.0,3012.45,100.01,15206.54,15206.54,9
46,2023-03-20 21:35:20,True,,,3691,21424.5,3875.55,100.01,17448.94,17448.94,13
47,2023-03-20 21:35:20,False,2026-06-29 16:26:40,RR1.00:16-17:896:2549,285,482.5,298.2,184.3,0.0,0.0,0
48,2023-03-20 21:35:20,True,,,1426,10023.0,1497.3,4917.45,3608.25,3608.25,3
49,2023-05-02 08:09:40,False,2026-07-06 16:13:40,RR1.00:15-16:710:2334,138,-1210.5,143.85,-1354.35,0.0,0.0,0
50,2023-05-02 08:09:40,True,,,3041,19145.0,3193.05,100.01,15851.94,15851.94,11
51,2023-05-02 08:09:40,True,,,2810,18411.5,2950.5,100.01,15360.99,15360.99,10
52,2023-05-02 08:09:40,True,,,2829,18401.5,2970.45,100.01,15331.04,15331.04,10
53,2023-05-02 08:09:40,True,,,551,1751.0,578.55,1172.45,0.0,0.0,0
54,2023-05-02 08:09:40,False,2026-07-06 11:12:40,RR1.00:10-11:619:2237,286,-243.5,299.25,-542.75,0.0,0.0,0
55,2023-05-09 05:01:20,True,,,1040,2299.0,1092.0,1207.0,0.0,0.0,0
