account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-03 07:13:40,False,2023-10-18 12:30:40,RR1.00:11-12:275:1220,437,453.5,457.8,-4.3,0.0,0.0,0
2,2023-01-03 21:45:40,False,2023-10-18 12:30:40,RR1.00:11-12:275:1220,433,486.0,453.6,32.4,0.0,0.0,0
3,2023-01-05 21:37:40,True,,,1718,10436.0,1803.9,100.01,8532.09,8532.09,6
4,2023-01-09 04:07:40,True,,,1718,9795.0,1803.9,100.01,7891.09,7891.09,6
5,2023-01-09 05:46:20,True,,,1718,11828.5,1803.9,100.01,9924.59,9924.59,9
6,2023-01-09 05:46:20,True,,,1717,12302.5,1802.85,100.01,10399.64,10399.64,10
7,2023-01-17 23:00:40,True,,,1702,11255.0,1787.1,100.01,9367.89,9367.89,8
8,2023-01-17 23:00:40,True,,,1704,9987.0,1789.2,100.01,8097.79,8097.79,6
9,2023-01-17 23:00:40,True,,,1704,8727.5,1789.2,3428.2,3510.1,3510.1,4
10,2023-01-23 05:16:40,True,,,1697,8622.5,1781.85,3676.2,3164.45,3164.45,4
11,2023-01-23 05:16:40,True,,,1696,8443.5,1780.8,3657.2,3005.5,3005.5,3
12,2023-01-23 05:16:40,True,,,1692,7739.0,1776.6,2663.95,3298.45,3298.45,4
13,2023-01-23 06:01:40,True,,,1692,8559.0,1776.6,2663.95,4118.45,4118.45,5
14,2023-01-23 06:01:40,True,,,1693,8685.0,1777.65,2859.9,4047.45,4047.45,5
15,2023-01-23 06:01:40,True,,,1693,9310.0,1777.65,100.01,7432.34,7432.34,6
16,2023-01-23 06:01:40,True,,,1693,9151.5,1777.65,100.01,7273.84,7273.84,6
17,2023-02-14 09:01:40,True,,,1659,10006.0,1741.95,100.01,8164.04,8164.04,7
18,2023-02-14 09:01:40,True,,,1659,10460.0,1741.95,100.01,8618.04,8618.04,7
19,2023-02-14 09:01:40,True,,,1659,8681.0,1741.95,3361.9,3577.15,3577.15,4
20,2023-02-14 09:01:40,False,2023-10-30 18:43:40,RR1.00:17-18:222:1147,374,468.5,391.65,76.85,0.0,0.0,0
21,2023-02-14 09:01:40,False,2023-11-01 16:00:00,RR1.00:16-17:540:1524,375,63.0,392.7,-329.7,0.0,0.0,0
22,2023-02-21 07:07:40,False,2023-11-01 16:00:00,RR1.00:16-17:540:1524,363,407.0,380.1,26.9,0.0,0.0,0
23,2023-02-21 07:07:40,True,,,1646,8228.0,1728.3,3847.15,2652.55,2652.55,3
24,2023-02-21 07:07:40,True,,,1647,7671.5,1729.35,3375.4,2566.75,2566.75,3
25,2023-03-15 01:00:40,True,,,1600,6933.0,1680.0,3233.2,2019.8,2019.8,2
26,2023-03-15 01:00:40,True,,,1597,10507.5,1676.85,5073.2,3757.45,3757.45,3
27,2023-03-15 01:00:40,True,,,1597,11156.0,1676.85,5369.25,4109.9,4109.9,4
28,2023-03-15 01:00:40,False,2023-10-30 18:43:40,RR1.00:17-18:222:1147,321,-111.0,336.0,-447.0,0.0,0.0,0
29,2023-03-15 01:00:40,False,2023-10-25 23:16:40,RR1.00:23-24:70:536,317,-118.0,331.8,-449.8,0.0,0.0,0
30,2023-03-15 01:00:40,True,,,1596,12080.0,1675.8,5499.2,4905.0,4905.0,5
31,2023-03-15 01:00:40,True,,,1598,11855.0,1677.9,5214.25,4962.85,4962.85,5
32,2023-03-15 01:00:40,True,,,1601,12249.0,1681.05,5611.7,4956.25,4956.25,5
33,2023-03-15 01:00:40,True,,,1600,13210.0,1680.0,100.01,11429.99,11429.99,7
34,2023-03-17 06:08:40,True,,,1592,12371.0,1671.6,5655.7,5043.7,5043.7,5
35,2023-03-17 06:08:40,True,,,1592,12149.0,1671.6,5105.25,5372.15,5372.15,5
36,2023-03-17 06:08:40,True,,,1587,11978.5,1666.35,5105.25,5206.9,5206.9,5
37,2023-03-17 06:08:40,True,,,1588,13271.5,1667.4,6707.45,4896.65,4896.65,6
38,2023-03-17 06:08:40,True,,,1588,13380.5,1667.4,6707.45,5005.65,5005.65,6
39,2023-03-17 06:08:40,True,,,1588,12929.5,1667.4,100.01,11162.09,11162.09,7
40,2023-03-17 06:08:40,True,,,1588,13079.0,1667.4,100.01,11311.59,11311.59,7
41,2023-03-17 06:08:40,True,,,1590,11563.0,1669.5,100.01,9793.49,9793.49,6
42,2023-03-17 06:08:40,True,,,1589,11170.0,1668.45,4535.2,4966.35,4966.35,5
43,2023-03-17 06:08:40,True,,,1588,12174.0,1667.4,100.01,10406.59,10406.59,6
44,2023-03-17 06:08:40,True,,,1588,12477.0,1667.4,100.01,10709.59,10709.59,6
45,2023-03-20 21:35:20,True,,,1583,12851.5,1662.15,100.01,11089.34,11089.34,6
46,2023-03-20 21:35:20,True,,,1583,13646.5,1662.15,100.01,11884.34,11884.34,8
47,2023-03-20 21:35:20,True,,,1585,10249.5,1664.25,4723.8,3861.45,3861.45,4
48,2023-03-20 21:35:20,True,,,1589,3815.5,1668.45,2147.05,0.0,0.0,0
49,2023-05-02 08:09:40,True,,,1518,4041.0,1593.9,2447.1,0.0,0.0,0
50,2023-05-02 08:09:40,True,,,1517,3204.5,1592.85,1611.65,0.0,0.0,0
51,2023-05-02 08:09:40,True,,,1517,3846.5,1592.85,2253.65,0.0,0.0,0
52,2023-05-02 08:09:40,False,2024-02-01 23:30:00,RR1.00:20-21:328:1235,336,-297.0,351.75,-648.75,0.0,0.0,0
53,2023-05-02 08:09:40,True,,,1518,3330.5,1593.9,1736.6,0.0,0.0,0
54,2023-05-02 08:09:40,True,,,1517,4616.0,1592.85,1100.0,1923.15,1923.15,2
55,2023-05-09 05:01:20,True,,,1499,4589.5,1573.95,1100.0,1915.55,1915.55,2
56,2023-05-09 05:01:20,True,,,1497,4017.5,1571.85,1100.0,1345.65,1345.65,1
57,2023-05-09 05:01:20,True,,,1497,4538.0,1571.85,1466.15,1500.0,1500.0,1
58,2023-05-09 06:33:20,True,,,1496,3290.5,1570.8,1719.7,0.0,0.0,0
59,2023-05-09 06:33:20,True,,,1496,2170.5,1570.8,599.7,0.0,0.0,0
60,2023-05-09 06:33:20,False,2026-06-08 23:30:00,RR1.00:17-18:384:1949,1443,1900.5,1514.1,386.4,0.0,0.0,0
61,2023-05-09 06:33:20,False,2026-05-27 01:11:40,RR1.00:1-2:464:1886,1426,1654.5,1496.25,158.25,0.0,0.0,0
62,2023-05-09 06:33:20,True,,,1493,2822.5,1567.65,1254.85,0.0,0.0,0
63,2023-05-09 06:33:20,True,,,1495,2529.0,1569.75,959.25,0.0,0.0,0
64,2023-05-09 06:33:20,False,2026-06-05 21:11:40,RR1.00:20-21:540:1989,1442,1803.0,1513.05,289.95,0.0,0.0,0
65,2023-05-09 06:33:20,False,2026-06-05 21:11:40,RR1.00:20-21:540:1989,1442,1766.5,1513.05,253.45,0.0,0.0,0
66,2023-05-09 06:33:20,False,2026-06-05 14:24:40,RR1.00:12-13:534:2100,1443,1713.5,1514.1,199.4,0.0,0.0,0
67,2023-05-09 06:33:20,False,2026-06-01 21:00:00,RR1.00:16-17:884:2519,1437,1638.0,1507.8,130.2,0.0,0.0,0
68,2023-05-09 06:33:20,False,2026-06-01 21:00:00,RR1.00:16-17:884:2519,1437,1649.5,1507.8,141.7,0.0,0.0,0
69,2023-05-09 06:33:20,True,,,1495,5752.5,1569.75,2682.75,1500.0,1500.0,1
70,2023-05-09 06:33:20,True,,,1494,5399.0,1568.7,2330.3,1500.0,1500.0,1
