at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-04-06 00:00:00,3,2023-01,1,500.0,500.0,500.0,500.0,32404.9,31904.9,0.0,
2024-04-10 00:00:00,8,2023-01,1,500.0,500.0,500.0,500.0,32534.0,32034.0,0.0,
2024-06-04 00:00:00,3,2023-01,2,500.0,500.0,500.0,500.0,32450.45,31950.45,0.0,
2024-06-05 00:00:00,8,2023-01,2,500.0,500.0,500.0,500.0,32462.75,31962.75,0.0,
2024-06-06 00:00:00,10,2023-01,1,500.0,500.0,500.0,500.0,32646.2,32146.2,0.0,
2024-06-12 00:00:00,16,2023-01,1,500.0,500.0,500.0,500.0,32403.55,31903.55,0.0,
2024-06-13 00:00:00,5,2023-01,1,500.0,500.0,500.0,500.0,32634.75,32134.75,0.0,
2024-06-13 00:00:00,9,2023-01,1,500.0,500.0,500.0,500.0,32470.2,31970.2,0.0,
2024-06-14 00:00:00,3,2023-01,3,500.0,500.0,500.0,500.0,32569.3,32069.3,0.0,
2024-06-15 00:00:00,8,2023-01,3,500.0,500.0,500.0,500.0,32595.1,32095.1,0.0,
2024-06-18 00:00:00,10,2023-01,2,500.0,500.0,500.0,500.0,32670.6,32170.6,0.0,
2024-06-19 00:00:00,30,2023-03,1,500.0,500.0,500.0,500.0,32404.25,31904.25,0.0,
2024-06-21 00:00:00,26,2023-03,1,500.0,500.0,500.0,500.0,32452.95,31952.95,0.0,
2024-06-21 00:00:00,46,2023-03,1,500.0,500.0,500.0,500.0,32458.35,31958.35,0.0,
2024-06-26 00:00:00,16,2023-01,2,500.0,500.0,500.0,500.0,32479.3,31979.3,0.0,
2024-06-27 00:00:00,3,2023-01,4,500.0,500.0,500.0,500.0,32533.4,32033.4,0.0,
2024-06-27 00:00:00,5,2023-01,2,500.0,500.0,500.0,500.0,32494.05,31994.05,0.0,
2024-06-28 00:00:00,8,2023-01,4,500.0,500.0,500.0,500.0,32719.6,32219.6,0.0,
2024-06-28 00:00:00,9,2023-01,2,500.0,500.0,500.0,500.0,32616.6,32116.6,0.0,
