at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-09-17 00:00:00,6,2023-01,1,500.0,500.0,500.0,500.0,32455.6,31955.6,0.0,
2024-10-03 00:00:00,6,2023-01,2,500.0,500.0,500.0,500.0,32413.85,31913.85,0.0,
2024-10-05 00:00:00,5,2023-01,1,500.0,500.0,500.0,500.0,32552.55,32052.55,0.0,
2024-10-15 00:00:00,6,2023-01,3,500.0,500.0,500.0,500.0,32675.0,32175.0,0.0,
2024-10-25 00:00:00,5,2023-01,2,500.0,500.0,500.0,500.0,32586.7,32086.7,0.0,
2024-11-07 00:00:00,6,2023-01,4,500.0,500.0,500.0,500.0,32638.55,32138.55,0.0,
2024-11-07 00:00:00,7,2023-01,1,500.0,500.0,500.0,500.0,32508.3,32008.3,0.0,
2024-11-12 00:00:00,5,2023-01,3,500.0,500.0,500.0,500.0,32487.25,31987.25,0.0,
2024-11-20 00:00:00,8,2023-01,1,500.0,500.0,500.0,500.0,32458.05,31958.05,0.0,
2024-11-21 00:00:00,6,2023-01,5,500.0,500.0,500.0,500.0,32768.8,32268.8,0.0,
2024-11-21 00:00:00,7,2023-01,2,500.0,500.0,500.0,500.0,32638.55,32138.55,0.0,
2024-11-30 00:00:00,5,2023-01,4,500.0,500.0,500.0,500.0,32457.15,31957.15,0.0,
2024-12-18 00:00:00,6,2023-01,6,500.0,500.0,500.0,500.0,32439.3,31939.3,0.0,
2024-12-18 00:00:00,17,2023-02,1,500.0,500.0,500.0,500.0,32423.25,31923.25,0.0,
2024-12-18 00:00:00,18,2023-02,1,500.0,500.0,500.0,500.0,32473.25,31973.25,0.0,
2024-12-20 00:00:00,7,2023-01,3,500.0,500.0,500.0,500.0,32512.45,32012.45,0.0,
2024-12-21 00:00:00,5,2023-01,5,500.0,500.0,500.0,500.0,32514.6,32014.6,0.0,
2024-12-21 00:00:00,8,2023-01,2,500.0,500.0,500.0,500.0,32620.35,32120.35,0.0,
2024-12-28 00:00:00,4,2023-01,1,500.0,500.0,500.0,500.0,32469.8,31969.8,0.0,
2024-12-31 00:00:00,6,2023-01,7,500.0,500.0,500.0,500.0,32442.75,31942.75,0.0,
2024-12-31 00:00:00,17,2023-02,2,500.0,500.0,500.0,500.0,32426.7,31926.7,0.0,
2024-12-31 00:00:00,18,2023-02,2,500.0,500.0,500.0,500.0,32476.7,31976.7,0.0,
2025-01-03 00:00:00,15,2023-01,1,500.0,500.0,500.0,500.0,32432.35,31932.35,0.0,
2025-01-04 00:00:00,3,2023-01,1,500.0,500.0,500.0,500.0,32492.95,31992.95,0.0,
2025-01-04 00:00:00,7,2023-01,4,500.0,500.0,500.0,500.0,32714.75,32214.75,0.0,
2025-01-04 00:00:00,16,2023-01,1,500.0,500.0,500.0,500.0,32598.75,32098.75,0.0,
2025-01-11 00:00:00,5,2023-01,6,500.0,500.0,500.0,500.0,32495.6,31995.6,0.0,
2025-01-11 00:00:00,8,2023-01,3,500.0,500.0,500.0,500.0,32601.35,32101.35,0.0,
2025-01-16 00:00:00,9,2023-01,1,500.0,500.0,500.0,500.0,32407.5,31907.5,0.0,
2025-01-18 00:00:00,6,2023-01,8,500.0,500.0,500.0,500.0,32411.1,31911.1,0.0,
2025-01-18 00:00:00,18,2023-02,3,500.0,500.0,500.0,500.0,32445.05,31945.05,0.0,
2025-01-21 00:00:00,17,2023-02,3,500.0,500.0,500.0,500.0,32434.5,31934.5,0.0,
2025-01-22 00:00:00,4,2023-01,2,500.0,500.0,500.0,500.0,32448.35,31948.35,0.0,
2025-02-05 00:00:00,7,2023-01,5,500.0,500.0,500.0,500.0,32401.1,31901.1,0.0,
2025-02-12 00:00:00,8,2023-01,4,500.0,500.0,500.0,500.0,32460.55,31960.55,0.0,
