accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,case,start_year,initial_cash_usd,monthly_contribution_usd,purchase_policy,withdrawal,reference_copies,demand_sha256,arm,emergency_seats,extra_purchase_cost_usd,additional_external_funding_usd,delta_ongoing_usd,delta_total_usd,previous_accounts,previous_total_net_usd,delta_vs_previous_routed_usd,procurement,shortfall_seats
58,17,41,19,False,97993,11600.0,224400.0,77887.21,302287.21,2020_1000_0_monthly_one_minimum_daily_31900,2020,1000,0,monthly_one,minimum_daily_31900,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,reference,0,0,0,0,0,58,302287.21,0.0,,
148,51,97,76,True,97993,29600.0,196400.0,6462.89,202862.89,2020_1000_0_monthly_one_minimum_daily_31900,2020,1000,0,monthly_one,minimum_daily_31900,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,max_headroom,148,18000.0,7400.0,-28000.0,-99424.32,290,157000.0,45862.89,reuse,148
163,54,109,76,True,97993,32600.0,76900.0,68085.64,144985.64,2020_1000_0_monthly_one_minimum_daily_31900,2020,1000,0,monthly_one,minimum_daily_31900,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,round_robin,163,21000.0,14300.0,-147500.0,-157301.57,290,35683.35,109302.29,reuse,163
58,17,41,19,False,97993,11600.0,232440.45,66605.65,299046.1,2020_1000_0_monthly_one_maximum_weekly_31600,2020,1000,0,monthly_one,maximum_weekly_31600,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,reference,0,0,0,0,0,58,299046.1,0.0,,
148,51,97,76,True,97993,29600.0,213285.75,51043.03,264328.78,2020_1000_0_monthly_one_maximum_weekly_31600,2020,1000,0,monthly_one,maximum_weekly_31600,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,max_headroom,148,18000.0,6206.9,-19154.7,-34717.32,290,231222.99,33105.79,reuse,148
163,54,109,76,True,97993,32600.0,98776.9,84035.56,182812.46,2020_1000_0_monthly_one_maximum_weekly_31600,2020,1000,0,monthly_one,maximum_weekly_31600,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,round_robin,163,21000.0,13909.25,-133663.55,-116233.64,290,39710.0,143102.46,reuse,163
58,17,41,19,False,97993,11600.0,163900.0,138387.21,302287.21,2020_1000_0_monthly_one_minimum_calendar_month_30000,2020,1000,0,monthly_one,minimum_calendar_month_30000,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,reference,0,0,0,0,0,58,302287.21,0.0,,
148,51,97,76,True,97993,29600.0,149400.0,152559.27,301959.27,2020_1000_0_monthly_one_minimum_calendar_month_30000,2020,1000,0,monthly_one,minimum_calendar_month_30000,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,max_headroom,148,18000.0,4200.0,-14500.0,-327.94,290,255074.95,46884.32,reuse,148
163,54,109,76,True,97993,32600.0,101900.0,135215.51,237115.51,2020_1000_0_monthly_one_minimum_calendar_month_30000,2020,1000,0,monthly_one,minimum_calendar_month_30000,97993,2c89c3fcc3a306b1739a63b2d794e012a25d58b320919fc73a2078bca16f319c,round_robin,163,21000.0,12000.0,-62000.0,-65171.7,290,65116.83,171998.68,reuse,163
5,0,5,5,False,1443,1000.0,-1000.0,0.0,-1000.0,2020_1000_0_weekly_one_minimum_daily_31900,2020,1000,0,weekly_one,minimum_daily_31900,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,reference,0,0,0,0,0,5,-1000.0,0.0,,
15,15,0,15,False,1443,3000.0,-3000.0,0.0,-3000.0,2020_1000_0_weekly_one_minimum_daily_31900,2020,1000,0,weekly_one,minimum_daily_31900,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,max_headroom,15,2000.0,2000.0,-2000.0,-2000.0,25,-5000.0,2000.0,reuse,15
15,10,5,15,False,1443,3000.0,-3000.0,0.0,-3000.0,2020_1000_0_weekly_one_minimum_daily_31900,2020,1000,0,weekly_one,minimum_daily_31900,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,round_robin,15,2000.0,2000.0,-2000.0,-2000.0,25,-5000.0,2000.0,reuse,15
5,0,5,5,False,1443,1000.0,-1000.0,0.0,-1000.0,2020_1000_0_weekly_one_maximum_weekly_31600,2020,1000,0,weekly_one,maximum_weekly_31600,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,reference,0,0,0,0,0,5,-1000.0,0.0,,
15,15,0,15,False,1443,3000.0,-3000.0,0.0,-3000.0,2020_1000_0_weekly_one_maximum_weekly_31600,2020,1000,0,weekly_one,maximum_weekly_31600,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,max_headroom,15,2000.0,2000.0,-2000.0,-2000.0,25,-5000.0,2000.0,reuse,15
15,10,5,15,False,1443,3000.0,-3000.0,0.0,-3000.0,2020_1000_0_weekly_one_maximum_weekly_31600,2020,1000,0,weekly_one,maximum_weekly_31600,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,round_robin,15,2000.0,2000.0,-2000.0,-2000.0,25,-5000.0,2000.0,reuse,15
5,0,5,5,False,1443,1000.0,-1000.0,0.0,-1000.0,2020_1000_0_weekly_one_minimum_calendar_month_30000,2020,1000,0,weekly_one,minimum_calendar_month_30000,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,reference,0,0,0,0,0,5,-1000.0,0.0,,
15,15,0,15,False,1443,3000.0,-3000.0,0.0,-3000.0,2020_1000_0_weekly_one_minimum_calendar_month_30000,2020,1000,0,weekly_one,minimum_calendar_month_30000,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,max_headroom,15,2000.0,2000.0,-2000.0,-2000.0,25,-5000.0,2000.0,reuse,15
15,10,5,15,False,1443,3000.0,-3000.0,0.0,-3000.0,2020_1000_0_weekly_one_minimum_calendar_month_30000,2020,1000,0,weekly_one,minimum_calendar_month_30000,1443,790205eb8d06a10c851dbf11d060ba2e9de0847465291eddd4289d92d04e436e,round_robin,15,2000.0,2000.0,-2000.0,-2000.0,25,-5000.0,2000.0,reuse,15
60,20,40,20,False,146219,12000.0,361600.0,102711.75,464311.75,2020_1000_200_monthly_one_minimum_daily_31900,2020,1000,200,monthly_one,minimum_daily_31900,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,reference,0,0,0,0,0,60,464311.75,0.0,,
144,41,103,80,True,146219,28800.0,333200.0,0.0,333200.0,2020_1000_200_monthly_one_minimum_daily_31900,2020,1000,200,monthly_one,minimum_daily_31900,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,max_headroom,144,16800.0,5400.0,-28400.0,-131111.75,300,273000.0,60200.0,reuse,144
180,77,103,80,True,146219,36000.0,147500.0,106492.3,253992.3,2020_1000_200_monthly_one_minimum_daily_31900,2020,1000,200,monthly_one,minimum_daily_31900,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,round_robin,180,24000.0,14600.0,-214100.0,-210319.45,300,109185.38,144806.92,reuse,180
60,20,40,20,False,146219,12000.0,373130.03,87940.55,461070.58,2020_1000_200_monthly_one_maximum_weekly_31600,2020,1000,200,monthly_one,maximum_weekly_31600,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,reference,0,0,0,0,0,60,461070.58,0.0,,
163,60,103,80,True,146219,32600.0,354030.15,69545.44,423575.59,2020_1000_200_monthly_one_maximum_weekly_31600,2020,1000,200,monthly_one,maximum_weekly_31600,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,max_headroom,163,20600.0,4898.3,-19099.88,-37494.99,300,368070.3,55505.29,reuse,163
180,77,103,80,True,146219,36000.0,181820.5,139620.12,321440.62,2020_1000_200_monthly_one_maximum_weekly_31600,2020,1000,200,monthly_one,maximum_weekly_31600,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,round_robin,180,24000.0,14637.75,-191309.53,-139629.96,300,106079.2,215361.42,reuse,180
60,20,40,20,False,146219,12000.0,270000.0,194311.75,464311.75,2020_1000_200_monthly_one_minimum_calendar_month_30000,2020,1000,200,monthly_one,minimum_calendar_month_30000,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,reference,0,0,0,0,0,60,464311.75,0.0,,
143,80,63,80,True,146219,28600.0,246900.0,204832.46,451732.46,2020_1000_200_monthly_one_minimum_calendar_month_30000,2020,1000,200,monthly_one,minimum_calendar_month_30000,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,max_headroom,143,16600.0,4200.0,-23100.0,-12579.29,300,394263.22,57469.24,reuse,143
193,60,133,80,True,146219,38600.0,176400.0,47438.28,223838.28,2020_1000_200_monthly_one_minimum_calendar_month_30000,2020,1000,200,monthly_one,minimum_calendar_month_30000,146219,ec9fba68703dd2d54827edbd72abefc5466853e3b3fd90feb9434f67890455eb,round_robin,193,26600.0,8300.0,-93600.0,-240473.47,300,168162.93,55675.35,reuse,193
75,20,55,20,False,178247,15000.0,449800.0,100881.87,550681.87,2020_1000_200_weekly_one_minimum_daily_31900,2020,1000,200,weekly_one,minimum_daily_31900,178247,da2ec680de9ce9086e4016acb777637288a366303ec11534fbdd97648313cf50,reference,0,0,0,0,0,75,550681.87,0.0,,
121,100,21,100,True,178247,24200.0,383800.0,0.0,383800.0,2020_1000_200_weekly_one_minimum_daily_31900,2020,1000,200,weekly_one,minimum_daily_31900,178247,da2ec680de9ce9086e4016acb777637288a366303ec11534fbdd97648313cf50,max_headroom,121,9200.0,11600.0,-66000.0,-166881.87,375,317518.05,66281.95,reuse,121
183,80,103,100,True,178247,36600.0,202900.0,211693.81,414593.81,2020_1000_200_weekly_one_minimum_daily_31900,2020,1000,200,weekly_one,minimum_daily_31900,178247,da2ec680de9ce9086e4016acb777637288a366303ec11534fbdd97648313cf50,round_robin,183,21600.0,26300.0,-246900.0,-136088.06,375,117991.96,296601.85,reuse,183
75,20,55,20,False,178068,15000.0,460918.96,89762.83,550681.79,2020_1000_200_weekly_one_maximum_weekly_31600,2020,1000,200,weekly_one,maximum_weekly_31600,178068,882d4dd5cb6e4de235ca78b99173bc6be02d8c10c071ca1e41e9cf4106e8f622,reference,0,0,0,0,0,75,550681.79,0.0,,
121,71,50,100,True,178068,24200.0,410952.45,68032.46,478984.91,2020_1000_200_weekly_one_maximum_weekly_31600,2020,1000,200,weekly_one,maximum_weekly_31600,178068,882d4dd5cb6e4de235ca78b99173bc6be02d8c10c071ca1e41e9cf4106e8f622,max_headroom,121,9200.0,11600.0,-49966.51,-71696.88,375,459385.34,19599.57,reuse,121
202,89,113,100,True,178068,40400.0,162873.9,148802.16,311676.06,2020_1000_200_weekly_one_maximum_weekly_31600,2020,1000,200,weekly_one,maximum_weekly_31600,178068,882d4dd5cb6e4de235ca78b99173bc6be02d8c10c071ca1e41e9cf4106e8f622,round_robin,202,25400.0,20671.75,-298045.06,-239005.73,375,162347.95,149328.11,reuse,202
75,20,55,20,False,178247,15000.0,324500.0,226181.87,550681.87,2020_1000_200_weekly_one_minimum_calendar_month_30000,2020,1000,200,weekly_one,minimum_calendar_month_30000,178247,da2ec680de9ce9086e4016acb777637288a366303ec11534fbdd97648313cf50,reference,0,0,0,0,0,75,550681.87,0.0,,
