account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-01 00:00:00,True,,,5865,30946.5,6158.25,7788.25,17000.0,17000.0,34
2,2020-01-01 00:00:00,True,,,5865,30946.5,6158.25,7788.25,17000.0,17000.0,34
3,2020-01-01 00:00:00,True,,,5865,30946.5,6158.25,7788.25,17000.0,17000.0,34
4,2020-01-01 00:00:00,True,,,5865,30946.5,6158.25,7788.25,17000.0,17000.0,34
5,2020-01-01 00:00:00,False,2021-05-20 09:01:40,RR1.00:8-9:130:478,708,865.0,742.35,122.65,0.0,0.0,0
6,2020-01-01 00:00:00,False,2021-05-20 09:01:40,RR1.00:8-9:130:478,708,865.0,742.35,122.65,0.0,0.0,0
7,2020-01-01 00:00:00,False,2021-05-20 09:01:40,RR1.00:8-9:130:478,708,865.0,742.35,122.65,0.0,0.0,0
8,2020-01-01 00:00:00,False,2021-05-20 09:01:40,RR1.00:8-9:130:478,708,865.0,742.35,122.65,0.0,0.0,0
9,2020-01-01 00:00:00,False,2022-02-25 09:07:40,RR1.00:9-10:195:729,286,-939.0,299.25,-1238.25,0.0,0.0,0
10,2020-01-01 00:00:00,False,2022-02-25 09:07:40,RR1.00:9-10:195:729,286,-939.0,299.25,-1238.25,0.0,0.0,0
11,2020-01-01 00:00:00,False,2022-02-25 09:07:40,RR1.00:9-10:195:729,286,-939.0,299.25,-1238.25,0.0,0.0,0
12,2020-01-01 00:00:00,False,2022-02-25 09:07:40,RR1.00:9-10:195:729,286,-939.0,299.25,-1238.25,0.0,0.0,0
13,2020-01-01 00:00:00,False,2021-02-26 22:54:40,RR1.00:22-23:87:343,59,53.0,60.9,-7.9,0.0,0.0,0
14,2020-01-01 00:00:00,False,2021-02-26 22:54:40,RR1.00:22-23:87:343,59,53.0,60.9,-7.9,0.0,0.0,0
15,2020-01-01 00:00:00,False,2021-02-26 22:54:40,RR1.00:22-23:87:343,59,53.0,60.9,-7.9,0.0,0.0,0
16,2020-01-01 00:00:00,False,2021-02-26 22:54:40,RR1.00:22-23:87:343,59,53.0,60.9,-7.9,0.0,0.0,0
17,2020-01-01 00:00:00,True,,,5374,17465.5,5642.7,100.01,11722.79,11722.79,21
18,2020-01-01 00:00:00,True,,,5374,17465.5,5642.7,100.01,11722.79,11722.79,21
19,2020-01-01 00:00:00,True,,,5374,17465.5,5642.7,100.01,11722.79,11722.79,21
20,2020-01-01 00:00:00,True,,,5374,17465.5,5642.7,100.01,11722.79,11722.79,21
