at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2023-02-08 00:00:00,5,2020-01,1,500.0,500.0,500.0,500.0,32625.7,32125.7,0.0,
2023-02-08 00:00:00,6,2020-01,1,500.0,500.0,500.0,500.0,32625.7,32125.7,0.0,
2023-02-08 00:00:00,7,2020-01,1,500.0,500.0,500.0,500.0,32625.7,32125.7,0.0,
2023-02-08 00:00:00,8,2020-01,1,500.0,500.0,500.0,500.0,32625.7,32125.7,0.0,
2023-03-16 00:00:00,5,2020-01,2,500.0,500.0,500.0,500.0,32750.2,32250.2,0.0,
2023-03-16 00:00:00,6,2020-01,2,500.0,500.0,500.0,500.0,32750.2,32250.2,0.0,
2023-03-16 00:00:00,7,2020-01,2,500.0,500.0,500.0,500.0,32750.2,32250.2,0.0,
2023-03-16 00:00:00,8,2020-01,2,500.0,500.0,500.0,500.0,32750.2,32250.2,0.0,
2023-04-07 00:00:00,5,2020-01,3,500.0,500.0,500.0,500.0,32408.05,31908.05,0.0,
2023-04-07 00:00:00,6,2020-01,3,500.0,500.0,500.0,500.0,32408.05,31908.05,0.0,
2023-04-07 00:00:00,7,2020-01,3,500.0,500.0,500.0,500.0,32408.05,31908.05,0.0,
2023-04-07 00:00:00,8,2020-01,3,500.0,500.0,500.0,500.0,32408.05,31908.05,0.0,
2023-08-22 00:00:00,5,2020-01,4,500.0,500.0,500.0,500.0,32437.65,31937.65,0.0,
2023-08-22 00:00:00,6,2020-01,4,500.0,500.0,500.0,500.0,32437.65,31937.65,0.0,
2023-08-22 00:00:00,7,2020-01,4,500.0,500.0,500.0,500.0,32437.65,31937.65,0.0,
2023-08-22 00:00:00,8,2020-01,4,500.0,500.0,500.0,500.0,32437.65,31937.65,0.0,
2023-12-19 00:00:00,5,2020-01,5,500.0,500.0,500.0,500.0,32440.1,31940.1,0.0,
2023-12-19 00:00:00,6,2020-01,5,500.0,500.0,500.0,500.0,32440.1,31940.1,0.0,
2023-12-19 00:00:00,7,2020-01,5,500.0,500.0,500.0,500.0,32440.1,31940.1,0.0,
2023-12-19 00:00:00,8,2020-01,5,500.0,500.0,500.0,500.0,32440.1,31940.1,0.0,
2024-02-02 00:00:00,5,2020-01,6,500.0,500.0,500.0,500.0,32449.2,31949.2,0.0,
2024-02-02 00:00:00,6,2020-01,6,500.0,500.0,500.0,500.0,32449.2,31949.2,0.0,
2024-02-02 00:00:00,7,2020-01,6,500.0,500.0,500.0,500.0,32449.2,31949.2,0.0,
2024-02-02 00:00:00,8,2020-01,6,500.0,500.0,500.0,500.0,32449.2,31949.2,0.0,
2024-03-02 00:00:00,5,2020-01,7,500.0,500.0,500.0,500.0,32452.0,31952.0,0.0,
2024-03-02 00:00:00,6,2020-01,7,500.0,500.0,500.0,500.0,32452.0,31952.0,0.0,
2024-03-02 00:00:00,7,2020-01,7,500.0,500.0,500.0,500.0,32452.0,31952.0,0.0,
2024-03-02 00:00:00,8,2020-01,7,500.0,500.0,500.0,500.0,32452.0,31952.0,0.0,
2024-03-28 00:00:00,5,2020-01,8,500.0,500.0,500.0,500.0,32498.6,31998.6,0.0,
2024-03-28 00:00:00,6,2020-01,8,500.0,500.0,500.0,500.0,32498.6,31998.6,0.0,
2024-03-28 00:00:00,7,2020-01,8,500.0,500.0,500.0,500.0,32498.6,31998.6,0.0,
2024-03-28 00:00:00,8,2020-01,8,500.0,500.0,500.0,500.0,32498.6,31998.6,0.0,
2024-05-04 00:00:00,5,2020-01,9,500.0,500.0,500.0,500.0,32598.15,32098.15,0.0,
2024-05-04 00:00:00,6,2020-01,9,500.0,500.0,500.0,500.0,32598.15,32098.15,0.0,
2024-05-04 00:00:00,7,2020-01,9,500.0,500.0,500.0,500.0,32598.15,32098.15,0.0,
2024-05-04 00:00:00,8,2020-01,9,500.0,500.0,500.0,500.0,32598.15,32098.15,0.0,
2024-05-25 00:00:00,5,2020-01,10,500.0,500.0,500.0,500.0,32535.7,32035.7,0.0,
2024-05-25 00:00:00,6,2020-01,10,500.0,500.0,500.0,500.0,32535.7,32035.7,0.0,
2024-05-25 00:00:00,7,2020-01,10,500.0,500.0,500.0,500.0,32535.7,32035.7,0.0,
2024-05-25 00:00:00,8,2020-01,10,500.0,500.0,500.0,500.0,32535.7,32035.7,0.0,
2024-06-06 00:00:00,5,2020-01,11,500.0,500.0,500.0,500.0,32628.9,32128.9,0.0,
2024-06-06 00:00:00,6,2020-01,11,500.0,500.0,500.0,500.0,32628.9,32128.9,0.0,
2024-06-06 00:00:00,7,2020-01,11,500.0,500.0,500.0,500.0,32628.9,32128.9,0.0,
2024-06-06 00:00:00,8,2020-01,11,500.0,500.0,500.0,500.0,32628.9,32128.9,0.0,
2024-06-29 00:00:00,5,2020-01,12,500.0,500.0,500.0,500.0,32410.2,31910.2,0.0,
2024-06-29 00:00:00,6,2020-01,12,500.0,500.0,500.0,500.0,32410.2,31910.2,0.0,
2024-06-29 00:00:00,7,2020-01,12,500.0,500.0,500.0,500.0,32410.2,31910.2,0.0,
2024-06-29 00:00:00,8,2020-01,12,500.0,500.0,500.0,500.0,32410.2,31910.2,0.0,
2024-08-15 00:00:00,17,2020-01,1,500.0,500.0,500.0,500.0,32455.25,31955.25,0.0,
2024-08-15 00:00:00,18,2020-01,1,500.0,500.0,500.0,500.0,32455.25,31955.25,0.0,
2024-08-15 00:00:00,19,2020-01,1,500.0,500.0,500.0,500.0,32455.25,31955.25,0.0,
2024-08-15 00:00:00,20,2020-01,1,500.0,500.0,500.0,500.0,32455.25,31955.25,0.0,
