account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
2,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
3,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
4,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
5,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
6,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
7,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
8,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
9,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
10,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
11,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
12,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
13,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
14,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
15,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
16,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
17,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
18,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
19,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
20,2023-01-01 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,42
