at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2022-10-24 00:00:00,6,2021-07,1,522.2,522.2,522.2,522.2,32122.2,31600.0,0.0,
2023-04-03 00:00:00,6,2021-07,2,694.2,694.2,694.2,694.2,32294.2,31600.0,0.0,
2023-05-01 00:00:00,6,2021-07,3,637.65,637.65,637.65,637.65,32237.65,31600.0,0.0,
2023-07-24 00:00:00,6,2021-07,4,549.5,549.5,549.5,549.5,32149.5,31600.0,0.0,
2023-09-04 00:00:00,6,2021-07,5,666.05,666.05,666.05,666.05,32266.05,31600.0,0.0,
2024-01-22 00:00:00,5,2020-01,1,738.3,738.3,738.3,738.3,32338.3,31600.0,0.0,
2024-02-12 00:00:00,5,2020-01,2,665.75,665.75,665.75,665.75,32265.75,31600.0,0.0,
2024-03-04 00:00:00,5,2020-01,3,650.35,650.35,650.35,650.35,32250.35,31600.0,0.0,
2024-04-08 00:00:00,5,2020-01,4,1013.6,1013.6,1013.6,1013.6,32613.6,31600.0,0.0,
2024-06-10 00:00:00,6,2021-07,6,909.6,909.6,909.6,909.6,32509.6,31600.0,0.0,
2024-06-24 00:00:00,6,2021-07,7,653.2,653.2,653.2,653.2,32253.2,31600.0,0.0,
2024-07-08 00:00:00,6,2021-07,8,1326.6,1326.6,1326.6,1326.6,32926.6,31600.0,0.0,
2024-08-19 00:00:00,5,2020-01,5,1056.25,1056.25,1056.25,1056.25,32656.25,31600.0,0.0,
2024-09-16 00:00:00,5,2020-01,6,823.05,823.05,823.05,823.05,32423.05,31600.0,0.0,
2024-09-30 00:00:00,5,2020-01,7,1280.0,1280.0,1280.0,1280.0,32880.0,31600.0,0.0,
2024-11-11 00:00:00,6,2021-07,9,1261.55,1261.55,1261.55,1261.55,32861.55,31600.0,0.0,
2024-12-23 00:00:00,6,2021-07,10,674.3,674.3,674.3,674.3,32274.3,31600.0,0.0,
2025-01-20 00:00:00,5,2020-01,8,764.25,764.25,764.25,764.25,32364.25,31600.0,0.0,
2025-01-27 00:00:00,6,2021-07,11,965.6,965.6,965.6,965.6,32565.6,31600.0,0.0,
2025-02-10 00:00:00,6,2021-07,12,1049.95,1049.95,1049.95,1049.95,32649.95,31600.0,0.0,
2025-02-24 00:00:00,6,2021-07,13,842.45,842.45,842.45,842.45,32442.45,31600.0,0.0,
2025-04-14 00:00:00,6,2021-07,14,2123.7,2123.7,2123.7,2123.7,33723.7,31600.0,0.0,
2025-04-28 00:00:00,6,2021-07,15,527.65,527.65,527.65,527.65,32127.65,31600.0,0.0,
2025-05-19 00:00:00,6,2021-07,16,1889.05,1889.05,1889.05,1889.05,33489.05,31600.0,0.0,
2025-06-30 00:00:00,6,2021-07,17,799.8,799.8,799.8,799.8,32399.8,31600.0,0.0,
2025-10-20 00:00:00,6,2021-07,18,1630.95,1630.95,1630.95,1630.95,33230.95,31600.0,0.0,
2025-11-10 00:00:00,6,2021-07,19,690.05,690.05,690.05,690.05,32290.05,31600.0,0.0,
2026-01-26 00:00:00,6,2021-07,20,693.7,693.7,693.7,693.7,32293.7,31600.0,0.0,
2026-05-11 00:00:00,6,2021-07,21,929.1,929.1,929.1,929.1,32529.1,31600.0,0.0,
2026-06-01 00:00:00,6,2021-07,22,768.35,768.35,768.35,768.35,32368.35,31600.0,0.0,
2026-06-15 00:00:00,6,2021-07,23,2093.4,2093.4,2093.4,2093.4,33693.4,31600.0,0.0,
2026-07-13 21:30:40,6,2021-07,24,1000000000.0,5363.29,5363.29,5037.1,30463.3,25100.01,0.0,trailing_floor
