at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2022-03-30 00:00:00,9,2020-01,1,500.0,500.0,500.0,500.0,32427.45,31927.45,0.0,
2022-03-30 00:00:00,10,2020-01,1,500.0,500.0,500.0,500.0,32427.45,31927.45,0.0,
2022-04-23 00:00:00,9,2020-01,2,500.0,500.0,500.0,500.0,32432.55,31932.55,0.0,
2022-04-23 00:00:00,10,2020-01,2,500.0,500.0,500.0,500.0,32432.55,31932.55,0.0,
2022-05-31 00:00:00,9,2020-01,3,500.0,500.0,500.0,500.0,32432.35,31932.35,0.0,
2022-05-31 00:00:00,10,2020-01,3,500.0,500.0,500.0,500.0,32432.35,31932.35,0.0,
2022-09-22 00:00:00,9,2020-01,4,500.0,500.0,500.0,500.0,32405.95,31905.95,0.0,
2022-09-22 00:00:00,10,2020-01,4,500.0,500.0,500.0,500.0,32405.95,31905.95,0.0,
2022-12-15 00:00:00,9,2020-01,5,500.0,500.0,500.0,500.0,32531.05,32031.05,0.0,
2022-12-15 00:00:00,10,2020-01,5,500.0,500.0,500.0,500.0,32531.05,32031.05,0.0,
2023-03-22 00:00:00,9,2020-01,6,500.0,500.0,500.0,500.0,32472.1,31972.1,0.0,
2023-03-22 00:00:00,10,2020-01,6,500.0,500.0,500.0,500.0,32472.1,31972.1,0.0,
2023-03-25 00:00:00,3,2020-01,1,500.0,500.0,500.0,500.0,32563.05,32063.05,0.0,
2023-03-25 00:00:00,4,2020-01,1,500.0,500.0,500.0,500.0,32563.05,32063.05,0.0,
2023-04-11 00:00:00,9,2020-01,7,500.0,500.0,500.0,500.0,32421.8,31921.8,0.0,
2023-04-11 00:00:00,10,2020-01,7,500.0,500.0,500.0,500.0,32421.8,31921.8,0.0,
2023-06-15 00:00:00,3,2020-01,2,500.0,500.0,500.0,500.0,32427.9,31927.9,0.0,
2023-06-15 00:00:00,4,2020-01,2,500.0,500.0,500.0,500.0,32427.9,31927.9,0.0,
2023-08-24 00:00:00,3,2020-01,3,500.0,500.0,500.0,500.0,32413.7,31913.7,0.0,
2023-08-24 00:00:00,4,2020-01,3,500.0,500.0,500.0,500.0,32413.7,31913.7,0.0,
2024-03-09 00:00:00,9,2020-01,8,500.0,500.0,500.0,500.0,32404.95,31904.95,0.0,
2024-03-09 00:00:00,10,2020-01,8,500.0,500.0,500.0,500.0,32404.95,31904.95,0.0,
2024-04-12 00:00:00,3,2020-01,4,500.0,500.0,500.0,500.0,32402.6,31902.6,0.0,
2024-04-12 00:00:00,4,2020-01,4,500.0,500.0,500.0,500.0,32402.6,31902.6,0.0,
2024-06-12 00:00:00,3,2020-01,5,500.0,500.0,500.0,500.0,32420.25,31920.25,0.0,
2024-06-12 00:00:00,4,2020-01,5,500.0,500.0,500.0,500.0,32420.25,31920.25,0.0,
2024-06-28 00:00:00,3,2020-01,6,500.0,500.0,500.0,500.0,32412.6,31912.6,0.0,
2024-06-28 00:00:00,4,2020-01,6,500.0,500.0,500.0,500.0,32412.6,31912.6,0.0,
2024-07-02 00:00:00,9,2020-01,9,500.0,500.0,500.0,500.0,32542.6,32042.6,0.0,
2024-07-02 00:00:00,10,2020-01,9,500.0,500.0,500.0,500.0,32542.6,32042.6,0.0,
2024-07-11 00:00:00,3,2020-01,7,500.0,500.0,500.0,500.0,32549.65,32049.65,0.0,
2024-07-11 00:00:00,4,2020-01,7,500.0,500.0,500.0,500.0,32549.65,32049.65,0.0,
2024-07-20 00:00:00,9,2020-01,10,500.0,500.0,500.0,500.0,32620.75,32120.75,0.0,
2024-07-20 00:00:00,10,2020-01,10,500.0,500.0,500.0,500.0,32620.75,32120.75,0.0,
2024-08-16 00:00:00,9,2020-01,11,500.0,500.0,500.0,500.0,32604.4,32104.4,0.0,
2024-08-16 00:00:00,10,2020-01,11,500.0,500.0,500.0,500.0,32604.4,32104.4,0.0,
2024-08-30 00:00:00,9,2020-01,12,500.0,500.0,500.0,500.0,33034.9,32534.9,0.0,
2024-08-30 00:00:00,10,2020-01,12,500.0,500.0,500.0,500.0,33034.9,32534.9,0.0,
2024-09-18 00:00:00,9,2020-01,13,500.0,500.0,500.0,500.0,32428.05,31928.05,0.0,
2024-09-18 00:00:00,10,2020-01,13,500.0,500.0,500.0,500.0,32428.05,31928.05,0.0,
2024-10-02 00:00:00,9,2020-01,14,500.0,500.0,500.0,500.0,32636.5,32136.5,0.0,
2024-10-02 00:00:00,10,2020-01,14,500.0,500.0,500.0,500.0,32636.5,32136.5,0.0,
2024-10-15 00:00:00,9,2020-01,15,500.0,500.0,500.0,500.0,32711.6,32211.6,0.0,
2024-10-15 00:00:00,10,2020-01,15,500.0,500.0,500.0,500.0,32711.6,32211.6,0.0,
2024-11-07 00:00:00,9,2020-01,16,500.0,500.0,500.0,500.0,32636.65,32136.65,0.0,
2024-11-07 00:00:00,10,2020-01,16,500.0,500.0,500.0,500.0,32636.65,32136.65,0.0,
2024-11-21 00:00:00,9,2020-01,17,500.0,500.0,500.0,500.0,32766.9,32266.9,0.0,
2024-11-21 00:00:00,10,2020-01,17,500.0,500.0,500.0,500.0,32766.9,32266.9,0.0,
2024-12-18 00:00:00,9,2020-01,18,500.0,500.0,500.0,500.0,32437.4,31937.4,0.0,
2024-12-18 00:00:00,10,2020-01,18,500.0,500.0,500.0,500.0,32437.4,31937.4,0.0,
2024-12-31 00:00:00,9,2020-01,19,500.0,500.0,500.0,500.0,32440.85,31940.85,0.0,
2024-12-31 00:00:00,10,2020-01,19,500.0,500.0,500.0,500.0,32440.85,31940.85,0.0,
2025-01-16 00:00:00,3,2020-01,8,500.0,500.0,500.0,500.0,32527.2,32027.2,0.0,
