at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2022-02-01 00:00:00,13,2020-01,1,500.0,500.0,500.0,500.0,31443.95,30943.95,0.0,
2022-02-01 00:00:00,14,2020-01,1,500.0,500.0,500.0,500.0,31443.95,30943.95,0.0,
2022-02-01 00:00:00,15,2020-01,1,500.0,500.0,500.0,500.0,31443.95,30943.95,0.0,
2022-03-01 00:00:00,13,2020-01,2,500.0,500.0,500.0,500.0,31448.15,30948.15,0.0,
2022-03-01 00:00:00,14,2020-01,2,500.0,500.0,500.0,500.0,31448.15,30948.15,0.0,
2022-03-01 00:00:00,15,2020-01,2,500.0,500.0,500.0,500.0,31448.15,30948.15,0.0,
2022-04-01 00:00:00,13,2020-01,3,500.0,500.0,500.0,500.0,31367.85,30867.85,0.0,
2022-04-01 00:00:00,14,2020-01,3,500.0,500.0,500.0,500.0,31367.85,30867.85,0.0,
2022-04-01 00:00:00,15,2020-01,3,500.0,500.0,500.0,500.0,31367.85,30867.85,0.0,
2022-05-01 00:00:00,13,2020-01,4,500.0,500.0,500.0,500.0,31439.5,30939.5,0.0,
2022-05-01 00:00:00,14,2020-01,4,500.0,500.0,500.0,500.0,31439.5,30939.5,0.0,
2022-05-01 00:00:00,15,2020-01,4,500.0,500.0,500.0,500.0,31439.5,30939.5,0.0,
2022-06-01 00:00:00,13,2020-01,5,500.0,500.0,500.0,500.0,31588.75,31088.75,0.0,
2022-06-01 00:00:00,14,2020-01,5,500.0,500.0,500.0,500.0,31588.75,31088.75,0.0,
2022-06-01 00:00:00,15,2020-01,5,500.0,500.0,500.0,500.0,31588.75,31088.75,0.0,
2022-08-01 00:00:00,13,2020-01,6,500.0,500.0,500.0,500.0,30652.15,30152.15,0.0,
2022-08-01 00:00:00,14,2020-01,6,500.0,500.0,500.0,500.0,30652.15,30152.15,0.0,
2022-08-01 00:00:00,15,2020-01,6,500.0,500.0,500.0,500.0,30652.15,30152.15,0.0,
2022-09-01 00:00:00,13,2020-01,7,500.0,500.0,500.0,500.0,30527.55,30027.55,0.0,
2022-09-01 00:00:00,14,2020-01,7,500.0,500.0,500.0,500.0,30527.55,30027.55,0.0,
2022-09-01 00:00:00,15,2020-01,7,500.0,500.0,500.0,500.0,30527.55,30027.55,0.0,
