at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-07-11 00:00:00,33,2022-05,1,500.0,500.0,500.0,500.0,32412.75,31912.75,0.0,
2024-08-20 00:00:00,16,2020-12,1,500.0,500.0,500.0,500.0,32431.0,31931.0,0.0,
2024-08-24 00:00:00,28,2021-12,1,500.0,500.0,500.0,500.0,32554.05,32054.05,0.0,
2024-08-24 00:00:00,34,2022-06,1,500.0,500.0,500.0,500.0,32496.65,31996.65,0.0,
2024-09-21 00:00:00,33,2022-05,2,500.0,500.0,500.0,500.0,32462.15,31962.15,0.0,
2024-09-27 00:00:00,28,2021-12,2,500.0,500.0,500.0,500.0,32461.1,31961.1,0.0,
2024-09-27 00:00:00,34,2022-06,2,500.0,500.0,500.0,500.0,32403.7,31903.7,0.0,
2024-10-04 00:00:00,33,2022-05,3,500.0,500.0,500.0,500.0,32432.0,31932.0,0.0,
2024-10-04 00:00:00,35,2022-07,1,500.0,500.0,500.0,500.0,32430.95,31930.95,0.0,
2024-10-09 00:00:00,28,2021-12,3,500.0,500.0,500.0,500.0,32471.5,31971.5,0.0,
2024-10-09 00:00:00,34,2022-06,3,500.0,500.0,500.0,500.0,32414.1,31914.1,0.0,
2024-11-14 00:00:00,33,2022-05,4,500.0,500.0,500.0,500.0,32423.4,31923.4,0.0,
2024-11-14 00:00:00,35,2022-07,2,500.0,500.0,500.0,500.0,32422.35,31922.35,0.0,
2024-11-23 00:00:00,5,2020-01,1,500.0,500.0,500.0,500.0,32416.5,31916.5,0.0,
2024-12-17 00:00:00,5,2020-01,2,500.0,500.0,500.0,500.0,32550.15,32050.15,0.0,
2024-12-28 00:00:00,9,2020-05,1,500.0,500.0,500.0,500.0,32401.7,31901.7,0.0,
2025-01-15 00:00:00,16,2020-12,2,500.0,500.0,500.0,500.0,32613.15,32113.15,0.0,
2025-01-16 00:00:00,9,2020-05,2,500.0,500.0,500.0,500.0,32500.85,32000.85,0.0,
2025-01-16 00:00:00,28,2021-12,4,500.0,500.0,500.0,500.0,32653.6,32153.6,0.0,
2025-01-16 00:00:00,34,2022-06,4,500.0,500.0,500.0,500.0,32596.2,32096.2,0.0,
2025-01-24 00:00:00,33,2022-05,5,500.0,500.0,500.0,500.0,32424.8,31924.8,0.0,
2025-01-24 00:00:00,35,2022-07,3,500.0,500.0,500.0,500.0,32423.75,31923.75,0.0,
2025-01-25 00:00:00,16,2020-12,3,500.0,500.0,500.0,500.0,32891.45,32391.45,0.0,
2025-01-29 00:00:00,6,2020-02,1,500.0,500.0,500.0,500.0,32538.15,32038.15,0.0,
2025-01-29 00:00:00,9,2020-05,3,500.0,500.0,500.0,500.0,32985.15,32485.15,0.0,
2025-02-04 00:00:00,22,2021-06,1,500.0,500.0,500.0,500.0,32490.05,31990.05,0.0,
2025-02-05 00:00:00,28,2021-12,5,500.0,500.0,500.0,500.0,32520.0,32020.0,0.0,
2025-02-05 00:00:00,34,2022-06,5,500.0,500.0,500.0,500.0,32462.6,31962.6,0.0,
2025-02-07 00:00:00,16,2020-12,4,500.0,500.0,500.0,500.0,33060.8,32560.8,0.0,
2025-02-14 00:00:00,6,2020-02,2,500.0,500.0,500.0,500.0,32463.15,31963.15,0.0,
2025-02-14 00:00:00,9,2020-05,4,500.0,500.0,500.0,500.0,32910.15,32410.15,0.0,
2025-02-15 00:00:00,33,2022-05,6,500.0,500.0,500.0,500.0,32404.6,31904.6,0.0,
2025-02-15 00:00:00,35,2022-07,4,500.0,500.0,500.0,500.0,32403.55,31903.55,0.0,
2025-03-08 00:00:00,16,2020-12,5,500.0,500.0,500.0,500.0,32528.1,32028.1,0.0,
2025-03-12 00:00:00,28,2021-12,6,500.0,500.0,500.0,500.0,32404.0,31904.0,0.0,
2025-03-13 00:00:00,34,2022-06,6,500.0,500.0,500.0,500.0,32505.55,32005.55,0.0,
2025-03-14 00:00:00,33,2022-05,7,500.0,500.0,500.0,500.0,32527.65,32027.65,0.0,
2025-03-14 00:00:00,35,2022-07,5,500.0,500.0,500.0,500.0,32526.6,32026.6,0.0,
2025-03-18 00:00:00,9,2020-05,5,500.0,500.0,500.0,500.0,32510.95,32010.95,0.0,
