at,kind,amount_usd,cash_after_usd
2020-01-01T00:00:00,owner_contribution,5000,5000.0
2020-01-01T00:00:00,account_purchase,-1000.0,4000.0
2020-02-01T00:00:00,owner_contribution,0,4000.0
2020-02-01T00:00:00,account_purchase,-200.0,3800.0
2020-03-01T00:00:00,owner_contribution,0,3800.0
2020-03-01T00:00:00,account_purchase,-200.0,3600.0
2020-03-13T00:00:00,account_purchase,-400.0,3200.0
2020-03-14T00:00:00,account_purchase,-1000.0,2200.0
2020-03-19T00:00:00,account_purchase,-1400.0,800.0
2020-03-20T00:00:00,account_purchase,-800.0,0.0
2020-04-01T00:00:00,owner_contribution,0,0.0
2020-05-01T00:00:00,owner_contribution,0,0.0
2020-06-01T00:00:00,owner_contribution,0,0.0
2020-07-01T00:00:00,owner_contribution,0,0.0
2020-08-01T00:00:00,owner_contribution,0,0.0
2020-09-01T00:00:00,owner_contribution,0,0.0
2020-10-01T00:00:00,owner_contribution,0,0.0
2020-11-01T00:00:00,owner_contribution,0,0.0
2020-12-01T00:00:00,owner_contribution,0,0.0
2021-01-01T00:00:00,owner_contribution,0,0.0
2021-02-01T00:00:00,owner_contribution,0,0.0
2021-03-01T00:00:00,owner_contribution,0,0.0
2021-04-01T00:00:00,owner_contribution,0,0.0
2021-05-01T00:00:00,owner_contribution,0,0.0
2021-06-01T00:00:00,owner_contribution,0,0.0
2021-07-01T00:00:00,owner_contribution,0,0.0
2021-08-01T00:00:00,owner_contribution,0,0.0
2021-09-01T00:00:00,owner_contribution,0,0.0
2021-10-01T00:00:00,owner_contribution,0,0.0
2021-11-01T00:00:00,owner_contribution,0,0.0
2021-12-01T00:00:00,owner_contribution,0,0.0
2022-01-01T00:00:00,owner_contribution,0,0.0
2022-02-01T00:00:00,owner_contribution,0,0.0
2022-02-10T00:00:00,payout_received,500.0,500.0
2022-02-10T00:00:00,payout_received,500.0,1000.0
2022-02-10T00:00:00,payout_received,500.0,1500.0
2022-02-10T00:00:00,payout_received,500.0,2000.0
2022-02-10T00:00:00,account_purchase,-600.0,1400.0
2022-02-23T00:00:00,payout_received,500.0,1900.0
2022-02-23T00:00:00,payout_received,500.0,2400.0
2022-02-23T00:00:00,payout_received,500.0,2900.0
2022-02-23T00:00:00,payout_received,500.0,3400.0
2022-03-01T00:00:00,owner_contribution,0,3400.0
2022-03-01T00:00:00,account_purchase,-200.0,3200.0
2022-03-09T00:00:00,account_purchase,-800.0,2400.0
2022-03-18T00:00:00,payout_received,500.0,2900.0
2022-03-18T00:00:00,payout_received,500.0,3400.0
2022-03-18T00:00:00,payout_received,500.0,3900.0
2022-03-18T00:00:00,payout_received,500.0,4400.0
2022-03-30T00:00:00,payout_received,500.0,4900.0
2022-03-30T00:00:00,payout_received,500.0,5400.0
2022-03-30T00:00:00,payout_received,500.0,5900.0
2022-03-30T00:00:00,payout_received,500.0,6400.0
2022-04-01T00:00:00,owner_contribution,0,6400.0
2022-04-01T00:00:00,account_purchase,-200.0,6200.0
2022-04-19T00:00:00,payout_received,500.0,6700.0
2022-04-19T00:00:00,payout_received,500.0,7200.0
2022-04-19T00:00:00,payout_received,500.0,7700.0
2022-04-19T00:00:00,payout_received,500.0,8200.0
2022-05-01T00:00:00,owner_contribution,0,8200.0
2022-05-01T00:00:00,account_purchase,-200.0,8000.0
2022-05-10T00:00:00,account_purchase,-400.0,7600.0
2022-05-13T00:00:00,account_purchase,-400.0,7200.0
2022-05-31T00:00:00,payout_received,500.0,7700.0
2022-05-31T00:00:00,payout_received,500.0,8200.0
2022-05-31T00:00:00,payout_received,500.0,8700.0
2022-05-31T00:00:00,payout_received,500.0,9200.0
2022-06-01T00:00:00,owner_contribution,0,9200.0
2022-06-01T00:00:00,account_purchase,-200.0,9000.0
2022-06-11T00:00:00,account_purchase,-600.0,8400.0
2022-06-15T00:00:00,account_purchase,-800.0,7600.0
2022-06-18T00:00:00,account_purchase,-600.0,7000.0
2022-07-01T00:00:00,owner_contribution,0,7000.0
2022-07-01T00:00:00,account_purchase,-1600.0,5400.0
2022-08-01T00:00:00,owner_contribution,0,5400.0
2022-08-01T00:00:00,account_purchase,-200.0,5200.0
