at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2023-04-14 00:00:00,7,2020-03,1,500.0,500.0,500.0,500.0,32648.25,32148.25,0.0,
2023-04-28 00:00:00,6,2020-02,1,500.0,500.0,500.0,500.0,32441.0,31941.0,0.0,
2023-04-28 00:00:00,9,2020-05,1,500.0,500.0,500.0,500.0,32431.95,31931.95,0.0,
2023-04-28 00:00:00,20,2021-04,1,500.0,500.0,500.0,500.0,32420.2,31920.2,0.0,
2023-06-13 00:00:00,7,2020-03,2,500.0,500.0,500.0,500.0,32601.4,32101.4,0.0,
2023-06-15 00:00:00,6,2020-02,2,500.0,500.0,500.0,500.0,32433.95,31933.95,0.0,
2023-06-15 00:00:00,9,2020-05,2,500.0,500.0,500.0,500.0,32424.9,31924.9,0.0,
2023-06-15 00:00:00,20,2021-04,2,500.0,500.0,500.0,500.0,32413.15,31913.15,0.0,
2023-07-19 00:00:00,7,2020-03,3,500.0,500.0,500.0,500.0,32443.9,31943.9,0.0,
2023-08-29 00:00:00,6,2020-02,3,500.0,500.0,500.0,500.0,32425.55,31925.55,0.0,
2023-08-29 00:00:00,9,2020-05,3,500.0,500.0,500.0,500.0,32416.5,31916.5,0.0,
2023-08-29 00:00:00,20,2021-04,3,500.0,500.0,500.0,500.0,32404.75,31904.75,0.0,
2023-09-02 00:00:00,7,2020-03,4,500.0,500.0,500.0,500.0,32461.55,31961.55,0.0,
2024-01-12 00:00:00,6,2020-02,4,500.0,500.0,500.0,500.0,32442.85,31942.85,0.0,
2024-01-12 00:00:00,9,2020-05,4,500.0,500.0,500.0,500.0,32433.8,31933.8,0.0,
2024-01-12 00:00:00,20,2021-04,4,500.0,500.0,500.0,500.0,32422.05,31922.05,0.0,
2024-01-20 00:00:00,7,2020-03,5,500.0,500.0,500.0,500.0,32533.8,32033.8,0.0,
