at,wanted,bought,alive_before,initial_inventory,cash_limited,capacity_limited
2023-01-01T00:00:00,5,5,0,True,False,False
2023-02-01T00:00:00,1,0,5,,True,False
2023-03-01T00:00:00,1,0,5,,True,False
2023-04-01T00:00:00,1,0,5,,True,False
2023-05-01T00:00:00,1,0,5,,True,False
2023-06-01T00:00:00,1,0,5,,True,False
2023-07-01T00:00:00,1,0,5,,True,False
2023-08-01T00:00:00,1,0,5,,True,False
2023-09-01T00:00:00,1,0,5,,True,False
2023-10-01T00:00:00,1,1,5,,False,False
2023-10-26T00:00:00,1,1,5,,False,False
2023-11-01T00:00:00,1,1,6,,False,False
2023-12-01T00:00:00,1,1,7,,False,False
2024-01-01T00:00:00,1,1,8,,False,False
2024-02-01T00:00:00,1,1,9,,False,False
2024-03-01T00:00:00,1,1,10,,False,False
2024-04-01T00:00:00,1,1,11,,False,False
2024-04-19T00:00:00,1,1,11,,False,False
2024-04-20T00:00:00,1,1,11,,False,False
2024-05-01T00:00:00,1,1,12,,False,False
2024-06-01T00:00:00,1,1,13,,False,False
2024-07-01T00:00:00,1,1,14,,False,False
2024-07-25T00:00:00,1,1,14,,False,False
2024-08-01T00:00:00,1,1,15,,False,False
2024-08-03T00:00:00,1,1,15,,False,False
2024-08-09T00:00:00,2,2,14,,False,False
2024-09-01T00:00:00,1,1,16,,False,False
2024-10-01T00:00:00,1,1,17,,False,False
2024-11-01T00:00:00,1,1,18,,False,False
2024-12-01T00:00:00,1,1,19,,False,False
2025-01-01T00:00:00,1,0,20,,False,True
2025-02-01T00:00:00,1,0,20,,False,True
2025-03-01T00:00:00,1,0,20,,False,True
2025-04-01T00:00:00,1,0,20,,False,True
2025-05-01T00:00:00,1,0,20,,False,True
2025-06-01T00:00:00,1,0,20,,False,True
2025-07-01T00:00:00,1,0,20,,False,True
2025-08-01T00:00:00,1,0,20,,False,True
2025-09-01T00:00:00,1,0,20,,False,True
2025-10-01T00:00:00,1,0,20,,False,True
2025-11-01T00:00:00,1,0,20,,False,True
2025-12-01T00:00:00,1,0,20,,False,True
2026-01-01T00:00:00,1,0,20,,False,True
2026-02-01T00:00:00,1,0,20,,False,True
2026-03-01T00:00:00,1,0,20,,False,True
2026-03-20T00:00:00,11,11,9,,False,False
2026-03-21T00:00:00,6,6,14,,False,False
2026-03-24T00:00:00,2,2,18,,False,False
2026-03-25T00:00:00,12,12,8,,False,False
2026-04-01T00:00:00,1,0,20,,False,True
2026-04-11T00:00:00,8,8,12,,False,False
2026-05-01T00:00:00,1,0,20,,False,True
2026-06-01T00:00:00,1,0,20,,False,True
2026-07-01T00:00:00,1,0,20,,False,True
