account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,False,2026-03-19 18:37:20,RR1.00:16-17:849:2425,6308,28304.5,6622.35,182.15,21500.0,21500.0,43
2,2023-01-01 00:00:00,False,2026-03-19 18:37:20,RR1.00:16-17:849:2425,6308,28304.5,6622.35,182.15,21500.0,21500.0,43
3,2023-01-01 00:00:00,False,2026-03-19 18:37:20,RR1.00:16-17:849:2425,6308,28304.5,6622.35,182.15,21500.0,21500.0,43
4,2023-01-01 00:00:00,False,2026-03-19 18:37:20,RR1.00:16-17:849:2425,6308,28304.5,6622.35,182.15,21500.0,21500.0,43
5,2023-01-01 00:00:00,False,2026-03-19 18:37:20,RR1.00:16-17:849:2425,6308,28304.5,6622.35,182.15,21500.0,21500.0,43
6,2023-02-01 00:00:00,False,2026-03-23 03:37:40,RR1.00:3-4:556:2077,6181,26648.5,6489.0,159.5,20000.0,20000.0,40
7,2023-03-01 00:00:00,False,2026-03-20 20:05:40,RR1.00:18-19:464:1976,6044,26618.5,6345.15,273.35,20000.0,20000.0,40
8,2023-04-01 00:00:00,False,2023-05-15 03:46:40,RR1.00:2-3:312:1167,251,-318.0,262.5,-580.5,0.0,0.0,0
9,2023-05-01 00:00:00,False,2023-05-15 03:46:40,RR1.00:2-3:312:1167,101,-1325.5,105.0,-1430.5,0.0,0.0,0
10,2023-06-01 00:00:00,False,2023-10-25 09:57:40,RR1.00:9-10:335:1282,807,977.0,846.3,130.7,0.0,0.0,0
11,2023-07-01 00:00:00,False,2023-10-04 08:53:40,RR1.00:7-8:369:1317,535,711.5,560.7,150.8,0.0,0.0,0
12,2023-08-01 00:00:00,False,2023-09-28 15:51:20,RR1.00:12-13:305:1204,350,466.5,366.45,100.05,0.0,0.0,0
13,2023-09-01 00:00:00,False,2023-09-28 15:51:20,RR1.00:12-13:305:1204,160,-586.5,166.95,-753.45,0.0,0.0,0
14,2023-09-29 00:00:00,False,2023-10-25 21:50:20,RR1.00:21-22:338:1218,143,-1011.0,149.1,-1160.1,0.0,0.0,0
15,2023-09-29 00:00:00,False,2023-10-25 21:50:20,RR1.00:21-22:338:1218,143,-1011.0,149.1,-1160.1,0.0,0.0,0
16,2023-10-01 00:00:00,False,2023-10-25 21:50:20,RR1.00:21-22:338:1218,136,-1072.5,141.75,-1214.25,0.0,0.0,0
17,2023-10-05 00:00:00,False,2023-10-25 21:50:20,RR1.00:21-22:338:1218,106,-1009.5,110.25,-1119.75,0.0,0.0,0
