account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,False,2026-06-03 15:30:40,RR1.00:14-15:552:2087,4369,23224.0,4586.4,137.6,18500.0,18500.0,37
2,2023-01-01 00:00:00,True,,,541,705.5,568.05,137.45,0.0,0.0,0
3,2023-01-01 00:00:00,False,2026-06-03 15:30:40,RR1.00:14-15:552:2087,2556,11321.0,2682.75,138.25,8500.0,8500.0,17
4,2023-01-01 00:00:00,True,,,3451,26869.0,3623.55,5745.45,17500.0,17500.0,35
5,2023-01-01 00:00:00,True,,,773,8448.5,811.65,5636.85,2000.0,2000.0,4
6,2023-02-01 00:00:00,True,,,2398,10154.5,2517.9,136.6,7500.0,7500.0,15
7,2023-03-01 00:00:00,True,,,805,8475.5,845.25,5630.25,2000.0,2000.0,4
8,2023-04-01 00:00:00,False,2026-05-04 09:40:20,RR1.00:5-6:434:1954,335,366.5,350.7,15.8,0.0,0.0,0
9,2023-05-01 00:00:00,False,2026-06-03 15:30:40,RR1.00:14-15:552:2087,254,-358.0,265.65,-623.65,0.0,0.0,0
10,2023-06-01 00:00:00,True,,,215,-16.0,225.75,-241.75,0.0,0.0,0
11,2023-07-01 00:00:00,True,,,469,-153.5,492.45,-645.95,0.0,0.0,0
12,2023-08-01 00:00:00,False,2026-05-04 23:30:00,RR1.00:22-23:564:2038,318,-155.5,332.85,-488.35,0.0,0.0,0
13,2023-09-01 00:00:00,False,2026-05-04 21:23:40,RR1.00:21-22:543:2030,154,-749.0,160.65,-909.65,0.0,0.0,0
14,2023-10-01 00:00:00,False,2026-06-03 15:30:40,RR1.00:14-15:552:2087,108,-1089.5,112.35,-1201.85,0.0,0.0,0
15,2023-11-01 00:00:00,False,2026-05-04 09:40:20,RR1.00:5-6:434:1954,157,-611.5,163.8,-775.3,0.0,0.0,0
16,2023-12-01 00:00:00,True,,,2450,18030.0,2572.5,5457.5,10000.0,10000.0,20
17,2024-01-01 00:00:00,False,2026-05-04 09:40:20,RR1.00:5-6:434:1954,822,1033.0,862.05,170.95,0.0,0.0,0
18,2024-02-01 00:00:00,False,2026-05-04 09:40:20,RR1.00:5-6:434:1954,1945,10712.5,2041.2,171.3,8500.0,8500.0,17
19,2024-03-01 00:00:00,True,,,254,205.0,266.7,-61.7,0.0,0.0,0
20,2024-04-01 00:00:00,False,2026-05-04 21:23:40,RR1.00:21-22:543:2030,151,-481.5,157.5,-639.0,0.0,0.0,0
21,2026-05-05 00:00:00,True,,,36,-475.0,37.8,-512.8,0.0,0.0,0
22,2026-05-05 00:00:00,True,,,41,617.5,43.05,574.45,0.0,0.0,0
23,2026-05-05 00:00:00,True,,,46,302.5,48.3,254.2,0.0,0.0,0
24,2026-05-05 00:00:00,True,,,60,1411.5,63.0,1348.5,0.0,0.0,0
25,2026-05-05 00:00:00,True,,,47,46.5,49.35,-2.85,0.0,0.0,0
26,2026-05-05 00:00:00,True,,,44,719.0,46.2,672.8,0.0,0.0,0
27,2026-05-05 00:00:00,True,,,23,-838.0,24.15,-862.15,0.0,0.0,0
28,2026-06-04 00:00:00,True,,,23,-1061.5,24.15,-1085.65,0.0,0.0,0
29,2026-06-04 00:00:00,True,,,26,49.0,27.3,21.7,0.0,0.0,0
30,2026-06-04 00:00:00,True,,,16,-1029.5,16.8,-1046.3,0.0,0.0,0
31,2026-06-04 00:00:00,True,,,15,-1068.0,15.75,-1083.75,0.0,0.0,0
