at,kind,amount_usd,cash_after_usd
2023-01-01T00:00:00,owner_contribution,5000,5000.0
2023-01-01T00:00:00,account_purchase,-1000.0,4000.0
2023-02-01T00:00:00,owner_contribution,0,4000.0
2023-02-01T00:00:00,account_purchase,-200.0,3800.0
2023-03-01T00:00:00,owner_contribution,0,3800.0
2023-03-01T00:00:00,account_purchase,-200.0,3600.0
2023-04-01T00:00:00,owner_contribution,0,3600.0
2023-04-01T00:00:00,account_purchase,-200.0,3400.0
2023-05-01T00:00:00,owner_contribution,0,3400.0
2023-05-01T00:00:00,account_purchase,-200.0,3200.0
2023-06-01T00:00:00,owner_contribution,0,3200.0
2023-06-01T00:00:00,account_purchase,-200.0,3000.0
2023-06-06T00:00:00,account_purchase,-200.0,2800.0
2023-07-01T00:00:00,owner_contribution,0,2800.0
2023-07-01T00:00:00,account_purchase,-200.0,2600.0
2023-08-01T00:00:00,owner_contribution,0,2600.0
2023-08-01T00:00:00,account_purchase,-200.0,2400.0
2023-09-01T00:00:00,owner_contribution,0,2400.0
2023-09-01T00:00:00,account_purchase,-200.0,2200.0
2023-10-01T00:00:00,owner_contribution,0,2200.0
2023-10-01T00:00:00,account_purchase,-200.0,2000.0
2023-10-31T00:00:00,account_purchase,-200.0,1800.0
2023-11-01T00:00:00,owner_contribution,0,1800.0
2023-11-01T00:00:00,account_purchase,-200.0,1600.0
2023-12-01T00:00:00,owner_contribution,0,1600.0
2023-12-01T00:00:00,account_purchase,-200.0,1400.0
2024-01-01T00:00:00,owner_contribution,0,1400.0
2024-01-01T00:00:00,account_purchase,-200.0,1200.0
2024-02-01T00:00:00,owner_contribution,0,1200.0
2024-02-01T00:00:00,account_purchase,-200.0,1000.0
2024-02-09T00:00:00,account_purchase,-200.0,800.0
2024-03-01T00:00:00,owner_contribution,0,800.0
2024-03-01T00:00:00,account_purchase,-200.0,600.0
2024-04-01T00:00:00,owner_contribution,0,600.0
2024-04-01T00:00:00,account_purchase,-200.0,400.0
2024-04-25T00:00:00,account_purchase,-200.0,200.0
2024-05-01T00:00:00,owner_contribution,0,200.0
2024-06-01T00:00:00,owner_contribution,0,200.0
2024-07-01T00:00:00,owner_contribution,0,200.0
2024-08-01T00:00:00,owner_contribution,0,200.0
2024-09-01T00:00:00,owner_contribution,0,200.0
2024-10-01T00:00:00,owner_contribution,0,200.0
2024-10-23T00:00:00,account_purchase,-200.0,0.0
2024-11-01T00:00:00,owner_contribution,0,0.0
2024-11-07T00:00:00,payout_received,500.0,500.0
2024-11-07T00:00:00,account_purchase,-400.0,100.0
2024-11-20T00:00:00,payout_received,500.0,600.0
2024-11-21T00:00:00,payout_received,500.0,1100.0
2024-12-01T00:00:00,owner_contribution,0,1100.0
2024-12-14T00:00:00,payout_received,500.0,1600.0
2024-12-17T00:00:00,payout_received,500.0,2100.0
2024-12-17T00:00:00,payout_received,500.0,2600.0
2025-01-01T00:00:00,owner_contribution,0,2600.0
2025-01-16T00:00:00,payout_received,500.0,3100.0
2025-01-24T00:00:00,payout_received,500.0,3600.0
2025-02-01T00:00:00,owner_contribution,0,3600.0
2025-02-05T00:00:00,payout_received,500.0,4100.0
2025-02-14T00:00:00,payout_received,500.0,4600.0
2025-02-27T00:00:00,payout_received,500.0,5100.0
2025-03-01T00:00:00,owner_contribution,0,5100.0
2025-03-08T00:00:00,payout_received,500.0,5600.0
2025-03-08T00:00:00,account_purchase,-600.0,5000.0
2025-03-19T00:00:00,payout_received,500.0,5500.0
2025-03-20T00:00:00,payout_received,500.0,6000.0
2025-04-01T00:00:00,owner_contribution,0,6000.0
2025-04-03T00:00:00,payout_received,500.0,6500.0
2025-04-08T00:00:00,account_purchase,-600.0,5900.0
2025-04-12T00:00:00,payout_received,500.0,6400.0
2025-04-12T00:00:00,payout_received,500.0,6900.0
2025-04-16T00:00:00,payout_received,500.0,7400.0
2025-04-22T00:00:00,payout_received,500.0,7900.0
2025-04-24T00:00:00,payout_received,500.0,8400.0
2025-05-01T00:00:00,owner_contribution,0,8400.0
2025-05-14T00:00:00,payout_received,500.0,8900.0
2025-06-01T00:00:00,owner_contribution,0,8900.0
2025-06-13T00:00:00,payout_received,500.0,9400.0
2025-06-17T00:00:00,payout_received,500.0,9900.0
2025-06-17T00:00:00,payout_received,500.0,10400.0
2025-07-01T00:00:00,owner_contribution,0,10400.0
2025-07-22T00:00:00,payout_received,500.0,10900.0
2025-07-22T00:00:00,payout_received,500.0,11400.0
2025-07-22T00:00:00,payout_received,500.0,11900.0
2025-08-01T00:00:00,owner_contribution,0,11900.0
2025-09-01T00:00:00,owner_contribution,0,11900.0
2025-09-19T00:00:00,account_purchase,-600.0,11300.0
2025-10-01T00:00:00,owner_contribution,0,11300.0
2025-10-09T00:00:00,payout_received,500.0,11800.0
2025-10-10T00:00:00,payout_received,500.0,12300.0
2025-10-14T00:00:00,payout_received,500.0,12800.0
2025-10-15T00:00:00,payout_received,500.0,13300.0
2025-10-24T00:00:00,payout_received,500.0,13800.0
2025-10-24T00:00:00,payout_received,500.0,14300.0
2025-10-25T00:00:00,payout_received,500.0,14800.0
2025-10-28T00:00:00,payout_received,500.0,15300.0
2025-10-30T00:00:00,payout_received,500.0,15800.0
2025-11-01T00:00:00,owner_contribution,0,15800.0
2025-11-06T00:00:00,payout_received,500.0,16300.0
2025-11-06T00:00:00,payout_received,500.0,16800.0
2025-11-06T00:00:00,payout_received,500.0,17300.0
