at,wanted,bought,alive_before,initial_inventory,cash_limited,capacity_limited
2023-01-01T00:00:00,5,5,0,True,False,False
2023-02-01T00:00:00,1,1,5,,False,False
2023-03-01T00:00:00,1,1,6,,False,False
2023-04-01T00:00:00,1,1,7,,False,False
2023-05-01T00:00:00,1,1,8,,False,False
2023-06-01T00:00:00,1,1,9,,False,False
2023-06-06T00:00:00,1,1,9,,False,False
2023-07-01T00:00:00,1,1,10,,False,False
2023-08-01T00:00:00,1,1,11,,False,False
2023-09-01T00:00:00,1,1,12,,False,False
2023-10-01T00:00:00,1,1,13,,False,False
2023-10-31T00:00:00,1,1,13,,False,False
2023-11-01T00:00:00,1,1,14,,False,False
2023-12-01T00:00:00,1,1,15,,False,False
2024-01-01T00:00:00,1,1,16,,False,False
2024-02-01T00:00:00,1,1,17,,False,False
2024-02-09T00:00:00,1,1,17,,False,False
2024-03-01T00:00:00,1,1,18,,False,False
2024-04-01T00:00:00,1,1,19,,False,False
2024-04-25T00:00:00,1,1,19,,False,False
2024-05-01T00:00:00,1,0,20,,False,True
2024-06-01T00:00:00,1,0,20,,False,True
2024-07-01T00:00:00,1,0,20,,False,True
2024-08-01T00:00:00,1,0,20,,False,True
2024-09-01T00:00:00,1,0,20,,False,True
2024-10-01T00:00:00,1,0,20,,False,True
2024-10-23T00:00:00,2,1,18,,True,False
2024-10-24T00:00:00,1,0,19,,True,False
2024-10-25T00:00:00,1,0,19,,True,False
2024-10-26T00:00:00,1,0,19,,True,False
2024-10-27T00:00:00,1,0,19,,True,False
2024-10-28T00:00:00,1,0,19,,True,False
2024-10-29T00:00:00,1,0,19,,True,False
2024-10-30T00:00:00,2,0,18,,True,False
2024-10-31T00:00:00,2,0,18,,True,False
2024-11-01T00:00:00,3,0,18,,True,True
2024-11-02T00:00:00,2,0,18,,True,False
2024-11-03T00:00:00,2,0,18,,True,False
2024-11-04T00:00:00,2,0,18,,True,False
2024-11-05T00:00:00,2,0,18,,True,False
2024-11-06T00:00:00,2,0,18,,True,False
2024-11-07T00:00:00,2,2,18,,False,False
2024-12-01T00:00:00,1,0,20,,False,True
2025-01-01T00:00:00,1,0,20,,False,True
2025-02-01T00:00:00,1,0,20,,False,True
2025-03-01T00:00:00,1,0,20,,False,True
2025-03-08T00:00:00,3,3,17,,False,False
2025-04-01T00:00:00,1,0,20,,False,True
2025-04-08T00:00:00,3,3,17,,False,False
2025-05-01T00:00:00,1,0,20,,False,True
2025-06-01T00:00:00,1,0,20,,False,True
2025-07-01T00:00:00,1,0,20,,False,True
2025-08-01T00:00:00,1,0,20,,False,True
2025-09-01T00:00:00,1,0,20,,False,True
2025-09-19T00:00:00,3,3,17,,False,False
2025-10-01T00:00:00,1,0,20,,False,True
2025-11-01T00:00:00,1,0,20,,False,True
2025-12-01T00:00:00,1,0,20,,False,True
2026-01-01T00:00:00,1,0,20,,False,True
2026-02-01T00:00:00,1,0,20,,False,True
2026-02-06T00:00:00,1,1,19,,False,False
2026-03-01T00:00:00,1,0,20,,False,True
2026-03-11T00:00:00,1,1,19,,False,False
2026-03-14T00:00:00,1,1,19,,False,False
2026-03-17T00:00:00,1,1,19,,False,False
2026-04-01T00:00:00,1,0,20,,False,True
2026-05-01T00:00:00,1,0,20,,False,True
2026-05-02T00:00:00,1,1,19,,False,False
2026-06-01T00:00:00,1,0,20,,False,True
2026-06-02T00:00:00,1,1,19,,False,False
2026-06-10T00:00:00,1,1,19,,False,False
2026-06-18T00:00:00,1,1,19,,False,False
2026-06-24T00:00:00,1,1,19,,False,False
2026-07-01T00:00:00,1,0,20,,False,True
2026-07-03T00:00:00,1,1,19,,False,False
