account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,False,2023-06-05 17:00:00,RR1.00:15-16:368:1251,119,-1306.5,123.9,-1430.4,0.0,0.0,0
2,2023-01-01 00:00:00,True,,,1273,7367.5,1336.65,4530.85,1500.0,1500.0,1
3,2023-01-01 00:00:00,False,2024-02-08 04:00:00,RR1.00:3-4:354:1339,355,484.0,371.7,112.3,0.0,0.0,0
4,2023-01-01 00:00:00,False,2024-04-24 17:42:40,RR1.00:16-17:601:1707,424,644.0,444.15,199.85,0.0,0.0,0
5,2023-01-01 00:00:00,True,,,1276,10328.0,1339.8,5488.2,3500.0,3500.0,5
6,2023-02-01 00:00:00,True,,,1249,12032.5,1311.45,6721.05,4000.0,4000.0,8
7,2023-03-01 00:00:00,True,,,1225,2907.5,1286.25,1621.25,0.0,0.0,0
8,2023-04-01 00:00:00,True,,,1197,3300.0,1256.85,2043.15,0.0,0.0,0
9,2023-05-01 00:00:00,False,2026-03-31 13:43:40,RR1.00:10-11:591:2145,1062,1314.5,1114.05,200.45,0.0,0.0,0
10,2023-06-01 00:00:00,True,,,1155,2589.0,1212.75,1376.25,0.0,0.0,0
11,2023-06-06 00:00:00,True,,,1149,4922.0,1206.45,3715.55,0.0,0.0,0
12,2023-07-01 00:00:00,False,2023-10-30 18:43:40,RR1.00:17-18:222:1147,109,-1007.0,113.4,-1120.4,0.0,0.0,0
13,2023-08-01 00:00:00,True,,,1094,5544.0,1148.7,4395.3,0.0,0.0,0
14,2023-09-01 00:00:00,True,,,1065,6766.5,1118.25,100.01,5548.24,5548.24,7
15,2023-10-01 00:00:00,True,,,1037,8469.5,1088.85,100.01,7280.64,7280.64,10
16,2023-10-31 00:00:00,True,,,1014,6130.0,1064.7,100.01,4965.29,4965.29,7
17,2023-11-01 00:00:00,False,2026-03-23 08:33:40,RR1.00:4-5:531:2061,891,1143.5,934.5,209.0,0.0,0.0,0
18,2023-12-01 00:00:00,False,2024-10-29 15:31:40,RR1.00:15-16:534:1747,341,460.0,357.0,103.0,0.0,0.0,0
19,2024-01-01 00:00:00,False,2024-10-22 15:43:40,RR1.00:13-14:438:1633,305,-34.0,319.2,-353.2,0.0,0.0,0
20,2024-02-01 00:00:00,False,2024-10-22 15:43:40,RR1.00:13-14:438:1633,276,164.0,288.75,-124.75,0.0,0.0,0
21,2024-02-09 00:00:00,False,2026-03-19 15:02:40,RR1.00:12-13:513:2026,795,1103.5,833.7,269.8,0.0,0.0,0
22,2024-03-01 00:00:00,False,2025-04-07 23:30:00,RR1.00:20-21:416:1583,398,571.0,416.85,154.15,0.0,0.0,0
23,2024-04-01 00:00:00,False,2025-04-07 09:18:40,RR1.00:9-10:466:1760,376,552.5,393.75,158.75,0.0,0.0,0
24,2024-04-25 00:00:00,False,2026-03-13 22:40:40,RR1.00:21-22:536:1988,721,907.0,756.0,151.0,0.0,0.0,0
25,2024-10-23 00:00:00,False,2025-03-14 08:34:40,RR1.00:4-5:443:1731,124,-118.0,129.15,-247.15,0.0,0.0,0
26,2025-04-10 00:00:00,False,2026-05-01 23:20:40,RR1.00:22-23:563:2036,422,670.0,442.05,227.95,0.0,0.0,0
27,2025-04-10 00:00:00,False,2025-06-19 15:43:40,RR1.00:11-12:406:1744,76,-435.0,78.75,-513.75,0.0,0.0,0
28,2025-04-10 00:00:00,False,2025-06-19 15:43:40,RR1.00:11-12:406:1744,76,-435.0,78.75,-513.75,0.0,0.0,0
29,2025-04-10 00:00:00,False,2025-06-19 15:43:40,RR1.00:11-12:406:1744,76,-435.0,78.75,-513.75,0.0,0.0,0
30,2025-04-10 00:00:00,False,2025-06-19 15:43:40,RR1.00:11-12:406:1744,76,-435.0,78.75,-513.75,0.0,0.0,0
31,2025-06-20 00:00:00,True,,,422,3442.0,443.1,1498.9,1500.0,1500.0,1
32,2025-06-20 00:00:00,True,,,422,3510.0,443.1,1566.9,1500.0,1500.0,1
33,2025-06-20 00:00:00,True,,,422,3762.0,443.1,1818.9,1500.0,1500.0,1
34,2025-06-20 00:00:00,True,,,423,5309.0,444.15,3364.85,1500.0,1500.0,1
35,2026-03-14 00:00:00,True,,,130,4265.5,136.5,2629.0,1500.0,1500.0,1
36,2026-03-20 00:00:00,True,,,124,3340.0,130.2,3209.8,0.0,0.0,0
37,2026-03-24 00:00:00,True,,,122,3598.5,128.1,1970.4,1500.0,1500.0,1
38,2026-04-01 00:00:00,True,,,114,3345.5,119.7,3225.8,0.0,0.0,0
39,2026-05-02 00:00:00,True,,,79,1416.5,82.95,1333.55,0.0,0.0,0
