at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-03-21 00:00:00,1,2023-01,1,500.0,500.0,500.0,500.0,32476.45,31976.45,0.0,
2024-03-21 00:00:00,2,2023-01,1,500.0,500.0,500.0,500.0,32476.45,31976.45,0.0,
2024-03-21 00:00:00,3,2023-01,1,500.0,500.0,500.0,500.0,32476.45,31976.45,0.0,
2024-03-21 00:00:00,4,2023-01,1,500.0,500.0,500.0,500.0,32476.45,31976.45,0.0,
2024-03-21 00:00:00,5,2023-01,1,500.0,500.0,500.0,500.0,32476.45,31976.45,0.0,
2024-04-05 00:00:00,1,2023-01,2,500.0,500.0,500.0,500.0,33090.1,32590.1,0.0,
2024-04-05 00:00:00,2,2023-01,2,500.0,500.0,500.0,500.0,33090.1,32590.1,0.0,
2024-04-05 00:00:00,3,2023-01,2,500.0,500.0,500.0,500.0,33090.1,32590.1,0.0,
2024-04-05 00:00:00,4,2023-01,2,500.0,500.0,500.0,500.0,33090.1,32590.1,0.0,
2024-04-05 00:00:00,5,2023-01,2,500.0,500.0,500.0,500.0,33090.1,32590.1,0.0,
2024-04-05 00:00:00,6,2023-02,1,500.0,500.0,500.0,500.0,32562.4,32062.4,0.0,
2024-04-05 00:00:00,7,2023-03,1,500.0,500.0,500.0,500.0,32484.2,31984.2,0.0,
2024-05-07 00:00:00,1,2023-01,3,500.0,500.0,500.0,500.0,32633.3,32133.3,0.0,
2024-05-07 00:00:00,2,2023-01,3,500.0,500.0,500.0,500.0,32633.3,32133.3,0.0,
2024-05-07 00:00:00,3,2023-01,3,500.0,500.0,500.0,500.0,32633.3,32133.3,0.0,
2024-05-07 00:00:00,4,2023-01,3,500.0,500.0,500.0,500.0,32633.3,32133.3,0.0,
2024-05-07 00:00:00,5,2023-01,3,500.0,500.0,500.0,500.0,32633.3,32133.3,0.0,
2024-05-28 00:00:00,1,2023-01,4,500.0,500.0,500.0,500.0,32402.7,31902.7,0.0,
2024-05-28 00:00:00,2,2023-01,4,500.0,500.0,500.0,500.0,32402.7,31902.7,0.0,
2024-05-28 00:00:00,3,2023-01,4,500.0,500.0,500.0,500.0,32402.7,31902.7,0.0,
2024-05-28 00:00:00,4,2023-01,4,500.0,500.0,500.0,500.0,32402.7,31902.7,0.0,
2024-05-28 00:00:00,5,2023-01,4,500.0,500.0,500.0,500.0,32402.7,31902.7,0.0,
2024-05-29 00:00:00,6,2023-02,2,500.0,500.0,500.0,500.0,32545.7,32045.7,0.0,
2024-05-29 00:00:00,7,2023-03,2,500.0,500.0,500.0,500.0,32467.5,31967.5,0.0,
2024-06-12 00:00:00,1,2023-01,5,500.0,500.0,500.0,500.0,33006.3,32506.3,0.0,
2024-06-12 00:00:00,2,2023-01,5,500.0,500.0,500.0,500.0,33006.3,32506.3,0.0,
2024-06-12 00:00:00,3,2023-01,5,500.0,500.0,500.0,500.0,33006.3,32506.3,0.0,
2024-06-12 00:00:00,4,2023-01,5,500.0,500.0,500.0,500.0,33006.3,32506.3,0.0,
2024-06-12 00:00:00,5,2023-01,5,500.0,500.0,500.0,500.0,33006.3,32506.3,0.0,
2024-06-13 00:00:00,6,2023-02,3,500.0,500.0,500.0,500.0,33565.65,33065.65,0.0,
2024-06-13 00:00:00,7,2023-03,3,500.0,500.0,500.0,500.0,33487.45,32987.45,0.0,
2024-06-13 00:00:00,20,2023-10,1,500.0,500.0,500.0,500.0,32472.2,31972.2,0.0,
2024-06-13 00:00:00,21,2023-10,1,500.0,500.0,500.0,500.0,32472.2,31972.2,0.0,
2024-06-13 00:00:00,22,2023-10,1,500.0,500.0,500.0,500.0,32472.2,31972.2,0.0,
2024-06-13 00:00:00,23,2023-10,1,500.0,500.0,500.0,500.0,32472.2,31972.2,0.0,
2024-06-13 00:00:00,24,2023-10,1,500.0,500.0,500.0,500.0,32472.2,31972.2,0.0,
2024-06-13 00:00:00,25,2023-10,1,500.0,500.0,500.0,500.0,32568.0,32068.0,0.0,
2024-06-26 00:00:00,1,2023-01,6,500.0,500.0,500.0,500.0,33343.8,32843.8,0.0,
2024-06-26 00:00:00,2,2023-01,6,500.0,500.0,500.0,500.0,33343.8,32843.8,0.0,
2024-06-26 00:00:00,3,2023-01,6,500.0,500.0,500.0,500.0,33343.8,32843.8,0.0,
2024-06-26 00:00:00,4,2023-01,6,500.0,500.0,500.0,500.0,33343.8,32843.8,0.0,
2024-06-26 00:00:00,5,2023-01,6,500.0,500.0,500.0,500.0,33343.8,32843.8,0.0,
2024-06-28 00:00:00,6,2023-02,4,500.0,500.0,500.0,500.0,33524.05,33024.05,0.0,
2024-06-28 00:00:00,7,2023-03,4,500.0,500.0,500.0,500.0,33445.85,32945.85,0.0,
2024-06-28 00:00:00,20,2023-10,2,500.0,500.0,500.0,500.0,32430.6,31930.6,0.0,
2024-06-28 00:00:00,21,2023-10,2,500.0,500.0,500.0,500.0,32430.6,31930.6,0.0,
2024-06-28 00:00:00,22,2023-10,2,500.0,500.0,500.0,500.0,32430.6,31930.6,0.0,
2024-06-28 00:00:00,23,2023-10,2,500.0,500.0,500.0,500.0,32430.6,31930.6,0.0,
2024-06-28 00:00:00,24,2023-10,2,500.0,500.0,500.0,500.0,32430.6,31930.6,0.0,
2024-06-28 00:00:00,25,2023-10,2,500.0,500.0,500.0,500.0,32526.4,32026.4,0.0,
2024-07-06 00:00:00,1,2023-01,7,500.0,500.0,500.0,500.0,33755.25,33255.25,0.0,
2024-07-06 00:00:00,2,2023-01,7,500.0,500.0,500.0,500.0,33755.25,33255.25,0.0,
2024-07-06 00:00:00,3,2023-01,7,500.0,500.0,500.0,500.0,33755.25,33255.25,0.0,
2024-07-06 00:00:00,4,2023-01,7,500.0,500.0,500.0,500.0,33755.25,33255.25,0.0,
2024-07-06 00:00:00,5,2023-01,7,500.0,500.0,500.0,500.0,33755.25,33255.25,0.0,
2024-07-10 00:00:00,6,2023-02,5,500.0,500.0,500.0,500.0,33847.25,33347.25,0.0,
2024-07-10 00:00:00,7,2023-03,5,500.0,500.0,500.0,500.0,33769.05,33269.05,0.0,
2024-07-10 00:00:00,20,2023-10,3,500.0,500.0,500.0,500.0,32753.8,32253.8,0.0,
2024-07-10 00:00:00,21,2023-10,3,500.0,500.0,500.0,500.0,32753.8,32253.8,0.0,
2024-07-10 00:00:00,22,2023-10,3,500.0,500.0,500.0,500.0,32753.8,32253.8,0.0,
2024-07-10 00:00:00,23,2023-10,3,500.0,500.0,500.0,500.0,32753.8,32253.8,0.0,
2024-07-10 00:00:00,24,2023-10,3,500.0,500.0,500.0,500.0,32753.8,32253.8,0.0,
2024-07-10 00:00:00,25,2023-10,3,500.0,500.0,500.0,500.0,32849.6,32349.6,0.0,
2024-07-23 00:00:00,1,2023-01,8,500.0,500.0,500.0,500.0,33157.55,32657.55,0.0,
2024-07-23 00:00:00,2,2023-01,8,500.0,500.0,500.0,500.0,33157.55,32657.55,0.0,
2024-07-23 00:00:00,3,2023-01,8,500.0,500.0,500.0,500.0,33157.55,32657.55,0.0,
2024-07-23 00:00:00,4,2023-01,8,500.0,500.0,500.0,500.0,33157.55,32657.55,0.0,
2024-07-23 00:00:00,5,2023-01,8,500.0,500.0,500.0,500.0,33157.55,32657.55,0.0,
2024-08-09 00:00:00,6,2023-02,6,500.0,500.0,500.0,500.0,32731.4,32231.4,0.0,
2024-08-09 00:00:00,7,2023-03,6,500.0,500.0,500.0,500.0,32653.2,32153.2,0.0,
2024-08-10 00:00:00,1,2023-01,9,500.0,500.0,500.0,500.0,32888.35,32388.35,0.0,
2024-08-10 00:00:00,2,2023-01,9,500.0,500.0,500.0,500.0,32888.35,32388.35,0.0,
2024-08-10 00:00:00,3,2023-01,9,500.0,500.0,500.0,500.0,32888.35,32388.35,0.0,
2024-08-10 00:00:00,4,2023-01,9,500.0,500.0,500.0,500.0,32888.35,32388.35,0.0,
2024-08-10 00:00:00,5,2023-01,9,500.0,500.0,500.0,500.0,32888.35,32388.35,0.0,
2024-08-15 00:00:00,20,2023-10,4,500.0,500.0,500.0,500.0,32485.85,31985.85,0.0,
2024-08-15 00:00:00,21,2023-10,4,500.0,500.0,500.0,500.0,32485.85,31985.85,0.0,
2024-08-15 00:00:00,22,2023-10,4,500.0,500.0,500.0,500.0,32485.85,31985.85,0.0,
2024-08-15 00:00:00,23,2023-10,4,500.0,500.0,500.0,500.0,32485.85,31985.85,0.0,
2024-08-15 00:00:00,24,2023-10,4,500.0,500.0,500.0,500.0,32485.85,31985.85,0.0,
