at,kind,amount_usd,cash_after_usd
2023-01-01T00:00:00,owner_contribution,5000,5000.0
2023-01-01T00:00:00,account_purchase,-1000.0,4000.0
2023-02-01T00:00:00,owner_contribution,200,4200.0
2023-02-01T00:00:00,account_purchase,-200.0,4000.0
2023-03-01T00:00:00,owner_contribution,200,4200.0
2023-03-01T00:00:00,account_purchase,-200.0,4000.0
2023-04-01T00:00:00,owner_contribution,200,4200.0
2023-04-01T00:00:00,account_purchase,-200.0,4000.0
2023-05-01T00:00:00,owner_contribution,200,4200.0
2023-05-01T00:00:00,account_purchase,-200.0,4000.0
2023-06-01T00:00:00,owner_contribution,200,4200.0
2023-06-01T00:00:00,account_purchase,-200.0,4000.0
2023-07-01T00:00:00,owner_contribution,200,4200.0
2023-07-01T00:00:00,account_purchase,-200.0,4000.0
2023-08-01T00:00:00,owner_contribution,200,4200.0
2023-08-01T00:00:00,account_purchase,-200.0,4000.0
2023-09-01T00:00:00,owner_contribution,200,4200.0
2023-09-01T00:00:00,account_purchase,-200.0,4000.0
2023-10-01T00:00:00,owner_contribution,200,4200.0
2023-10-01T00:00:00,account_purchase,-200.0,4000.0
2023-11-01T00:00:00,owner_contribution,200,4200.0
2023-11-01T00:00:00,account_purchase,-200.0,4000.0
2023-12-01T00:00:00,owner_contribution,200,4200.0
2023-12-01T00:00:00,account_purchase,-200.0,4000.0
2024-01-01T00:00:00,owner_contribution,200,4200.0
2024-01-01T00:00:00,account_purchase,-200.0,4000.0
2024-02-01T00:00:00,owner_contribution,200,4200.0
2024-02-01T00:00:00,account_purchase,-200.0,4000.0
2024-03-01T00:00:00,owner_contribution,200,4200.0
2024-03-01T00:00:00,account_purchase,-200.0,4000.0
2024-04-01T00:00:00,owner_contribution,200,4200.0
2024-04-01T00:00:00,account_purchase,-200.0,4000.0
2024-05-01T00:00:00,owner_contribution,200,4200.0
2024-06-01T00:00:00,owner_contribution,200,4400.0
2024-06-13T00:00:00,payout_received,500.0,4900.0
2024-06-27T00:00:00,payout_received,500.0,5400.0
2024-07-01T00:00:00,owner_contribution,200,5600.0
2024-07-03T00:00:00,payout_received,500.0,6100.0
2024-07-09T00:00:00,payout_received,500.0,6600.0
2024-07-19T00:00:00,payout_received,500.0,7100.0
2024-08-01T00:00:00,owner_contribution,200,7300.0
2024-08-15T00:00:00,payout_received,500.0,7800.0
2024-08-17T00:00:00,payout_received,500.0,8300.0
2024-08-17T00:00:00,payout_received,500.0,8800.0
2024-08-28T00:00:00,payout_received,500.0,9300.0
2024-09-01T00:00:00,owner_contribution,200,9500.0
2024-09-13T00:00:00,payout_received,500.0,10000.0
2024-09-13T00:00:00,payout_received,500.0,10500.0
2024-09-13T00:00:00,payout_received,500.0,11000.0
2024-09-20T00:00:00,payout_received,500.0,11500.0
2024-09-27T00:00:00,payout_received,500.0,12000.0
2024-09-27T00:00:00,payout_received,500.0,12500.0
2024-09-27T00:00:00,payout_received,500.0,13000.0
2024-10-01T00:00:00,owner_contribution,200,13200.0
2024-10-05T00:00:00,payout_received,500.0,13700.0
2024-10-15T00:00:00,payout_received,500.0,14200.0
2024-10-15T00:00:00,payout_received,500.0,14700.0
2024-10-15T00:00:00,payout_received,500.0,15200.0
2024-11-01T00:00:00,owner_contribution,200,15400.0
2024-11-06T00:00:00,payout_received,500.0,15900.0
2024-11-07T00:00:00,payout_received,500.0,16400.0
2024-11-07T00:00:00,payout_received,500.0,16900.0
2024-11-07T00:00:00,payout_received,500.0,17400.0
2024-11-20T00:00:00,payout_received,500.0,17900.0
2024-11-21T00:00:00,payout_received,500.0,18400.0
2024-11-21T00:00:00,payout_received,500.0,18900.0
2024-11-21T00:00:00,payout_received,500.0,19400.0
2024-12-01T00:00:00,owner_contribution,200,19600.0
2024-12-12T00:00:00,payout_received,500.0,20100.0
2024-12-17T00:00:00,payout_received,500.0,20600.0
2024-12-17T00:00:00,payout_received,500.0,21100.0
2024-12-17T00:00:00,payout_received,500.0,21600.0
2025-01-01T00:00:00,owner_contribution,200,21800.0
2025-01-07T00:00:00,payout_received,500.0,22300.0
2025-01-16T00:00:00,payout_received,500.0,22800.0
2025-01-16T00:00:00,payout_received,500.0,23300.0
2025-01-16T00:00:00,payout_received,500.0,23800.0
2025-01-22T00:00:00,payout_received,500.0,24300.0
2025-01-28T00:00:00,payout_received,500.0,24800.0
2025-01-28T00:00:00,payout_received,500.0,25300.0
2025-01-28T00:00:00,payout_received,500.0,25800.0
2025-02-01T00:00:00,payout_received,500.0,26300.0
2025-02-01T00:00:00,owner_contribution,200,26500.0
2025-02-07T00:00:00,payout_received,500.0,27000.0
2025-02-07T00:00:00,payout_received,500.0,27500.0
2025-02-07T00:00:00,payout_received,500.0,28000.0
2025-02-14T00:00:00,payout_received,500.0,28500.0
2025-02-22T00:00:00,payout_received,500.0,29000.0
2025-02-22T00:00:00,payout_received,500.0,29500.0
2025-02-22T00:00:00,payout_received,500.0,30000.0
2025-03-01T00:00:00,owner_contribution,200,30200.0
2025-03-25T00:00:00,payout_received,500.0,30700.0
2025-04-01T00:00:00,owner_contribution,200,30900.0
2025-04-10T00:00:00,payout_received,500.0,31400.0
2025-04-10T00:00:00,payout_received,500.0,31900.0
2025-04-10T00:00:00,payout_received,500.0,32400.0
2025-04-12T00:00:00,payout_received,500.0,32900.0
2025-04-23T00:00:00,payout_received,500.0,33400.0
2025-04-23T00:00:00,payout_received,500.0,33900.0
