account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,False,2026-05-04 21:23:40,RR1.00:21-22:543:2030,2381,11151.0,2499.0,152.0,8500.0,8500.0,17
2,2023-01-01 00:00:00,False,2025-12-19 23:30:00,RR1.00:23-24:104:806,281,-322.5,294.0,-616.5,0.0,0.0,0
3,2023-01-01 00:00:00,True,,,2096,10121.5,2200.8,5920.7,2000.0,2000.0,4
4,2023-01-01 00:00:00,False,2025-12-19 22:52:40,RR1.00:22-23:530:1909,507,657.5,531.3,126.2,0.0,0.0,0
5,2023-01-01 00:00:00,True,,,3001,19987.5,3151.05,5836.45,11000.0,11000.0,22
6,2023-01-01 00:00:00,True,,,3557,14341.5,3734.85,106.65,10500.0,10500.0,21
7,2023-01-01 00:00:00,False,2026-05-04 21:23:40,RR1.00:21-22:543:2030,4603,24486.5,4832.1,154.4,19500.0,19500.0,39
8,2023-01-01 00:00:00,True,,,4577,24879.5,4805.85,573.65,19500.0,19500.0,39
9,2023-01-01 00:00:00,False,2025-12-19 09:30:00,RR1.00:5-6:412:1839,300,366.5,313.95,52.55,0.0,0.0,0
10,2023-01-01 00:00:00,True,,,3895,22458.5,4089.75,5868.75,12500.0,12500.0,25
11,2023-01-01 00:00:00,True,,,4622,27754.0,4853.1,100.01,22800.89,22800.89,38
12,2023-01-01 00:00:00,False,2026-05-04 21:23:40,RR1.00:21-22:543:2030,1357,1597.5,1423.8,173.7,0.0,0.0,0
13,2023-01-01 00:00:00,True,,,2961,20052.5,3109.05,5443.45,11500.0,11500.0,23
14,2023-01-01 00:00:00,True,,,2026,9964.0,2127.3,5836.7,2000.0,2000.0,4
15,2023-01-01 00:00:00,True,,,3681,17434.5,3865.05,3069.45,10500.0,10500.0,21
16,2023-01-01 00:00:00,False,2026-05-04 23:30:00,RR1.00:22-23:564:2038,502,455.0,526.05,-71.05,0.0,0.0,0
17,2023-01-01 00:00:00,False,2026-06-03 15:30:40,RR1.00:14-15:552:2087,1425,1609.5,1495.2,114.3,0.0,0.0,0
18,2023-01-01 00:00:00,False,2026-05-04 21:23:40,RR1.00:21-22:543:2030,4436,23319.5,4656.75,162.75,18500.0,18500.0,37
19,2023-01-01 00:00:00,True,,,3841,22128.5,4033.05,6095.45,12000.0,12000.0,24
20,2023-01-01 00:00:00,False,2026-05-04 21:23:40,RR1.00:21-22:543:2030,2175,10963.5,2282.7,180.8,8500.0,8500.0,17
