at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-02-07 00:00:00,19,2023-01,1,500.0,500.0,500.0,500.0,30523.95,30023.95,0.0,
2024-02-07 00:00:00,20,2023-01,1,500.0,500.0,500.0,500.0,30523.95,30023.95,0.0,
2024-02-08 00:00:00,15,2023-01,1,500.0,500.0,500.0,500.0,30545.05,30045.05,0.0,
2024-02-08 00:00:00,16,2023-01,1,500.0,500.0,500.0,500.0,30545.05,30045.05,0.0,
2024-02-10 00:00:00,17,2023-01,1,500.0,500.0,500.0,500.0,30536.7,30036.7,0.0,
2024-02-10 00:00:00,18,2023-01,1,500.0,500.0,500.0,500.0,30536.7,30036.7,0.0,
2024-02-22 00:00:00,19,2023-01,2,500.0,500.0,500.0,500.0,30643.7,30143.7,0.0,
2024-02-22 00:00:00,20,2023-01,2,500.0,500.0,500.0,500.0,30643.7,30143.7,0.0,
2024-02-23 00:00:00,5,2023-01,1,500.0,500.0,500.0,500.0,30502.0,30002.0,0.0,
2024-02-23 00:00:00,6,2023-01,1,500.0,500.0,500.0,500.0,30502.0,30002.0,0.0,
2024-02-23 00:00:00,15,2023-01,2,500.0,500.0,500.0,500.0,30804.95,30304.95,0.0,
2024-02-23 00:00:00,16,2023-01,2,500.0,500.0,500.0,500.0,30804.95,30304.95,0.0,
2024-03-01 00:00:00,17,2023-01,2,500.0,500.0,500.0,500.0,30551.9,30051.9,0.0,
2024-03-01 00:00:00,18,2023-01,2,500.0,500.0,500.0,500.0,30551.9,30051.9,0.0,
2024-03-21 00:00:00,19,2023-01,3,500.0,500.0,500.0,500.0,30513.3,30013.3,0.0,
2024-03-21 00:00:00,20,2023-01,3,500.0,500.0,500.0,500.0,30513.3,30013.3,0.0,
2024-03-28 00:00:00,15,2023-01,3,500.0,500.0,500.0,500.0,30585.4,30085.4,0.0,
2024-03-28 00:00:00,16,2023-01,3,500.0,500.0,500.0,500.0,30585.4,30085.4,0.0,
2024-04-02 00:00:00,5,2023-01,2,500.0,500.0,500.0,500.0,30516.55,30016.55,0.0,
2024-04-02 00:00:00,6,2023-01,2,500.0,500.0,500.0,500.0,30516.55,30016.55,0.0,
2024-04-02 00:00:00,17,2023-01,3,500.0,500.0,500.0,500.0,30732.75,30232.75,0.0,
2024-04-02 00:00:00,18,2023-01,3,500.0,500.0,500.0,500.0,30732.75,30232.75,0.0,
2024-04-05 00:00:00,19,2023-01,4,500.0,500.0,500.0,500.0,30840.9,30340.9,0.0,
2024-04-05 00:00:00,20,2023-01,4,500.0,500.0,500.0,500.0,30840.9,30340.9,0.0,
2024-04-10 00:00:00,15,2023-01,4,500.0,500.0,500.0,500.0,31017.4,30517.4,0.0,
2024-04-10 00:00:00,16,2023-01,4,500.0,500.0,500.0,500.0,31017.4,30517.4,0.0,
2024-04-12 00:00:00,5,2023-01,3,500.0,500.0,500.0,500.0,30534.3,30034.3,0.0,
2024-04-12 00:00:00,6,2023-01,3,500.0,500.0,500.0,500.0,30534.3,30034.3,0.0,
2024-04-12 00:00:00,17,2023-01,4,500.0,500.0,500.0,500.0,30750.5,30250.5,0.0,
2024-04-12 00:00:00,18,2023-01,4,500.0,500.0,500.0,500.0,30750.5,30250.5,0.0,
2024-05-15 00:00:00,19,2023-01,5,500.0,500.0,500.0,500.0,30541.25,30041.25,0.0,
2024-05-15 00:00:00,20,2023-01,5,500.0,500.0,500.0,500.0,30541.25,30041.25,0.0,
2024-05-16 00:00:00,15,2023-01,5,500.0,500.0,500.0,500.0,30555.8,30055.8,0.0,
2024-05-16 00:00:00,16,2023-01,5,500.0,500.0,500.0,500.0,30555.8,30055.8,0.0,
2024-06-04 00:00:00,5,2023-01,4,500.0,500.0,500.0,500.0,30530.0,30030.0,0.0,
2024-06-04 00:00:00,6,2023-01,4,500.0,500.0,500.0,500.0,30530.0,30030.0,0.0,
2024-06-04 00:00:00,17,2023-01,5,500.0,500.0,500.0,500.0,30746.2,30246.2,0.0,
2024-06-04 00:00:00,18,2023-01,5,500.0,500.0,500.0,500.0,30746.2,30246.2,0.0,
2024-06-04 00:00:00,19,2023-01,6,500.0,500.0,500.0,500.0,30505.0,30005.0,0.0,
2024-06-04 00:00:00,20,2023-01,6,500.0,500.0,500.0,500.0,30505.0,30005.0,0.0,
2024-06-06 00:00:00,15,2023-01,6,500.0,500.0,500.0,500.0,30728.85,30228.85,0.0,
2024-06-06 00:00:00,16,2023-01,6,500.0,500.0,500.0,500.0,30728.85,30228.85,0.0,
2024-06-14 00:00:00,5,2023-01,5,500.0,500.0,500.0,500.0,30648.85,30148.85,0.0,
