account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,False,2023-03-13 18:34:40,RR1.00:18-19:232:1009,67,-1205.5,69.3,-1274.8,0.0,0.0,0
2,2023-01-01 00:00:00,False,2023-03-13 18:34:40,RR1.00:18-19:232:1009,67,-1205.5,69.3,-1274.8,0.0,0.0,0
3,2023-01-01 00:00:00,False,2023-03-13 18:34:40,RR1.00:18-19:232:1009,67,-1205.5,69.3,-1274.8,0.0,0.0,0
4,2023-01-01 00:00:00,False,2023-03-13 18:34:40,RR1.00:18-19:232:1009,67,-1205.5,69.3,-1274.8,0.0,0.0,0
5,2023-01-01 00:00:00,False,2026-03-20 20:05:40,RR1.00:18-19:464:1976,1943,6158.5,2039.1,119.4,4000.0,4000.0,8
6,2023-01-01 00:00:00,False,2026-03-20 20:05:40,RR1.00:18-19:464:1976,1943,6158.5,2039.1,119.4,4000.0,4000.0,8
7,2023-01-01 00:00:00,False,2026-03-20 20:05:40,RR1.00:18-19:464:1976,1943,6158.5,2039.1,119.4,4000.0,4000.0,8
8,2023-01-01 00:00:00,False,2026-03-20 20:05:40,RR1.00:18-19:464:1976,1943,6158.5,2039.1,119.4,4000.0,4000.0,8
9,2023-01-01 00:00:00,True,,,2241,19581.5,2353.05,7728.45,9500.0,9500.0,19
10,2023-01-01 00:00:00,True,,,2241,19581.5,2353.05,7728.45,9500.0,9500.0,19
11,2023-01-01 00:00:00,True,,,2241,19581.5,2353.05,7728.45,9500.0,9500.0,19
12,2023-01-01 00:00:00,True,,,2241,19581.5,2353.05,7728.45,9500.0,9500.0,19
13,2023-01-01 00:00:00,True,,,2243,9448.0,2355.15,100.01,6992.84,6992.84,11
14,2023-01-01 00:00:00,True,,,2243,9448.0,2355.15,100.01,6992.84,6992.84,11
15,2023-01-01 00:00:00,True,,,2243,9448.0,2355.15,100.01,6992.84,6992.84,11
16,2023-01-01 00:00:00,True,,,2243,9448.0,2355.15,100.01,6992.84,6992.84,11
17,2023-01-01 00:00:00,False,2023-10-26 18:15:40,RR1.00:17-18:221:1144,385,542.0,403.2,138.8,0.0,0.0,0
18,2023-01-01 00:00:00,False,2023-10-26 18:15:40,RR1.00:17-18:221:1144,385,542.0,403.2,138.8,0.0,0.0,0
19,2023-01-01 00:00:00,False,2023-10-26 18:15:40,RR1.00:17-18:221:1144,385,542.0,403.2,138.8,0.0,0.0,0
20,2023-01-01 00:00:00,False,2023-10-26 18:15:40,RR1.00:17-18:221:1144,385,542.0,403.2,138.8,0.0,0.0,0
