accounts,alive,deaths,peak_live,exceeds_20_live,copies,purchase_cost_usd,ongoing_net_usd,terminal_received_usd,total_net_usd,routing,case,arm,start_year,retained_balance_usd,initial_accounts,replacement_rule,policy,signals_loaded,signals_executed,signal_participation,signals_missed,mean_copies_per_signal,below_minimum_signals,minimum_copy_shortfall,requested_copies,planned_contract_hours,control_reproduced,delta_total_vs_blocked_usd,delta_total_vs_fixed_usd,delta_ongoing_vs_fixed_usd,copies_vs_fixed_ratio
20,0,20,20,False,7520,4000.0,-4000.0,0.0,-4000.0,,2020_retain_31900,unlimited_20,2020,31900,20,none,,12658,376,0.02970453468162427,12282,0.5940906936324853,,,7520,14049.0,True,0.0,-114891.16,-108000.0,0.15294500488122356
20,0,20,20,False,5640,4000.0,-4000.0,0.0,-4000.0,,2020_retain_31900,blocked_20,2020,31900,20,none,,12658,282,0.022278401011218203,12376,0.44556802022436404,,,7500,10445.1111,True,0.0,-114891.16,-108000.0,0.11470875366091766
20,8,12,20,False,49168,4000.0,104000.0,6891.16,110891.16,,2020_retain_31900,routed_20_max_headroom,2020,31900,20,none,,12658,12292,0.9710854795386317,366,3.8843419181545267,,,50632,76807.4211,True,114891.16,0.0,0.0,1.0
20,12,8,20,False,50392,4000.0,84000.0,37938.52,121938.52,,2020_retain_31900,routed_20_round_robin,2020,31900,20,none,,12658,12598,0.9952599146784642,60,3.981039658713857,,,50632,78085.1767,True,125938.52,11047.36,-20000.0,1.0248942401561991
20,9,11,20,False,46314,4000.0,98500.0,4509.33,103009.33,,2020_retain_31900,hybrid_m1_cap4,2020,31900,20,none,,12658,12658,1.0,0,3.6588718596934746,0,0,46314,72945.1047,,107009.33,-7881.83,-5500.0,0.9419541164985357
20,3,17,20,False,15228,4000.0,25000.0,1661.44,26661.44,,2020_retain_31900,hybrid_m1_cap8,2020,31900,20,none,,12658,12615,0.9966029388528993,43,1.203033654605783,43,43,15271,24683.0294,,30661.44,-84229.72,-79000.0,0.30971363488447773
20,0,20,20,False,3874,4000.0,-4000.0,0.0,-4000.0,,2020_retain_31900,hybrid_m1_cap12,2020,31900,20,none,,12658,386,0.030494548901880233,12272,0.3060515089271607,12272,12272,16146,7575.2089,,0.0,-114891.16,-108000.0,0.07879108363163033
20,10,10,20,False,33074,4000.0,49000.0,5367.68,54367.68,,2020_retain_31900,hybrid_m2_cap4,2020,31900,20,none,,12658,12658,1.0,0,2.6128930320745773,0,0,33074,51393.1889,,58367.68,-56523.48,-55000.0,0.6726732834363814
20,2,18,20,False,21500,4000.0,40000.0,0.0,40000.0,,2020_retain_31900,hybrid_m2_cap8,2020,31900,20,none,,12658,9720,0.7678938220887976,2938,1.698530573550324,2938,5876,27376,35824.0906,,44000.0,-70891.16,-64000.0,0.4372762772534982
20,0,20,20,False,7176,4000.0,-4000.0,0.0,-4000.0,,2020_retain_31900,hybrid_m2_cap12,2020,31900,20,none,,12658,2148,0.16969505451098119,10510,0.5669142044556802,10510,21020,28196,12807.4589,,0.0,-114891.16,-108000.0,0.1459485844451676
20,0,20,20,False,7520,4000.0,-4000.0,0.0,-4000.0,,2020_retain_30000,unlimited_20,2020,30000,20,none,,12658,376,0.02970453468162427,12282,0.5940906936324853,,,7520,14049.0,True,0.0,-122000.0,-122000.0,0.153946937438585
20,0,20,20,False,5640,4000.0,-4000.0,0.0,-4000.0,,2020_retain_30000,blocked_20,2020,30000,20,none,,12658,282,0.022278401011218203,12376,0.44556802022436404,,,7500,10445.1111,True,0.0,-122000.0,-122000.0,0.11546020307893876
20,4,16,20,False,48848,4000.0,118000.0,0.0,118000.0,,2020_retain_30000,routed_20_max_headroom,2020,30000,20,none,,12658,12212,0.964765365776584,446,3.859061463106336,,,50632,76362.4656,True,122000.0,0.0,0.0,1.0
20,8,12,20,False,50292,4000.0,108000.0,0.0,108000.0,,2020_retain_30000,routed_20_round_robin,2020,30000,20,none,,12658,12573,0.9932848791278243,85,3.973139516511297,,,50632,77967.9322,True,112000.0,-10000.0,-10000.0,1.0295610874549623
20,6,14,20,False,46120,4000.0,112450.0,0.0,112450.0,,2020_retain_30000,hybrid_m1_cap4,2020,30000,20,none,,12658,12658,1.0,0,3.643545583820509,0,0,46120,72585.3769,,116450.0,-5550.0,-5550.0,0.9441532918440878
20,1,19,20,False,15211,4000.0,29000.0,0.0,29000.0,,2020_retain_30000,hybrid_m1_cap8,2020,30000,20,none,,12658,12598,0.9952599146784642,60,1.2016906304313477,60,60,15271,24655.7294,,33000.0,-89000.0,-89000.0,0.3113945299705208
20,0,20,20,False,3874,4000.0,-4000.0,0.0,-4000.0,,2020_retain_30000,hybrid_m1_cap12,2020,30000,20,none,,12658,386,0.030494548901880233,12272,0.3060515089271607,12272,12272,16146,7575.2089,,0.0,-122000.0,-122000.0,0.07930723878152637
20,10,10,20,False,33074,4000.0,58000.0,0.0,58000.0,,2020_retain_30000,hybrid_m2_cap4,2020,30000,20,none,,12658,12658,1.0,0,2.6128930320745773,0,0,33074,51393.1889,,62000.0,-60000.0,-60000.0,0.6770799213887979
20,0,20,20,False,20602,4000.0,42000.0,0.0,42000.0,,2020_retain_30000,hybrid_m2_cap8,2020,30000,20,none,,12658,9271,0.7324221835993048,3387,1.6275872965713383,3387,6774,27376,34235.4572,,46000.0,-76000.0,-76000.0,0.4217572879135277
20,0,20,20,False,7176,4000.0,-4000.0,0.0,-4000.0,,2020_retain_30000,hybrid_m2_cap12,2020,30000,20,none,,12658,2148,0.16969505451098119,10510,0.5669142044556802,10510,21020,28196,12807.4589,,0.0,-122000.0,-122000.0,0.14690468391745823
20,20,0,20,False,138640,4000.0,406000.0,102679.0,508679.0,,2023_retain_31900,unlimited_20,2023,31900,20,none,,6932,6932,1.0,0,20.0,,,138640,217639.7667,True,152679.0,440679.0,338000.0,5.0
20,20,0,20,False,101420,4000.0,356000.0,0.0,356000.0,,2023_retain_31900,blocked_20,2023,31900,20,none,,6932,5071,0.731534910559723,1861,14.63069821119446,,,138640,169892.55,True,0.0,288000.0,288000.0,3.657674552798615
20,20,0,20,False,27728,4000.0,68000.0,0.0,68000.0,,2023_retain_31900,routed_20_max_headroom,2023,31900,20,none,,6932,6932,1.0,0,4.0,,,27728,43527.9533,True,-288000.0,0.0,0.0,1.0
20,12,8,20,False,27616,4000.0,44000.0,24284.96,68284.96,,2023_retain_31900,routed_20_round_robin,2023,31900,20,none,,6932,6904,0.9959607616849394,28,3.9838430467397576,,,27728,43424.6867,True,-287715.04,284.96,-24000.0,0.9959607616849394
20,20,0,20,False,27728,4000.0,68000.0,0.0,68000.0,,2023_retain_31900,hybrid_m1_cap4,2023,31900,20,none,,6932,6932,1.0,0,4.0,0,0,27728,43527.9533,,-288000.0,0.0,0.0,1.0
20,17,3,20,False,53083,4000.0,144500.0,0.0,144500.0,,2023_retain_31900,hybrid_m1_cap8,2023,31900,20,none,,6932,6932,1.0,0,7.657674552798615,0,0,53083,84484.2289,,-211500.0,76500.0,76500.0,1.9144186381996537
20,18,2,20,False,68473,4000.0,215500.0,0.0,215500.0,,2023_retain_31900,hybrid_m1_cap12,2023,31900,20,none,,6932,6932,1.0,0,9.877813040969418,0,0,68473,112011.9008,,-140500.0,147500.0,147500.0,2.4694532602423545
20,20,0,20,False,27728,4000.0,68000.0,0.0,68000.0,,2023_retain_31900,hybrid_m2_cap4,2023,31900,20,none,,6932,6932,1.0,0,4.0,0,0,27728,43527.9533,,-288000.0,0.0,0.0,1.0
20,18,2,20,False,50160,4000.0,144000.0,0.0,144000.0,,2023_retain_31900,hybrid_m2_cap8,2023,31900,20,none,,6932,6932,1.0,0,7.2360069244085405,0,0,50160,80582.4961,,-212000.0,76000.0,76000.0,1.8090017311021351
20,14,6,20,False,64174,4000.0,206000.0,3000.0,209000.0,,2023_retain_31900,hybrid_m2_cap12,2023,31900,20,none,,6932,6932,1.0,0,9.257645701096365,0,0,64174,105893.8294,,-147000.0,141000.0,138000.0,2.3144114252740913
