account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-01 00:00:00,False,2020-03-13 03:10:40,RR1.00:2-3:21:75,376,494.5,393.75,100.75,0.0,0.0,0
2,2020-02-01 00:00:00,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,214,223.5,223.65,-0.15,0.0,0.0,0
3,2020-03-01 00:00:00,False,2020-03-12 21:06:40,RR1.00:18-19:15:58,61,-196.0,63.0,-259.0,0.0,0.0,0
4,2020-04-01 00:00:00,True,,,12203,48098.5,12813.15,100.01,35185.34,34166.81,47
5,2020-05-01 00:00:00,False,2021-07-19 14:04:40,RR1.00:12-13:127:477,2342,2586.5,2458.05,128.45,0.0,0.0,0
6,2022-03-01 00:00:00,False,2022-03-08 18:32:40,RR1.00:17-18:136:667,52,-1161.5,53.55,-1215.05,0.0,0.0,0
7,2022-04-01 00:00:00,False,2022-05-09 20:34:40,RR1.00:18-19:161:724,191,389.0,199.5,189.5,0.0,0.0,0
8,2022-05-01 00:00:00,False,2022-05-09 23:30:00,RR1.00:23-24:35:316,46,-1406.5,47.25,-1453.75,0.0,0.0,0
9,2022-06-01 00:00:00,False,2022-06-10 20:13:40,RR1.00:19-20:182:764,62,-1203.5,64.05,-1267.55,0.0,0.0,0
10,2022-07-01 00:00:00,True,,,7876,38436.0,8269.8,100.01,30066.19,29559.57,37
11,2022-08-01 00:00:00,True,,,7720,35715.5,8106.0,100.01,27509.49,27258.54,32
12,2022-09-01 00:00:00,False,2022-11-04 17:51:40,RR1.00:16-17:408:1135,352,543.5,368.55,174.95,0.0,0.0,0
13,2022-10-01 00:00:00,False,2022-11-03 15:44:40,RR1.00:15-16:300:1034,172,23.0,179.55,-156.55,0.0,0.0,0
14,2022-11-01 00:00:00,False,2022-11-04 17:51:40,RR1.00:16-17:408:1135,33,-1043.0,33.6,-1076.6,0.0,0.0,0
15,2022-12-01 00:00:00,False,2023-01-05 10:38:40,RR1.00:10-11:263:1005,164,-1057.5,171.15,-1228.65,0.0,0.0,0
