account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-06 00:00:00,True,,,72,106.0,75.6,30.4,0.0,0.0,0
2,2020-01-06 00:00:00,True,,,72,70.0,75.6,-5.6,0.0,0.0,0
3,2020-01-06 00:00:00,True,,,72,150.0,75.6,74.4,0.0,0.0,0
4,2020-01-06 00:00:00,True,,,73,-431.5,76.65,-508.15,0.0,0.0,0
5,2020-01-06 00:00:00,True,,,73,-405.0,76.65,-481.65,0.0,0.0,0
6,2020-01-13 00:00:00,True,,,66,-329.5,69.3,-398.8,0.0,0.0,0
7,2020-01-13 00:00:00,True,,,66,-329.5,69.3,-398.8,0.0,0.0,0
8,2020-01-13 00:00:00,True,,,66,-322.5,69.3,-391.8,0.0,0.0,0
9,2020-01-13 00:00:00,True,,,66,-547.0,69.3,-616.3,0.0,0.0,0
10,2020-01-13 00:00:00,True,,,66,-775.5,69.3,-844.8,0.0,0.0,0
11,2020-01-20 00:00:00,True,,,58,-847.0,60.9,-907.9,0.0,0.0,0
12,2020-01-20 00:00:00,True,,,58,-847.0,60.9,-907.9,0.0,0.0,0
13,2020-01-20 00:00:00,True,,,58,-847.0,60.9,-907.9,0.0,0.0,0
14,2020-01-20 00:00:00,True,,,57,1031.5,59.85,971.65,0.0,0.0,0
15,2020-01-20 00:00:00,True,,,57,1031.5,59.85,971.65,0.0,0.0,0
16,2020-01-27 00:00:00,True,,,50,893.5,52.5,841.0,0.0,0.0,0
17,2020-01-27 00:00:00,True,,,50,893.5,52.5,841.0,0.0,0.0,0
18,2020-01-27 00:00:00,True,,,50,918.0,52.5,865.5,0.0,0.0,0
19,2020-01-27 00:00:00,True,,,50,215.0,52.5,162.5,0.0,0.0,0
20,2020-01-27 00:00:00,True,,,50,215.0,52.5,162.5,0.0,0.0,0
21,2020-02-03 00:00:00,True,,,43,222.5,45.15,177.35,0.0,0.0,0
22,2020-02-03 00:00:00,True,,,43,222.5,45.15,177.35,0.0,0.0,0
23,2020-02-03 00:00:00,True,,,43,222.5,45.15,177.35,0.0,0.0,0
24,2020-02-03 00:00:00,True,,,42,78.0,44.1,33.9,0.0,0.0,0
25,2020-02-03 00:00:00,True,,,42,78.0,44.1,33.9,0.0,0.0,0
