account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-01 00:00:00,True,,,107,-182.0,112.35,-294.35,0.0,0.0,0
2,2020-01-01 00:00:00,True,,,120,652.0,126.0,526.0,0.0,0.0,0
3,2020-01-01 00:00:00,True,,,84,659.5,88.2,571.3,0.0,0.0,0
4,2020-01-01 00:00:00,True,,,28,-870.5,29.4,-899.9,0.0,0.0,0
5,2020-01-01 00:00:00,True,,,5788,34226.5,6077.4,100.01,28049.09,27744.18,24
6,2020-02-01 00:00:00,True,,,133,618.5,139.65,478.85,0.0,0.0,0
7,2020-02-01 00:00:00,True,,,70,-688.5,73.5,-762.0,0.0,0.0,0
8,2020-02-01 00:00:00,True,,,52,-647.0,54.6,-701.6,0.0,0.0,0
9,2020-02-01 00:00:00,True,,,81,-652.5,85.05,-737.55,0.0,0.0,0
10,2020-02-01 00:00:00,True,,,221,-115.5,232.05,-347.55,0.0,0.0,0
11,2020-03-01 00:00:00,True,,,39,473.5,40.95,432.55,0.0,0.0,0
12,2020-03-01 00:00:00,True,,,52,5.5,54.6,-49.1,0.0,0.0,0
13,2020-03-01 00:00:00,True,,,165,-115.0,173.25,-288.25,0.0,0.0,0
14,2020-03-01 00:00:00,True,,,47,137.5,49.35,88.15,0.0,0.0,0
15,2020-03-01 00:00:00,True,,,41,-804.5,43.05,-847.55,0.0,0.0,0
16,2020-04-01 00:00:00,True,,,250,813.5,262.5,551.0,0.0,0.0,0
17,2020-04-01 00:00:00,True,,,107,-783.0,112.35,-895.35,0.0,0.0,0
18,2020-04-01 00:00:00,True,,,83,-485.5,87.15,-572.65,0.0,0.0,0
19,2020-04-01 00:00:00,True,,,132,255.0,138.6,116.4,0.0,0.0,0
20,2020-04-01 00:00:00,True,,,652,1233.5,684.6,548.9,0.0,0.0,0
21,2020-05-01 00:00:00,True,,,231,281.5,242.55,38.95,0.0,0.0,0
22,2020-05-01 00:00:00,True,,,56,-853.0,58.8,-911.8,0.0,0.0,0
23,2020-05-01 00:00:00,True,,,781,1346.0,820.05,525.95,0.0,0.0,0
24,2020-05-01 00:00:00,True,,,133,-296.0,139.65,-435.65,0.0,0.0,0
25,2020-05-01 00:00:00,True,,,646,1231.5,678.3,553.2,0.0,0.0,0
26,2020-06-01 00:00:00,True,,,113,-550.0,118.65,-668.65,0.0,0.0,0
27,2020-06-01 00:00:00,True,,,202,202.0,212.1,-10.1,0.0,0.0,0
28,2020-06-01 00:00:00,True,,,142,-692.0,149.1,-841.1,0.0,0.0,0
29,2020-06-01 00:00:00,True,,,1308,1940.5,1373.4,567.1,0.0,0.0,0
30,2020-06-01 00:00:00,True,,,251,858.5,263.55,594.95,0.0,0.0,0
31,2020-07-01 00:00:00,True,,,162,268.5,170.1,98.4,0.0,0.0,0
32,2020-07-01 00:00:00,True,,,4281,27152.5,4495.05,100.01,22557.44,22557.44,18
33,2020-07-01 00:00:00,True,,,258,4.0,270.9,-266.9,0.0,0.0,0
34,2020-07-01 00:00:00,True,,,291,873.0,305.55,567.45,0.0,0.0,0
35,2020-07-01 00:00:00,True,,,212,782.5,222.6,559.9,0.0,0.0,0
36,2020-08-01 00:00:00,True,,,5481,32735.5,5755.05,100.01,26880.44,26692.4,22
37,2020-08-01 00:00:00,True,,,245,498.0,257.25,240.75,0.0,0.0,0
38,2020-08-01 00:00:00,True,,,505,1078.5,530.25,548.25,0.0,0.0,0
39,2020-08-01 00:00:00,True,,,83,-242.0,87.15,-329.15,0.0,0.0,0
40,2020-08-01 00:00:00,True,,,50,-748.5,52.5,-801.0,0.0,0.0,0
41,2020-09-01 00:00:00,True,,,73,-362.5,76.65,-439.15,0.0,0.0,0
42,2020-09-01 00:00:00,True,,,59,-95.0,61.95,-156.95,0.0,0.0,0
43,2020-09-01 00:00:00,True,,,117,-52.0,122.85,-174.85,0.0,0.0,0
44,2020-09-01 00:00:00,True,,,79,-533.0,82.95,-615.95,0.0,0.0,0
45,2020-09-01 00:00:00,True,,,51,-534.0,53.55,-587.55,0.0,0.0,0
46,2020-10-01 00:00:00,True,,,25,-803.5,26.25,-829.75,0.0,0.0,0
47,2020-10-01 00:00:00,True,,,153,1660.0,160.65,1499.35,0.0,0.0,0
48,2020-10-01 00:00:00,True,,,139,628.5,145.95,482.55,0.0,0.0,0
49,2020-10-01 00:00:00,True,,,147,-746.0,154.35,-900.35,0.0,0.0,0
50,2020-10-01 00:00:00,True,,,28,-828.5,29.4,-857.9,0.0,0.0,0
51,2020-11-01 00:00:00,True,,,125,62.5,131.25,-68.75,0.0,0.0,0
52,2020-11-01 00:00:00,True,,,38,-344.5,39.9,-384.4,0.0,0.0,0
53,2020-11-01 00:00:00,True,,,193,422.0,202.65,219.35,0.0,0.0,0
54,2020-11-01 00:00:00,True,,,145,296.0,152.25,143.75,0.0,0.0,0
55,2020-11-01 00:00:00,True,,,46,-160.5,48.3,-208.8,0.0,0.0,0
56,2020-12-01 00:00:00,True,,,103,-775.5,108.15,-883.65,0.0,0.0,0
57,2020-12-01 00:00:00,True,,,159,-241.5,166.95,-408.45,0.0,0.0,0
58,2020-12-01 00:00:00,True,,,303,842.0,318.15,523.85,0.0,0.0,0
59,2020-12-01 00:00:00,True,,,234,232.0,245.7,-13.7,0.0,0.0,0
60,2020-12-01 00:00:00,True,,,425,973.0,446.25,526.75,0.0,0.0,0
61,2021-01-01 00:00:00,True,,,112,266.0,117.6,148.4,0.0,0.0,0
62,2021-01-01 00:00:00,True,,,64,-607.5,67.2,-674.7,0.0,0.0,0
63,2021-01-01 00:00:00,True,,,99,-441.0,103.95,-544.95,0.0,0.0,0
64,2021-01-01 00:00:00,True,,,70,-442.0,73.5,-515.5,0.0,0.0,0
65,2021-01-01 00:00:00,True,,,230,723.5,241.5,482.0,0.0,0.0,0
66,2021-02-01 00:00:00,True,,,72,-396.5,75.6,-472.1,0.0,0.0,0
67,2021-02-01 00:00:00,True,,,610,8885.0,640.5,4556.7,3687.8,3687.8,3
68,2021-02-01 00:00:00,True,,,65,322.0,68.25,253.75,0.0,0.0,0
69,2021-02-01 00:00:00,True,,,187,772.5,196.35,576.15,0.0,0.0,0
70,2021-02-01 00:00:00,True,,,144,586.5,151.2,435.3,0.0,0.0,0
71,2021-03-01 00:00:00,True,,,135,-252.5,141.75,-394.25,0.0,0.0,0
72,2021-03-01 00:00:00,True,,,80,102.5,84.0,18.5,0.0,0.0,0
73,2021-03-01 00:00:00,True,,,5863,34619.0,6156.15,100.01,28362.84,28026.56,25
74,2021-03-01 00:00:00,True,,,67,-132.0,70.35,-202.35,0.0,0.0,0
75,2021-03-01 00:00:00,True,,,193,384.0,202.65,181.35,0.0,0.0,0
76,2021-04-01 00:00:00,True,,,211,739.5,221.55,517.95,0.0,0.0,0
77,2021-04-01 00:00:00,True,,,111,-275.5,116.55,-392.05,0.0,0.0,0
78,2021-04-01 00:00:00,True,,,199,-774.0,208.95,-982.95,0.0,0.0,0
79,2021-04-01 00:00:00,True,,,177,-51.5,185.85,-237.35,0.0,0.0,0
80,2021-04-01 00:00:00,True,,,117,660.5,122.85,537.65,0.0,0.0,0
81,2021-05-01 00:00:00,True,,,31,-849.0,32.55,-881.55,0.0,0.0,0
82,2021-05-01 00:00:00,True,,,1354,1911.0,1421.7,489.3,0.0,0.0,0
83,2021-05-01 00:00:00,True,,,50,-647.5,52.5,-700.0,0.0,0.0,0
84,2021-05-01 00:00:00,True,,,83,-935.0,87.15,-1022.15,0.0,0.0,0
85,2021-05-01 00:00:00,True,,,87,-914.5,91.35,-1005.85,0.0,0.0,0
86,2021-06-01 00:00:00,True,,,65,-896.5,68.25,-964.75,0.0,0.0,0
87,2021-06-01 00:00:00,True,,,494,997.0,518.7,478.3,0.0,0.0,0
