at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2023-05-01 00:00:00,38,2020-04,1,527.0,527.0,527.0,527.0,32127.0,31600.0,0.0,
2023-06-19 00:00:00,125,2021-09,1,549.7,549.7,549.7,549.7,32149.7,31600.0,0.0,
2023-06-19 00:00:00,129,2021-10,1,552.85,552.85,552.85,552.85,32152.85,31600.0,0.0,
2023-07-24 00:00:00,38,2020-04,2,549.5,549.5,549.5,549.5,32149.5,31600.0,0.0,
2023-07-24 00:00:00,136,2021-12,1,508.35,508.35,508.35,508.35,32108.35,31600.0,0.0,
2023-09-04 00:00:00,38,2020-04,3,666.05,666.05,666.05,666.05,32266.05,31600.0,0.0,
2023-09-04 00:00:00,125,2021-09,2,944.35,944.35,944.35,944.35,32544.35,31600.0,0.0,
2023-09-04 00:00:00,129,2021-10,2,944.35,944.35,944.35,944.35,32544.35,31600.0,0.0,
2023-09-04 00:00:00,136,2021-12,2,666.05,666.05,666.05,666.05,32266.05,31600.0,0.0,
2023-09-04 00:00:00,236,2022-07,1,595.95,595.95,595.95,595.95,32195.95,31600.0,0.0,
2023-09-04 00:00:00,237,2022-07,1,595.95,595.95,595.95,595.95,32195.95,31600.0,0.0,
2024-01-15 00:00:00,238,2022-07,1,638.3,638.3,638.3,638.3,32238.3,31600.0,0.0,
2024-01-22 00:00:00,38,2020-04,4,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
2024-01-22 00:00:00,125,2021-09,3,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
2024-01-22 00:00:00,129,2021-10,3,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
2024-01-22 00:00:00,136,2021-12,3,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
2024-01-22 00:00:00,236,2022-07,2,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
2024-01-22 00:00:00,237,2022-07,2,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
2024-02-12 00:00:00,38,2020-04,5,665.75,665.75,665.75,665.75,32265.75,31600.0,0.0,
2024-02-12 00:00:00,125,2021-09,4,665.75,665.75,665.75,665.75,32265.75,31600.0,0.0,
2024-02-12 00:00:00,129,2021-10,4,665.75,665.75,665.75,665.75,32265.75,31600.0,0.0,
2024-02-12 00:00:00,136,2021-12,4,665.75,665.75,665.75,665.75,32265.75,31600.0,0.0,
2024-02-12 00:00:00,236,2022-07,3,665.75,665.75,665.75,665.75,32265.75,31600.0,0.0,
2024-02-12 00:00:00,237,2022-07,3,665.75,665.75,665.75,665.75,32265.75,31600.0,0.0,
2024-02-12 00:00:00,238,2022-07,2,947.2,947.2,947.2,947.2,32547.2,31600.0,0.0,
2024-02-19 00:00:00,56,2020-08,1,764.95,764.95,764.95,764.95,32364.95,31600.0,0.0,
2024-02-19 00:00:00,252,2022-07,1,848.7,848.7,848.7,848.7,32448.7,31600.0,0.0,
2024-02-19 00:00:00,253,2022-07,1,848.7,848.7,848.7,848.7,32448.7,31600.0,0.0,
2024-02-19 00:00:00,254,2022-07,1,848.7,848.7,848.7,848.7,32448.7,31600.0,0.0,
2024-03-04 00:00:00,38,2020-04,6,650.35,650.35,650.35,650.35,32250.35,31600.0,0.0,
2024-03-04 00:00:00,125,2021-09,5,650.35,650.35,650.35,650.35,32250.35,31600.0,0.0,
2024-03-04 00:00:00,129,2021-10,5,650.35,650.35,650.35,650.35,32250.35,31600.0,0.0,
2024-03-04 00:00:00,136,2021-12,5,650.35,650.35,650.35,650.35,32250.35,31600.0,0.0,
2024-03-04 00:00:00,236,2022-07,4,650.35,650.35,650.35,650.35,32250.35,31600.0,0.0,
2024-03-04 00:00:00,237,2022-07,4,650.35,650.35,650.35,650.35,32250.35,31600.0,0.0,
2024-03-04 00:00:00,238,2022-07,3,650.35,650.35,650.35,650.35,32250.35,31600.0,0.0,
2024-04-08 00:00:00,38,2020-04,7,1013.6,1013.6,1013.6,1013.6,32613.6,31600.0,0.0,
2024-04-08 00:00:00,56,2020-08,2,1275.5,1275.5,1275.5,1275.5,32875.5,31600.0,0.0,
2024-04-08 00:00:00,125,2021-09,6,1013.6,1013.6,1013.6,1013.6,32613.6,31600.0,0.0,
2024-04-08 00:00:00,129,2021-10,6,1013.6,1013.6,1013.6,1013.6,32613.6,31600.0,0.0,
2024-04-08 00:00:00,136,2021-12,6,1013.6,1013.6,1013.6,1013.6,32613.6,31600.0,0.0,
2024-04-08 00:00:00,236,2022-07,5,1013.6,1013.6,1013.6,1013.6,32613.6,31600.0,0.0,
2024-04-08 00:00:00,237,2022-07,5,1013.6,1013.6,1013.6,1013.6,32613.6,31600.0,0.0,
2024-04-08 00:00:00,238,2022-07,4,1013.6,1013.6,1013.6,1013.6,32613.6,31600.0,0.0,
2024-04-08 00:00:00,252,2022-07,2,1275.5,1275.5,1275.5,1275.5,32875.5,31600.0,0.0,
2024-04-08 00:00:00,253,2022-07,2,1275.5,1275.5,1275.5,1275.5,32875.5,31600.0,0.0,
2024-04-08 00:00:00,254,2022-07,2,1275.5,1275.5,1275.5,1275.5,32875.5,31600.0,0.0,
2024-04-08 00:00:00,314,2022-11,1,1082.5,1082.5,1082.5,1082.5,32682.5,31600.0,0.0,
2024-06-10 00:00:00,38,2020-04,8,894.75,894.75,894.75,894.75,32494.75,31600.0,0.0,
2024-06-10 00:00:00,56,2020-08,3,894.75,894.75,894.75,894.75,32494.75,31600.0,0.0,
2024-06-10 00:00:00,125,2021-09,7,894.75,894.75,894.75,894.75,32494.75,31600.0,0.0,
2024-06-10 00:00:00,129,2021-10,7,894.75,894.75,894.75,894.75,32494.75,31600.0,0.0,
