at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2022-03-01 00:00:00,8,2020-04,1,500.0,500.0,500.0,500.0,32715.85,32215.85,0.0,
2022-03-01 00:00:00,22,2021-06,1,500.0,500.0,500.0,500.0,30784.85,30284.85,0.0,
2022-03-01 00:00:00,23,2021-07,1,500.0,500.0,500.0,500.0,30940.05,30440.05,0.0,
2022-03-01 00:00:00,24,2021-08,1,500.0,500.0,500.0,500.0,31046.45,30546.45,0.0,
2022-03-01 00:00:00,25,2021-09,1,500.0,500.0,500.0,500.0,30942.65,30442.65,0.0,
2022-03-01 00:00:00,26,2021-10,1,500.0,500.0,500.0,500.0,31472.45,30972.45,0.0,
2022-04-01 00:00:00,8,2020-04,2,500.0,500.0,500.0,500.0,32634.5,32134.5,0.0,
2022-04-01 00:00:00,22,2021-06,2,500.0,500.0,500.0,500.0,30703.5,30203.5,0.0,
2022-04-01 00:00:00,23,2021-07,2,500.0,500.0,500.0,500.0,30858.7,30358.7,0.0,
2022-04-01 00:00:00,24,2021-08,2,500.0,500.0,500.0,500.0,30965.1,30465.1,0.0,
2022-04-01 00:00:00,25,2021-09,2,500.0,500.0,500.0,500.0,30861.3,30361.3,0.0,
2022-04-01 00:00:00,26,2021-10,2,500.0,500.0,500.0,500.0,31391.1,30891.1,0.0,
2022-05-01 00:00:00,8,2020-04,3,500.0,500.0,500.0,500.0,33499.15,32999.15,0.0,
2022-05-01 00:00:00,22,2021-06,3,500.0,500.0,500.0,500.0,31568.15,31068.15,0.0,
2022-05-01 00:00:00,23,2021-07,3,500.0,500.0,500.0,500.0,31723.35,31223.35,0.0,
2022-05-01 00:00:00,24,2021-08,3,500.0,500.0,500.0,500.0,31829.75,31329.75,0.0,
2022-05-01 00:00:00,25,2021-09,3,500.0,500.0,500.0,500.0,31725.95,31225.95,0.0,
2022-05-01 00:00:00,26,2021-10,3,500.0,500.0,500.0,500.0,32255.75,31755.75,0.0,
2022-05-01 00:00:00,29,2022-01,1,500.0,500.0,500.0,500.0,31315.85,30815.85,0.0,
2022-06-01 00:00:00,8,2020-04,4,500.0,500.0,500.0,500.0,31991.5,31491.5,0.0,
2022-06-01 00:00:00,26,2021-10,4,500.0,500.0,500.0,500.0,30748.1,30248.1,0.0,
2022-08-01 00:00:00,8,2020-04,5,500.0,500.0,500.0,500.0,30638.55,30138.55,0.0,
2022-09-01 00:00:00,8,2020-04,6,500.0,500.0,500.0,500.0,31895.5,31395.5,0.0,
2022-09-01 00:00:00,22,2021-06,4,500.0,500.0,500.0,500.0,30964.5,30464.5,0.0,
2022-09-01 00:00:00,23,2021-07,4,500.0,500.0,500.0,500.0,31119.7,30619.7,0.0,
2022-09-01 00:00:00,24,2021-08,4,500.0,500.0,500.0,500.0,31226.1,30726.1,0.0,
2022-09-01 00:00:00,25,2021-09,4,500.0,500.0,500.0,500.0,31122.3,30622.3,0.0,
2022-09-01 00:00:00,26,2021-10,5,500.0,500.0,500.0,500.0,31152.1,30652.1,0.0,
2022-09-01 00:00:00,29,2022-01,2,500.0,500.0,500.0,500.0,30712.2,30212.2,0.0,
2022-10-01 00:00:00,8,2020-04,7,500.0,500.0,500.0,500.0,32209.5,31709.5,0.0,
2022-10-01 00:00:00,22,2021-06,5,500.0,500.0,500.0,500.0,31278.5,30778.5,0.0,
2022-10-01 00:00:00,23,2021-07,5,500.0,500.0,500.0,500.0,31433.7,30933.7,0.0,
2022-10-01 00:00:00,24,2021-08,5,500.0,500.0,500.0,500.0,31540.1,31040.1,0.0,
2022-10-01 00:00:00,25,2021-09,5,500.0,500.0,500.0,500.0,31436.3,30936.3,0.0,
2022-10-01 00:00:00,26,2021-10,6,500.0,500.0,500.0,500.0,31466.1,30966.1,0.0,
2022-10-01 00:00:00,29,2022-01,3,500.0,500.0,500.0,500.0,31026.2,30526.2,0.0,
2022-11-01 00:00:00,8,2020-04,8,500.0,500.0,500.0,500.0,32030.1,31530.1,0.0,
2022-11-01 00:00:00,22,2021-06,6,500.0,500.0,500.0,500.0,31099.1,30599.1,0.0,
2022-11-01 00:00:00,23,2021-07,6,500.0,500.0,500.0,500.0,31254.3,30754.3,0.0,
2022-11-01 00:00:00,24,2021-08,6,500.0,500.0,500.0,500.0,31360.7,30860.7,0.0,
2022-11-01 00:00:00,25,2021-09,6,500.0,500.0,500.0,500.0,31256.9,30756.9,0.0,
2022-11-01 00:00:00,26,2021-10,7,500.0,500.0,500.0,500.0,31286.7,30786.7,0.0,
2022-11-01 00:00:00,29,2022-01,4,500.0,500.0,500.0,500.0,30846.8,30346.8,0.0,
2022-12-01 00:00:00,8,2020-04,9,500.0,500.0,500.0,500.0,31477.65,30977.65,0.0,
2022-12-01 00:00:00,22,2021-06,7,500.0,500.0,500.0,500.0,30546.65,30046.65,0.0,
