at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2025-02-14 00:00:00,5,2020-01,1,500.0,500.0,500.0,500.0,32420.8,31920.8,0.0,
2025-02-26 00:00:00,21,2020-02,1,500.0,500.0,500.0,500.0,32539.85,32039.85,0.0,
2025-04-17 00:00:00,196,2022-05,1,500.0,500.0,500.0,500.0,32534.2,32034.2,0.0,
2025-06-12 00:00:00,99,2021-04,1,500.0,500.0,500.0,500.0,32401.8,31901.8,0.0,
2025-06-17 00:00:00,22,2020-02,1,500.0,500.0,500.0,500.0,32536.9,32036.9,0.0,
2025-06-24 00:00:00,21,2020-02,2,500.0,500.0,500.0,500.0,32640.15,32140.15,0.0,
2025-06-28 00:00:00,22,2020-02,2,500.0,500.0,500.0,500.0,32534.4,32034.4,0.0,
2025-06-28 00:00:00,30,2020-02,1,500.0,500.0,500.0,500.0,32403.9,31903.9,0.0,
2025-07-15 00:00:00,91,2021-03,1,500.0,500.0,500.0,500.0,32476.8,31976.8,0.0,
2025-07-16 00:00:00,196,2022-05,2,500.0,500.0,500.0,500.0,32513.85,32013.85,0.0,
2025-09-04 00:00:00,196,2022-05,3,500.0,500.0,500.0,500.0,32429.45,31929.45,0.0,
2025-09-24 00:00:00,199,2022-05,1,500.0,500.0,500.0,500.0,32401.1,31901.1,0.0,
2025-10-15 00:00:00,91,2021-03,2,500.0,500.0,500.0,500.0,32408.25,31908.25,0.0,
2025-10-16 00:00:00,21,2020-02,3,500.0,500.0,500.0,500.0,32482.7,31982.7,0.0,
2025-10-16 00:00:00,179,2022-04,1,500.0,500.0,500.0,500.0,32472.5,31972.5,0.0,
2025-10-17 00:00:00,90,2021-02,1,500.0,500.0,500.0,500.0,32493.1,31993.1,0.0,
2025-10-28 00:00:00,5,2020-01,2,500.0,500.0,500.0,500.0,32435.2,31935.2,0.0,
2025-10-28 00:00:00,8,2020-01,1,500.0,500.0,500.0,500.0,32470.55,31970.55,0.0,
2025-10-31 00:00:00,2,2020-01,1,500.0,500.0,500.0,500.0,32717.05,32217.05,0.0,
2025-10-31 00:00:00,180,2022-04,1,500.0,500.0,500.0,500.0,32406.85,31906.85,0.0,
2025-11-07 00:00:00,179,2022-04,2,500.0,500.0,500.0,500.0,32508.6,32008.6,0.0,
2025-11-08 00:00:00,171,2022-04,1,500.0,500.0,500.0,500.0,32449.85,31949.85,0.0,
2025-11-11 00:00:00,5,2020-01,3,500.0,500.0,500.0,500.0,32917.2,32417.2,0.0,
2025-11-11 00:00:00,8,2020-01,2,500.0,500.0,500.0,500.0,32952.55,32452.55,0.0,
2025-11-11 00:00:00,176,2022-04,1,500.0,500.0,500.0,500.0,32486.5,31986.5,0.0,
2025-11-11 00:00:00,182,2022-04,1,500.0,500.0,500.0,500.0,32498.65,31998.65,0.0,
2025-11-13 00:00:00,2,2020-01,2,500.0,500.0,500.0,500.0,32766.05,32266.05,0.0,
2025-11-14 00:00:00,22,2020-02,3,500.0,500.0,500.0,500.0,32480.45,31980.45,0.0,
2025-11-26 00:00:00,1,2020-01,1,500.0,500.0,500.0,500.0,32615.55,32115.55,0.0,
2025-12-02 00:00:00,5,2020-01,4,500.0,500.0,500.0,500.0,32704.85,32204.85,0.0,
2025-12-02 00:00:00,8,2020-01,3,500.0,500.0,500.0,500.0,32740.2,32240.2,0.0,
2025-12-11 00:00:00,2,2020-01,3,500.0,500.0,500.0,500.0,32788.95,32288.95,0.0,
2026-01-15 00:00:00,5,2020-01,5,500.0,500.0,500.0,500.0,32429.65,31929.65,0.0,
2026-01-15 00:00:00,8,2020-01,4,500.0,500.0,500.0,500.0,32465.0,31965.0,0.0,
2026-01-30 00:00:00,1,2020-01,2,500.0,500.0,500.0,500.0,32519.6,32019.6,0.0,
2026-01-30 00:00:00,2,2020-01,4,500.0,500.0,500.0,500.0,32495.6,31995.6,0.0,
2026-02-03 00:00:00,5,2020-01,6,500.0,500.0,500.0,500.0,32449.0,31949.0,0.0,
2026-02-03 00:00:00,8,2020-01,5,500.0,500.0,500.0,500.0,32484.35,31984.35,0.0,
2026-02-12 00:00:00,1,2020-01,3,500.0,500.0,500.0,500.0,33185.05,32685.05,0.0,
2026-02-12 00:00:00,2,2020-01,5,500.0,500.0,500.0,500.0,33161.05,32661.05,0.0,
2026-02-19 00:00:00,5,2020-01,7,500.0,500.0,500.0,500.0,32452.25,31952.25,0.0,
2026-02-19 00:00:00,8,2020-01,6,500.0,500.0,500.0,500.0,32487.6,31987.6,0.0,
2026-02-25 00:00:00,170,2022-03,1,500.0,500.0,500.0,500.0,32419.95,31919.95,0.0,
2026-03-03 00:00:00,171,2022-04,2,500.0,500.0,500.0,500.0,32501.85,32001.85,0.0,
2026-03-03 00:00:00,179,2022-04,3,500.0,500.0,500.0,500.0,32597.05,32097.05,0.0,
2026-03-04 00:00:00,176,2022-04,2,500.0,500.0,500.0,500.0,32427.5,31927.5,0.0,
2026-04-01 00:00:00,170,2022-03,2,500.0,500.0,500.0,500.0,33296.55,32796.55,0.0,
2026-04-01 00:00:00,171,2022-04,3,500.0,500.0,500.0,500.0,33041.7,32541.7,0.0,
2026-04-01 00:00:00,176,2022-04,3,500.0,500.0,500.0,500.0,33170.4,32670.4,0.0,
2026-04-01 00:00:00,179,2022-04,4,500.0,500.0,500.0,500.0,32422.4,31922.4,0.0,
2026-04-16 00:00:00,170,2022-03,3,500.0,500.0,500.0,500.0,32861.85,32361.85,0.0,
2026-04-16 00:00:00,171,2022-04,4,500.0,500.0,500.0,500.0,32607.0,32107.0,0.0,
2026-04-25 00:00:00,176,2022-04,4,500.0,500.0,500.0,500.0,32505.85,32005.85,0.0,
2026-05-02 00:00:00,168,2022-03,1,500.0,500.0,500.0,500.0,32576.7,32076.7,0.0,
2026-05-02 00:00:00,169,2022-03,1,500.0,500.0,500.0,500.0,32653.7,32153.7,0.0,
2026-05-02 00:00:00,170,2022-03,4,500.0,500.0,500.0,500.0,32894.7,32394.7,0.0,
2026-05-02 00:00:00,171,2022-04,5,500.0,500.0,500.0,500.0,32639.85,32139.85,0.0,
2026-05-02 00:00:00,180,2022-04,2,500.0,500.0,500.0,500.0,32407.05,31907.05,0.0,
2026-05-06 00:00:00,173,2022-04,1,500.0,500.0,500.0,500.0,32449.65,31949.65,0.0,
2026-05-14 00:00:00,186,2022-04,1,500.0,500.0,500.0,500.0,32523.3,32023.3,0.0,
2026-05-14 00:00:00,193,2022-05,1,500.0,500.0,500.0,500.0,32438.05,31938.05,0.0,
2026-05-15 00:00:00,185,2022-04,1,500.0,500.0,500.0,500.0,32444.1,31944.1,0.0,
2026-05-19 00:00:00,167,2022-03,1,500.0,500.0,500.0,500.0,32874.05,32374.05,0.0,
2026-05-19 00:00:00,176,2022-04,5,500.0,500.0,500.0,500.0,32554.9,32054.9,0.0,
2026-05-19 00:00:00,181,2022-04,1,500.0,500.0,500.0,500.0,32606.5,32106.5,0.0,
2026-05-19 00:00:00,187,2022-04,1,500.0,500.0,500.0,500.0,32493.65,31993.65,0.0,
2026-05-21 00:00:00,169,2022-03,2,500.0,500.0,500.0,500.0,32434.95,31934.95,0.0,
2026-05-21 00:00:00,170,2022-03,5,500.0,500.0,500.0,500.0,32675.95,32175.95,0.0,
2026-05-21 00:00:00,171,2022-04,6,500.0,500.0,500.0,500.0,32421.1,31921.1,0.0,
2026-05-22 00:00:00,164,2022-03,1,500.0,500.0,500.0,500.0,32517.2,32017.2,0.0,
2026-05-22 00:00:00,168,2022-03,2,500.0,500.0,500.0,500.0,32576.4,32076.4,0.0,
2026-05-22 00:00:00,179,2022-04,5,500.0,500.0,500.0,500.0,32407.75,31907.75,0.0,
2026-05-27 00:00:00,165,2022-03,1,500.0,500.0,500.0,500.0,32425.55,31925.55,0.0,
2026-05-28 00:00:00,163,2022-03,1,500.0,500.0,500.0,500.0,32408.5,31908.5,0.0,
2026-05-29 00:00:00,166,2022-03,1,500.0,500.0,500.0,500.0,32470.15,31970.15,0.0,
2026-05-29 00:00:00,167,2022-03,2,500.0,500.0,500.0,500.0,32881.65,32381.65,0.0,
2026-05-29 00:00:00,173,2022-04,2,500.0,500.0,500.0,500.0,32423.8,31923.8,0.0,
2026-05-29 00:00:00,180,2022-04,3,500.0,500.0,500.0,500.0,32453.5,31953.5,0.0,
2026-06-09 00:00:00,170,2022-03,6,500.0,500.0,500.0,500.0,32429.2,31929.2,0.0,
2026-06-13 00:00:00,176,2022-04,6,500.0,500.0,500.0,500.0,32464.8,31964.8,0.0,
2026-06-13 00:00:00,193,2022-05,2,500.0,500.0,500.0,500.0,32450.8,31950.8,0.0,
2026-06-13 00:00:00,210,2022-05,1,500.0,500.0,500.0,500.0,32497.3,31997.3,0.0,
2026-06-16 00:00:00,162,2022-03,1,500.0,500.0,500.0,500.0,32528.2,32028.2,0.0,
2026-06-16 00:00:00,164,2022-03,2,500.0,500.0,500.0,500.0,32402.2,31902.2,0.0,
2026-06-16 00:00:00,171,2022-04,7,500.0,500.0,500.0,500.0,32479.55,31979.55,0.0,
2026-06-16 00:00:00,182,2022-04,2,500.0,500.0,500.0,500.0,32422.85,31922.85,0.0,
2026-06-16 00:00:00,183,2022-04,1,500.0,500.0,500.0,500.0,32523.35,32023.35,0.0,
2026-06-27 00:00:00,209,2022-05,1,500.0,500.0,500.0,500.0,32618.65,32118.65,0.0,
2026-07-07 00:00:00,167,2022-03,3,500.0,500.0,500.0,500.0,32464.85,31964.85,0.0,
2026-07-07 00:00:00,169,2022-03,3,500.0,500.0,500.0,500.0,32405.35,31905.35,0.0,
2026-07-08 00:00:00,179,2022-04,6,500.0,500.0,500.0,500.0,32428.65,31928.65,0.0,
2026-07-08 00:00:00,181,2022-04,2,500.0,500.0,500.0,500.0,32465.25,31965.25,0.0,
2026-07-08 00:00:00,184,2022-04,1,500.0,500.0,500.0,500.0,32511.75,32011.75,0.0,
2026-07-08 00:00:00,185,2022-04,2,500.0,500.0,500.0,500.0,32575.75,32075.75,0.0,
2026-07-08 00:00:00,186,2022-04,2,500.0,500.0,500.0,500.0,32746.4,32246.4,0.0,
2026-07-08 00:00:00,192,2022-05,1,500.0,500.0,500.0,500.0,32504.15,32004.15,0.0,
2026-07-09 00:00:00,170,2022-03,7,500.0,500.0,500.0,500.0,32498.75,31998.75,0.0,
2026-07-09 00:00:00,173,2022-04,3,500.0,500.0,500.0,500.0,32494.4,31994.4,0.0,
2026-07-09 00:00:00,180,2022-04,4,500.0,500.0,500.0,500.0,32460.6,31960.6,0.0,
2026-07-09 00:00:00,188,2022-04,1,500.0,500.0,500.0,500.0,32506.35,32006.35,0.0,
2026-07-09 00:00:00,193,2022-05,3,500.0,500.0,500.0,500.0,32490.1,31990.1,0.0,
2026-07-10 00:00:00,176,2022-04,7,500.0,500.0,500.0,500.0,32486.55,31986.55,0.0,
2026-07-10 00:00:00,183,2022-04,2,500.0,500.0,500.0,500.0,32410.65,31910.65,0.0,
2026-07-13 21:30:40,1,2020-01,4,1000000000.0,1500.0,1500.0,1500.0,28747.65,27247.65,0.0,maximum_payout
2026-07-13 21:30:40,2,2020-01,6,1000000000.0,4460.14,4460.14,4460.14,29560.15,25100.01,0.0,trailing_floor
2026-07-13 21:30:40,5,2020-01,8,1000000000.0,3278.64,3278.64,3278.64,28378.65,25100.01,0.0,trailing_floor
2026-07-13 21:30:40,8,2020-01,7,1000000000.0,3288.49,3288.49,3288.49,28388.5,25100.01,0.0,trailing_floor
2026-07-13 21:30:40,19,2020-01,1,1000000000.0,1500.0,1500.0,1500.0,27977.25,26477.25,0.0,maximum_payout
2026-07-13 21:30:40,20,2020-01,1,1000000000.0,1299.25,1299.25,1299.25,27399.25,26100.0,0.0,safety_net
2026-07-13 21:30:40,21,2020-02,4,1000000000.0,1500.0,1500.0,1500.0,27196.6,25696.6,0.0,maximum_payout
2026-07-13 21:30:40,22,2020-02,4,1000000000.0,1500.0,1500.0,1500.0,28082.1,26582.1,0.0,maximum_payout
2026-07-13 21:30:40,29,2020-02,1,1000000000.0,1500.0,1500.0,1500.0,28345.6,26845.6,0.0,maximum_payout
2026-07-13 21:30:40,30,2020-02,2,1000000000.0,1500.0,1500.0,1500.0,28957.1,27457.1,0.0,maximum_payout
2026-07-13 21:30:40,31,2020-03,1,1000000000.0,1500.0,1500.0,1500.0,27797.65,26297.65,0.0,maximum_payout
2026-07-13 21:30:40,32,2020-03,1,1000000000.0,1500.0,1500.0,1500.0,27728.15,26228.15,0.0,maximum_payout
2026-07-13 21:30:40,33,2020-03,1,1000000000.0,1500.0,1500.0,1500.0,28802.65,27302.65,0.0,maximum_payout
2026-07-13 21:30:40,37,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,28926.75,27426.75,0.0,maximum_payout
2026-07-13 21:30:40,38,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,28366.75,26866.75,0.0,maximum_payout
2026-07-13 21:30:40,39,2020-04,1,1000000000.0,1222.75,1222.75,1222.75,27322.75,26100.0,0.0,safety_net
2026-07-13 21:30:40,40,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,28225.75,26725.75,0.0,maximum_payout
2026-07-13 21:30:40,90,2021-02,2,1000000000.0,1500.0,1500.0,1500.0,30851.05,29351.05,0.0,maximum_payout
2026-07-13 21:30:40,91,2021-03,3,1000000000.0,1500.0,1500.0,1500.0,30804.1,29304.1,0.0,maximum_payout
2026-07-13 21:30:40,92,2021-03,1,1000000000.0,1500.0,1500.0,1500.0,30027.1,28527.1,0.0,maximum_payout
2026-07-13 21:30:40,93,2021-03,1,1000000000.0,1500.0,1500.0,1500.0,29295.55,27795.55,0.0,maximum_payout
2026-07-13 21:30:40,94,2021-03,1,1000000000.0,1500.0,1500.0,1500.0,28918.05,27418.05,0.0,maximum_payout
2026-07-13 21:30:40,95,2021-03,1,1000000000.0,1500.0,1500.0,1500.0,30938.55,29438.55,0.0,maximum_payout
2026-07-13 21:30:40,96,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,30677.8,29177.8,0.0,maximum_payout
2026-07-13 21:30:40,97,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,31308.3,29808.3,0.0,maximum_payout
2026-07-13 21:30:40,98,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,30579.8,29079.8,0.0,maximum_payout
2026-07-13 21:30:40,99,2021-04,2,1000000000.0,1500.0,1500.0,1500.0,32223.3,30723.3,0.0,maximum_payout
2026-07-13 21:30:40,100,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,32045.8,30545.8,0.0,maximum_payout
2026-07-13 21:30:40,101,2021-05,1,1000000000.0,1500.0,1500.0,1500.0,32067.15,30567.15,0.0,maximum_payout
2026-07-13 21:30:40,159,2022-03,1,1000000000.0,1500.0,1500.0,1500.0,31836.75,30336.75,0.0,maximum_payout
2026-07-13 21:30:40,161,2022-03,1,1000000000.0,1500.0,1500.0,1500.0,31520.4,30020.4,0.0,maximum_payout
2026-07-13 21:30:40,162,2022-03,2,1000000000.0,1500.0,1500.0,1500.0,31640.4,30140.4,0.0,maximum_payout
2026-07-13 21:30:40,163,2022-03,2,1000000000.0,1500.0,1500.0,1500.0,31776.4,30276.4,0.0,maximum_payout
2026-07-13 21:30:40,164,2022-03,3,1000000000.0,1500.0,1500.0,1500.0,31514.4,30014.4,0.0,maximum_payout
2026-07-13 21:30:40,165,2022-03,2,1000000000.0,1500.0,1500.0,1500.0,32088.9,30588.9,0.0,maximum_payout
2026-07-13 21:30:40,166,2022-03,2,1000000000.0,1500.0,1500.0,1500.0,31933.1,30433.1,0.0,maximum_payout
2026-07-13 21:30:40,168,2022-03,3,1000000000.0,1500.0,1500.0,1500.0,32208.1,30708.1,0.0,maximum_payout
2026-07-13 21:30:40,171,2022-04,8,1000000000.0,7053.74,7053.74,7053.74,32153.75,25100.01,0.0,trailing_floor
2026-07-13 21:30:40,182,2022-04,3,1000000000.0,1500.0,1500.0,1500.0,32294.55,30794.55,0.0,maximum_payout
2026-07-13 21:30:40,187,2022-04,2,1000000000.0,1500.0,1500.0,1500.0,32093.2,30593.2,0.0,maximum_payout
2026-07-13 21:30:40,191,2022-05,1,1000000000.0,1500.0,1500.0,1500.0,32107.45,30607.45,0.0,maximum_payout
2026-07-13 21:30:40,194,2022-05,1,1000000000.0,1500.0,1500.0,1500.0,31129.45,29629.45,0.0,maximum_payout
2026-07-13 21:30:40,196,2022-05,4,1000000000.0,1500.0,1500.0,1500.0,31580.15,30080.15,0.0,maximum_payout
2026-07-13 21:30:40,199,2022-05,2,1000000000.0,1500.0,1500.0,1500.0,31666.65,30166.65,0.0,maximum_payout
2026-07-13 21:30:40,200,2022-05,1,1000000000.0,1500.0,1500.0,1500.0,31202.65,29702.65,0.0,maximum_payout
2026-07-13 21:30:40,201,2022-05,1,1000000000.0,1500.0,1500.0,1500.0,30808.3,29308.3,0.0,maximum_payout
2026-07-13 21:30:40,202,2022-05,1,1000000000.0,1500.0,1500.0,1500.0,31630.3,30130.3,0.0,maximum_payout
2026-07-13 21:30:40,208,2022-05,1,1000000000.0,1500.0,1500.0,1500.0,31059.45,29559.45,0.0,maximum_payout
2026-07-13 21:30:40,210,2022-05,2,1000000000.0,1500.0,1500.0,1500.0,31146.95,29646.95,0.0,maximum_payout
2026-07-13 21:30:40,211,2022-05,1,1000000000.0,1500.0,1500.0,1500.0,30519.6,29019.6,0.0,maximum_payout
2026-07-13 21:30:40,213,2022-05,1,1000000000.0,1500.0,1500.0,1500.0,30232.1,28732.1,0.0,maximum_payout
2026-07-13 21:30:40,214,2022-05,1,1000000000.0,1500.0,1500.0,1500.0,30493.6,28993.6,0.0,maximum_payout
2026-07-13 21:30:40,215,2022-05,1,1000000000.0,1500.0,1500.0,1500.0,29345.1,27845.1,0.0,maximum_payout
2026-07-13 21:30:40,217,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,29079.7,27579.7,0.0,maximum_payout
2026-07-13 21:30:40,218,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,29639.7,28139.7,0.0,maximum_payout
2026-07-13 21:30:40,219,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,30842.7,29342.7,0.0,maximum_payout
2026-07-13 21:30:40,220,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,30948.7,29448.7,0.0,maximum_payout
2026-07-13 21:30:40,221,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,30993.35,29493.35,0.0,maximum_payout
2026-07-13 21:30:40,222,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,28634.85,27134.85,0.0,maximum_payout
2026-07-13 21:30:40,223,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,28544.85,27044.85,0.0,maximum_payout
2026-07-13 21:30:40,224,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,29505.35,28005.35,0.0,maximum_payout
2026-07-13 21:30:40,225,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,29441.35,27941.35,0.0,maximum_payout
2026-07-13 21:30:40,226,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,28980.95,27480.95,0.0,maximum_payout
2026-07-13 21:30:40,227,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,31598.45,30098.45,0.0,maximum_payout
2026-07-13 21:30:40,228,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,31246.45,29746.45,0.0,maximum_payout
2026-07-13 21:30:40,229,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,31580.45,30080.45,0.0,maximum_payout
2026-07-13 21:30:40,230,2022-06,1,1000000000.0,1500.0,1500.0,1500.0,31577.5,30077.5,0.0,maximum_payout
2026-07-13 21:30:40,271,2022-08,1,1000000000.0,1500.0,1500.0,1500.0,30809.45,29309.45,0.0,maximum_payout
2026-07-13 21:30:40,272,2022-08,1,1000000000.0,1500.0,1500.0,1500.0,30943.45,29443.45,0.0,maximum_payout
2026-07-13 21:30:40,276,2022-08,1,1000000000.0,1500.0,1500.0,1500.0,29683.1,28183.1,0.0,maximum_payout
2026-07-13 21:30:40,277,2022-08,1,1000000000.0,1500.0,1500.0,1500.0,31367.6,29867.6,0.0,maximum_payout
2026-07-13 21:30:40,278,2022-08,1,1000000000.0,1500.0,1500.0,1500.0,31415.65,29915.65,0.0,maximum_payout
2026-07-13 21:30:40,279,2022-08,1,1000000000.0,1500.0,1500.0,1500.0,31879.65,30379.65,0.0,maximum_payout
2026-07-13 21:30:40,280,2022-08,1,1000000000.0,1500.0,1500.0,1500.0,29867.65,28367.65,0.0,maximum_payout
2026-07-13 21:30:40,281,2022-09,1,1000000000.0,1500.0,1500.0,1500.0,29238.3,27738.3,0.0,maximum_payout
2026-07-13 21:30:40,282,2022-09,1,1000000000.0,1500.0,1500.0,1500.0,28158.3,26658.3,0.0,maximum_payout
2026-07-13 21:30:40,286,2022-09,1,1000000000.0,1500.0,1500.0,1500.0,28035.95,26535.95,0.0,maximum_payout
2026-07-13 21:30:40,288,2022-09,1,1000000000.0,1500.0,1500.0,1500.0,28550.95,27050.95,0.0,maximum_payout
2026-07-13 21:30:40,289,2022-09,1,1000000000.0,1500.0,1500.0,1500.0,28142.45,26642.45,0.0,maximum_payout
2026-07-13 21:30:40,291,2022-09,1,1000000000.0,1500.0,1500.0,1500.0,27800.6,26300.6,0.0,maximum_payout
2026-07-13 21:30:40,292,2022-09,1,1000000000.0,1500.0,1500.0,1500.0,27753.6,26253.6,0.0,maximum_payout
2026-07-13 21:30:40,355,2023-01,1,1000000000.0,1159.05,1159.05,1159.05,27259.05,26100.0,0.0,safety_net
2026-07-13 21:30:40,366,2023-02,1,1000000000.0,1229.9,1229.9,1229.9,27329.9,26100.0,0.0,safety_net
2026-07-13 21:30:40,367,2023-02,1,1000000000.0,1500.0,1500.0,1500.0,28276.35,26776.35,0.0,maximum_payout
2026-07-13 21:30:40,370,2023-02,1,1000000000.0,1500.0,1500.0,1500.0,27988.8,26488.8,0.0,maximum_payout
2026-07-13 21:30:40,371,2023-02,1,1000000000.0,1500.0,1500.0,1500.0,28590.4,27090.4,0.0,maximum_payout
2026-07-13 21:30:40,372,2023-02,1,1000000000.0,1500.0,1500.0,1500.0,28909.9,27409.9,0.0,maximum_payout
