account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-01 00:00:00,True,,,73,-609.5,76.65,-686.15,0.0,0.0,0
2,2020-01-01 00:00:00,True,,,103,-275.0,108.15,-383.15,0.0,0.0,0
3,2020-01-01 00:00:00,True,,,62,652.5,65.1,587.4,0.0,0.0,0
4,2020-01-01 00:00:00,True,,,105,-814.0,110.25,-924.25,0.0,0.0,0
5,2020-01-01 00:00:00,True,,,196,720.5,205.8,514.7,0.0,0.0,0
6,2020-02-01 00:00:00,True,,,84,589.0,88.2,500.8,0.0,0.0,0
7,2020-02-01 00:00:00,True,,,124,-631.5,130.2,-761.7,0.0,0.0,0
8,2020-02-01 00:00:00,True,,,89,-184.5,93.45,-277.95,0.0,0.0,0
9,2020-02-01 00:00:00,True,,,105,-445.0,110.25,-555.25,0.0,0.0,0
10,2020-02-01 00:00:00,True,,,102,-679.0,107.1,-786.1,0.0,0.0,0
11,2020-03-01 00:00:00,True,,,23,-481.0,24.15,-505.15,0.0,0.0,0
12,2020-03-01 00:00:00,True,,,24,-492.0,25.2,-517.2,0.0,0.0,0
13,2020-03-01 00:00:00,True,,,61,-183.5,64.05,-247.55,0.0,0.0,0
14,2020-03-01 00:00:00,True,,,62,-785.5,65.1,-850.6,0.0,0.0,0
15,2020-03-01 00:00:00,True,,,15,-892.0,15.75,-907.75,0.0,0.0,0
16,2020-04-01 00:00:00,True,,,182,686.5,191.1,495.4,0.0,0.0,0
17,2020-04-01 00:00:00,True,,,134,197.0,140.7,56.3,0.0,0.0,0
18,2020-04-01 00:00:00,True,,,78,-451.0,81.9,-532.9,0.0,0.0,0
19,2020-04-01 00:00:00,True,,,189,719.0,198.45,520.55,0.0,0.0,0
20,2020-04-01 00:00:00,True,,,364,962.5,382.2,580.3,0.0,0.0,0
21,2020-05-01 00:00:00,True,,,234,327.5,245.7,81.8,0.0,0.0,0
22,2020-05-01 00:00:00,True,,,81,-759.5,85.05,-844.55,0.0,0.0,0
23,2020-05-01 00:00:00,True,,,659,1284.0,691.95,592.05,0.0,0.0,0
24,2020-05-01 00:00:00,True,,,50,-458.5,52.5,-511.0,0.0,0.0,0
25,2020-05-01 00:00:00,True,,,618,2162.5,648.9,1513.6,0.0,0.0,0
26,2020-06-01 00:00:00,True,,,185,260.0,194.25,65.75,0.0,0.0,0
27,2020-06-01 00:00:00,True,,,159,203.0,166.95,36.05,0.0,0.0,0
28,2020-06-01 00:00:00,True,,,238,307.5,249.9,57.6,0.0,0.0,0
29,2020-06-01 00:00:00,True,,,1276,1910.0,1339.8,570.2,0.0,0.0,0
30,2020-06-01 00:00:00,True,,,128,-244.5,134.4,-378.9,0.0,0.0,0
31,2020-07-01 00:00:00,True,,,183,196.5,192.15,4.35,0.0,0.0,0
32,2020-07-01 00:00:00,True,,,224,849.5,235.2,614.3,0.0,0.0,0
33,2020-07-01 00:00:00,True,,,88,-613.5,92.4,-705.9,0.0,0.0,0
34,2020-07-01 00:00:00,True,,,259,838.5,271.95,566.55,0.0,0.0,0
35,2020-07-01 00:00:00,True,,,455,996.0,477.75,518.25,0.0,0.0,0
36,2020-08-01 00:00:00,True,,,135,663.0,141.75,521.25,0.0,0.0,0
37,2020-08-01 00:00:00,True,,,127,795.5,133.35,662.15,0.0,0.0,0
38,2020-08-01 00:00:00,True,,,268,800.0,281.4,518.6,0.0,0.0,0
39,2020-08-01 00:00:00,True,,,162,548.0,170.1,377.9,0.0,0.0,0
40,2020-08-01 00:00:00,True,,,83,-676.0,87.15,-763.15,0.0,0.0,0
41,2020-09-01 00:00:00,True,,,85,-108.5,89.25,-197.75,0.0,0.0,0
42,2020-09-01 00:00:00,True,,,39,-115.0,40.95,-155.95,0.0,0.0,0
43,2020-09-01 00:00:00,True,,,112,-17.5,117.6,-135.1,0.0,0.0,0
44,2020-09-01 00:00:00,True,,,85,-455.0,89.25,-544.25,0.0,0.0,0
