at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2022-03-01 00:00:00,23,2020-02,1,500.0,500.0,500.0,500.0,31223.75,30723.75,0.0,
2022-03-01 00:00:00,87,2020-05,1,500.0,500.0,500.0,500.0,31230.65,30730.65,0.0,
2022-03-01 00:00:00,89,2020-05,1,500.0,500.0,500.0,500.0,31220.7,30720.7,0.0,
2022-03-01 00:00:00,98,2020-05,1,500.0,500.0,500.0,500.0,31225.4,30725.4,0.0,
2022-03-01 00:00:00,116,2020-06,1,500.0,500.0,500.0,500.0,31222.2,30722.2,0.0,
2022-05-01 00:00:00,23,2020-02,2,500.0,500.0,500.0,500.0,30555.35,30055.35,0.0,
2022-05-01 00:00:00,87,2020-05,2,500.0,500.0,500.0,500.0,30562.25,30062.25,0.0,
2022-05-01 00:00:00,89,2020-05,2,500.0,500.0,500.0,500.0,30552.3,30052.3,0.0,
2022-05-01 00:00:00,98,2020-05,2,500.0,500.0,500.0,500.0,30557.0,30057.0,0.0,
2022-05-01 00:00:00,116,2020-06,2,500.0,500.0,500.0,500.0,30553.8,30053.8,0.0,
2022-12-01 00:00:00,18,2020-01,1,500.0,500.0,500.0,500.0,30677.95,30177.95,0.0,
2022-12-01 00:00:00,23,2020-02,3,500.0,500.0,500.0,500.0,30608.3,30108.3,0.0,
2022-12-01 00:00:00,60,2020-03,1,500.0,500.0,500.0,500.0,30656.1,30156.1,0.0,
2022-12-01 00:00:00,89,2020-05,3,500.0,500.0,500.0,500.0,30672.6,30172.6,0.0,
2022-12-01 00:00:00,98,2020-05,3,500.0,500.0,500.0,500.0,30653.8,30153.8,0.0,
2023-04-01 00:00:00,18,2020-01,2,500.0,500.0,500.0,500.0,31258.3,30758.3,0.0,
2023-04-01 00:00:00,23,2020-02,4,500.0,500.0,500.0,500.0,31188.65,30688.65,0.0,
2023-04-01 00:00:00,60,2020-03,2,500.0,500.0,500.0,500.0,31236.45,30736.45,0.0,
2023-04-01 00:00:00,87,2020-05,3,500.0,500.0,500.0,500.0,30836.85,30336.85,0.0,
2023-04-01 00:00:00,89,2020-05,4,500.0,500.0,500.0,500.0,31252.95,30752.95,0.0,
2023-04-01 00:00:00,98,2020-05,4,500.0,500.0,500.0,500.0,31234.15,30734.15,0.0,
2023-04-01 00:00:00,116,2020-06,3,500.0,500.0,500.0,500.0,31356.45,30856.45,0.0,
2023-05-01 00:00:00,18,2020-01,3,500.0,500.0,500.0,500.0,31395.95,30895.95,0.0,
2023-05-01 00:00:00,23,2020-02,5,500.0,500.0,500.0,500.0,31326.3,30826.3,0.0,
2023-05-01 00:00:00,60,2020-03,3,500.0,500.0,500.0,500.0,31374.1,30874.1,0.0,
2023-05-01 00:00:00,87,2020-05,4,500.0,500.0,500.0,500.0,30974.5,30474.5,0.0,
2023-05-01 00:00:00,89,2020-05,5,500.0,500.0,500.0,500.0,31390.6,30890.6,0.0,
2023-05-01 00:00:00,98,2020-05,5,500.0,500.0,500.0,500.0,31371.8,30871.8,0.0,
2023-05-01 00:00:00,116,2020-06,4,500.0,500.0,500.0,500.0,31494.1,30994.1,0.0,
2023-06-01 00:00:00,18,2020-01,4,500.0,500.0,500.0,500.0,30908.25,30408.25,0.0,
2023-06-01 00:00:00,23,2020-02,6,500.0,500.0,500.0,500.0,30838.6,30338.6,0.0,
2023-06-01 00:00:00,60,2020-03,4,500.0,500.0,500.0,500.0,30886.4,30386.4,0.0,
2023-06-01 00:00:00,89,2020-05,6,500.0,500.0,500.0,500.0,30902.9,30402.9,0.0,
2023-06-01 00:00:00,98,2020-05,6,500.0,500.0,500.0,500.0,30884.1,30384.1,0.0,
2023-06-01 00:00:00,116,2020-06,5,500.0,500.0,500.0,500.0,31006.4,30506.4,0.0,
2023-07-01 00:00:00,18,2020-01,5,500.0,500.0,500.0,500.0,30646.0,30146.0,0.0,
2023-07-01 00:00:00,23,2020-02,7,500.0,500.0,500.0,500.0,30576.35,30076.35,0.0,
2023-07-01 00:00:00,60,2020-03,5,500.0,500.0,500.0,500.0,30624.15,30124.15,0.0,
2023-07-01 00:00:00,87,2020-05,5,500.0,500.0,500.0,500.0,30724.55,30224.55,0.0,
2023-07-01 00:00:00,89,2020-05,7,500.0,500.0,500.0,500.0,30640.65,30140.65,0.0,
2023-07-01 00:00:00,98,2020-05,7,500.0,500.0,500.0,500.0,30621.85,30121.85,0.0,
2023-07-01 00:00:00,116,2020-06,6,500.0,500.0,500.0,500.0,30744.15,30244.15,0.0,
2023-09-01 00:00:00,18,2020-01,6,500.0,500.0,500.0,500.0,30867.75,30367.75,0.0,
2023-09-01 00:00:00,23,2020-02,8,500.0,500.0,500.0,500.0,30798.1,30298.1,0.0,
2023-09-01 00:00:00,60,2020-03,6,500.0,500.0,500.0,500.0,30845.9,30345.9,0.0,
2023-09-01 00:00:00,87,2020-05,6,500.0,500.0,500.0,500.0,30946.3,30446.3,0.0,
2023-09-01 00:00:00,89,2020-05,8,500.0,500.0,500.0,500.0,30862.4,30362.4,0.0,
2023-09-01 00:00:00,98,2020-05,8,500.0,500.0,500.0,500.0,30843.6,30343.6,0.0,
2023-09-01 00:00:00,116,2020-06,7,500.0,500.0,500.0,500.0,30965.9,30465.9,0.0,
2023-10-01 00:00:00,116,2020-06,8,500.0,500.0,500.0,500.0,30508.6,30008.6,0.0,
2024-02-01 00:00:00,18,2020-01,7,500.0,500.0,500.0,500.0,30834.25,30334.25,0.0,
2024-02-01 00:00:00,23,2020-02,9,500.0,500.0,500.0,500.0,30764.6,30264.6,0.0,
2024-02-01 00:00:00,60,2020-03,7,500.0,500.0,500.0,500.0,30812.4,30312.4,0.0,
2024-02-01 00:00:00,87,2020-05,7,500.0,500.0,500.0,500.0,30912.8,30412.8,0.0,
2024-02-01 00:00:00,89,2020-05,9,500.0,500.0,500.0,500.0,30828.9,30328.9,0.0,
2024-02-01 00:00:00,98,2020-05,9,500.0,500.0,500.0,500.0,30810.1,30310.1,0.0,
2024-02-01 00:00:00,249,2022-08,1,500.0,500.0,500.0,500.0,30638.3,30138.3,0.0,
2024-03-01 00:00:00,18,2020-01,8,500.0,500.0,500.0,500.0,31864.7,31364.7,0.0,
2024-03-01 00:00:00,23,2020-02,10,500.0,500.0,500.0,500.0,31795.05,31295.05,0.0,
2024-03-01 00:00:00,60,2020-03,8,500.0,500.0,500.0,500.0,31842.85,31342.85,0.0,
2024-03-01 00:00:00,87,2020-05,8,500.0,500.0,500.0,500.0,31943.25,31443.25,0.0,
2024-03-01 00:00:00,89,2020-05,10,500.0,500.0,500.0,500.0,31859.35,31359.35,0.0,
2024-03-01 00:00:00,98,2020-05,10,500.0,500.0,500.0,500.0,31840.55,31340.55,0.0,
2024-03-01 00:00:00,116,2020-06,9,500.0,500.0,500.0,500.0,31962.85,31462.85,0.0,
2024-03-01 00:00:00,153,2022-03,1,500.0,500.0,500.0,500.0,31085.1,30585.1,0.0,
2024-03-01 00:00:00,168,2022-04,1,500.0,500.0,500.0,500.0,31314.3,30814.3,0.0,
2024-03-01 00:00:00,220,2022-06,1,500.0,500.0,500.0,500.0,31958.65,31458.65,0.0,
2024-03-01 00:00:00,228,2022-07,1,500.0,500.0,500.0,500.0,30664.35,30164.35,0.0,
2024-03-01 00:00:00,232,2022-07,1,500.0,500.0,500.0,500.0,30556.5,30056.5,0.0,
2024-03-01 00:00:00,249,2022-08,2,500.0,500.0,500.0,500.0,31668.75,31168.75,0.0,
2024-03-01 00:00:00,250,2022-08,1,500.0,500.0,500.0,500.0,31259.4,30759.4,0.0,
2024-03-01 00:00:00,266,2022-09,1,500.0,500.0,500.0,500.0,31410.25,30910.25,0.0,
2024-03-01 00:00:00,325,2022-12,1,500.0,500.0,500.0,500.0,30555.3,30055.3,0.0,
2024-04-01 00:00:00,18,2020-01,9,500.0,500.0,500.0,500.0,31628.3,31128.3,0.0,
2024-04-01 00:00:00,23,2020-02,11,500.0,500.0,500.0,500.0,31558.65,31058.65,0.0,
2024-04-01 00:00:00,60,2020-03,9,500.0,500.0,500.0,500.0,31606.45,31106.45,0.0,
2024-04-01 00:00:00,87,2020-05,9,500.0,500.0,500.0,500.0,31706.85,31206.85,0.0,
2024-04-01 00:00:00,89,2020-05,11,500.0,500.0,500.0,500.0,31622.95,31122.95,0.0,
2024-04-01 00:00:00,98,2020-05,11,500.0,500.0,500.0,500.0,31604.15,31104.15,0.0,
2024-04-01 00:00:00,116,2020-06,10,500.0,500.0,500.0,500.0,31726.45,31226.45,0.0,
2024-04-01 00:00:00,153,2022-03,2,500.0,500.0,500.0,500.0,30848.7,30348.7,0.0,
2024-04-01 00:00:00,168,2022-04,2,500.0,500.0,500.0,500.0,31077.9,30577.9,0.0,
2024-04-01 00:00:00,220,2022-06,2,500.0,500.0,500.0,500.0,31722.25,31222.25,0.0,
2024-04-01 00:00:00,249,2022-08,3,500.0,500.0,500.0,500.0,31432.35,30932.35,0.0,
2024-04-01 00:00:00,250,2022-08,2,500.0,500.0,500.0,500.0,31023.0,30523.0,0.0,
2024-04-01 00:00:00,266,2022-09,2,500.0,500.0,500.0,500.0,31173.85,30673.85,0.0,
2024-04-01 00:00:00,311,2022-11,1,500.0,500.0,500.0,500.0,30624.8,30124.8,0.0,
2024-04-01 00:00:00,352,2023-01,1,500.0,500.0,500.0,500.0,30620.8,30120.8,0.0,
2024-05-01 00:00:00,18,2020-01,10,500.0,500.0,500.0,500.0,31031.7,30531.7,0.0,
2024-05-01 00:00:00,23,2020-02,12,500.0,500.0,500.0,500.0,30962.05,30462.05,0.0,
2024-05-01 00:00:00,60,2020-03,10,500.0,500.0,500.0,500.0,31009.85,30509.85,0.0,
2024-05-01 00:00:00,87,2020-05,10,500.0,500.0,500.0,500.0,31110.25,30610.25,0.0,
2024-05-01 00:00:00,89,2020-05,12,500.0,500.0,500.0,500.0,31026.35,30526.35,0.0,
2024-05-01 00:00:00,98,2020-05,12,500.0,500.0,500.0,500.0,31007.55,30507.55,0.0,
2024-05-01 00:00:00,116,2020-06,11,500.0,500.0,500.0,500.0,31129.85,30629.85,0.0,
2024-05-01 00:00:00,220,2022-06,3,500.0,500.0,500.0,500.0,31125.65,30625.65,0.0,
2024-05-01 00:00:00,249,2022-08,4,500.0,500.0,500.0,500.0,30835.75,30335.75,0.0,
2024-05-01 00:00:00,266,2022-09,3,500.0,500.0,500.0,500.0,30577.25,30077.25,0.0,
2024-06-01 00:00:00,18,2020-01,11,500.0,500.0,500.0,500.0,31718.2,31218.2,0.0,
2024-06-01 00:00:00,23,2020-02,13,500.0,500.0,500.0,500.0,31648.55,31148.55,0.0,
2024-06-01 00:00:00,60,2020-03,11,500.0,500.0,500.0,500.0,31696.35,31196.35,0.0,
2024-06-01 00:00:00,87,2020-05,11,500.0,500.0,500.0,500.0,31796.75,31296.75,0.0,
2024-06-01 00:00:00,89,2020-05,13,500.0,500.0,500.0,500.0,31712.85,31212.85,0.0,
2024-06-01 00:00:00,98,2020-05,13,500.0,500.0,500.0,500.0,31694.05,31194.05,0.0,
2024-06-01 00:00:00,116,2020-06,12,500.0,500.0,500.0,500.0,31816.35,31316.35,0.0,
2024-06-01 00:00:00,153,2022-03,3,500.0,500.0,500.0,500.0,31438.6,30938.6,0.0,
2024-06-01 00:00:00,168,2022-04,3,500.0,500.0,500.0,500.0,31667.8,31167.8,0.0,
2024-06-01 00:00:00,217,2022-06,1,500.0,500.0,500.0,500.0,31478.5,30978.5,0.0,
2024-06-01 00:00:00,220,2022-06,4,500.0,500.0,500.0,500.0,31812.15,31312.15,0.0,
2024-06-01 00:00:00,228,2022-07,2,500.0,500.0,500.0,500.0,31517.85,31017.85,0.0,
2024-06-01 00:00:00,232,2022-07,2,500.0,500.0,500.0,500.0,31410.0,30910.0,0.0,
2024-06-01 00:00:00,249,2022-08,5,500.0,500.0,500.0,500.0,31522.25,31022.25,0.0,
2024-06-01 00:00:00,250,2022-08,3,500.0,500.0,500.0,500.0,31612.9,31112.9,0.0,
2024-06-01 00:00:00,266,2022-09,4,500.0,500.0,500.0,500.0,31263.75,30763.75,0.0,
2024-06-01 00:00:00,311,2022-11,2,500.0,500.0,500.0,500.0,31214.7,30714.7,0.0,
2024-06-01 00:00:00,325,2022-12,2,500.0,500.0,500.0,500.0,31408.8,30908.8,0.0,
2024-06-01 00:00:00,352,2023-01,2,500.0,500.0,500.0,500.0,31210.7,30710.7,0.0,
2024-06-01 00:00:00,367,2023-02,1,500.0,500.0,500.0,500.0,31479.0,30979.0,0.0,
2024-07-01 00:00:00,18,2020-01,12,500.0,500.0,500.0,500.0,32995.75,32495.75,0.0,
2024-07-01 00:00:00,23,2020-02,14,500.0,500.0,500.0,500.0,32926.1,32426.1,0.0,
2024-07-01 00:00:00,60,2020-03,12,500.0,500.0,500.0,500.0,32973.9,32473.9,0.0,
2024-07-01 00:00:00,87,2020-05,12,500.0,500.0,500.0,500.0,33074.3,32574.3,0.0,
2024-07-01 00:00:00,89,2020-05,14,500.0,500.0,500.0,500.0,32990.4,32490.4,0.0,
2024-07-01 00:00:00,98,2020-05,14,500.0,500.0,500.0,500.0,32971.6,32471.6,0.0,
2024-07-01 00:00:00,116,2020-06,13,500.0,500.0,500.0,500.0,33093.9,32593.9,0.0,
2024-07-01 00:00:00,153,2022-03,4,500.0,500.0,500.0,500.0,32716.15,32216.15,0.0,
2024-07-01 00:00:00,168,2022-04,4,500.0,500.0,500.0,500.0,32945.35,32445.35,0.0,
2024-07-01 00:00:00,217,2022-06,2,500.0,500.0,500.0,500.0,32756.05,32256.05,0.0,
2024-07-01 00:00:00,220,2022-06,5,500.0,500.0,500.0,500.0,33089.7,32589.7,0.0,
2024-07-01 00:00:00,228,2022-07,3,500.0,500.0,500.0,500.0,32795.4,32295.4,0.0,
2024-07-01 00:00:00,232,2022-07,3,500.0,500.0,500.0,500.0,32687.55,32187.55,0.0,
2024-07-01 00:00:00,249,2022-08,6,500.0,500.0,500.0,500.0,32799.8,32299.8,0.0,
2024-07-01 00:00:00,250,2022-08,4,500.0,500.0,500.0,500.0,32890.45,32390.45,0.0,
2024-07-01 00:00:00,266,2022-09,5,500.0,500.0,500.0,500.0,32541.3,32041.3,0.0,
2024-07-01 00:00:00,311,2022-11,3,500.0,500.0,500.0,500.0,32492.25,31992.25,0.0,
2024-07-01 00:00:00,325,2022-12,3,500.0,500.0,500.0,500.0,32686.35,32186.35,0.0,
2024-07-01 00:00:00,352,2023-01,3,500.0,500.0,500.0,500.0,32488.25,31988.25,0.0,
2024-07-01 00:00:00,367,2023-02,2,500.0,500.0,500.0,500.0,32756.55,32256.55,0.0,
2024-08-01 00:00:00,18,2020-01,13,500.0,500.0,500.0,500.0,32489.65,31989.65,0.0,
2024-08-01 00:00:00,23,2020-02,15,500.0,500.0,500.0,500.0,32420.0,31920.0,0.0,
2024-08-01 00:00:00,60,2020-03,13,500.0,500.0,500.0,500.0,32467.8,31967.8,0.0,
2024-08-01 00:00:00,87,2020-05,13,500.0,500.0,500.0,500.0,32568.2,32068.2,0.0,
2024-08-01 00:00:00,89,2020-05,15,500.0,500.0,500.0,500.0,32484.3,31984.3,0.0,
2024-08-01 00:00:00,98,2020-05,15,500.0,500.0,500.0,500.0,32465.5,31965.5,0.0,
2024-08-01 00:00:00,116,2020-06,14,500.0,500.0,500.0,500.0,32587.8,32087.8,0.0,
2024-08-01 00:00:00,153,2022-03,5,500.0,500.0,500.0,500.0,32210.05,31710.05,0.0,
2024-08-01 00:00:00,168,2022-04,5,500.0,500.0,500.0,500.0,32439.25,31939.25,0.0,
2024-08-01 00:00:00,217,2022-06,3,500.0,500.0,500.0,500.0,32249.95,31749.95,0.0,
