account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2020-01-06 00:00:00,True,,,74,807.5,77.7,729.8,0.0,0.0,0
2,2020-01-06 00:00:00,True,,,93,-374.5,97.65,-472.15,0.0,0.0,0
3,2020-01-06 00:00:00,True,,,90,760.5,94.5,666.0,0.0,0.0,0
4,2020-01-06 00:00:00,True,,,106,-524.0,111.3,-635.3,0.0,0.0,0
5,2020-01-06 00:00:00,True,,,79,749.5,82.95,666.55,0.0,0.0,0
6,2020-01-13 00:00:00,True,,,44,-854.5,46.2,-900.7,0.0,0.0,0
7,2020-01-13 00:00:00,True,,,49,-843.5,51.45,-894.95,0.0,0.0,0
8,2020-01-13 00:00:00,True,,,67,-822.0,70.35,-892.35,0.0,0.0,0
9,2020-01-13 00:00:00,True,,,77,-808.5,80.85,-889.35,0.0,0.0,0
10,2020-01-13 00:00:00,True,,,89,758.5,93.45,665.05,0.0,0.0,0
11,2020-01-20 00:00:00,True,,,124,743.0,130.2,612.8,0.0,0.0,0
12,2020-01-20 00:00:00,True,,,136,825.5,142.8,682.7,0.0,0.0,0
13,2020-01-20 00:00:00,True,,,40,-515.0,42.0,-557.0,0.0,0.0,0
14,2020-01-20 00:00:00,True,,,122,852.5,128.1,724.4,0.0,0.0,0
15,2020-01-20 00:00:00,True,,,61,-408.0,64.05,-472.05,0.0,0.0,0
16,2020-01-27 00:00:00,True,,,135,1784.0,141.75,1642.25,0.0,0.0,0
17,2020-01-27 00:00:00,True,,,25,-892.0,26.25,-918.25,0.0,0.0,0
18,2020-01-27 00:00:00,True,,,6170,27698.0,6478.5,719.5,20500.0,20500.0,41
19,2020-01-27 00:00:00,True,,,114,-713.5,119.7,-833.2,0.0,0.0,0
20,2020-01-27 00:00:00,True,,,55,-334.5,57.75,-392.25,0.0,0.0,0
21,2020-02-03 00:00:00,True,,,53,-560.5,55.65,-616.15,0.0,0.0,0
22,2020-02-03 00:00:00,True,,,53,-560.5,55.65,-616.15,0.0,0.0,0
23,2020-02-03 00:00:00,True,,,6274,29810.0,6587.7,722.3,22500.0,22500.0,45
24,2020-02-03 00:00:00,True,,,65,-168.5,68.25,-236.75,0.0,0.0,0
25,2020-02-03 00:00:00,True,,,59,-385.5,61.95,-447.45,0.0,0.0,0
26,2020-02-10 00:00:00,True,,,74,-889.5,77.7,-967.2,0.0,0.0,0
27,2020-02-10 00:00:00,True,,,460,1110.5,483.0,627.5,0.0,0.0,0
28,2020-02-10 00:00:00,True,,,13,-834.0,13.65,-847.65,0.0,0.0,0
29,2020-02-10 00:00:00,True,,,13,-834.0,13.65,-847.65,0.0,0.0,0
30,2020-02-10 00:00:00,True,,,15,-833.0,15.75,-848.75,0.0,0.0,0
31,2020-02-17 00:00:00,True,,,46,-425.5,48.3,-473.8,0.0,0.0,0
32,2020-02-17 00:00:00,True,,,55,208.5,57.75,150.75,0.0,0.0,0
33,2020-02-17 00:00:00,True,,,54,309.0,56.7,252.3,0.0,0.0,0
34,2020-02-17 00:00:00,True,,,7002,29055.0,7352.1,702.9,21000.0,21000.0,42
35,2020-02-17 00:00:00,True,,,28,-754.0,29.4,-783.4,0.0,0.0,0
36,2020-02-24 00:00:00,True,,,20,-158.0,21.0,-179.0,0.0,0.0,0
37,2020-02-24 00:00:00,True,,,20,-158.0,21.0,-179.0,0.0,0.0,0
38,2020-02-24 00:00:00,True,,,19,-298.5,19.95,-318.45,0.0,0.0,0
39,2020-02-24 00:00:00,True,,,19,-175.5,19.95,-195.45,0.0,0.0,0
40,2020-02-24 00:00:00,True,,,19,-629.5,19.95,-649.45,0.0,0.0,0
41,2020-03-02 00:00:00,True,,,13,-812.0,13.65,-825.65,0.0,0.0,0
42,2020-03-02 00:00:00,True,,,18,-830.0,18.9,-848.9,0.0,0.0,0
43,2020-03-02 00:00:00,True,,,20,181.0,21.0,160.0,0.0,0.0,0
44,2020-03-02 00:00:00,True,,,20,181.0,21.0,160.0,0.0,0.0,0
45,2020-03-02 00:00:00,True,,,36,108.0,37.8,70.2,0.0,0.0,0
46,2020-03-09 00:00:00,True,,,41,-805.5,43.05,-848.55,0.0,0.0,0
47,2020-03-09 00:00:00,True,,,58,-807.5,60.9,-868.4,0.0,0.0,0
48,2020-03-09 00:00:00,True,,,72,-628.0,75.6,-703.6,0.0,0.0,0
49,2020-03-09 00:00:00,True,,,76,-780.0,79.8,-859.8,0.0,0.0,0
50,2020-03-09 00:00:00,True,,,76,-780.0,79.8,-859.8,0.0,0.0,0
51,2020-03-16 00:00:00,True,,,1,-673.0,1.05,-674.05,0.0,0.0,0
52,2020-03-16 00:00:00,True,,,90,-617.0,94.5,-711.5,0.0,0.0,0
53,2020-03-16 00:00:00,True,,,51,-597.5,53.55,-651.05,0.0,0.0,0
54,2020-03-16 00:00:00,True,,,138,-149.0,144.9,-293.9,0.0,0.0,0
55,2020-03-16 00:00:00,True,,,441,1160.5,463.05,697.45,0.0,0.0,0
56,2020-03-23 00:00:00,True,,,120,-563.0,126.0,-689.0,0.0,0.0,0
57,2020-03-23 00:00:00,True,,,1355,2023.5,1422.75,600.75,0.0,0.0,0
58,2020-03-23 00:00:00,True,,,1366,2123.5,1434.3,689.2,0.0,0.0,0
59,2020-03-23 00:00:00,True,,,70,-781.5,73.5,-855.0,0.0,0.0,0
60,2020-03-23 00:00:00,True,,,2571,3302.5,2699.55,602.95,0.0,0.0,0
61,2020-03-30 00:00:00,True,,,58,-244.0,60.9,-304.9,0.0,0.0,0
62,2020-03-30 00:00:00,True,,,137,489.5,143.85,345.65,0.0,0.0,0
63,2020-03-30 00:00:00,True,,,79,-433.0,82.95,-515.95,0.0,0.0,0
64,2020-03-30 00:00:00,True,,,38,358.5,39.9,318.6,0.0,0.0,0
65,2020-03-30 00:00:00,True,,,111,226.0,116.55,109.45,0.0,0.0,0
66,2020-04-06 00:00:00,True,,,429,1148.0,450.45,697.55,0.0,0.0,0
67,2020-04-06 00:00:00,True,,,1416,2153.5,1486.8,666.7,0.0,0.0,0
68,2020-04-06 00:00:00,True,,,90,395.5,94.5,301.0,0.0,0.0,0
69,2020-04-06 00:00:00,True,,,138,410.5,144.9,265.6,0.0,0.0,0
70,2020-04-06 00:00:00,True,,,70,-435.0,73.5,-508.5,0.0,0.0,0
71,2020-04-13 00:00:00,True,,,171,309.0,179.55,129.45,0.0,0.0,0
72,2020-04-13 00:00:00,True,,,185,582.5,194.25,388.25,0.0,0.0,0
73,2020-04-13 00:00:00,True,,,356,1001.5,373.8,627.7,0.0,0.0,0
74,2020-04-13 00:00:00,True,,,149,663.0,156.45,506.55,0.0,0.0,0
75,2020-04-13 00:00:00,True,,,218,927.0,228.9,698.1,0.0,0.0,0
76,2020-04-20 00:00:00,True,,,92,-612.0,96.6,-708.6,0.0,0.0,0
77,2020-04-20 00:00:00,True,,,71,-270.0,74.55,-344.55,0.0,0.0,0
78,2020-04-20 00:00:00,True,,,160,23.5,168.0,-144.5,0.0,0.0,0
79,2020-04-20 00:00:00,True,,,161,-393.5,169.05,-562.55,0.0,0.0,0
80,2020-04-20 00:00:00,True,,,211,904.5,221.55,682.95,0.0,0.0,0
81,2020-04-27 00:00:00,True,,,171,-309.0,179.55,-488.55,0.0,0.0,0
82,2020-04-27 00:00:00,True,,,68,476.5,71.4,405.1,0.0,0.0,0
83,2020-04-27 00:00:00,True,,,204,716.5,214.2,502.3,0.0,0.0,0
84,2020-04-27 00:00:00,True,,,2616,4391.5,2746.8,1644.7,0.0,0.0,0
85,2020-04-27 00:00:00,True,,,69,669.5,72.45,597.05,0.0,0.0,0
86,2020-05-04 00:00:00,True,,,218,520.0,228.9,291.1,0.0,0.0,0
87,2020-05-04 00:00:00,True,,,7124,30701.0,7480.2,720.8,22500.0,22500.0,45
88,2020-05-04 00:00:00,True,,,91,-105.5,95.55,-201.05,0.0,0.0,0
89,2020-05-04 00:00:00,True,,,8443,39557.0,8865.15,7191.85,23500.0,23500.0,47
90,2020-05-04 00:00:00,True,,,251,771.5,263.55,507.95,0.0,0.0,0
91,2020-05-11 00:00:00,True,,,137,-675.0,143.85,-818.85,0.0,0.0,0
92,2020-05-11 00:00:00,True,,,392,1109.5,411.6,697.9,0.0,0.0,0
93,2020-05-11 00:00:00,True,,,399,1117.0,418.95,698.05,0.0,0.0,0
94,2020-05-11 00:00:00,True,,,168,-734.0,176.4,-910.4,0.0,0.0,0
95,2020-05-11 00:00:00,True,,,106,-717.5,111.3,-828.8,0.0,0.0,0
96,2020-05-18 00:00:00,True,,,92,1053.0,96.6,956.4,0.0,0.0,0
97,2020-05-18 00:00:00,True,,,158,160.0,165.9,-5.9,0.0,0.0,0
98,2020-05-18 00:00:00,True,,,7606,31186.0,7986.3,699.7,22500.0,22500.0,45
99,2020-05-18 00:00:00,True,,,1382,2063.0,1451.1,611.9,0.0,0.0,0
100,2020-05-18 00:00:00,True,,,172,877.5,180.6,696.9,0.0,0.0,0
101,2020-05-25 00:00:00,True,,,77,-663.5,80.85,-744.35,0.0,0.0,0
102,2020-05-25 00:00:00,True,,,67,-712.0,70.35,-782.35,0.0,0.0,0
103,2020-05-25 00:00:00,True,,,93,-688.5,97.65,-786.15,0.0,0.0,0
104,2020-05-25 00:00:00,True,,,202,932.0,212.1,719.9,0.0,0.0,0
105,2020-05-25 00:00:00,True,,,60,-794.0,63.0,-857.0,0.0,0.0,0
106,2020-06-01 00:00:00,True,,,202,83.0,212.1,-129.1,0.0,0.0,0
107,2020-06-01 00:00:00,True,,,167,-240.0,175.35,-415.35,0.0,0.0,0
108,2020-06-01 00:00:00,True,,,155,-350.5,162.75,-513.25,0.0,0.0,0
109,2020-06-01 00:00:00,True,,,87,-631.5,91.35,-722.85,0.0,0.0,0
110,2020-06-01 00:00:00,True,,,97,-621.0,101.85,-722.85,0.0,0.0,0
111,2020-06-08 00:00:00,True,,,404,1091.0,424.2,666.8,0.0,0.0,0
112,2020-06-08 00:00:00,True,,,171,-364.0,179.55,-543.55,0.0,0.0,0
113,2020-06-08 00:00:00,True,,,6335,35341.0,6651.75,7189.25,21500.0,21500.0,43
114,2020-06-08 00:00:00,True,,,123,347.5,129.15,218.35,0.0,0.0,0
115,2020-06-08 00:00:00,True,,,108,-631.0,113.4,-744.4,0.0,0.0,0
116,2020-06-15 00:00:00,True,,,7641,39220.0,8023.05,7196.95,24000.0,24000.0,48
117,2020-06-15 00:00:00,True,,,79,-671.5,82.95,-754.45,0.0,0.0,0
118,2020-06-15 00:00:00,True,,,122,-509.0,128.1,-637.1,0.0,0.0,0
119,2020-06-15 00:00:00,True,,,79,-550.5,82.95,-633.45,0.0,0.0,0
120,2020-06-15 00:00:00,True,,,92,-494.5,96.6,-591.1,0.0,0.0,0
