at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2023-03-22 00:00:00,23,2020-02,1,500.0,500.0,500.0,500.0,32493.5,31993.5,0.0,
2023-03-22 00:00:00,87,2020-05,1,500.0,500.0,500.0,500.0,32500.4,32000.4,0.0,
2023-03-22 00:00:00,89,2020-05,1,500.0,500.0,500.0,500.0,32490.45,31990.45,0.0,
2023-03-22 00:00:00,98,2020-05,1,500.0,500.0,500.0,500.0,32495.15,31995.15,0.0,
2023-03-22 00:00:00,116,2020-06,1,500.0,500.0,500.0,500.0,32491.95,31991.95,0.0,
2023-04-14 00:00:00,23,2020-02,2,500.0,500.0,500.0,500.0,32720.85,32220.85,0.0,
2023-04-14 00:00:00,87,2020-05,2,500.0,500.0,500.0,500.0,32727.75,32227.75,0.0,
2023-04-14 00:00:00,89,2020-05,2,500.0,500.0,500.0,500.0,32717.8,32217.8,0.0,
2023-04-14 00:00:00,98,2020-05,2,500.0,500.0,500.0,500.0,32722.5,32222.5,0.0,
2023-04-14 00:00:00,116,2020-06,2,500.0,500.0,500.0,500.0,32719.3,32219.3,0.0,
2023-05-27 00:00:00,23,2020-02,3,500.0,500.0,500.0,500.0,32430.05,31930.05,0.0,
2023-05-27 00:00:00,87,2020-05,3,500.0,500.0,500.0,500.0,32436.95,31936.95,0.0,
2023-05-27 00:00:00,89,2020-05,3,500.0,500.0,500.0,500.0,32427.0,31927.0,0.0,
2023-05-27 00:00:00,98,2020-05,3,500.0,500.0,500.0,500.0,32431.7,31931.7,0.0,
2023-05-27 00:00:00,116,2020-06,3,500.0,500.0,500.0,500.0,32428.5,31928.5,0.0,
2023-06-13 00:00:00,34,2020-02,1,500.0,500.0,500.0,500.0,32496.8,31996.8,0.0,
2023-07-19 00:00:00,23,2020-02,4,500.0,500.0,500.0,500.0,32516.5,32016.5,0.0,
2023-07-19 00:00:00,87,2020-05,4,500.0,500.0,500.0,500.0,32523.4,32023.4,0.0,
2023-07-19 00:00:00,89,2020-05,4,500.0,500.0,500.0,500.0,32513.45,32013.45,0.0,
2023-07-19 00:00:00,98,2020-05,4,500.0,500.0,500.0,500.0,32518.15,32018.15,0.0,
2023-07-19 00:00:00,116,2020-06,4,500.0,500.0,500.0,500.0,32514.95,32014.95,0.0,
