at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2025-04-14 00:00:00,62,2021-01,1,1214.05,1214.05,1214.05,1214.05,32814.05,31600.0,0.0,
2025-04-14 00:00:00,63,2021-01,1,1539.05,1500.0,1500.0,1500.0,33139.05,31639.05,0.0,maximum_payout
2025-04-14 00:00:00,64,2021-01,1,2372.55,1500.0,1500.0,1500.0,33972.55,32472.55,0.0,maximum_payout
2025-04-14 00:00:00,73,2021-03,1,1716.7,1500.0,1500.0,1500.0,33316.7,31816.7,0.0,maximum_payout
2025-04-14 00:00:00,74,2021-03,1,1003.2,1003.2,1003.2,1003.2,32603.2,31600.0,0.0,
2025-04-14 00:00:00,75,2021-03,1,932.7,932.7,932.7,932.7,32532.7,31600.0,0.0,
2025-04-21 00:00:00,71,2021-03,1,745.55,745.55,745.55,745.55,32345.55,31600.0,0.0,
2025-04-21 00:00:00,72,2021-03,1,500.05,500.05,500.05,500.05,32100.05,31600.0,0.0,
2025-04-28 00:00:00,65,2021-01,1,551.65,551.65,551.65,551.65,32151.65,31600.0,0.0,
2025-04-28 00:00:00,67,2021-02,1,541.7,541.7,541.7,541.7,32141.7,31600.0,0.0,
2025-05-05 00:00:00,64,2021-01,2,780.35,780.35,780.35,780.35,32380.35,31600.0,0.0,
2025-05-05 00:00:00,73,2021-03,2,577.55,577.55,577.55,577.55,32177.55,31600.0,0.0,
2025-05-19 00:00:00,75,2021-03,2,507.8,507.8,507.8,507.8,32107.8,31600.0,0.0,
2025-06-09 00:00:00,74,2021-03,2,631.15,631.15,631.15,631.15,32231.15,31600.0,0.0,
2025-09-08 00:00:00,75,2021-03,3,517.05,517.05,517.05,517.05,32117.05,31600.0,0.0,
2025-10-20 00:00:00,74,2021-03,3,632.2,632.2,632.2,632.2,32232.2,31600.0,0.0,
2025-10-20 00:00:00,75,2021-03,4,677.5,677.5,677.5,677.5,32277.5,31600.0,0.0,
2025-10-20 00:00:00,76,2021-04,1,515.4,515.4,515.4,515.4,32115.4,31600.0,0.0,
2025-10-27 00:00:00,73,2021-03,3,635.25,635.25,635.25,635.25,32235.25,31600.0,0.0,
2025-11-17 00:00:00,78,2021-04,1,648.35,648.35,648.35,648.35,32248.35,31600.0,0.0,
2025-11-24 00:00:00,63,2021-01,2,820.05,820.05,820.05,820.05,32420.05,31600.0,0.0,
2025-11-24 00:00:00,64,2021-01,3,880.7,880.7,880.7,880.7,32480.7,31600.0,0.0,
2025-11-24 00:00:00,65,2021-01,2,1045.4,1045.4,1045.4,1045.4,32645.4,31600.0,0.0,
2025-11-24 00:00:00,67,2021-02,2,651.4,651.4,651.4,651.4,32251.4,31600.0,0.0,
2025-11-24 00:00:00,118,2021-12,1,857.65,857.65,857.65,857.65,32457.65,31600.0,0.0,
2025-12-15 00:00:00,116,2021-12,1,575.85,575.85,575.85,575.85,32175.85,31600.0,0.0,
2025-12-15 00:00:00,117,2021-12,1,753.35,753.35,753.35,753.35,32353.35,31600.0,0.0,
2025-12-15 00:00:00,118,2021-12,2,595.2,595.2,595.2,595.2,32195.2,31600.0,0.0,
2025-12-29 00:00:00,62,2021-01,2,500.65,500.65,500.65,500.65,32100.65,31600.0,0.0,
2026-01-26 00:00:00,67,2021-02,3,508.7,508.7,508.7,508.7,32108.7,31600.0,0.0,
2026-07-13 21:30:40,13,2020-03,1,1000000000.0,1500.0,1500.0,1500.0,28085.55,26585.55,0.0,maximum_payout
2026-07-13 21:30:40,16,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,28162.65,26662.65,0.0,maximum_payout
2026-07-13 21:30:40,21,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,28707.55,27207.55,0.0,maximum_payout
2026-07-13 21:30:40,22,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,28836.55,27336.55,0.0,maximum_payout
2026-07-13 21:30:40,23,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,30431.55,28931.55,0.0,maximum_payout
2026-07-13 21:30:40,24,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,28649.55,27149.55,0.0,maximum_payout
2026-07-13 21:30:40,25,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,28517.05,27017.05,0.0,maximum_payout
2026-07-13 21:30:40,26,2020-06,1,1000000000.0,1500.0,1500.0,1500.0,27835.6,26335.6,0.0,maximum_payout
2026-07-13 21:30:40,62,2021-01,3,1000000000.0,1500.0,1500.0,1500.0,31277.05,29777.05,0.0,maximum_payout
2026-07-13 21:30:40,63,2021-01,3,1000000000.0,1500.0,1500.0,1500.0,31452.7,29952.7,0.0,maximum_payout
2026-07-13 21:30:40,64,2021-01,4,1000000000.0,1500.0,1500.0,1500.0,31360.7,29860.7,0.0,maximum_payout
2026-07-13 21:30:40,65,2021-01,3,1000000000.0,1500.0,1500.0,1500.0,30851.7,29351.7,0.0,maximum_payout
2026-07-13 21:30:40,67,2021-02,4,1000000000.0,1500.0,1500.0,1500.0,30292.0,28792.0,0.0,maximum_payout
2026-07-13 21:30:40,69,2021-02,1,1000000000.0,1500.0,1500.0,1500.0,31499.8,29999.8,0.0,maximum_payout
2026-07-13 21:30:40,70,2021-02,1,1000000000.0,1500.0,1500.0,1500.0,31852.8,30352.8,0.0,maximum_payout
2026-07-13 21:30:40,71,2021-03,2,1000000000.0,1500.0,1500.0,1500.0,31373.85,29873.85,0.0,maximum_payout
2026-07-13 21:30:40,72,2021-03,2,1000000000.0,1500.0,1500.0,1500.0,31456.35,29956.35,0.0,maximum_payout
2026-07-13 21:30:40,73,2021-03,4,1000000000.0,1500.0,1500.0,1500.0,31799.6,30299.6,0.0,maximum_payout
2026-07-13 21:30:40,74,2021-03,4,1000000000.0,1500.0,1500.0,1500.0,31513.35,30013.35,0.0,maximum_payout
2026-07-13 21:30:40,75,2021-03,5,1000000000.0,1500.0,1500.0,1500.0,31449.85,29949.85,0.0,maximum_payout
2026-07-13 21:30:40,76,2021-04,2,1000000000.0,1500.0,1500.0,1500.0,30874.85,29374.85,0.0,maximum_payout
2026-07-13 21:30:40,77,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,31184.25,29684.25,0.0,maximum_payout
2026-07-13 21:30:40,78,2021-04,2,1000000000.0,1500.0,1500.0,1500.0,30100.9,28600.9,0.0,maximum_payout
2026-07-13 21:30:40,79,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,29187.75,27687.75,0.0,maximum_payout
2026-07-13 21:30:40,81,2021-05,1,1000000000.0,1500.0,1500.0,1500.0,28628.75,27128.75,0.0,maximum_payout
2026-07-13 21:30:40,82,2021-05,1,1000000000.0,1500.0,1500.0,1500.0,28987.25,27487.25,0.0,maximum_payout
