at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2023-04-01 00:00:00,94,2021-07,1,500.0,500.0,500.0,500.0,31051.05,30551.05,0.0,
2023-04-01 00:00:00,104,2021-09,1,500.0,500.0,500.0,500.0,30985.75,30485.75,0.0,
2023-04-01 00:00:00,131,2022-03,1,500.0,500.0,500.0,500.0,30544.05,30044.05,0.0,
2023-05-01 00:00:00,5,2020-01,1,500.0,500.0,500.0,500.0,30970.65,30470.65,0.0,
2023-05-01 00:00:00,73,2021-03,1,500.0,500.0,500.0,500.0,30941.85,30441.85,0.0,
2023-05-01 00:00:00,94,2021-07,2,500.0,500.0,500.0,500.0,31188.7,30688.7,0.0,
2023-05-01 00:00:00,104,2021-09,2,500.0,500.0,500.0,500.0,31123.4,30623.4,0.0,
2023-05-01 00:00:00,131,2022-03,2,500.0,500.0,500.0,500.0,30681.7,30181.7,0.0,
2023-05-01 00:00:00,134,2022-03,1,500.0,500.0,500.0,500.0,30971.65,30471.65,0.0,
2023-05-01 00:00:00,151,2022-07,1,500.0,500.0,500.0,500.0,30662.5,30162.5,0.0,
2023-06-01 00:00:00,94,2021-07,3,500.0,500.0,500.0,500.0,30701.0,30201.0,0.0,
2023-06-01 00:00:00,104,2021-09,3,500.0,500.0,500.0,500.0,30635.7,30135.7,0.0,
2023-07-01 00:00:00,5,2020-01,2,500.0,500.0,500.0,500.0,30720.7,30220.7,0.0,
2023-07-01 00:00:00,73,2021-03,2,500.0,500.0,500.0,500.0,30691.9,30191.9,0.0,
2023-07-01 00:00:00,134,2022-03,2,500.0,500.0,500.0,500.0,30721.7,30221.7,0.0,
2023-08-01 00:00:00,94,2021-07,4,500.0,500.0,500.0,500.0,30535.25,30035.25,0.0,
2023-08-01 00:00:00,131,2022-03,3,500.0,500.0,500.0,500.0,30528.25,30028.25,0.0,
2023-08-01 00:00:00,151,2022-07,2,500.0,500.0,500.0,500.0,30509.05,30009.05,0.0,
2023-09-01 00:00:00,5,2020-01,3,500.0,500.0,500.0,500.0,30942.45,30442.45,0.0,
2023-09-01 00:00:00,73,2021-03,3,500.0,500.0,500.0,500.0,30913.65,30413.65,0.0,
2023-09-01 00:00:00,94,2021-07,5,500.0,500.0,500.0,500.0,30660.5,30160.5,0.0,
2023-09-01 00:00:00,104,2021-09,4,500.0,500.0,500.0,500.0,31095.2,30595.2,0.0,
2023-09-01 00:00:00,131,2022-03,4,500.0,500.0,500.0,500.0,30653.5,30153.5,0.0,
2023-09-01 00:00:00,134,2022-03,3,500.0,500.0,500.0,500.0,30943.45,30443.45,0.0,
2023-09-01 00:00:00,151,2022-07,3,500.0,500.0,500.0,500.0,30634.3,30134.3,0.0,
2023-10-01 00:00:00,104,2021-09,5,500.0,500.0,500.0,500.0,30637.9,30137.9,0.0,
2024-02-01 00:00:00,5,2020-01,4,500.0,500.0,500.0,500.0,30908.95,30408.95,0.0,
2024-02-01 00:00:00,36,2020-08,1,500.0,500.0,500.0,500.0,30897.75,30397.75,0.0,
2024-02-01 00:00:00,73,2021-03,4,500.0,500.0,500.0,500.0,30880.15,30380.15,0.0,
2024-02-01 00:00:00,94,2021-07,6,500.0,500.0,500.0,500.0,30627.0,30127.0,0.0,
2024-02-01 00:00:00,104,2021-09,6,500.0,500.0,500.0,500.0,30561.7,30061.7,0.0,
2024-02-01 00:00:00,131,2022-03,5,500.0,500.0,500.0,500.0,30620.0,30120.0,0.0,
2024-02-01 00:00:00,134,2022-03,4,500.0,500.0,500.0,500.0,30909.95,30409.95,0.0,
2024-02-01 00:00:00,151,2022-07,4,500.0,500.0,500.0,500.0,30600.8,30100.8,0.0,
2024-03-01 00:00:00,5,2020-01,5,500.0,500.0,500.0,500.0,31939.4,31439.4,0.0,
2024-03-01 00:00:00,36,2020-08,2,500.0,500.0,500.0,500.0,31928.2,31428.2,0.0,
2024-03-01 00:00:00,73,2021-03,5,500.0,500.0,500.0,500.0,31910.6,31410.6,0.0,
2024-03-01 00:00:00,94,2021-07,7,500.0,500.0,500.0,500.0,31657.45,31157.45,0.0,
2024-03-01 00:00:00,104,2021-09,7,500.0,500.0,500.0,500.0,31592.15,31092.15,0.0,
2024-03-01 00:00:00,131,2022-03,6,500.0,500.0,500.0,500.0,31650.45,31150.45,0.0,
2024-03-01 00:00:00,134,2022-03,5,500.0,500.0,500.0,500.0,31940.4,31440.4,0.0,
2024-03-01 00:00:00,151,2022-07,5,500.0,500.0,500.0,500.0,31631.25,31131.25,0.0,
2024-03-01 00:00:00,165,2022-09,1,500.0,500.0,500.0,500.0,31012.6,30512.6,0.0,
2024-03-01 00:00:00,186,2023-02,1,500.0,500.0,500.0,500.0,30588.1,30088.1,0.0,
2024-03-01 00:00:00,193,2023-03,1,500.0,500.0,500.0,500.0,30694.2,30194.2,0.0,
2024-04-01 00:00:00,5,2020-01,6,500.0,500.0,500.0,500.0,31703.0,31203.0,0.0,
2024-04-01 00:00:00,36,2020-08,3,500.0,500.0,500.0,500.0,31691.8,31191.8,0.0,
2024-04-01 00:00:00,73,2021-03,6,500.0,500.0,500.0,500.0,31674.2,31174.2,0.0,
2024-04-01 00:00:00,94,2021-07,8,500.0,500.0,500.0,500.0,31421.05,30921.05,0.0,
2024-04-01 00:00:00,104,2021-09,8,500.0,500.0,500.0,500.0,31355.75,30855.75,0.0,
2024-04-01 00:00:00,131,2022-03,7,500.0,500.0,500.0,500.0,31414.05,30914.05,0.0,
2024-04-01 00:00:00,134,2022-03,6,500.0,500.0,500.0,500.0,31704.0,31204.0,0.0,
2024-04-01 00:00:00,151,2022-07,6,500.0,500.0,500.0,500.0,31394.85,30894.85,0.0,
2024-04-01 00:00:00,165,2022-09,2,500.0,500.0,500.0,500.0,30776.2,30276.2,0.0,
2024-05-01 00:00:00,5,2020-01,7,500.0,500.0,500.0,500.0,31106.4,30606.4,0.0,
2024-05-01 00:00:00,36,2020-08,4,500.0,500.0,500.0,500.0,31095.2,30595.2,0.0,
2024-05-01 00:00:00,73,2021-03,7,500.0,500.0,500.0,500.0,31077.6,30577.6,0.0,
2024-05-01 00:00:00,94,2021-07,9,500.0,500.0,500.0,500.0,30824.45,30324.45,0.0,
2024-05-01 00:00:00,104,2021-09,9,500.0,500.0,500.0,500.0,30759.15,30259.15,0.0,
2024-05-01 00:00:00,131,2022-03,8,500.0,500.0,500.0,500.0,30817.45,30317.45,0.0,
2024-05-01 00:00:00,134,2022-03,7,500.0,500.0,500.0,500.0,31107.4,30607.4,0.0,
2024-05-01 00:00:00,151,2022-07,7,500.0,500.0,500.0,500.0,30798.25,30298.25,0.0,
2024-06-01 00:00:00,5,2020-01,8,500.0,500.0,500.0,500.0,31792.9,31292.9,0.0,
2024-06-01 00:00:00,36,2020-08,5,500.0,500.0,500.0,500.0,31781.7,31281.7,0.0,
2024-06-01 00:00:00,73,2021-03,8,500.0,500.0,500.0,500.0,31764.1,31264.1,0.0,
2024-06-01 00:00:00,94,2021-07,10,500.0,500.0,500.0,500.0,31510.95,31010.95,0.0,
