at,kind,amount_usd,cash_after_usd
2020-01-01T00:00:00,owner_contribution,5000,5000.0
2020-01-01T00:00:00,account_purchase,-200.0,4800.0
2020-02-01T00:00:00,owner_contribution,200,5000.0
2020-02-01T00:00:00,account_purchase,-200.0,4800.0
2020-03-01T00:00:00,owner_contribution,200,5000.0
2020-03-01T00:00:00,account_purchase,-200.0,4800.0
2020-04-01T00:00:00,owner_contribution,200,5000.0
2020-04-01T00:00:00,account_purchase,-200.0,4800.0
2020-05-01T00:00:00,owner_contribution,200,5000.0
2020-05-01T00:00:00,account_purchase,-200.0,4800.0
2020-06-01T00:00:00,owner_contribution,200,5000.0
2020-06-01T00:00:00,account_purchase,-200.0,4800.0
2020-07-01T00:00:00,owner_contribution,200,5000.0
2020-07-01T00:00:00,account_purchase,-200.0,4800.0
2020-08-01T00:00:00,owner_contribution,200,5000.0
2020-08-01T00:00:00,account_purchase,-200.0,4800.0
2020-09-01T00:00:00,owner_contribution,200,5000.0
2020-09-01T00:00:00,account_purchase,-200.0,4800.0
2020-10-01T00:00:00,owner_contribution,200,5000.0
2020-10-01T00:00:00,account_purchase,-200.0,4800.0
2020-11-01T00:00:00,owner_contribution,200,5000.0
2020-11-01T00:00:00,account_purchase,-200.0,4800.0
2020-12-01T00:00:00,owner_contribution,200,5000.0
2020-12-01T00:00:00,account_purchase,-200.0,4800.0
2021-01-01T00:00:00,owner_contribution,200,5000.0
2021-01-01T00:00:00,account_purchase,-200.0,4800.0
2021-02-01T00:00:00,owner_contribution,200,5000.0
2021-02-01T00:00:00,account_purchase,-200.0,4800.0
2021-03-01T00:00:00,owner_contribution,200,5000.0
2021-03-01T00:00:00,account_purchase,-200.0,4800.0
2021-04-01T00:00:00,owner_contribution,200,5000.0
2021-04-01T00:00:00,account_purchase,-200.0,4800.0
2021-05-01T00:00:00,owner_contribution,200,5000.0
2021-05-01T00:00:00,account_purchase,-200.0,4800.0
2021-06-01T00:00:00,owner_contribution,200,5000.0
2021-06-01T00:00:00,account_purchase,-200.0,4800.0
2021-07-01T00:00:00,owner_contribution,200,5000.0
2021-07-01T00:00:00,account_purchase,-200.0,4800.0
2021-08-01T00:00:00,owner_contribution,200,5000.0
2021-08-01T00:00:00,account_purchase,-200.0,4800.0
2021-09-01T00:00:00,owner_contribution,200,5000.0
2021-09-01T00:00:00,account_purchase,-200.0,4800.0
2021-10-01T00:00:00,owner_contribution,200,5000.0
2021-10-01T00:00:00,account_purchase,-200.0,4800.0
2021-11-01T00:00:00,owner_contribution,200,5000.0
2021-11-01T00:00:00,account_purchase,-200.0,4800.0
2021-12-01T00:00:00,owner_contribution,200,5000.0
2021-12-01T00:00:00,account_purchase,-200.0,4800.0
2022-01-01T00:00:00,owner_contribution,200,5000.0
2022-01-01T00:00:00,account_purchase,-200.0,4800.0
2022-02-01T00:00:00,owner_contribution,200,5000.0
2022-02-01T00:00:00,account_purchase,-200.0,4800.0
2022-03-01T00:00:00,payout_received,500.0,5300.0
2022-03-01T00:00:00,payout_received,500.0,5800.0
2022-03-01T00:00:00,payout_received,500.0,6300.0
2022-03-01T00:00:00,payout_received,500.0,6800.0
2022-03-01T00:00:00,payout_received,500.0,7300.0
2022-03-01T00:00:00,owner_contribution,200,7500.0
2022-03-01T00:00:00,account_purchase,-200.0,7300.0
2022-04-01T00:00:00,payout_received,500.0,7800.0
2022-04-01T00:00:00,payout_received,500.0,8300.0
2022-04-01T00:00:00,payout_received,500.0,8800.0
2022-04-01T00:00:00,payout_received,500.0,9300.0
2022-04-01T00:00:00,payout_received,500.0,9800.0
2022-04-01T00:00:00,owner_contribution,200,10000.0
2022-04-01T00:00:00,account_purchase,-200.0,9800.0
2022-05-01T00:00:00,payout_received,500.0,10300.0
2022-05-01T00:00:00,payout_received,500.0,10800.0
2022-05-01T00:00:00,payout_received,500.0,11300.0
2022-05-01T00:00:00,payout_received,500.0,11800.0
2022-05-01T00:00:00,payout_received,500.0,12300.0
2022-05-01T00:00:00,payout_received,500.0,12800.0
2022-05-01T00:00:00,owner_contribution,200,13000.0
2022-05-01T00:00:00,account_purchase,-200.0,12800.0
2022-06-01T00:00:00,payout_received,500.0,13300.0
2022-06-01T00:00:00,payout_received,500.0,13800.0
2022-06-01T00:00:00,owner_contribution,200,14000.0
2022-06-01T00:00:00,account_purchase,-200.0,13800.0
2022-07-01T00:00:00,owner_contribution,200,14000.0
2022-07-01T00:00:00,account_purchase,-200.0,13800.0
2022-08-01T00:00:00,payout_received,500.0,14300.0
2022-08-01T00:00:00,owner_contribution,200,14500.0
2022-08-01T00:00:00,account_purchase,-200.0,14300.0
2022-09-01T00:00:00,payout_received,500.0,14800.0
2022-09-01T00:00:00,payout_received,500.0,15300.0
2022-09-01T00:00:00,payout_received,500.0,15800.0
2022-09-01T00:00:00,payout_received,500.0,16300.0
2022-09-01T00:00:00,payout_received,500.0,16800.0
2022-09-01T00:00:00,payout_received,500.0,17300.0
2022-09-01T00:00:00,owner_contribution,200,17500.0
2022-09-01T00:00:00,account_purchase,-200.0,17300.0
2022-10-01T00:00:00,payout_received,500.0,17800.0
2022-10-01T00:00:00,payout_received,500.0,18300.0
2022-10-01T00:00:00,payout_received,500.0,18800.0
2022-10-01T00:00:00,payout_received,500.0,19300.0
2022-10-01T00:00:00,payout_received,500.0,19800.0
2022-10-01T00:00:00,payout_received,500.0,20300.0
2022-10-01T00:00:00,owner_contribution,200,20500.0
2022-10-01T00:00:00,account_purchase,-200.0,20300.0
2022-11-01T00:00:00,payout_received,500.0,20800.0
2022-11-01T00:00:00,payout_received,500.0,21300.0
2022-11-01T00:00:00,payout_received,500.0,21800.0
2022-11-01T00:00:00,payout_received,500.0,22300.0
2022-11-01T00:00:00,payout_received,500.0,22800.0
2022-11-01T00:00:00,payout_received,500.0,23300.0
2022-11-01T00:00:00,owner_contribution,200,23500.0
2022-11-01T00:00:00,account_purchase,-200.0,23300.0
2022-12-01T00:00:00,payout_received,500.0,23800.0
2022-12-01T00:00:00,payout_received,500.0,24300.0
2022-12-01T00:00:00,payout_received,500.0,24800.0
2022-12-01T00:00:00,payout_received,500.0,25300.0
2022-12-01T00:00:00,payout_received,500.0,25800.0
2022-12-01T00:00:00,owner_contribution,200,26000.0
2022-12-01T00:00:00,account_purchase,-200.0,25800.0
2023-01-01T00:00:00,owner_contribution,200,26000.0
2023-01-01T00:00:00,account_purchase,-200.0,25800.0
2023-02-01T00:00:00,payout_received,500.0,26300.0
2023-02-01T00:00:00,owner_contribution,200,26500.0
2023-02-01T00:00:00,account_purchase,-200.0,26300.0
2023-03-01T00:00:00,payout_received,500.0,26800.0
2023-03-01T00:00:00,owner_contribution,200,27000.0
2023-03-01T00:00:00,account_purchase,-200.0,26800.0
2023-04-01T00:00:00,payout_received,500.0,27300.0
2023-04-01T00:00:00,payout_received,500.0,27800.0
2023-04-01T00:00:00,payout_received,500.0,28300.0
2023-04-01T00:00:00,payout_received,500.0,28800.0
2023-04-01T00:00:00,payout_received,500.0,29300.0
2023-04-01T00:00:00,payout_received,500.0,29800.0
2023-04-01T00:00:00,payout_received,500.0,30300.0
2023-04-01T00:00:00,owner_contribution,200,30500.0
2023-04-01T00:00:00,account_purchase,-200.0,30300.0
2023-05-01T00:00:00,payout_received,500.0,30800.0
2023-05-01T00:00:00,payout_received,500.0,31300.0
2023-05-01T00:00:00,payout_received,500.0,31800.0
2023-05-01T00:00:00,payout_received,500.0,32300.0
2023-05-01T00:00:00,payout_received,500.0,32800.0
2023-05-01T00:00:00,payout_received,500.0,33300.0
2023-05-01T00:00:00,payout_received,500.0,33800.0
2023-05-01T00:00:00,payout_received,500.0,34300.0
2023-05-01T00:00:00,owner_contribution,200,34500.0
2023-05-01T00:00:00,account_purchase,-200.0,34300.0
2023-06-01T00:00:00,payout_received,500.0,34800.0
2023-06-01T00:00:00,payout_received,500.0,35300.0
2023-06-01T00:00:00,payout_received,500.0,35800.0
2023-06-01T00:00:00,payout_received,500.0,36300.0
2023-06-01T00:00:00,payout_received,500.0,36800.0
2023-06-01T00:00:00,payout_received,500.0,37300.0
2023-06-01T00:00:00,payout_received,500.0,37800.0
2023-06-01T00:00:00,owner_contribution,200,38000.0
2023-06-01T00:00:00,account_purchase,-200.0,37800.0
2023-07-01T00:00:00,payout_received,500.0,38300.0
2023-07-01T00:00:00,payout_received,500.0,38800.0
2023-07-01T00:00:00,payout_received,500.0,39300.0
2023-07-01T00:00:00,payout_received,500.0,39800.0
2023-07-01T00:00:00,payout_received,500.0,40300.0
2023-07-01T00:00:00,payout_received,500.0,40800.0
2023-07-01T00:00:00,payout_received,500.0,41300.0
2023-07-01T00:00:00,owner_contribution,200,41500.0
2023-07-01T00:00:00,account_purchase,-200.0,41300.0
2023-08-01T00:00:00,payout_received,500.0,41800.0
2023-08-01T00:00:00,payout_received,500.0,42300.0
2023-08-01T00:00:00,payout_received,500.0,42800.0
2023-08-01T00:00:00,payout_received,500.0,43300.0
2023-08-01T00:00:00,payout_received,500.0,43800.0
2023-08-01T00:00:00,payout_received,500.0,44300.0
2023-08-01T00:00:00,payout_received,500.0,44800.0
2023-08-01T00:00:00,payout_received,500.0,45300.0
2023-08-01T00:00:00,owner_contribution,200,45500.0
2023-08-01T00:00:00,account_purchase,-200.0,45300.0
2023-09-01T00:00:00,payout_received,500.0,45800.0
2023-09-01T00:00:00,payout_received,500.0,46300.0
2023-09-01T00:00:00,payout_received,500.0,46800.0
2023-09-01T00:00:00,payout_received,500.0,47300.0
2023-09-01T00:00:00,payout_received,500.0,47800.0
2023-09-01T00:00:00,payout_received,500.0,48300.0
2023-09-01T00:00:00,payout_received,500.0,48800.0
2023-09-01T00:00:00,payout_received,500.0,49300.0
2023-09-01T00:00:00,owner_contribution,200,49500.0
2023-09-01T00:00:00,account_purchase,-200.0,49300.0
2023-10-01T00:00:00,owner_contribution,200,49500.0
2023-10-01T00:00:00,account_purchase,-200.0,49300.0
2023-11-01T00:00:00,owner_contribution,200,49500.0
2023-11-01T00:00:00,account_purchase,-200.0,49300.0
2023-12-01T00:00:00,owner_contribution,200,49500.0
2023-12-01T00:00:00,account_purchase,-200.0,49300.0
2024-01-01T00:00:00,payout_received,500.0,49800.0
2024-01-01T00:00:00,payout_received,500.0,50300.0
2024-01-01T00:00:00,payout_received,500.0,50800.0
2024-01-01T00:00:00,payout_received,500.0,51300.0
2024-01-01T00:00:00,payout_received,500.0,51800.0
2024-01-01T00:00:00,payout_received,500.0,52300.0
2024-01-01T00:00:00,payout_received,500.0,52800.0
2024-01-01T00:00:00,owner_contribution,200,53000.0
2024-01-01T00:00:00,account_purchase,-200.0,52800.0
2024-02-01T00:00:00,payout_received,500.0,53300.0
2024-02-01T00:00:00,payout_received,500.0,53800.0
2024-02-01T00:00:00,payout_received,500.0,54300.0
2024-02-01T00:00:00,payout_received,500.0,54800.0
2024-02-01T00:00:00,payout_received,500.0,55300.0
2024-02-01T00:00:00,payout_received,500.0,55800.0
2024-02-01T00:00:00,owner_contribution,200,56000.0
2024-02-01T00:00:00,account_purchase,-200.0,55800.0
2024-03-01T00:00:00,payout_received,500.0,56300.0
2024-03-01T00:00:00,payout_received,500.0,56800.0
2024-03-01T00:00:00,payout_received,500.0,57300.0
2024-03-01T00:00:00,payout_received,500.0,57800.0
2024-03-01T00:00:00,payout_received,500.0,58300.0
2024-03-01T00:00:00,payout_received,500.0,58800.0
2024-03-01T00:00:00,payout_received,500.0,59300.0
2024-03-01T00:00:00,payout_received,500.0,59800.0
2024-03-01T00:00:00,payout_received,500.0,60300.0
