at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2023-08-26 00:00:00,94,2021-07,1,500.0,500.0,500.0,500.0,32440.4,31940.4,0.0,
2023-08-29 00:00:00,104,2021-09,1,500.0,500.0,500.0,500.0,32592.25,32092.25,0.0,
2023-09-05 00:00:00,131,2022-03,1,500.0,500.0,500.0,500.0,32455.95,31955.95,0.0,
2023-09-12 00:00:00,94,2021-07,2,500.0,500.0,500.0,500.0,32496.55,31996.55,0.0,
2023-09-12 00:00:00,104,2021-09,2,500.0,500.0,500.0,500.0,32431.25,31931.25,0.0,
2024-01-12 00:00:00,5,2020-01,1,500.0,500.0,500.0,500.0,32456.8,31956.8,0.0,
2024-01-12 00:00:00,73,2021-03,1,500.0,500.0,500.0,500.0,32428.0,31928.0,0.0,
2024-01-12 00:00:00,134,2022-03,1,500.0,500.0,500.0,500.0,32457.8,31957.8,0.0,
2024-01-20 00:00:00,94,2021-07,3,500.0,500.0,500.0,500.0,32476.5,31976.5,0.0,
2024-01-20 00:00:00,104,2021-09,3,500.0,500.0,500.0,500.0,32411.2,31911.2,0.0,
2024-01-20 00:00:00,131,2022-03,2,500.0,500.0,500.0,500.0,32469.5,31969.5,0.0,
2024-01-20 00:00:00,151,2022-07,1,500.0,500.0,500.0,500.0,32450.3,31950.3,0.0,
2024-02-03 00:00:00,5,2020-01,2,500.0,500.0,500.0,500.0,32429.75,31929.75,0.0,
2024-02-03 00:00:00,73,2021-03,2,500.0,500.0,500.0,500.0,32400.95,31900.95,0.0,
2024-02-03 00:00:00,134,2022-03,2,500.0,500.0,500.0,500.0,32430.75,31930.75,0.0,
2024-02-08 00:00:00,94,2021-07,4,500.0,500.0,500.0,500.0,32563.85,32063.85,0.0,
2024-02-08 00:00:00,104,2021-09,4,500.0,500.0,500.0,500.0,32498.55,31998.55,0.0,
2024-02-08 00:00:00,131,2022-03,3,500.0,500.0,500.0,500.0,32556.85,32056.85,0.0,
2024-02-08 00:00:00,151,2022-07,2,500.0,500.0,500.0,500.0,32537.65,32037.65,0.0,
2024-02-15 00:00:00,5,2020-01,3,500.0,500.0,500.0,500.0,32810.0,32310.0,0.0,
2024-02-15 00:00:00,73,2021-03,3,500.0,500.0,500.0,500.0,32781.2,32281.2,0.0,
2024-02-15 00:00:00,134,2022-03,3,500.0,500.0,500.0,500.0,32811.0,32311.0,0.0,
2024-02-23 00:00:00,36,2020-08,1,500.0,500.0,500.0,500.0,32594.5,32094.5,0.0,
2024-02-23 00:00:00,94,2021-07,5,500.0,500.0,500.0,500.0,32823.75,32323.75,0.0,
2024-02-23 00:00:00,104,2021-09,5,500.0,500.0,500.0,500.0,32758.45,32258.45,0.0,
2024-02-23 00:00:00,131,2022-03,4,500.0,500.0,500.0,500.0,32816.75,32316.75,0.0,
2024-02-23 00:00:00,151,2022-07,3,500.0,500.0,500.0,500.0,32797.55,32297.55,0.0,
2024-03-07 00:00:00,5,2020-01,4,500.0,500.0,500.0,500.0,32585.8,32085.8,0.0,
2024-03-07 00:00:00,73,2021-03,4,500.0,500.0,500.0,500.0,32557.0,32057.0,0.0,
2024-03-07 00:00:00,134,2022-03,4,500.0,500.0,500.0,500.0,32586.8,32086.8,0.0,
