at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-09-23 00:00:00,217,2021-08,1,615.65,615.65,615.65,615.65,32215.65,31600.0,0.0,
2024-10-07 00:00:00,219,2021-08,1,507.85,507.85,507.85,507.85,32107.85,31600.0,0.0,
2025-04-14 00:00:00,217,2021-08,2,1048.85,1048.85,1048.85,1048.85,32648.85,31600.0,0.0,
2025-04-14 00:00:00,218,2021-08,1,1090.5,1090.5,1090.5,1090.5,32690.5,31600.0,0.0,
2025-04-14 00:00:00,219,2021-08,2,939.65,939.65,939.65,939.65,32539.65,31600.0,0.0,
2025-04-14 00:00:00,220,2021-08,1,821.5,821.5,821.5,821.5,32421.5,31600.0,0.0,
2025-04-21 00:00:00,215,2021-07,1,579.5,579.5,579.5,579.5,32179.5,31600.0,0.0,
2025-04-21 00:00:00,221,2021-09,1,722.85,722.85,722.85,722.85,32322.85,31600.0,0.0,
2025-04-21 00:00:00,222,2021-09,1,518.35,518.35,518.35,518.35,32118.35,31600.0,0.0,
2025-04-21 00:00:00,246,2022-02,1,665.85,665.85,665.85,665.85,32265.85,31600.0,0.0,
2025-04-21 00:00:00,247,2022-02,1,541.35,541.35,541.35,541.35,32141.35,31600.0,0.0,
2025-05-19 00:00:00,216,2021-08,1,684.45,684.45,684.45,684.45,32284.45,31600.0,0.0,
2025-05-19 00:00:00,217,2021-08,3,723.95,723.95,723.95,723.95,32323.95,31600.0,0.0,
2025-05-19 00:00:00,218,2021-08,2,767.45,767.45,767.45,767.45,32367.45,31600.0,0.0,
2025-05-19 00:00:00,219,2021-08,3,767.45,767.45,767.45,767.45,32367.45,31600.0,0.0,
2025-05-19 00:00:00,220,2021-08,2,767.45,767.45,767.45,767.45,32367.45,31600.0,0.0,
2025-05-19 00:00:00,236,2021-12,1,617.5,617.5,617.5,617.5,32217.5,31600.0,0.0,
2025-05-19 00:00:00,242,2022-01,1,719.4,719.4,719.4,719.4,32319.4,31600.0,0.0,
2025-05-19 00:00:00,243,2022-01,1,523.4,523.4,523.4,523.4,32123.4,31600.0,0.0,
2025-05-19 00:00:00,244,2022-01,1,671.4,671.4,671.4,671.4,32271.4,31600.0,0.0,
2025-05-19 00:00:00,245,2022-01,1,1054.4,1054.4,1054.4,1054.4,32654.4,31600.0,0.0,
2025-05-19 00:00:00,250,2022-02,1,567.95,567.95,567.95,567.95,32167.95,31600.0,0.0,
2025-05-26 00:00:00,166,2020-10,1,783.3,783.3,783.3,783.3,32383.3,31600.0,0.0,
2025-06-02 00:00:00,221,2021-09,2,507.65,507.65,507.65,507.65,32107.65,31600.0,0.0,
2025-06-30 00:00:00,167,2020-10,1,572.25,572.25,572.25,572.25,32172.25,31600.0,0.0,
2025-06-30 00:00:00,220,2021-08,3,784.2,784.2,784.2,784.2,32384.2,31600.0,0.0,
2025-06-30 00:00:00,221,2021-09,3,570.65,570.65,570.65,570.65,32170.65,31600.0,0.0,
2025-06-30 00:00:00,222,2021-09,2,915.8,915.8,915.8,915.8,32515.8,31600.0,0.0,
2025-06-30 00:00:00,236,2021-12,2,505.2,505.2,505.2,505.2,32105.2,31600.0,0.0,
2025-06-30 00:00:00,237,2021-12,1,717.2,717.2,717.2,717.2,32317.2,31600.0,0.0,
2025-06-30 00:00:00,250,2022-02,2,592.7,592.7,592.7,592.7,32192.7,31600.0,0.0,
2025-08-11 00:00:00,244,2022-01,2,512.95,512.95,512.95,512.95,32112.95,31600.0,0.0,
2025-08-11 00:00:00,245,2022-01,2,554.45,554.45,554.45,554.45,32154.45,31600.0,0.0,
2025-08-11 00:00:00,249,2022-02,1,528.4,528.4,528.4,528.4,32128.4,31600.0,0.0,
2025-08-25 00:00:00,242,2022-01,2,543.0,543.0,543.0,543.0,32143.0,31600.0,0.0,
2025-09-08 00:00:00,246,2022-02,2,557.15,557.15,557.15,557.15,32157.15,31600.0,0.0,
2025-09-08 00:00:00,247,2022-02,2,640.65,640.65,640.65,640.65,32240.65,31600.0,0.0,
2025-09-08 00:00:00,249,2022-02,2,687.6,687.6,687.6,687.6,32287.6,31600.0,0.0,
2025-09-08 00:00:00,250,2022-02,3,715.85,715.85,715.85,715.85,32315.85,31600.0,0.0,
2025-09-15 00:00:00,243,2022-01,2,506.25,506.25,506.25,506.25,32106.25,31600.0,0.0,
2025-10-06 00:00:00,244,2022-01,3,602.65,602.65,602.65,602.65,32202.65,31600.0,0.0,
2025-10-06 00:00:00,245,2022-01,3,545.65,545.65,545.65,545.65,32145.65,31600.0,0.0,
2025-10-13 00:00:00,156,2020-10,1,528.7,528.7,528.7,528.7,32128.7,31600.0,0.0,
2025-10-20 00:00:00,166,2020-10,2,516.4,516.4,516.4,516.4,32116.4,31600.0,0.0,
2025-10-27 00:00:00,221,2021-09,4,621.2,621.2,621.2,621.2,32221.2,31600.0,0.0,
2025-11-24 00:00:00,168,2020-10,1,681.0,681.0,681.0,681.0,32281.0,31600.0,0.0,
2025-11-24 00:00:00,187,2021-02,1,1207.85,1207.85,1207.85,1207.85,32807.85,31600.0,0.0,
2025-11-24 00:00:00,188,2021-02,1,726.85,726.85,726.85,726.85,32326.85,31600.0,0.0,
2025-11-24 00:00:00,189,2021-02,1,980.85,980.85,980.85,980.85,32580.85,31600.0,0.0,
2025-12-15 00:00:00,167,2020-10,2,695.55,695.55,695.55,695.55,32295.55,31600.0,0.0,
2025-12-15 00:00:00,170,2020-10,1,628.3,628.3,628.3,628.3,32228.3,31600.0,0.0,
2025-12-15 00:00:00,194,2021-03,1,549.85,549.85,549.85,549.85,32149.85,31600.0,0.0,
2026-05-11 00:00:00,25,2020-02,1,740.0,740.0,740.0,740.0,32340.0,31600.0,0.0,
2026-05-11 00:00:00,26,2020-02,1,828.0,828.0,828.0,828.0,32428.0,31600.0,0.0,
2026-05-11 00:00:00,220,2021-08,4,534.7,534.7,534.7,534.7,32134.7,31600.0,0.0,
2026-05-11 00:00:00,222,2021-09,3,695.2,695.2,695.2,695.2,32295.2,31600.0,0.0,
2026-05-11 00:00:00,243,2022-01,3,554.65,554.65,554.65,554.65,32154.65,31600.0,0.0,
2026-05-11 00:00:00,247,2022-02,3,863.35,863.35,863.35,863.35,32463.35,31600.0,0.0,
2026-05-11 00:00:00,248,2022-02,1,657.85,657.85,657.85,657.85,32257.85,31600.0,0.0,
2026-05-18 00:00:00,24,2020-02,1,833.3,833.3,833.3,833.3,32433.3,31600.0,0.0,
2026-05-18 00:00:00,351,2022-07,1,647.7,647.7,647.7,647.7,32247.7,31600.0,0.0,
2026-05-25 00:00:00,163,2020-10,1,834.4,834.4,834.4,834.4,32434.4,31600.0,0.0,
2026-06-01 00:00:00,21,2020-02,1,740.35,740.35,740.35,740.35,32340.35,31600.0,0.0,
2026-06-15 00:00:00,163,2020-10,2,1674.8,1500.0,1500.0,1500.0,33274.8,31774.8,0.0,maximum_payout
2026-06-15 00:00:00,166,2020-10,3,1140.15,1140.15,1140.15,1140.15,32740.15,31600.0,0.0,
2026-06-15 00:00:00,167,2020-10,3,1041.55,1041.55,1041.55,1041.55,32641.55,31600.0,0.0,
2026-06-15 00:00:00,168,2020-10,2,1237.85,1237.85,1237.85,1237.85,32837.85,31600.0,0.0,
2026-06-15 00:00:00,169,2020-10,1,781.85,781.85,781.85,781.85,32381.85,31600.0,0.0,
2026-06-15 00:00:00,170,2020-10,2,754.05,754.05,754.05,754.05,32354.05,31600.0,0.0,
2026-06-15 00:00:00,186,2021-02,1,516.7,516.7,516.7,516.7,32116.7,31600.0,0.0,
2026-06-15 00:00:00,187,2021-02,2,586.35,586.35,586.35,586.35,32186.35,31600.0,0.0,
2026-06-15 00:00:00,188,2021-02,2,668.35,668.35,668.35,668.35,32268.35,31600.0,0.0,
2026-06-15 00:00:00,190,2021-02,1,706.7,706.7,706.7,706.7,32306.7,31600.0,0.0,
2026-06-29 00:00:00,215,2021-07,2,776.4,776.4,776.4,776.4,32376.4,31600.0,0.0,
2026-06-29 00:00:00,216,2021-08,2,656.3,656.3,656.3,656.3,32256.3,31600.0,0.0,
2026-07-06 00:00:00,163,2020-10,3,575.05,575.05,575.05,575.05,32175.05,31600.0,0.0,
2026-07-06 00:00:00,191,2021-03,1,830.65,830.65,830.65,830.65,32430.65,31600.0,0.0,
2026-07-06 00:00:00,192,2021-03,1,692.15,692.15,692.15,692.15,32292.15,31600.0,0.0,
2026-07-13 00:00:00,21,2020-02,2,858.5,858.5,858.5,858.5,32458.5,31600.0,0.0,
2026-07-13 00:00:00,22,2020-02,1,656.85,656.85,656.85,656.85,32256.85,31600.0,0.0,
2026-07-13 00:00:00,23,2020-02,1,696.9,696.9,696.9,696.9,32296.9,31600.0,0.0,
2026-07-13 00:00:00,25,2020-02,2,939.9,939.9,939.9,939.9,32539.9,31600.0,0.0,
2026-07-13 00:00:00,189,2021-02,2,852.35,852.35,852.35,852.35,32452.35,31600.0,0.0,
2026-07-13 00:00:00,190,2021-02,2,776.0,776.0,776.0,776.0,32376.0,31600.0,0.0,
2026-07-13 00:00:00,193,2021-03,1,503.4,503.4,503.4,503.4,32103.4,31600.0,0.0,
2026-07-13 00:00:00,194,2021-03,2,854.05,854.05,854.05,854.05,32454.05,31600.0,0.0,
2026-07-13 21:30:40,8,2020-01,1,1000000000.0,1500.0,1500.0,1500.0,30838.75,29338.75,0.0,maximum_payout
2026-07-13 21:30:40,9,2020-01,1,1000000000.0,1500.0,1500.0,1500.0,30954.25,29454.25,0.0,maximum_payout
2026-07-13 21:30:40,19,2020-01,1,1000000000.0,1500.0,1500.0,1500.0,32096.5,30596.5,0.0,maximum_payout
2026-07-13 21:30:40,24,2020-02,2,1000000000.0,1500.0,1500.0,1500.0,31953.05,30453.05,0.0,maximum_payout
2026-07-13 21:30:40,26,2020-02,2,1000000000.0,1500.0,1500.0,1500.0,32002.85,30502.85,0.0,maximum_payout
2026-07-13 21:30:40,27,2020-02,1,1000000000.0,1500.0,1500.0,1500.0,30222.35,28722.35,0.0,maximum_payout
2026-07-13 21:30:40,28,2020-02,1,1000000000.0,1500.0,1500.0,1500.0,29551.35,28051.35,0.0,maximum_payout
2026-07-13 21:30:40,29,2020-02,1,1000000000.0,1500.0,1500.0,1500.0,29734.35,28234.35,0.0,maximum_payout
2026-07-13 21:30:40,30,2020-02,1,1000000000.0,1500.0,1500.0,1500.0,28734.35,27234.35,0.0,maximum_payout
2026-07-13 21:30:40,31,2020-02,1,1000000000.0,1500.0,1500.0,1500.0,28765.2,27265.2,0.0,maximum_payout
2026-07-13 21:30:40,76,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,28614.2,27114.2,0.0,maximum_payout
2026-07-13 21:30:40,77,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,28480.7,26980.7,0.0,maximum_payout
2026-07-13 21:30:40,78,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,30368.7,28868.7,0.0,maximum_payout
2026-07-13 21:30:40,79,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,28585.7,27085.7,0.0,maximum_payout
2026-07-13 21:30:40,80,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,28727.7,27227.7,0.0,maximum_payout
2026-07-13 21:30:40,81,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,29586.35,28086.35,0.0,maximum_payout
2026-07-13 21:30:40,82,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,30919.35,29419.35,0.0,maximum_payout
2026-07-13 21:30:40,83,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,31034.35,29534.35,0.0,maximum_payout
2026-07-13 21:30:40,84,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,30265.35,28765.35,0.0,maximum_payout
2026-07-13 21:30:40,85,2020-04,1,1000000000.0,1500.0,1500.0,1500.0,30753.35,29253.35,0.0,maximum_payout
2026-07-13 21:30:40,86,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,29025.5,27525.5,0.0,maximum_payout
2026-07-13 21:30:40,87,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,28461.0,26961.0,0.0,maximum_payout
2026-07-13 21:30:40,88,2020-05,1,1000000000.0,991.5,991.5,991.5,27091.5,26100.0,0.0,safety_net
2026-07-13 21:30:40,89,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,28179.5,26679.5,0.0,maximum_payout
2026-07-13 21:30:40,90,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,29033.5,27533.5,0.0,maximum_payout
2026-07-13 21:30:40,91,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,29569.1,28069.1,0.0,maximum_payout
2026-07-13 21:30:40,92,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,30795.6,29295.6,0.0,maximum_payout
2026-07-13 21:30:40,93,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,29894.6,28394.6,0.0,maximum_payout
2026-07-13 21:30:40,94,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,30210.6,28710.6,0.0,maximum_payout
2026-07-13 21:30:40,95,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,30416.6,28916.6,0.0,maximum_payout
2026-07-13 21:30:40,96,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,29572.75,28072.75,0.0,maximum_payout
2026-07-13 21:30:40,97,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,29792.75,28292.75,0.0,maximum_payout
2026-07-13 21:30:40,98,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,28893.25,27393.25,0.0,maximum_payout
2026-07-13 21:30:40,99,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,29118.75,27618.75,0.0,maximum_payout
2026-07-13 21:30:40,100,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,27923.25,26423.25,0.0,maximum_payout
2026-07-13 21:30:40,101,2020-05,1,1000000000.0,1500.0,1500.0,1500.0,27925.45,26425.45,0.0,maximum_payout
2026-07-13 21:30:40,102,2020-05,1,1000000000.0,1029.45,1029.45,1029.45,27129.45,26100.0,0.0,safety_net
2026-07-13 21:30:40,156,2020-10,2,1000000000.0,1500.0,1500.0,1500.0,29504.35,28004.35,0.0,maximum_payout
2026-07-13 21:30:40,166,2020-10,4,1000000000.0,1500.0,1500.0,1500.0,32072.45,30572.45,0.0,maximum_payout
2026-07-13 21:30:40,167,2020-10,4,1000000000.0,1500.0,1500.0,1500.0,31196.45,29696.45,0.0,maximum_payout
2026-07-13 21:30:40,168,2020-10,3,1000000000.0,1500.0,1500.0,1500.0,31196.45,29696.45,0.0,maximum_payout
2026-07-13 21:30:40,169,2020-10,2,1000000000.0,1500.0,1500.0,1500.0,31665.45,30165.45,0.0,maximum_payout
2026-07-13 21:30:40,170,2020-10,3,1000000000.0,1500.0,1500.0,1500.0,31665.45,30165.45,0.0,maximum_payout
2026-07-13 21:30:40,171,2020-11,1,1000000000.0,1500.0,1500.0,1500.0,31729.45,30229.45,0.0,maximum_payout
2026-07-13 21:30:40,186,2021-02,2,1000000000.0,1500.0,1500.0,1500.0,31270.95,29770.95,0.0,maximum_payout
2026-07-13 21:30:40,187,2021-02,3,1000000000.0,1500.0,1500.0,1500.0,31040.45,29540.45,0.0,maximum_payout
2026-07-13 21:30:40,188,2021-02,3,1000000000.0,1500.0,1500.0,1500.0,31411.45,29911.45,0.0,maximum_payout
2026-07-13 21:30:40,195,2021-03,1,1000000000.0,1500.0,1500.0,1500.0,30846.35,29346.35,0.0,maximum_payout
2026-07-13 21:30:40,196,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,30091.85,28591.85,0.0,maximum_payout
2026-07-13 21:30:40,197,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,29792.35,28292.35,0.0,maximum_payout
2026-07-13 21:30:40,198,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,30057.85,28557.85,0.0,maximum_payout
2026-07-13 21:30:40,199,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,28325.85,26825.85,0.0,maximum_payout
2026-07-13 21:30:40,200,2021-04,1,1000000000.0,1500.0,1500.0,1500.0,29224.35,27724.35,0.0,maximum_payout
2026-07-13 21:30:40,201,2021-05,1,1000000000.0,1500.0,1500.0,1500.0,28661.85,27161.85,0.0,maximum_payout
2026-07-13 21:30:40,202,2021-05,1,1000000000.0,744.35,744.35,744.35,26844.35,26100.0,0.0,safety_net
2026-07-13 21:30:40,203,2021-05,1,1000000000.0,1500.0,1500.0,1500.0,28076.85,26576.85,0.0,maximum_payout
2026-07-13 21:30:40,204,2021-05,1,1000000000.0,1500.0,1500.0,1500.0,28537.35,27037.35,0.0,maximum_payout
2026-07-13 21:30:40,205,2021-05,1,1000000000.0,1500.0,1500.0,1500.0,29023.85,27523.85,0.0,maximum_payout
2026-07-13 21:30:40,206,2021-06,1,1000000000.0,1500.0,1500.0,1500.0,28590.9,27090.9,0.0,maximum_payout
2026-07-13 21:30:40,207,2021-06,1,1000000000.0,1500.0,1500.0,1500.0,28132.4,26632.4,0.0,maximum_payout
2026-07-13 21:30:40,208,2021-06,1,1000000000.0,1500.0,1500.0,1500.0,29088.9,27588.9,0.0,maximum_payout
