account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-01 00:00:00,True,,,100,265.5,105.0,160.5,0.0,0.0,0
2,2023-01-01 00:00:00,True,,,292,698.5,306.6,391.9,0.0,0.0,0
3,2023-01-01 00:00:00,True,,,129,-289.0,135.45,-424.45,0.0,0.0,0
4,2023-01-01 00:00:00,True,,,174,711.0,182.7,528.3,0.0,0.0,0
5,2023-01-01 00:00:00,True,,,84,-664.5,88.2,-752.7,0.0,0.0,0
6,2023-02-01 00:00:00,True,,,4793,28927.5,5032.65,100.01,23794.84,23794.84,26
7,2023-02-01 00:00:00,True,,,4888,30321.5,5132.4,100.01,25089.09,25080.18,28
8,2023-02-01 00:00:00,True,,,269,881.5,282.45,599.05,0.0,0.0,0
9,2023-02-01 00:00:00,True,,,202,219.5,212.1,7.4,0.0,0.0,0
10,2023-02-01 00:00:00,True,,,237,878.5,248.85,629.65,0.0,0.0,0
11,2023-03-01 00:00:00,True,,,52,-641.5,54.6,-696.1,0.0,0.0,0
12,2023-03-01 00:00:00,True,,,71,289.0,74.55,214.45,0.0,0.0,0
13,2023-03-01 00:00:00,True,,,89,-95.5,93.45,-188.95,0.0,0.0,0
14,2023-03-01 00:00:00,True,,,4809,29135.0,5049.45,100.01,23985.54,23985.54,26
15,2023-03-01 00:00:00,True,,,163,483.5,171.15,312.35,0.0,0.0,0
16,2023-04-01 00:00:00,True,,,103,-269.5,108.15,-377.65,0.0,0.0,0
17,2023-04-01 00:00:00,True,,,118,-361.0,123.9,-484.9,0.0,0.0,0
18,2023-04-01 00:00:00,True,,,85,-302.0,89.25,-391.25,0.0,0.0,0
19,2023-04-01 00:00:00,True,,,80,-570.5,84.0,-654.5,0.0,0.0,0
20,2023-04-01 00:00:00,True,,,99,-256.5,103.95,-360.45,0.0,0.0,0
21,2023-05-01 00:00:00,True,,,58,-944.0,60.9,-1004.9,0.0,0.0,0
22,2023-05-01 00:00:00,True,,,306,-118.0,321.3,-439.3,0.0,0.0,0
23,2023-05-01 00:00:00,True,,,75,-4.5,78.75,-83.25,0.0,0.0,0
24,2023-05-01 00:00:00,True,,,2904,19183.0,3049.2,100.01,16033.79,16033.79,17
25,2023-05-01 00:00:00,True,,,45,-905.0,47.25,-952.25,0.0,0.0,0
26,2024-03-01 00:00:00,True,,,172,291.5,180.6,110.9,0.0,0.0,0
27,2024-03-01 00:00:00,True,,,42,-658.0,44.1,-702.1,0.0,0.0,0
28,2024-03-01 00:00:00,True,,,92,-422.0,96.6,-518.6,0.0,0.0,0
29,2024-03-01 00:00:00,True,,,86,-237.5,90.3,-327.8,0.0,0.0,0
30,2024-03-01 00:00:00,True,,,96,624.5,100.8,523.7,0.0,0.0,0
31,2024-04-01 00:00:00,True,,,82,-93.5,86.1,-179.6,0.0,0.0,0
32,2024-04-01 00:00:00,True,,,86,288.0,90.3,197.7,0.0,0.0,0
33,2024-04-01 00:00:00,True,,,94,-90.5,98.7,-189.2,0.0,0.0,0
34,2024-04-01 00:00:00,True,,,2502,16338.5,2627.1,100.01,13611.39,13611.39,13
35,2024-04-01 00:00:00,True,,,69,-619.0,72.45,-691.45,0.0,0.0,0
36,2024-05-01 00:00:00,True,,,124,404.0,130.2,273.8,0.0,0.0,0
37,2024-05-01 00:00:00,True,,,107,-19.0,112.35,-131.35,0.0,0.0,0
38,2024-05-01 00:00:00,True,,,140,804.5,147.0,657.5,0.0,0.0,0
39,2024-05-01 00:00:00,True,,,3088,21859.0,3242.4,100.01,18516.59,18516.59,21
40,2024-05-01 00:00:00,True,,,91,-116.0,95.55,-211.55,0.0,0.0,0
41,2024-06-01 00:00:00,True,,,112,442.5,117.6,324.9,0.0,0.0,0
