at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-12-01 00:00:00,17,2023-04,1,500.0,500.0,500.0,500.0,30646.35,30146.35,0.0,
2025-02-01 00:00:00,17,2023-04,2,500.0,500.0,500.0,500.0,31494.65,30994.65,0.0,
2025-02-01 00:00:00,18,2023-04,1,500.0,500.0,500.0,500.0,30596.6,30096.6,0.0,
2025-03-01 00:00:00,8,2023-02,1,500.0,500.0,500.0,500.0,30755.45,30255.45,0.0,
2025-03-01 00:00:00,9,2023-02,1,500.0,500.0,500.0,500.0,30666.45,30166.45,0.0,
2025-05-01 00:00:00,8,2023-02,2,500.0,500.0,500.0,500.0,33028.55,32528.55,0.0,
2025-05-01 00:00:00,9,2023-02,2,500.0,500.0,500.0,500.0,32720.55,32220.55,0.0,
2025-05-01 00:00:00,10,2023-02,1,500.0,500.0,500.0,500.0,32296.05,31796.05,0.0,
2025-05-01 00:00:00,17,2023-04,3,500.0,500.0,500.0,500.0,30890.7,30390.7,0.0,
2025-06-01 00:00:00,8,2023-02,3,500.0,500.0,500.0,500.0,32320.2,31820.2,0.0,
2025-06-01 00:00:00,9,2023-02,3,500.0,500.0,500.0,500.0,31883.2,31383.2,0.0,
2025-06-01 00:00:00,10,2023-02,2,500.0,500.0,500.0,500.0,32006.2,31506.2,0.0,
2025-06-01 00:00:00,12,2023-03,1,500.0,500.0,500.0,500.0,31485.55,30985.55,0.0,
2025-06-01 00:00:00,16,2023-04,1,500.0,500.0,500.0,500.0,31666.8,31166.8,0.0,
2025-06-01 00:00:00,17,2023-04,4,500.0,500.0,500.0,500.0,30566.85,30066.85,0.0,
2025-07-01 00:00:00,16,2023-04,2,500.0,500.0,500.0,500.0,31387.1,30887.1,0.0,
2025-07-01 00:00:00,17,2023-04,5,500.0,500.0,500.0,500.0,30996.65,30496.65,0.0,
2025-07-01 00:00:00,18,2023-04,2,500.0,500.0,500.0,500.0,30598.1,30098.1,0.0,
2025-07-01 00:00:00,19,2023-04,1,500.0,500.0,500.0,500.0,30531.05,30031.05,0.0,
2025-07-01 00:00:00,25,2023-05,1,500.0,500.0,500.0,500.0,31164.6,30664.6,0.0,
2025-08-01 00:00:00,8,2023-02,4,500.0,500.0,500.0,500.0,30531.25,30031.25,0.0,
2025-08-01 00:00:00,18,2023-04,3,500.0,500.0,500.0,500.0,30576.85,30076.85,0.0,
2025-08-01 00:00:00,19,2023-04,2,500.0,500.0,500.0,500.0,30626.8,30126.8,0.0,
2025-08-01 00:00:00,20,2023-04,1,500.0,500.0,500.0,500.0,30835.2,30335.2,0.0,
2025-08-01 00:00:00,25,2023-05,2,500.0,500.0,500.0,500.0,31257.9,30757.9,0.0,
2025-09-01 00:00:00,16,2023-04,3,500.0,500.0,500.0,500.0,30847.8,30347.8,0.0,
2025-09-01 00:00:00,17,2023-04,6,500.0,500.0,500.0,500.0,30691.35,30191.35,0.0,
2025-10-01 00:00:00,8,2023-02,5,500.0,500.0,500.0,500.0,30699.5,30199.5,0.0,
2025-10-01 00:00:00,10,2023-02,3,500.0,500.0,500.0,500.0,30605.0,30105.0,0.0,
2025-10-01 00:00:00,20,2023-04,2,500.0,500.0,500.0,500.0,30610.45,30110.45,0.0,
2025-11-01 00:00:00,16,2023-04,4,500.0,500.0,500.0,500.0,30781.85,30281.85,0.0,
2025-11-01 00:00:00,17,2023-04,7,500.0,500.0,500.0,500.0,30553.9,30053.9,0.0,
2025-11-01 00:00:00,18,2023-04,4,500.0,500.0,500.0,500.0,31214.35,30714.35,0.0,
2025-11-01 00:00:00,19,2023-04,3,500.0,500.0,500.0,500.0,31484.8,30984.8,0.0,
2025-11-01 00:00:00,20,2023-04,3,500.0,500.0,500.0,500.0,31209.2,30709.2,0.0,
2025-11-01 00:00:00,25,2023-05,3,500.0,500.0,500.0,500.0,31084.35,30584.35,0.0,
2025-11-01 00:00:00,26,2024-03,1,500.0,500.0,500.0,500.0,30836.65,30336.65,0.0,
2025-12-01 00:00:00,8,2023-02,6,500.0,500.0,500.0,500.0,30631.6,30131.6,0.0,
2025-12-01 00:00:00,9,2023-02,4,500.0,500.0,500.0,500.0,31008.6,30508.6,0.0,
2025-12-01 00:00:00,10,2023-02,4,500.0,500.0,500.0,500.0,30705.1,30205.1,0.0,
2025-12-01 00:00:00,12,2023-03,2,500.0,500.0,500.0,500.0,30650.45,30150.45,0.0,
