account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-02 00:00:00,True,,,1385,10476.5,1454.25,100.01,8922.24,8922.24,6
2,2023-01-02 00:00:00,True,,,1386,12344.0,1455.3,100.01,10788.69,10788.69,8
3,2023-01-02 00:00:00,False,2023-11-01 16:00:00,RR1.00:16-17:540:1524,342,482.0,358.05,123.95,0.0,0.0,0
4,2023-01-02 00:00:00,False,2023-10-25 23:06:20,RR1.00:22-23:310:1185,336,539.5,351.75,187.75,0.0,0.0,0
5,2023-01-02 00:00:00,False,2023-11-01 16:00:00,RR1.00:16-17:540:1524,342,500.0,358.05,141.95,0.0,0.0,0
6,2023-01-09 00:00:00,True,,,1383,13575.5,1452.15,6707.45,5415.9,5415.9,5
7,2023-01-09 00:00:00,True,,,1388,14203.5,1457.4,7729.75,5016.35,5016.35,6
8,2023-01-09 00:00:00,True,,,1389,14109.0,1458.45,7875.25,4775.3,4775.3,5
9,2023-01-09 00:00:00,True,,,1392,14138.5,1461.6,7867.75,4809.15,4809.15,5
10,2023-01-09 00:00:00,True,,,1390,11660.5,1459.5,7867.75,2333.25,2333.25,2
11,2023-01-16 00:00:00,False,2023-03-14 14:30:00,RR1.00:8-9:293:1067,56,-1310.5,57.75,-1368.25,0.0,0.0,0
12,2023-01-16 00:00:00,False,2023-03-14 14:30:00,RR1.00:8-9:293:1067,56,-1310.5,57.75,-1368.25,0.0,0.0,0
13,2023-01-16 00:00:00,True,,,1384,10739.5,1453.2,6490.3,2796.0,2796.0,2
14,2023-01-16 00:00:00,False,2025-04-07 05:00:00,RR1.00:2-3:472:1797,812,1178.5,851.55,326.95,0.0,0.0,0
15,2023-01-16 00:00:00,True,,,1385,10541.0,1454.25,7867.75,1219.0,1219.0,2
16,2023-01-23 00:00:00,True,,,1378,10215.5,1446.9,6653.3,2115.3,2115.3,2
17,2023-01-23 00:00:00,False,2025-04-07 05:00:00,RR1.00:2-3:472:1797,805,1319.5,844.2,475.3,0.0,0.0,0
18,2023-01-23 00:00:00,False,2025-04-07 05:00:00,RR1.00:2-3:472:1797,805,1220.0,844.2,375.8,0.0,0.0,0
19,2023-01-23 00:00:00,True,,,1375,8812.5,1443.75,6322.4,1046.35,1046.35,1
20,2023-01-23 00:00:00,False,2024-08-15 16:00:00,RR1.00:14-15:391:1487,629,266.0,659.4,-393.4,0.0,0.0,0
21,2023-01-30 00:00:00,False,2025-04-07 05:00:00,RR1.00:2-3:472:1797,799,1242.0,837.9,404.1,0.0,0.0,0
22,2023-01-30 00:00:00,False,2025-04-07 05:00:00,RR1.00:2-3:472:1797,800,1263.0,838.95,424.05,0.0,0.0,0
23,2023-01-30 00:00:00,False,2024-06-24 16:43:40,RR1.00:16-17:620:1769,577,755.0,604.8,150.2,0.0,0.0,0
24,2023-01-30 00:00:00,False,2024-06-17 22:47:40,RR1.00:22-23:369:1393,571,744.0,598.5,145.5,0.0,0.0,0
25,2023-01-30 00:00:00,False,2024-06-24 16:43:40,RR1.00:16-17:620:1769,576,774.5,603.75,170.75,0.0,0.0,0
26,2023-09-07 22:50:20,False,2025-03-18 06:38:20,RR1.00:6-7:451:1722,521,250.0,546.0,-296.0,0.0,0.0,0
27,2023-09-07 22:50:20,False,2025-03-18 06:38:20,RR1.00:6-7:451:1722,522,444.0,547.05,-103.05,0.0,0.0,0
28,2024-03-25 00:00:00,False,2024-07-30 17:01:40,RR1.00:11-12:336:1465,124,-816.0,129.15,-945.15,0.0,0.0,0
29,2024-03-25 00:00:00,False,2024-07-24 16:33:40,RR1.00:16-17:634:1805,121,-718.5,126.0,-844.5,0.0,0.0,0
30,2024-03-25 00:00:00,False,2024-07-24 16:33:40,RR1.00:16-17:634:1805,121,-593.0,126.0,-719.0,0.0,0.0,0
31,2024-03-25 00:00:00,False,2024-07-24 16:33:40,RR1.00:16-17:634:1805,121,-605.0,126.0,-731.0,0.0,0.0,0
32,2024-03-25 00:00:00,False,2024-11-27 18:51:20,RR1.00:18-19:362:1558,212,-41.0,221.55,-262.55,0.0,0.0,0
33,2024-04-01 00:00:00,False,2024-11-27 18:51:20,RR1.00:18-19:362:1558,206,-355.0,215.25,-570.25,0.0,0.0,0
34,2024-04-01 00:00:00,False,2025-03-19 09:44:20,RR1.00:22-23:445:1643,291,509.5,304.5,205.0,0.0,0.0,0
35,2024-04-01 00:00:00,False,2025-03-20 19:26:40,RR1.00:19-20:405:1656,293,418.0,306.6,111.4,0.0,0.0,0
36,2024-04-01 00:00:00,True,,,877,8055.0,920.85,6322.4,811.75,811.75,1
37,2024-04-01 00:00:00,True,,,877,7617.5,920.85,5196.65,1500.0,1500.0,1
38,2024-04-08 00:00:00,False,2024-07-31 15:30:00,RR1.00:11-12:337:1467,112,-548.5,116.55,-665.05,0.0,0.0,0
39,2024-04-08 00:00:00,True,,,869,7525.5,912.45,5113.05,1500.0,1500.0,1
40,2024-04-08 00:00:00,True,,,869,7932.5,912.45,6322.4,697.65,697.65,1
41,2024-04-08 00:00:00,False,2025-04-07 05:00:00,RR1.00:2-3:472:1797,297,630.0,310.8,319.2,0.0,0.0,0
42,2024-04-08 00:00:00,False,2025-04-07 05:00:00,RR1.00:2-3:472:1797,297,545.0,310.8,234.2,0.0,0.0,0
43,2024-04-15 00:00:00,False,2025-04-07 05:00:00,RR1.00:2-3:472:1797,287,476.5,300.3,176.2,0.0,0.0,0
44,2024-04-15 00:00:00,False,2025-03-31 09:02:40,RR1.00:9-10:463:1752,282,422.0,295.05,126.95,0.0,0.0,0
45,2024-04-15 00:00:00,False,2025-04-07 05:00:00,RR1.00:2-3:472:1797,286,551.5,299.25,252.25,0.0,0.0,0
46,2024-04-15 00:00:00,False,2025-04-03 12:46:40,RR1.00:10-11:505:1819,284,454.5,297.15,157.35,0.0,0.0,0
47,2024-04-15 00:00:00,True,,,859,7887.0,901.95,6322.4,662.65,662.65,1
48,2024-04-22 00:00:00,False,2026-03-27 20:17:40,RR1.00:20-21:518:1923,682,952.0,715.05,236.95,0.0,0.0,0
49,2024-04-22 00:00:00,False,2025-04-07 23:30:00,RR1.00:20-21:416:1583,279,718.0,291.9,426.1,0.0,0.0,0
50,2024-04-22 00:00:00,False,2025-04-07 23:30:00,RR1.00:20-21:416:1583,279,847.0,291.9,555.1,0.0,0.0,0
51,2024-04-22 00:00:00,True,,,852,7367.5,894.6,4972.9,1500.0,1500.0,1
52,2024-04-22 00:00:00,True,,,857,7453.0,899.85,5053.15,1500.0,1500.0,1
53,2024-04-29 00:00:00,True,,,852,7625.0,894.6,5230.4,1500.0,1500.0,1
54,2024-04-29 00:00:00,True,,,850,7833.0,892.5,6322.4,618.1,618.1,1
55,2024-04-29 00:00:00,True,,,847,7958.0,889.35,6322.4,746.25,746.25,1
56,2024-04-29 00:00:00,True,,,846,6054.0,888.3,3665.7,1500.0,1500.0,1
57,2024-04-29 00:00:00,False,2025-12-05 14:21:40,RR1.00:9-10:536:1980,542,706.5,568.05,138.45,0.0,0.0,0
58,2024-05-06 00:00:00,True,,,838,6064.0,879.9,3684.1,1500.0,1500.0,1
59,2024-05-06 00:00:00,False,2025-12-05 22:46:40,RR1.00:21-22:511:1898,536,706.5,561.75,144.75,0.0,0.0,0
60,2024-05-06 00:00:00,True,,,838,5644.0,879.9,3264.1,1500.0,1500.0,1
61,2024-05-06 00:00:00,True,,,838,7588.0,879.9,5208.1,1500.0,1500.0,1
62,2024-05-06 00:00:00,True,,,838,7667.5,879.9,5287.6,1500.0,1500.0,1
63,2024-05-13 00:00:00,True,,,831,9422.5,872.55,4959.15,3590.8,3590.8,3
64,2024-05-13 00:00:00,True,,,832,9002.0,873.6,5239.9,2888.5,2888.5,3
65,2024-05-13 00:00:00,True,,,833,10218.5,874.65,4640.1,4703.75,4703.75,4
66,2024-05-13 00:00:00,True,,,833,9330.0,874.65,4253.6,4201.75,4201.75,4
67,2024-05-13 00:00:00,True,,,833,9100.0,874.65,4334.6,3890.75,3890.75,4
68,2024-05-20 00:00:00,True,,,827,10532.5,868.35,4588.1,5076.05,5076.05,5
69,2024-05-20 00:00:00,True,,,826,11837.0,867.3,100.01,10869.69,10869.69,6
70,2024-05-20 00:00:00,True,,,826,10551.0,867.3,4610.3,5073.4,5073.4,4
71,2024-05-20 00:00:00,True,,,826,10371.5,867.3,4519.3,4984.9,4984.9,4
72,2024-05-20 00:00:00,True,,,826,9972.0,867.3,4244.8,4859.9,4859.9,4
73,2024-05-27 00:00:00,True,,,820,9781.5,861.0,4013.85,4906.65,4906.65,4
74,2024-05-27 00:00:00,True,,,820,9782.5,861.0,4122.15,4799.35,4799.35,4
75,2024-05-27 00:00:00,True,,,821,9327.5,862.05,4616.45,3849.0,3849.0,4
76,2024-05-27 00:00:00,True,,,824,7964.5,865.2,4099.3,3000.0,3000.0,2
77,2024-05-27 00:00:00,True,,,826,7050.0,867.3,4682.7,1500.0,1500.0,1
78,2024-06-03 00:00:00,True,,,821,5908.0,862.05,3988.2,1057.75,1057.75,1
79,2024-06-03 00:00:00,True,,,819,2814.5,859.95,1954.55,0.0,0.0,0
80,2024-06-03 00:00:00,True,,,819,3262.0,859.95,2402.05,0.0,0.0,0
81,2024-06-03 00:00:00,True,,,819,2316.0,859.95,1456.05,0.0,0.0,0
82,2024-06-03 00:00:00,True,,,817,1473.0,857.85,615.15,0.0,0.0,0
83,2024-06-10 00:00:00,False,2026-03-10 05:00:00,RR1.00:3-4:552:2065,615,781.5,644.7,136.8,0.0,0.0,0
84,2024-06-10 00:00:00,False,2026-03-23 22:57:40,RR1.00:21-22:538:1996,632,783.0,662.55,120.45,0.0,0.0,0
85,2024-06-10 00:00:00,False,2025-04-07 23:30:00,RR1.00:22-23:449:1658,238,165.5,248.85,-83.35,0.0,0.0,0
86,2024-06-10 00:00:00,False,2025-09-09 16:04:40,RR1.00:14-15:487:1844,405,560.0,424.2,135.8,0.0,0.0,0
87,2024-06-10 00:00:00,False,2025-09-09 16:04:40,RR1.00:14-15:487:1844,405,590.5,424.2,166.3,0.0,0.0,0
88,2024-06-17 00:00:00,False,2026-03-23 08:33:40,RR1.00:4-5:531:2061,624,883.0,654.15,228.85,0.0,0.0,0
89,2024-06-17 00:00:00,False,2024-10-04 23:30:00,RR1.00:17-18:290:1461,93,-847.5,96.6,-944.1,0.0,0.0,0
90,2024-06-17 00:00:00,False,2024-09-12 18:46:40,RR1.00:18-19:342:1478,74,-888.5,76.65,-965.15,0.0,0.0,0
91,2024-06-17 00:00:00,False,2024-09-12 18:46:40,RR1.00:18-19:342:1478,73,-990.5,75.6,-1066.1,0.0,0.0,0
92,2024-06-17 00:00:00,False,2024-09-25 23:30:00,RR1.00:22-23:401:1490,84,-717.5,87.15,-804.65,0.0,0.0,0
93,2024-06-24 00:00:00,False,2024-09-23 23:20:40,RR1.00:22-23:400:1487,77,-807.0,79.8,-886.8,0.0,0.0,0
94,2024-06-24 00:00:00,False,2024-10-14 04:51:40,RR1.00:4-5:409:1602,92,-793.5,95.55,-889.05,0.0,0.0,0
95,2024-06-24 00:00:00,False,2026-03-06 19:36:40,RR1.00:18-19:461:1964,598,903.5,626.85,276.65,0.0,0.0,0
96,2024-06-24 00:00:00,False,2026-03-11 23:30:00,RR1.00:22-23:552:1996,605,747.5,634.2,113.3,0.0,0.0,0
97,2024-06-24 00:00:00,False,2026-03-09 08:30:00,RR1.00:8-9:598:2128,599,748.0,627.9,120.1,0.0,0.0,0
98,2024-07-01 00:00:00,False,2026-03-13 22:40:40,RR1.00:21-22:536:1988,601,935.0,630.0,305.0,0.0,0.0,0
99,2024-07-01 00:00:00,False,2026-03-13 22:40:40,RR1.00:21-22:536:1988,601,766.5,630.0,136.5,0.0,0.0,0
100,2024-07-01 00:00:00,False,2026-03-13 07:22:40,RR1.00:6-7:534:2048,601,756.0,630.0,126.0,0.0,0.0,0
101,2024-07-01 00:00:00,False,2026-03-09 12:30:00,RR1.00:10-11:585:2121,592,778.5,620.55,157.95,0.0,0.0,0
102,2024-07-01 00:00:00,False,2026-03-06 19:36:40,RR1.00:18-19:461:1964,591,844.5,619.5,225.0,0.0,0.0,0
103,2024-07-08 00:00:00,False,2026-02-19 05:49:40,RR1.00:5-6:428:1899,565,718.0,592.2,125.8,0.0,0.0,0
104,2024-07-08 00:00:00,False,2026-03-24 14:53:40,RR1.00:12-13:514:2031,605,791.5,634.2,157.3,0.0,0.0,0
