at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2025-05-01 00:00:00,9,2023-01,1,500.0,500.0,500.0,500.0,30589.85,30089.85,0.0,
2025-05-01 00:00:00,86,2024-05,1,500.0,500.0,500.0,500.0,30507.75,30007.75,0.0,
2025-05-01 00:00:00,87,2024-05,1,500.0,500.0,500.0,500.0,30575.75,30075.75,0.0,
2025-07-01 00:00:00,85,2024-05,1,500.0,500.0,500.0,500.0,30588.9,30088.9,0.0,
2025-07-01 00:00:00,86,2024-05,2,500.0,500.0,500.0,500.0,31005.4,30505.4,0.0,
2025-08-01 00:00:00,86,2024-05,3,500.0,500.0,500.0,500.0,30527.9,30027.9,0.0,
2025-10-01 00:00:00,1,2023-01,1,500.0,500.0,500.0,500.0,30705.35,30205.35,0.0,
2025-10-01 00:00:00,2,2023-01,1,500.0,500.0,500.0,500.0,30708.3,30208.3,0.0,
2025-10-01 00:00:00,9,2023-01,2,500.0,500.0,500.0,500.0,31081.85,30581.85,0.0,
2025-10-01 00:00:00,10,2023-01,1,500.0,500.0,500.0,500.0,30776.5,30276.5,0.0,
2025-10-01 00:00:00,13,2023-01,1,500.0,500.0,500.0,500.0,30530.3,30030.3,0.0,
2025-11-01 00:00:00,1,2023-01,2,500.0,500.0,500.0,500.0,30599.2,30099.2,0.0,
2025-11-01 00:00:00,2,2023-01,2,500.0,500.0,500.0,500.0,30538.15,30038.15,0.0,
2025-11-01 00:00:00,9,2023-01,3,500.0,500.0,500.0,500.0,30858.7,30358.7,0.0,
2025-11-01 00:00:00,10,2023-01,2,500.0,500.0,500.0,500.0,30553.35,30053.35,0.0,
2025-11-01 00:00:00,15,2023-01,1,500.0,500.0,500.0,500.0,31816.65,31316.65,0.0,
2025-11-01 00:00:00,16,2023-01,1,500.0,500.0,500.0,500.0,31290.0,30790.0,0.0,
2025-11-01 00:00:00,17,2023-01,1,500.0,500.0,500.0,500.0,30955.5,30455.5,0.0,
2025-11-01 00:00:00,18,2023-01,1,500.0,500.0,500.0,500.0,31162.5,30662.5,0.0,
2025-11-01 00:00:00,19,2023-01,1,500.0,500.0,500.0,500.0,31523.55,31023.55,0.0,
2025-11-01 00:00:00,21,2023-01,1,500.0,500.0,500.0,500.0,31287.7,30787.7,0.0,
2025-12-01 00:00:00,38,2024-03,1,500.0,500.0,500.0,500.0,30830.85,30330.85,0.0,
2025-12-01 00:00:00,39,2024-03,1,500.0,500.0,500.0,500.0,30615.85,30115.85,0.0,
2025-12-01 00:00:00,71,2024-04,1,500.0,500.0,500.0,500.0,30571.9,30071.9,0.0,
2025-12-01 00:00:00,86,2024-05,4,500.0,500.0,500.0,500.0,31130.65,30630.65,0.0,
2025-12-01 00:00:00,87,2024-05,2,500.0,500.0,500.0,500.0,30920.65,30420.65,0.0,
