at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-04-08 00:00:00,7,2023-02,1,820.7,820.7,820.7,820.7,32420.7,31600.0,0.0,
2024-06-10 00:00:00,7,2023-02,2,894.75,894.75,894.75,894.75,32494.75,31600.0,0.0,
2024-06-10 00:00:00,14,2023-03,1,611.9,611.9,611.9,611.9,32211.9,31600.0,0.0,
2024-06-17 00:00:00,6,2023-02,1,817.55,817.55,817.55,817.55,32417.55,31600.0,0.0,
2024-06-24 00:00:00,7,2023-02,3,653.2,653.2,653.2,653.2,32253.2,31600.0,0.0,
2024-06-24 00:00:00,14,2023-03,2,653.2,653.2,653.2,653.2,32253.2,31600.0,0.0,
2024-07-01 00:00:00,6,2023-02,2,691.2,691.2,691.2,691.2,32291.2,31600.0,0.0,
2024-07-08 00:00:00,7,2023-02,4,1326.6,1326.6,1326.6,1326.6,32926.6,31600.0,0.0,
2024-07-08 00:00:00,14,2023-03,3,1326.6,1326.6,1326.6,1326.6,32926.6,31600.0,0.0,
2024-07-15 00:00:00,6,2023-02,3,1308.5,1308.5,1308.5,1308.5,32908.5,31600.0,0.0,
2024-08-19 00:00:00,7,2023-02,5,610.2,610.2,610.2,610.2,32210.2,31600.0,0.0,
2024-08-19 00:00:00,14,2023-03,4,610.2,610.2,610.2,610.2,32210.2,31600.0,0.0,
2024-08-19 00:00:00,65,2024-01,1,639.55,639.55,639.55,639.55,32239.55,31600.0,0.0,
2024-08-26 00:00:00,6,2023-02,4,533.55,533.55,533.55,533.55,32133.55,31600.0,0.0,
2024-09-16 00:00:00,7,2023-02,6,684.6,684.6,684.6,684.6,32284.6,31600.0,0.0,
2024-09-16 00:00:00,14,2023-03,5,684.6,684.6,684.6,684.6,32284.6,31600.0,0.0,
2024-09-16 00:00:00,65,2024-01,2,684.6,684.6,684.6,684.6,32284.6,31600.0,0.0,
2024-09-23 00:00:00,6,2023-02,5,923.05,923.05,923.05,923.05,32523.05,31600.0,0.0,
2024-09-23 00:00:00,67,2024-02,1,843.9,843.9,843.9,843.9,32443.9,31600.0,0.0,
2024-09-30 00:00:00,7,2023-02,7,1143.3,1143.3,1143.3,1143.3,32743.3,31600.0,0.0,
2024-09-30 00:00:00,14,2023-03,6,1143.3,1143.3,1143.3,1143.3,32743.3,31600.0,0.0,
2024-09-30 00:00:00,65,2024-01,3,1143.3,1143.3,1143.3,1143.3,32743.3,31600.0,0.0,
2024-10-07 00:00:00,6,2023-02,6,884.8,884.8,884.8,884.8,32484.8,31600.0,0.0,
2024-10-07 00:00:00,67,2024-02,2,884.8,884.8,884.8,884.8,32484.8,31600.0,0.0,
2024-11-11 00:00:00,6,2023-02,7,635.5,635.5,635.5,635.5,32235.5,31600.0,0.0,
2024-11-11 00:00:00,7,2023-02,8,955.05,955.05,955.05,955.05,32555.05,31600.0,0.0,
2024-11-11 00:00:00,14,2023-03,7,955.05,955.05,955.05,955.05,32555.05,31600.0,0.0,
2024-11-11 00:00:00,65,2024-01,4,955.05,955.05,955.05,955.05,32555.05,31600.0,0.0,
2024-11-11 00:00:00,67,2024-02,3,635.5,635.5,635.5,635.5,32235.5,31600.0,0.0,
2024-11-11 00:00:00,81,2024-05,1,513.7,513.7,513.7,513.7,32113.7,31600.0,0.0,
2024-12-23 00:00:00,83,2024-05,1,665.65,665.65,665.65,665.65,32265.65,31600.0,0.0,
2024-12-23 00:00:00,84,2024-05,1,665.95,665.95,665.95,665.95,32265.95,31600.0,0.0,
2025-01-20 00:00:00,6,2023-02,8,795.55,795.55,795.55,795.55,32395.55,31600.0,0.0,
2025-01-20 00:00:00,7,2023-02,9,795.55,795.55,795.55,795.55,32395.55,31600.0,0.0,
2025-01-20 00:00:00,14,2023-03,8,795.55,795.55,795.55,795.55,32395.55,31600.0,0.0,
2025-01-20 00:00:00,65,2024-01,5,795.55,795.55,795.55,795.55,32395.55,31600.0,0.0,
