at,kind,amount_usd,cash_after_usd
2023-01-01T00:00:00,owner_contribution,1000,1000.0
2023-01-01T00:00:00,account_purchase,-200.0,800.0
2023-02-01T00:00:00,owner_contribution,200,1000.0
2023-02-01T00:00:00,account_purchase,-200.0,800.0
2023-03-01T00:00:00,owner_contribution,200,1000.0
2023-03-01T00:00:00,account_purchase,-200.0,800.0
2023-04-01T00:00:00,owner_contribution,200,1000.0
2023-04-01T00:00:00,account_purchase,-200.0,800.0
2023-05-01T00:00:00,owner_contribution,200,1000.0
2023-05-01T00:00:00,account_purchase,-200.0,800.0
2023-06-01T00:00:00,owner_contribution,200,1000.0
2023-06-01T00:00:00,account_purchase,-200.0,800.0
2023-07-01T00:00:00,owner_contribution,200,1000.0
2023-07-01T00:00:00,account_purchase,-200.0,800.0
2023-08-01T00:00:00,owner_contribution,200,1000.0
2023-08-01T00:00:00,account_purchase,-200.0,800.0
2023-09-01T00:00:00,owner_contribution,200,1000.0
2023-09-01T00:00:00,account_purchase,-200.0,800.0
2023-10-01T00:00:00,owner_contribution,200,1000.0
2023-10-01T00:00:00,account_purchase,-200.0,800.0
2023-11-01T00:00:00,owner_contribution,200,1000.0
2023-11-01T00:00:00,account_purchase,-200.0,800.0
2023-12-01T00:00:00,owner_contribution,200,1000.0
2023-12-01T00:00:00,account_purchase,-200.0,800.0
2024-01-01T00:00:00,owner_contribution,200,1000.0
2024-01-01T00:00:00,account_purchase,-200.0,800.0
2024-02-01T00:00:00,owner_contribution,200,1000.0
2024-02-01T00:00:00,account_purchase,-200.0,800.0
2024-03-01T00:00:00,owner_contribution,200,1000.0
2024-03-01T00:00:00,account_purchase,-200.0,800.0
2024-03-25T00:00:00,payout_received,1073.3,1873.3
2024-04-01T00:00:00,owner_contribution,200,2073.3
2024-04-01T00:00:00,account_purchase,-200.0,1873.3
2024-04-08T00:00:00,payout_received,972.2,2845.5
2024-04-08T00:00:00,payout_received,1017.8,3863.3
2024-04-08T00:00:00,payout_received,939.6,4802.9
2024-05-01T00:00:00,owner_contribution,200,5002.9
2024-05-01T00:00:00,account_purchase,-200.0,4802.9
2024-06-01T00:00:00,owner_contribution,200,5002.9
2024-06-01T00:00:00,account_purchase,-200.0,4802.9
2024-06-10T00:00:00,payout_received,1188.6,5991.5
2024-06-10T00:00:00,payout_received,1188.6,7180.1
2024-06-10T00:00:00,payout_received,1188.6,8368.7
2024-06-17T00:00:00,payout_received,949.45,9318.15
2024-06-17T00:00:00,payout_received,727.15,10045.3
2024-06-24T00:00:00,payout_received,916.5,10961.8
2024-06-24T00:00:00,payout_received,916.5,11878.3
2024-06-24T00:00:00,payout_received,916.5,12794.8
2024-07-01T00:00:00,payout_received,509.9,13304.7
2024-07-01T00:00:00,payout_received,509.9,13814.6
2024-07-01T00:00:00,owner_contribution,200,14014.6
2024-07-01T00:00:00,account_purchase,-200.0,13814.6
2024-07-08T00:00:00,payout_received,1004.65,14819.25
2024-07-08T00:00:00,payout_received,1004.65,15823.9
2024-07-08T00:00:00,payout_received,1004.65,16828.55
2024-07-08T00:00:00,payout_received,580.1,17408.65
2024-07-15T00:00:00,payout_received,1004.75,18413.4
2024-07-15T00:00:00,payout_received,1004.75,19418.15
2024-07-15T00:00:00,payout_received,709.1,20127.25
2024-08-01T00:00:00,owner_contribution,200,20327.25
2024-08-01T00:00:00,account_purchase,-200.0,20127.25
