account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-02 00:00:00,True,,,78,-232.5,81.9,-314.4,0.0,0.0,0
2,2023-01-02 00:00:00,True,,,87,-573.0,91.35,-664.35,0.0,0.0,0
3,2023-01-02 00:00:00,True,,,109,-300.5,114.45,-414.95,0.0,0.0,0
4,2023-01-02 00:00:00,True,,,4786,29802.5,5025.3,100.01,24677.19,24677.19,20
5,2023-01-02 00:00:00,True,,,525,915.0,551.25,363.75,0.0,0.0,0
6,2023-01-09 00:00:00,True,,,106,114.0,111.3,2.7,0.0,0.0,0
7,2023-01-09 00:00:00,True,,,92,-423.0,96.6,-519.6,0.0,0.0,0
8,2023-01-09 00:00:00,True,,,91,-40.0,95.55,-135.55,0.0,0.0,0
9,2023-01-09 00:00:00,True,,,4837,30290.0,5078.85,100.01,25111.14,25100.03,20
10,2023-01-09 00:00:00,True,,,168,144.0,176.4,-32.4,0.0,0.0,0
11,2023-01-16 00:00:00,True,,,120,731.5,126.0,605.5,0.0,0.0,0
12,2023-01-16 00:00:00,True,,,4483,21304.5,4707.15,346.5,16250.85,16250.85,17
13,2023-01-16 00:00:00,True,,,250,615.0,262.5,352.5,0.0,0.0,0
14,2023-01-16 00:00:00,True,,,116,546.0,121.8,424.2,0.0,0.0,0
15,2023-01-16 00:00:00,True,,,3295,13412.0,3459.75,354.05,9598.2,9598.2,9
16,2023-01-23 00:00:00,True,,,242,414.5,254.1,160.4,0.0,0.0,0
17,2023-01-23 00:00:00,True,,,806,1219.0,846.3,372.7,0.0,0.0,0
18,2023-01-23 00:00:00,True,,,4858,30136.0,5100.9,100.01,24935.09,24935.09,20
19,2023-01-23 00:00:00,True,,,4848,30501.0,5090.4,100.01,25310.59,25279.53,21
20,2023-01-23 00:00:00,True,,,88,311.0,92.4,218.6,0.0,0.0,0
21,2023-01-30 00:00:00,True,,,318,212.5,333.9,-121.4,0.0,0.0,0
22,2023-01-30 00:00:00,True,,,498,878.5,522.9,355.6,0.0,0.0,0
23,2023-01-30 00:00:00,True,,,935,2348.0,981.75,1366.25,0.0,0.0,0
24,2023-01-30 00:00:00,True,,,906,1324.0,951.3,372.7,0.0,0.0,0
25,2023-01-30 00:00:00,True,,,187,390.5,196.35,194.15,0.0,0.0,0
26,2023-02-06 00:00:00,True,,,118,-443.5,123.9,-567.4,0.0,0.0,0
27,2023-02-06 00:00:00,True,,,60,-1081.5,63.0,-1144.5,0.0,0.0,0
28,2023-02-06 00:00:00,True,,,168,-657.5,176.4,-833.9,0.0,0.0,0
29,2023-02-06 00:00:00,True,,,40,-159.5,42.0,-201.5,0.0,0.0,0
30,2023-02-06 00:00:00,True,,,447,842.0,469.35,372.65,0.0,0.0,0
31,2023-03-06 00:00:00,True,,,111,254.0,116.55,137.45,0.0,0.0,0
32,2023-03-06 00:00:00,True,,,93,-674.5,97.65,-772.15,0.0,0.0,0
33,2023-03-06 00:00:00,True,,,137,199.0,143.85,55.15,0.0,0.0,0
34,2023-03-06 00:00:00,True,,,4213,27684.5,4423.65,100.01,23160.84,23160.84,18
35,2023-03-06 00:00:00,True,,,180,221.0,189.0,32.0,0.0,0.0,0
36,2023-04-03 00:00:00,True,,,204,562.0,214.2,347.8,0.0,0.0,0
37,2023-04-03 00:00:00,True,,,133,-296.0,139.65,-435.65,0.0,0.0,0
38,2023-04-03 00:00:00,True,,,445,824.0,467.25,356.75,0.0,0.0,0
39,2023-04-03 00:00:00,True,,,89,-528.5,93.45,-621.95,0.0,0.0,0
40,2023-04-03 00:00:00,True,,,193,-524.0,202.65,-726.65,0.0,0.0,0
41,2023-05-01 00:00:00,True,,,149,-458.5,156.45,-614.95,0.0,0.0,0
42,2023-05-01 00:00:00,True,,,31,-1134.0,32.55,-1166.55,0.0,0.0,0
43,2023-05-01 00:00:00,True,,,161,-330.0,169.05,-499.05,0.0,0.0,0
44,2023-05-01 00:00:00,True,,,32,-1188.5,33.6,-1222.1,0.0,0.0,0
45,2023-05-01 00:00:00,True,,,329,526.5,345.45,181.05,0.0,0.0,0
46,2023-06-05 00:00:00,True,,,165,-606.0,173.25,-779.25,0.0,0.0,0
47,2023-06-05 00:00:00,True,,,153,-319.5,160.65,-480.15,0.0,0.0,0
48,2023-06-05 00:00:00,True,,,133,-422.0,139.65,-561.65,0.0,0.0,0
49,2023-06-05 00:00:00,True,,,181,544.5,190.05,354.45,0.0,0.0,0
50,2023-06-05 00:00:00,True,,,219,384.0,229.95,154.05,0.0,0.0,0
51,2023-07-03 00:00:00,True,,,155,42.0,162.75,-120.75,0.0,0.0,0
52,2023-07-03 00:00:00,True,,,186,165.0,195.3,-30.3,0.0,0.0,0
53,2023-07-03 00:00:00,True,,,304,-116.0,319.2,-435.2,0.0,0.0,0
54,2023-07-03 00:00:00,True,,,77,-660.0,80.85,-740.85,0.0,0.0,0
55,2023-07-03 00:00:00,True,,,141,-405.0,148.05,-553.05,0.0,0.0,0
56,2023-08-07 00:00:00,True,,,3084,16036.0,3238.2,349.6,12448.2,12448.2,12
57,2023-08-07 00:00:00,True,,,114,-136.0,119.7,-255.7,0.0,0.0,0
58,2023-08-07 00:00:00,True,,,112,-612.0,117.6,-729.6,0.0,0.0,0
59,2023-08-07 00:00:00,True,,,199,-538.5,208.95,-747.45,0.0,0.0,0
60,2023-08-07 00:00:00,True,,,62,-766.0,65.1,-831.1,0.0,0.0,0
61,2023-09-04 00:00:00,True,,,42,-1158.0,44.1,-1202.1,0.0,0.0,0
62,2023-09-04 00:00:00,True,,,730,2142.5,766.5,1376.0,0.0,0.0,0
63,2023-09-04 00:00:00,True,,,83,-13.0,87.15,-100.15,0.0,0.0,0
64,2023-09-04 00:00:00,True,,,217,1594.5,227.85,1366.65,0.0,0.0,0
65,2023-09-04 00:00:00,True,,,220,651.0,231.0,420.0,0.0,0.0,0
66,2023-10-02 00:00:00,True,,,89,352.5,93.45,259.05,0.0,0.0,0
67,2023-10-02 00:00:00,True,,,176,-890.0,184.8,-1074.8,0.0,0.0,0
68,2023-10-02 00:00:00,True,,,328,668.0,344.4,323.6,0.0,0.0,0
69,2023-10-02 00:00:00,True,,,337,730.0,353.85,376.15,0.0,0.0,0
70,2023-10-02 00:00:00,True,,,269,727.5,282.45,445.05,0.0,0.0,0
71,2023-11-06 00:00:00,True,,,365,701.5,383.25,318.25,0.0,0.0,0
72,2023-11-06 00:00:00,True,,,217,184.5,227.85,-43.35,0.0,0.0,0
73,2023-11-06 00:00:00,True,,,239,-36.0,250.95,-286.95,0.0,0.0,0
74,2023-11-06 00:00:00,True,,,1272,9323.0,1335.6,4987.4,3000.0,3000.0,2
75,2023-11-06 00:00:00,True,,,1345,9708.0,1412.25,4556.7,3739.05,3739.05,3
76,2023-12-04 00:00:00,True,,,232,664.0,243.6,420.4,0.0,0.0,0
77,2023-12-04 00:00:00,True,,,254,630.5,266.7,363.8,0.0,0.0,0
78,2023-12-04 00:00:00,True,,,3246,17699.0,3408.3,347.5,13943.2,13943.2,14
79,2023-12-04 00:00:00,True,,,2536,12590.5,2662.8,354.9,9572.8,9572.8,9
80,2023-12-04 00:00:00,True,,,3525,24998.5,3701.25,100.01,21197.24,21197.24,16
81,2024-01-01 00:00:00,True,,,219,588.0,229.95,358.05,0.0,0.0,0
82,2024-01-01 00:00:00,True,,,255,644.5,267.75,376.75,0.0,0.0,0
83,2024-01-01 00:00:00,True,,,230,-271.5,241.5,-513.0,0.0,0.0,0
84,2024-01-01 00:00:00,True,,,3162,22109.0,3320.1,100.01,18688.89,18688.89,13
85,2024-01-01 00:00:00,True,,,58,-836.0,60.9,-896.9,0.0,0.0,0
86,2024-02-05 00:00:00,True,,,178,63.0,186.9,-123.9,0.0,0.0,0
87,2024-02-05 00:00:00,True,,,137,-172.5,143.85,-316.35,0.0,0.0,0
88,2024-02-05 00:00:00,True,,,156,123.5,163.8,-40.3,0.0,0.0,0
89,2024-02-05 00:00:00,True,,,170,539.0,178.5,360.5,0.0,0.0,0
90,2024-02-05 00:00:00,True,,,3206,23182.5,3366.3,100.01,19716.19,19716.19,13
91,2024-03-04 00:00:00,True,,,176,522.5,184.8,337.7,0.0,0.0,0
92,2024-03-04 00:00:00,True,,,169,509.0,177.45,331.55,0.0,0.0,0
93,2024-03-04 00:00:00,True,,,219,580.0,229.95,350.05,0.0,0.0,0
94,2024-03-04 00:00:00,True,,,1012,1414.0,1062.6,351.4,0.0,0.0,0
95,2024-03-04 00:00:00,True,,,154,688.5,161.7,526.8,0.0,0.0,0
96,2024-03-25 00:00:00,True,,,131,223.5,137.55,85.95,0.0,0.0,0
