at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-03-25 00:00:00,1,2023-01,1,1073.3,1073.3,1073.3,1073.3,32673.3,31600.0,0.0,
2024-03-25 00:00:00,2,2023-01,1,708.1,708.1,708.1,708.1,32308.1,31600.0,0.0,
2024-04-01 00:00:00,3,2023-01,1,635.8,635.8,635.8,635.8,32235.8,31600.0,0.0,
2024-04-08 00:00:00,1,2023-01,2,972.2,972.2,972.2,972.2,32572.2,31600.0,0.0,
2024-04-08 00:00:00,2,2023-01,2,972.2,972.2,972.2,972.2,32572.2,31600.0,0.0,
2024-04-08 00:00:00,4,2023-01,1,1228.15,1228.15,1228.15,1228.15,32828.15,31600.0,0.0,
2024-04-08 00:00:00,5,2023-01,1,743.6,743.6,743.6,743.6,32343.6,31600.0,0.0,
2024-04-08 00:00:00,6,2023-02,1,720.15,720.15,720.15,720.15,32320.15,31600.0,0.0,
2024-05-13 00:00:00,3,2023-01,2,582.6,582.6,582.6,582.6,32182.6,31600.0,0.0,
2024-05-20 00:00:00,7,2023-03,1,502.8,502.8,502.8,502.8,32102.8,31600.0,0.0,
2024-06-03 00:00:00,3,2023-01,3,576.2,576.2,576.2,576.2,32176.2,31600.0,0.0,
2024-06-10 00:00:00,1,2023-01,3,1188.6,1188.6,1188.6,1188.6,32788.6,31600.0,0.0,
2024-06-10 00:00:00,2,2023-01,3,1188.6,1188.6,1188.6,1188.6,32788.6,31600.0,0.0,
2024-06-10 00:00:00,4,2023-01,2,1188.6,1188.6,1188.6,1188.6,32788.6,31600.0,0.0,
2024-06-10 00:00:00,5,2023-01,2,1188.6,1188.6,1188.6,1188.6,32788.6,31600.0,0.0,
2024-06-10 00:00:00,6,2023-02,2,1188.6,1188.6,1188.6,1188.6,32788.6,31600.0,0.0,
2024-06-10 00:00:00,7,2023-03,2,1175.95,1175.95,1175.95,1175.95,32775.95,31600.0,0.0,
2024-06-17 00:00:00,3,2023-01,4,1620.4,1500.0,1500.0,1500.0,33220.4,31720.4,0.0,maximum_payout
2024-06-17 00:00:00,15,2023-11,1,583.65,583.65,583.65,583.65,32183.65,31600.0,0.0,
2024-06-17 00:00:00,16,2023-12,1,961.15,961.15,961.15,961.15,32561.15,31600.0,0.0,
2024-06-24 00:00:00,1,2023-01,4,916.5,916.5,916.5,916.5,32516.5,31600.0,0.0,
2024-06-24 00:00:00,2,2023-01,4,916.5,916.5,916.5,916.5,32516.5,31600.0,0.0,
2024-06-24 00:00:00,4,2023-01,3,916.5,916.5,916.5,916.5,32516.5,31600.0,0.0,
2024-06-24 00:00:00,5,2023-01,3,916.5,916.5,916.5,916.5,32516.5,31600.0,0.0,
2024-06-24 00:00:00,6,2023-02,3,916.5,916.5,916.5,916.5,32516.5,31600.0,0.0,
2024-06-24 00:00:00,7,2023-03,3,916.5,916.5,916.5,916.5,32516.5,31600.0,0.0,
2024-07-01 00:00:00,3,2023-01,5,630.3,630.3,630.3,630.3,32230.3,31600.0,0.0,
2024-07-01 00:00:00,15,2023-11,2,509.9,509.9,509.9,509.9,32109.9,31600.0,0.0,
2024-07-01 00:00:00,16,2023-12,2,509.9,509.9,509.9,509.9,32109.9,31600.0,0.0,
