account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-02 00:00:00,True,,,80,-125.0,84.0,-209.0,0.0,0.0,0
2,2023-01-02 00:00:00,True,,,103,566.5,108.15,458.35,0.0,0.0,0
3,2023-01-02 00:00:00,True,,,108,-190.0,113.4,-303.4,0.0,0.0,0
4,2023-01-02 00:00:00,True,,,4798,29154.5,5037.9,100.01,24016.59,24016.59,26
5,2023-01-02 00:00:00,True,,,541,2054.5,568.05,1486.45,0.0,0.0,0
6,2023-01-09 00:00:00,True,,,451,962.0,473.55,488.45,0.0,0.0,0
7,2023-01-09 00:00:00,True,,,87,-322.0,91.35,-413.35,0.0,0.0,0
8,2023-01-09 00:00:00,True,,,85,62.0,89.25,-27.25,0.0,0.0,0
9,2023-01-09 00:00:00,True,,,4849,29642.0,5091.45,100.01,24450.54,24450.54,27
10,2023-01-09 00:00:00,True,,,167,214.0,175.35,38.65,0.0,0.0,0
11,2023-01-16 00:00:00,True,,,107,-145.5,112.35,-257.85,0.0,0.0,0
12,2023-01-16 00:00:00,True,,,4807,28922.0,5047.35,100.01,23774.64,23774.64,26
13,2023-01-16 00:00:00,True,,,199,28.0,208.95,-180.95,0.0,0.0,0
14,2023-01-16 00:00:00,True,,,103,-331.0,108.15,-439.15,0.0,0.0,0
15,2023-01-16 00:00:00,True,,,852,1376.5,894.6,481.9,0.0,0.0,0
16,2023-01-23 00:00:00,True,,,246,494.5,258.3,236.2,0.0,0.0,0
17,2023-01-23 00:00:00,True,,,107,5.5,112.35,-106.85,0.0,0.0,0
18,2023-01-23 00:00:00,True,,,4873,29486.5,5116.65,100.01,24269.84,24269.84,27
19,2023-01-23 00:00:00,True,,,4863,29851.5,5106.15,100.01,24645.34,24645.34,28
20,2023-01-23 00:00:00,True,,,146,477.5,153.3,324.2,0.0,0.0,0
21,2023-01-30 00:00:00,True,,,285,305.0,299.25,5.75,0.0,0.0,0
22,2023-01-30 00:00:00,True,,,492,1065.5,516.6,548.9,0.0,0.0,0
23,2023-01-30 00:00:00,True,,,246,427.5,258.3,169.2,0.0,0.0,0
24,2023-01-30 00:00:00,True,,,177,448.0,185.85,262.15,0.0,0.0,0
25,2023-01-30 00:00:00,True,,,256,598.5,268.8,329.7,0.0,0.0,0
26,2023-02-06 00:00:00,True,,,121,-331.5,127.05,-458.55,0.0,0.0,0
27,2023-02-06 00:00:00,True,,,106,80.0,111.3,-31.3,0.0,0.0,0
28,2023-02-06 00:00:00,True,,,270,829.0,283.5,545.5,0.0,0.0,0
29,2023-02-06 00:00:00,True,,,26,-968.5,27.3,-995.8,0.0,0.0,0
30,2023-02-06 00:00:00,True,,,450,940.5,472.5,468.0,0.0,0.0,0
31,2023-03-06 00:00:00,True,,,59,340.5,61.95,278.55,0.0,0.0,0
32,2023-03-06 00:00:00,True,,,48,392.0,50.4,341.6,0.0,0.0,0
33,2023-03-06 00:00:00,True,,,150,533.5,157.5,376.0,0.0,0.0,0
34,2023-03-06 00:00:00,True,,,4228,27035.0,4439.4,100.01,22495.59,22495.59,25
35,2023-03-06 00:00:00,True,,,116,-572.5,121.8,-694.3,0.0,0.0,0
