at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-03-21 00:00:00,1,2023-01,1,500.0,500.0,500.0,500.0,32476.45,31976.45,0.0,
2024-03-28 00:00:00,2,2023-01,1,500.0,500.0,500.0,500.0,32699.0,32199.0,0.0,
2024-03-28 00:00:00,3,2023-01,1,500.0,500.0,500.0,500.0,32470.65,31970.65,0.0,
2024-04-03 00:00:00,4,2023-01,1,500.0,500.0,500.0,500.0,32553.25,32053.25,0.0,
2024-04-05 00:00:00,1,2023-01,2,500.0,500.0,500.0,500.0,33090.1,32590.1,0.0,
2024-04-09 00:00:00,5,2023-01,1,500.0,500.0,500.0,500.0,32437.55,31937.55,0.0,
2024-04-09 00:00:00,6,2023-02,1,500.0,500.0,500.0,500.0,32414.1,31914.1,0.0,
2024-04-10 00:00:00,2,2023-01,2,500.0,500.0,500.0,500.0,33030.45,32530.45,0.0,
2024-04-10 00:00:00,3,2023-01,2,500.0,500.0,500.0,500.0,32802.1,32302.1,0.0,
2024-05-07 00:00:00,1,2023-01,3,500.0,500.0,500.0,500.0,32633.3,32133.3,0.0,
2024-05-16 00:00:00,2,2023-01,3,500.0,500.0,500.0,500.0,32530.1,32030.1,0.0,
2024-05-16 00:00:00,4,2023-01,2,500.0,500.0,500.0,500.0,32577.95,32077.95,0.0,
2024-05-28 00:00:00,1,2023-01,4,500.0,500.0,500.0,500.0,32402.7,31902.7,0.0,
2024-05-29 00:00:00,3,2023-01,3,500.0,500.0,500.0,500.0,32479.85,31979.85,0.0,
2024-05-29 00:00:00,7,2023-03,1,500.0,500.0,500.0,500.0,32518.05,32018.05,0.0,
2024-06-04 00:00:00,2,2023-01,4,500.0,500.0,500.0,500.0,32634.6,32134.6,0.0,
2024-06-04 00:00:00,4,2023-01,3,500.0,500.0,500.0,500.0,32682.45,32182.45,0.0,
2024-06-04 00:00:00,5,2023-01,2,500.0,500.0,500.0,500.0,32697.9,32197.9,0.0,
2024-06-04 00:00:00,6,2023-02,2,500.0,500.0,500.0,500.0,32674.45,32174.45,0.0,
2024-06-12 00:00:00,1,2023-01,5,500.0,500.0,500.0,500.0,33006.3,32506.3,0.0,
2024-06-13 00:00:00,3,2023-01,4,500.0,500.0,500.0,500.0,33499.8,32999.8,0.0,
2024-06-13 00:00:00,7,2023-03,2,500.0,500.0,500.0,500.0,33538.0,33038.0,0.0,
2024-06-13 00:00:00,16,2023-12,1,500.0,500.0,500.0,500.0,32545.95,32045.95,0.0,
