at,account_id,cohort_month,payout_number,requested_usd,allowed_usd,gross_usd,received_usd,balance_before_usd,balance_after_usd,outstanding_after_usd,binding_cap
2024-03-21 00:00:00,1,2023-01,1,500.0,500.0,500.0,500.0,32476.45,31976.45,0.0,
2024-04-05 00:00:00,1,2023-01,2,500.0,500.0,500.0,500.0,33090.1,32590.1,0.0,
2024-04-05 00:00:00,2,2023-02,1,500.0,500.0,500.0,500.0,32562.4,32062.4,0.0,
2024-04-05 00:00:00,3,2023-03,1,500.0,500.0,500.0,500.0,32484.2,31984.2,0.0,
2024-05-07 00:00:00,1,2023-01,3,500.0,500.0,500.0,500.0,32633.3,32133.3,0.0,
2024-05-28 00:00:00,1,2023-01,4,500.0,500.0,500.0,500.0,32402.7,31902.7,0.0,
2024-05-29 00:00:00,2,2023-02,2,500.0,500.0,500.0,500.0,32545.7,32045.7,0.0,
2024-05-29 00:00:00,3,2023-03,2,500.0,500.0,500.0,500.0,32467.5,31967.5,0.0,
2024-06-12 00:00:00,1,2023-01,5,500.0,500.0,500.0,500.0,33006.3,32506.3,0.0,
2024-06-13 00:00:00,2,2023-02,3,500.0,500.0,500.0,500.0,33565.65,33065.65,0.0,
2024-06-13 00:00:00,3,2023-03,3,500.0,500.0,500.0,500.0,33487.45,32987.45,0.0,
2024-06-13 00:00:00,11,2023-11,1,500.0,500.0,500.0,500.0,32534.25,32034.25,0.0,
2024-06-18 00:00:00,12,2023-12,1,500.0,500.0,500.0,500.0,32439.8,31939.8,0.0,
2024-06-26 00:00:00,1,2023-01,6,500.0,500.0,500.0,500.0,33343.8,32843.8,0.0,
2024-06-28 00:00:00,2,2023-02,4,500.0,500.0,500.0,500.0,33524.05,33024.05,0.0,
2024-06-28 00:00:00,3,2023-03,4,500.0,500.0,500.0,500.0,33445.85,32945.85,0.0,
2024-06-28 00:00:00,11,2023-11,2,500.0,500.0,500.0,500.0,32492.65,31992.65,0.0,
2024-07-02 00:00:00,12,2023-12,2,500.0,500.0,500.0,500.0,32553.6,32053.6,0.0,
2024-07-06 00:00:00,1,2023-01,7,500.0,500.0,500.0,500.0,33755.25,33255.25,0.0,
2024-07-10 00:00:00,2,2023-02,5,500.0,500.0,500.0,500.0,33847.25,33347.25,0.0,
2024-07-10 00:00:00,3,2023-03,5,500.0,500.0,500.0,500.0,33769.05,33269.05,0.0,
2024-07-10 00:00:00,11,2023-11,3,500.0,500.0,500.0,500.0,32815.85,32315.85,0.0,
2024-07-12 00:00:00,12,2023-12,3,500.0,500.0,500.0,500.0,32557.1,32057.1,0.0,
2024-07-13 00:00:00,13,2024-01,1,500.0,500.0,500.0,500.0,32548.05,32048.05,0.0,
2024-07-23 00:00:00,1,2023-01,8,500.0,500.0,500.0,500.0,33157.55,32657.55,0.0,
2024-08-09 00:00:00,2,2023-02,6,500.0,500.0,500.0,500.0,32731.4,32231.4,0.0,
2024-08-09 00:00:00,3,2023-03,6,500.0,500.0,500.0,500.0,32653.2,32153.2,0.0,
2024-08-10 00:00:00,1,2023-01,9,500.0,500.0,500.0,500.0,32888.35,32388.35,0.0,
2024-08-15 00:00:00,11,2023-11,4,500.0,500.0,500.0,500.0,32547.9,32047.9,0.0,
2024-08-16 00:00:00,12,2023-12,4,500.0,500.0,500.0,500.0,33059.3,32559.3,0.0,
2024-08-16 00:00:00,13,2024-01,2,500.0,500.0,500.0,500.0,32765.55,32265.55,0.0,
2024-08-16 00:00:00,14,2024-02,1,500.0,500.0,500.0,500.0,33026.6,32526.6,0.0,
2024-08-21 00:00:00,2,2023-02,7,500.0,500.0,500.0,500.0,34488.4,33988.4,0.0,
2024-08-21 00:00:00,3,2023-03,7,500.0,500.0,500.0,500.0,34410.2,33910.2,0.0,
2024-08-22 00:00:00,1,2023-01,10,500.0,500.0,500.0,500.0,34091.45,33591.45,0.0,
2024-08-27 00:00:00,11,2023-11,5,500.0,500.0,500.0,500.0,33440.2,32940.2,0.0,
2024-08-28 00:00:00,12,2023-12,5,500.0,500.0,500.0,500.0,33384.95,32884.95,0.0,
2024-08-28 00:00:00,13,2024-01,3,500.0,500.0,500.0,500.0,33091.2,32591.2,0.0,
2024-08-28 00:00:00,14,2024-02,2,500.0,500.0,500.0,500.0,33352.25,32852.25,0.0,
2024-09-03 00:00:00,2,2023-02,8,500.0,500.0,500.0,500.0,34408.6,33908.6,0.0,
2024-09-03 00:00:00,3,2023-03,8,500.0,500.0,500.0,500.0,34330.4,33830.4,0.0,
2024-09-06 00:00:00,1,2023-01,11,500.0,500.0,500.0,500.0,33653.6,33153.6,0.0,
2024-09-10 00:00:00,11,2023-11,6,500.0,500.0,500.0,500.0,33627.25,33127.25,0.0,
2024-09-12 00:00:00,12,2023-12,6,500.0,500.0,500.0,500.0,33740.8,33240.8,0.0,
2024-09-12 00:00:00,13,2024-01,4,500.0,500.0,500.0,500.0,33447.05,32947.05,0.0,
2024-09-12 00:00:00,14,2024-02,3,500.0,500.0,500.0,500.0,33708.1,33208.1,0.0,
2024-09-14 00:00:00,17,2024-05,1,500.0,500.0,500.0,500.0,32495.75,31995.75,0.0,
2024-09-17 00:00:00,2,2023-02,9,500.0,500.0,500.0,500.0,34744.1,34244.1,0.0,
2024-09-17 00:00:00,3,2023-03,9,500.0,500.0,500.0,500.0,34665.9,34165.9,0.0,
