account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-02 00:00:00,True,,,6932,33083.0,7278.6,100.01,25704.39,25633.95,21
2,2023-01-09 00:00:00,True,,,6906,32690.5,7251.3,100.01,25339.19,25305.27,21
3,2023-01-16 00:00:00,True,,,6873,32427.5,7216.65,100.01,25110.84,25099.76,22
4,2023-01-23 00:00:00,True,,,6839,32168.0,7180.95,100.01,24887.04,24887.04,21
5,2023-01-30 00:00:00,True,,,6810,31653.0,7150.5,100.01,24402.49,24402.49,21
6,2023-02-06 00:00:00,True,,,6779,31597.0,7117.95,100.01,24379.04,24379.04,21
7,2023-02-13 00:00:00,True,,,6748,31189.0,7085.4,100.01,24003.59,24003.59,20
8,2023-02-20 00:00:00,True,,,6708,30996.0,7043.4,100.01,23852.59,23852.59,20
9,2023-02-27 00:00:00,True,,,6675,31756.0,7008.75,100.01,24647.24,24647.24,21
10,2023-03-06 00:00:00,True,,,6639,31220.0,6970.95,100.01,24149.04,24149.04,21
11,2023-03-13 00:00:00,True,,,6605,31283.5,6935.25,100.01,24248.24,24248.24,21
12,2023-03-20 00:00:00,True,,,6566,30294.5,6894.3,100.01,23300.19,23300.19,20
13,2023-03-27 00:00:00,False,2023-05-15 03:46:40,RR1.00:2-3:312:1167,284,305.5,297.15,8.35,0.0,0.0,0
14,2023-04-03 00:00:00,False,2023-05-15 03:46:40,RR1.00:2-3:312:1167,251,-318.0,262.5,-580.5,0.0,0.0,0
15,2023-04-10 00:00:00,False,2023-05-15 03:46:40,RR1.00:2-3:312:1167,215,-477.5,224.7,-702.2,0.0,0.0,0
16,2023-04-17 00:00:00,False,2023-05-15 03:46:40,RR1.00:2-3:312:1167,178,-1103.5,185.85,-1289.35,0.0,0.0,0
17,2023-04-24 00:00:00,False,2023-05-15 03:46:40,RR1.00:2-3:312:1167,138,-776.0,143.85,-919.85,0.0,0.0,0
18,2023-05-01 00:00:00,False,2023-05-15 03:46:40,RR1.00:2-3:312:1167,101,-1325.5,105.0,-1430.5,0.0,0.0,0
19,2023-05-08 00:00:00,False,2023-10-23 22:12:40,RR1.00:22-23:309:1182,934,1129.0,979.65,149.35,0.0,0.0,0
20,2023-05-15 00:00:00,False,2023-10-30 07:11:20,RR1.00:3-4:331:1247,922,1086.5,967.05,119.45,0.0,0.0,0
21,2023-05-22 00:00:00,False,2023-10-26 20:30:40,RR1.00:20-21:307:1159,871,1102.5,913.5,189.0,0.0,0.0,0
22,2023-05-29 00:00:00,False,2023-10-23 22:12:40,RR1.00:22-23:309:1182,811,1004.5,850.5,154.0,0.0,0.0,0
23,2023-06-05 00:00:00,False,2023-10-25 18:42:40,RR1.00:17-18:220:1141,790,1004.0,828.45,175.55,0.0,0.0,0
24,2023-06-12 00:00:00,False,2023-10-25 16:17:40,RR1.00:13-14:338:1294,758,943.5,794.85,148.65,0.0,0.0,0
25,2023-06-19 00:00:00,False,2023-10-04 11:30:00,RR1.00:10-11:342:1280,613,759.0,642.6,116.4,0.0,0.0,0
26,2023-06-26 00:00:00,False,2023-10-03 23:30:00,RR1.00:22-23:307:1170,570,718.5,597.45,121.05,0.0,0.0,0
27,2023-10-09 00:00:00,False,2023-10-25 21:50:20,RR1.00:21-22:338:1218,96,-1034.0,99.75,-1133.75,0.0,0.0,0
28,2023-10-16 00:00:00,False,2023-10-25 23:16:40,RR1.00:23-24:70:536,62,-1202.0,64.05,-1266.05,0.0,0.0,0
29,2023-10-30 00:00:00,True,,,5321,28360.5,5587.05,100.01,22673.44,22673.44,19
30,2023-11-06 00:00:00,True,,,5280,27923.5,5544.0,100.01,22279.49,22279.49,19
31,2023-11-13 00:00:00,True,,,5245,27937.0,5507.25,100.01,22329.74,22329.74,19
32,2023-11-20 00:00:00,True,,,5208,28060.5,5468.4,100.01,22492.09,22492.09,19
33,2023-11-27 00:00:00,True,,,5173,27994.5,5431.65,100.01,22462.84,22462.84,19
34,2023-12-04 00:00:00,True,,,5130,28143.5,5386.5,100.01,22656.99,22656.99,19
35,2023-12-11 00:00:00,True,,,5098,27758.5,5352.9,100.01,22305.59,22305.59,19
36,2023-12-18 00:00:00,True,,,5061,26958.0,5314.05,100.01,21543.94,21543.94,18
