account_id,activated_at,alive,died_at,death_trade_key,trades_taken,gross_pnl_usd,commission_usd,equity_profit_usd,gross_paid_usd,received_usd,payout_count
1,2023-01-02 00:00:00,False,2024-07-31 15:30:00,RR1.00:11-12:337:1467,468,624.5,490.35,134.15,0.0,0.0,0
2,2023-01-02 00:00:00,False,2024-04-23 15:15:40,RR1.00:13-14:383:1465,389,327.0,407.4,-80.4,0.0,0.0,0
3,2023-01-02 00:00:00,False,2024-05-06 19:20:40,RR1.00:18-19:319:1367,399,379.5,417.9,-38.4,0.0,0.0,0
4,2023-01-02 00:00:00,False,2024-05-09 23:30:00,RR1.00:17-18:260:1322,404,535.5,423.15,112.35,0.0,0.0,0
5,2023-01-02 00:00:00,False,2024-04-17 21:55:40,RR1.00:21-22:377:1364,386,117.5,404.25,-286.75,0.0,0.0,0
6,2023-01-09 00:00:00,False,2025-04-07 23:30:00,RR1.00:20-21:416:1583,707,1272.5,741.3,531.2,0.0,0.0,0
7,2023-01-09 00:00:00,False,2025-04-07 23:30:00,RR1.00:20-21:416:1583,707,1322.5,741.3,581.2,0.0,0.0,0
8,2023-01-09 00:00:00,True,,,1243,9841.5,1305.15,7536.35,1000.0,1000.0,2
9,2023-01-09 00:00:00,False,2024-08-08 23:00:00,RR1.00:18-19:336:1446,471,-724.5,493.5,-1218.0,0.0,0.0,0
10,2023-01-09 00:00:00,False,2023-12-21 16:36:40,RR1.00:16-17:562:1586,307,-973.5,321.3,-1294.8,0.0,0.0,0
11,2023-01-16 00:00:00,False,2023-03-14 14:30:00,RR1.00:8-9:293:1067,56,-1310.5,57.75,-1368.25,0.0,0.0,0
12,2023-01-16 00:00:00,False,2023-03-14 14:30:00,RR1.00:8-9:293:1067,56,-1310.5,57.75,-1368.25,0.0,0.0,0
13,2023-01-16 00:00:00,False,2023-12-12 10:53:40,RR1.00:8-9:381:1358,295,-1040.0,308.7,-1348.7,0.0,0.0,0
14,2023-01-16 00:00:00,False,2024-08-08 10:28:20,RR1.00:9-10:402:1521,464,129.5,486.15,-356.65,0.0,0.0,0
15,2023-01-16 00:00:00,False,2023-12-21 16:36:40,RR1.00:16-17:562:1586,301,-170.0,315.0,-485.0,0.0,0.0,0
16,2023-01-23 00:00:00,True,,,1231,10530.5,1292.55,8237.95,1000.0,1000.0,2
17,2023-01-23 00:00:00,False,2024-08-08 23:00:00,RR1.00:18-19:336:1446,459,218.0,480.9,-262.9,0.0,0.0,0
18,2023-01-23 00:00:00,True,,,1232,10407.5,1293.6,7613.9,1500.0,1500.0,3
19,2023-01-23 00:00:00,True,,,1232,10693.0,1293.6,7899.4,1500.0,1500.0,3
20,2023-01-23 00:00:00,True,,,1232,11086.5,1293.6,7792.9,2000.0,2000.0,4
21,2023-01-30 00:00:00,False,2024-08-06 16:36:40,RR1.00:16-17:637:1818,451,315.0,472.5,-157.5,0.0,0.0,0
22,2023-01-30 00:00:00,False,2024-08-06 16:36:40,RR1.00:16-17:637:1818,451,-17.5,472.5,-490.0,0.0,0.0,0
23,2023-01-30 00:00:00,False,2024-08-08 16:00:00,RR1.00:11-12:338:1474,453,248.0,474.6,-226.6,0.0,0.0,0
24,2023-01-30 00:00:00,False,2023-12-26 22:30:00,RR1.00:18-19:289:1247,292,-254.5,305.55,-560.05,0.0,0.0,0
25,2023-01-30 00:00:00,False,2023-12-22 21:05:40,RR1.00:19-20:303:1248,291,0.0,304.5,-304.5,0.0,0.0,0
26,2023-02-06 00:00:00,True,,,1221,11026.5,1282.05,7744.45,2000.0,2000.0,4
27,2023-02-06 00:00:00,True,,,1220,11943.0,1281.0,8662.0,2000.0,2000.0,4
28,2023-02-06 00:00:00,True,,,1220,11235.0,1281.0,8454.0,1500.0,1500.0,3
29,2023-02-06 00:00:00,True,,,1219,11307.0,1279.95,8027.05,2000.0,2000.0,4
30,2023-02-06 00:00:00,False,2023-05-24 15:31:40,RR1.00:15-16:364:1237,120,-332.0,124.95,-456.95,0.0,0.0,0
31,2023-02-13 00:00:00,False,2023-05-12 20:56:40,RR1.00:20-21:273:1018,105,-671.0,109.2,-780.2,0.0,0.0,0
32,2023-02-13 00:00:00,False,2024-08-07 08:40:40,RR1.00:8-9:452:1591,439,474.0,459.9,14.1,0.0,0.0,0
33,2023-02-13 00:00:00,False,2024-08-07 08:40:40,RR1.00:8-9:452:1591,439,-170.0,459.9,-629.9,0.0,0.0,0
34,2023-02-13 00:00:00,False,2024-08-07 08:40:40,RR1.00:8-9:452:1591,439,-35.0,459.9,-494.9,0.0,0.0,0
35,2023-02-13 00:00:00,False,2024-08-02 19:51:40,RR1.00:19-20:347:1435,437,-301.0,457.8,-758.8,0.0,0.0,0
36,2023-02-20 00:00:00,False,2024-08-06 22:57:40,RR1.00:18-19:335:1443,430,-88.5,450.45,-538.95,0.0,0.0,0
37,2023-02-20 00:00:00,False,2024-08-08 16:00:00,RR1.00:11-12:338:1474,432,455.5,452.55,2.95,0.0,0.0,0
38,2023-02-20 00:00:00,True,,,1205,9190.0,1265.25,6924.75,1000.0,1000.0,2
39,2023-02-20 00:00:00,False,2025-06-16 21:50:40,RR1.00:20-21:435:1642,744,893.0,780.15,112.85,0.0,0.0,0
40,2023-02-20 00:00:00,True,,,1201,8734.0,1261.05,6972.95,500.0,500.0,1
41,2023-02-27 00:00:00,True,,,1195,9279.0,1254.75,7024.25,1000.0,1000.0,2
42,2023-02-27 00:00:00,False,2023-10-04 11:30:00,RR1.00:10-11:342:1280,213,334.5,222.6,111.9,0.0,0.0,0
43,2023-02-27 00:00:00,False,2023-10-20 01:05:40,RR1.00:1-2:273:1100,224,244.0,234.15,9.85,0.0,0.0,0
44,2023-02-27 00:00:00,True,,,1194,9265.0,1253.7,7011.3,1000.0,1000.0,2
45,2023-02-27 00:00:00,False,2024-08-08 16:00:00,RR1.00:11-12:338:1474,422,597.5,442.05,155.45,0.0,0.0,0
46,2023-03-06 00:00:00,False,2024-08-08 16:00:00,RR1.00:11-12:338:1474,415,502.5,434.7,67.8,0.0,0.0,0
47,2023-03-06 00:00:00,False,2024-08-07 08:40:40,RR1.00:8-9:452:1591,414,568.0,433.65,134.35,0.0,0.0,0
48,2023-03-06 00:00:00,False,2024-07-25 16:57:40,RR1.00:11-12:334:1461,404,728.5,423.15,305.35,0.0,0.0,0
49,2023-03-06 00:00:00,False,2025-06-12 14:30:40,RR1.00:13-14:494:1834,723,977.5,758.1,219.4,0.0,0.0,0
50,2023-03-06 00:00:00,False,2025-06-13 12:14:20,RR1.00:12-13:449:1779,724,889.0,759.15,129.85,0.0,0.0,0
51,2023-03-13 00:00:00,False,2025-06-23 23:30:00,RR1.00:20-21:437:1649,726,940.0,761.25,178.75,0.0,0.0,0
52,2023-03-13 00:00:00,True,,,1179,7563.0,1237.95,4825.05,1500.0,1500.0,1
53,2023-03-13 00:00:00,False,2025-07-22 16:30:40,RR1.00:16-17:758:2170,761,900.0,798.0,102.0,0.0,0.0,0
54,2023-03-13 00:00:00,True,,,1180,6147.0,1239.0,3408.0,1500.0,1500.0,1
55,2023-03-13 00:00:00,True,,,1181,6762.5,1240.05,4022.45,1500.0,1500.0,1
56,2023-03-20 00:00:00,True,,,1173,6107.0,1231.65,3375.35,1500.0,1500.0,1
57,2023-03-20 00:00:00,True,,,1173,7569.5,1231.65,4837.85,1500.0,1500.0,1
58,2023-03-20 00:00:00,True,,,1172,7147.0,1230.6,4416.4,1500.0,1500.0,1
59,2023-03-20 00:00:00,True,,,1172,7254.0,1230.6,4523.4,1500.0,1500.0,1
60,2023-03-20 00:00:00,True,,,1171,8477.5,1229.55,4247.95,3000.0,3000.0,4
61,2023-03-27 00:00:00,True,,,1163,9042.0,1221.15,4320.85,3500.0,3500.0,5
62,2023-03-27 00:00:00,True,,,1164,8625.0,1222.2,4402.8,3000.0,3000.0,4
63,2023-03-27 00:00:00,True,,,1165,9044.0,1223.25,4320.75,3500.0,3500.0,5
64,2023-03-27 00:00:00,True,,,1165,8507.0,1223.25,4283.75,3000.0,3000.0,4
65,2023-03-27 00:00:00,True,,,1165,8837.5,1223.25,4614.25,3000.0,3000.0,4
66,2023-04-03 00:00:00,True,,,1157,7435.0,1214.85,3220.15,3000.0,3000.0,4
67,2023-04-03 00:00:00,True,,,1157,6889.0,1214.85,3174.15,2500.0,2500.0,3
68,2023-04-03 00:00:00,True,,,1157,5872.0,1214.85,2657.15,2000.0,2000.0,2
69,2023-04-03 00:00:00,True,,,1155,5941.0,1212.75,2228.25,2500.0,2500.0,3
70,2023-04-03 00:00:00,False,2026-06-29 20:30:00,RR1.00:17-18:390:1969,1139,2026.5,1194.9,331.6,500.0,500.0,1
71,2023-04-10 00:00:00,False,2026-03-31 17:43:40,RR1.00:17-18:371:1893,1024,1340.5,1074.15,266.35,0.0,0.0,0
72,2023-04-10 00:00:00,True,,,1149,4774.0,1206.45,1567.55,2000.0,2000.0,2
73,2023-04-10 00:00:00,True,,,1149,4647.0,1206.45,1440.55,2000.0,2000.0,2
74,2023-04-10 00:00:00,True,,,1149,4984.0,1206.45,1277.55,2500.0,2500.0,3
75,2023-04-10 00:00:00,True,,,1148,5702.5,1205.4,2497.1,2000.0,2000.0,2
76,2023-04-17 00:00:00,True,,,1140,3988.5,1197.0,2791.5,0.0,0.0,0
77,2023-04-17 00:00:00,False,2026-06-24 21:49:40,RR1.00:21-22:551:2068,1117,1444.5,1171.8,272.7,0.0,0.0,0
78,2023-04-17 00:00:00,True,,,1140,4270.5,1197.0,3073.5,0.0,0.0,0
79,2023-04-17 00:00:00,True,,,1140,3935.5,1197.0,2738.5,0.0,0.0,0
80,2023-04-17 00:00:00,False,2026-03-30 16:35:40,RR1.00:15-16:685:2248,1014,1177.5,1063.65,113.85,0.0,0.0,0
81,2023-04-24 00:00:00,False,2025-04-08 08:12:40,RR1.00:4-5:450:1756,600,939.5,628.95,310.55,0.0,0.0,0
82,2023-04-24 00:00:00,False,2025-03-12 15:48:40,RR1.00:15-16:574:1877,574,770.0,601.65,168.35,0.0,0.0,0
83,2023-04-24 00:00:00,False,2024-07-29 10:05:40,RR1.00:9-10:399:1509,354,-912.0,370.65,-1282.65,0.0,0.0,0
84,2023-04-24 00:00:00,False,2024-07-29 10:05:40,RR1.00:9-10:399:1509,354,-928.0,370.65,-1298.65,0.0,0.0,0
85,2023-04-24 00:00:00,False,2024-06-12 22:28:40,RR1.00:22-23:368:1390,317,-870.0,331.8,-1201.8,0.0,0.0,0
86,2023-05-01 00:00:00,False,2024-05-15 20:00:00,RR1.00:19-20:331:1360,290,-1105.0,303.45,-1408.45,0.0,0.0,0
87,2023-05-01 00:00:00,False,2024-04-01 22:36:40,RR1.00:22-23:343:1316,255,-1120.5,266.7,-1387.2,0.0,0.0,0
88,2023-05-01 00:00:00,False,2024-04-02 21:46:20,RR1.00:21-22:372:1345,256,-1097.5,267.75,-1365.25,0.0,0.0,0
89,2023-05-01 00:00:00,False,2024-04-02 21:46:20,RR1.00:21-22:372:1345,256,-1108.5,267.75,-1376.25,0.0,0.0,0
90,2023-05-01 00:00:00,False,2024-03-22 13:40:40,RR1.00:9-10:372:1404,250,-726.0,261.45,-987.45,0.0,0.0,0
91,2023-05-08 00:00:00,False,2024-04-01 22:36:40,RR1.00:22-23:343:1316,244,-432.0,255.15,-687.15,0.0,0.0,0
92,2023-05-08 00:00:00,False,2024-02-29 05:00:00,RR1.00:3-4:359:1358,226,-627.0,236.25,-863.25,0.0,0.0,0
93,2023-05-08 00:00:00,False,2024-02-29 05:00:00,RR1.00:3-4:359:1358,226,-537.5,236.25,-773.75,0.0,0.0,0
94,2023-05-08 00:00:00,False,2024-02-23 23:30:00,RR1.00:18-19:304:1301,223,-271.0,233.1,-504.1,0.0,0.0,0
95,2023-05-08 00:00:00,False,2024-03-19 18:30:00,RR1.00:16-17:593:1675,237,-125.0,247.8,-372.8,0.0,0.0,0
96,2023-05-15 00:00:00,False,2024-02-28 06:42:40,RR1.00:4-5:359:1405,215,288.0,224.7,63.3,0.0,0.0,0
97,2023-05-15 00:00:00,False,2024-01-16 23:30:00,RR1.00:17-18:236:1211,187,395.5,195.3,200.2,0.0,0.0,0
