portfolio,components,windows,mean_pnl,mean_mdd,worst_mdd,lower_mdd_than_rr1,lower_mdd_than_best_constituent,mean_smoothing,early12_mdd_wins,early12_mean_mdd_delta,early12_mean_pnl_delta,later11_mdd_wins,later11_mean_mdd_delta,later11_mean_pnl_delta
pair_0.50_2.50,0.50/2.50,23,4411.703260869565,2794.8652173913047,4036.375000000001,15,5,203.24891304347824,10,-623.4291666666667,45.929166666666724,5,-322.7636363636361,419.7386363636361
rr_0.50,0.50,23,3003.9239130434785,2809.758695652174,4075.25,12,0,0.0,7,-430.2,-1056.1625,5,-502.41818181818167,-1321.5181818181818
pair_0.50_1.75,0.50/1.75,23,4257.041304347827,2884.479347826087,4604.85,15,7,227.86195652173913,10,-593.9270833333334,212.9791666666667,5,-167.57272727272712,-85.88181818181812
pair_0.50_2.25,0.50/2.25,23,4209.034782608695,2903.986956521739,4107.650000000001,14,2,200.4065217391304,9,-506.87291666666675,130.81875000000014,5,-221.75227272727258,-96.62954545454535
pair_0.50_2.75,0.50/2.75,23,4213.660869565218,2918.370652173913,4094.8500000000004,14,9,262.5347826086957,9,-538.0416666666666,120.04583333333336,5,-157.67499999999993,-75.20454545454571
pair_0.50_1.25,0.50/1.25,23,3820.4347826086955,2919.825,4557.225,14,4,138.3000000000001,12,-603.8791666666668,-302.1833333333332,2,-82.81136363636365,-436.79090909090905
pair_0.50_0.75,0.50/0.75,23,3157.6978260869564,2932.4347826086955,4016.4500000000003,9,2,42.769565217391445,7,-310.41875,-849.0687499999999,2,-376.5840909090909,-1225.9113636363636
pair_0.50_2.00,0.50/2.00,23,4104.775,2939.1815217391304,4371.249999999999,11,5,216.73586956521746,9,-537.3645833333334,177.75833333333344,2,-114.9,-365.83409090909083
pair_0.50_3.50,0.50/3.50,23,4252.752173913043,2940.7869565217393,4556.550000000001,12,5,263.04021739130434,10,-680.5041666666667,322.15625,2,44.6090909090911,-213.95227272727305
pair_0.50_1.00,0.50/1.00,23,3595.4597826086956,2942.9380434782606,4655.775,16,5,99.19021739130449,9,-388.26458333333335,-528.08125,7,-269.70000000000016,-660.759090909091
pair_0.50_3.25,0.50/3.25,23,4388.315217391304,2950.9119565217393,4049.3250000000007,12,5,229.41086956521738,10,-619.5333333333334,394.5437500000001,2,-0.7340909090907686,-9.470454545454562
pair_0.50_1.50,0.50/1.50,23,4088.783695652174,2988.8434782608697,4602.950000000001,12,3,183.4565217391304,10,-584.4354166666667,107.6270833333334,2,40.28863636363655,-322.7636363636363
pair_0.50_3.00,0.50/3.00,23,4206.488043478261,2993.8858695652175,4223.175,11,5,218.21304347826097,9,-477.1354166666667,153.72500000000014,2,-66.22272727272751,-126.94318181818181
pair_0.75_2.50,0.75/2.50,23,4565.477173913044,3007.4478260869564,4958.400000000001,15,2,156.1119565217394,10,-363.6333333333334,253.02291666666667,5,-161.6863636363637,515.3454545454546
edge4,0.50/0.75/3.25/3.50,23,4397.420652173913,3039.784782608696,4734.325,12,2,235.01304347826087,10,-536.6729166666665,461.896875,2,94.69772727272729,-63.907954545454686
wide4,0.50/1.50/2.50/3.50,23,4874.657608695652,3071.717934782609,5131.537500000002,12,0,210.52336956521728,10,-540.878125,765.9375000000001,2,166.05454545454577,602.2704545454544
pair_0.75_1.75,0.75/1.75,23,4410.815217391304,3085.672826086957,5661.55,12,4,192.11413043478277,7,-367.24791666666664,420.07291666666674,5,5.818181818181818,9.724999999999993
pair_1.00_2.50,1.00/2.50,23,5003.239130434783,3089.6108695652174,5759.35,15,9,140.87282608695665,10,-342.54166666666674,574.0104166666667,5,-12.899999999999947,1080.4977272727272
pair_0.75_2.25,0.75/2.25,23,4362.808695652174,3110.986956521739,5029.674999999999,8,5,158.85217391304352,6,-252.59583333333333,337.9125,2,-66.32727272727261,-1.0227272727271488
pair_0.75_2.75,0.75/2.75,23,4367.434782608696,3111.271739130435,5016.875,15,5,235.079347826087,10,-308.1979166666667,327.13958333333335,5,-5.074999999999983,20.402272727272784
pair_0.75_1.25,0.75/1.25,23,3974.208695652174,3129.5108695652175,5466.95,14,1,94.05978260869585,12,-322.5104166666668,-95.08958333333327,2,48.67500000000006,-341.18409090909074
grid5,0.50/1.25/2.00/2.75/3.50,23,4754.294782608696,3133.068260869565,5267.349999999999,12,4,220.5865217391306,10,-504.8366666666668,760.8083333333334,2,255.01454545454544,356.19818181818204
pair_0.75_2.00,0.75/2.00,23,4258.548913043478,3136.7510869565217,5293.275,11,2,184.61195652173907,9,-295.34791666666655,384.8520833333334,2,34.18181818181822,-270.2272727272727
pair_1.25_2.50,1.25/2.50,23,5228.214130434782,3137.054347826087,5724.500000000001,7,7,109.42608695652177,5,-431.8520833333334,799.9083333333333,2,183.7295454545455,1304.4659090909092
rr_0.75,0.75,23,3311.471739130435,3140.65,4776.85,8,0,0.0,6,-44.64583333333328,-641.9749999999999,2,-231.15909090909062,-1130.3045454545452
pair_0.75_3.50,0.75/3.50,23,4406.526086956522,3146.088043478261,5478.575000000001,12,5,223.18478260869563,10,-427.9020833333332,529.25,2,198.309090909091,-118.34545454545447
pair_0.75_3.25,0.75/3.25,23,4542.089130434782,3147.3478260869565,4912.099999999999,11,4,198.42065217391306,9,-377.4250000000001,601.6375,2,145.8772727272727,86.13636363636338
pair_1.00_1.75,1.00/1.75,23,4848.577173913043,3159.4597826086956,6612.325,9,3,185.251086956522,6,-367.8291666666669,741.0604166666667,3,160.7340909090908,574.8772727272728
pair_0.75_1.00,0.75/1.00,23,3749.233695652174,3160.9652173913046,5577.8,16,8,46.60869565217404,9,-95.78333333333346,-320.98749999999995,7,-132.8954545454543,-565.1522727272727
pair_0.75_3.00,0.75/3.00,23,4360.261956521739,3164.7728260869567,5145.200000000001,11,3,212.7717391304347,9,-283.7458333333333,360.81875,2,80.11590909090938,-31.336363636363618
