portfolio,path_order,march1_alive,march1_cohort_deaths,march_total_deaths,march_same_signal_peak,march31_alive,net_cash_after_march26,net_operating_cash,max_same_signal_deaths,same_signal_multi_death_events,worst_1d_cohort_deaths,worst_1d_fraction,worst_1d_at,half_loss_1d_episodes_min5,peak_1d_replacement_demand,possible_1d_death_cluster,worst_5d_cohort_deaths,worst_5d_fraction,worst_5d_at,half_loss_5d_episodes_min5,peak_5d_replacement_demand,possible_5d_death_cluster,worst_20d_cohort_deaths,worst_20d_fraction,worst_20d_at,half_loss_20d_episodes_min5,peak_20d_replacement_demand,possible_20d_death_cluster,book_wipeouts,days_empty_after_first_activation,deaths,accounts,alive,historical_control_reproduced
rr_0.50,mae_first,20,0,0,0,20,87940.8,199543.4,18,13,18,1.0,2021-05-19T00:00:00,4,18,18,18,1.0,2021-05-13T00:00:00,5,18,18,18,1.0,2021-04-22T00:00:00,6,18,18,1,44.6002,59,79,20,
rr_0.75,mae_first,20,3,3,2,17,54005.15,159226.45,16,15,17,1.0,2020-03-12T00:00:00,6,17,17,17,1.0,2020-03-06T00:00:00,7,17,17,17,1.0,2020-02-14T00:00:00,9,17,17,3,35.8056,87,105,18,
rr_1.00,mae_first,20,20,20,20,0,795.85,215439.75,20,19,20,1.0,2020-03-12T00:00:00,6,20,20,20,1.0,2020-03-06T00:00:00,9,20,20,20,1.0,2020-02-14T00:00:00,10,20,20,2,13.4262,111,114,3,True
rr_1.25,mae_first,20,20,20,20,0,-558.2,376767.2,20,19,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-07T00:00:00,4,20,20,3,13.2866,90,94,4,
rr_1.50,mae_first,20,20,20,20,0,-719.35,411572.91,20,17,20,1.0,2020-03-02T00:00:00,2,20,20,20,1.0,2020-02-25T00:00:00,3,20,20,20,1.0,2020-02-07T00:00:00,4,21,21,4,20.2081,83,85,2,
rr_2.00,mae_first,20,0,0,0,20,39018.08,459545.93,8,13,8,1.0,2020-03-12T00:00:00,1,8,8,8,1.0,2020-03-06T00:00:00,1,8,8,8,1.0,2020-02-14T00:00:00,1,8,8,1,8.1204,56,76,20,
rr_2.50,mae_first,20,0,0,0,20,63904.6,526546.87,8,16,9,1.0,2020-02-28T00:00:00,1,9,9,9,1.0,2020-02-24T00:00:00,2,9,9,9,1.0,2020-02-07T00:00:00,3,9,9,2,11.6222,68,88,20,
rr_3.00,mae_first,20,0,0,0,20,79426.31,394360.67,12,19,12,1.0,2020-02-28T00:00:00,9,12,12,15,1.0,2020-02-24T00:00:00,9,15,15,15,1.0,2020-02-07T00:00:00,8,15,15,2,53.7338,89,109,20,
rr_3.50,mae_first,20,0,0,0,20,87599.81,480340.77,6,19,7,1.0,2020-02-28T00:00:00,0,7,7,11,1.0,2020-02-24T00:00:00,3,11,11,11,1.0,2020-02-07T00:00:00,5,11,11,2,12.3949,74,94,20,
near,mae_first,20,10,10,10,10,32407.8,312658.2,10,19,10,1.0,2020-03-12T00:00:00,3,10,10,13,1.0,2020-03-06T00:00:00,4,13,13,14,1.0,2020-02-14T00:00:00,6,14,14,1,8.1204,77,91,14,
modest,mae_first,20,10,10,10,10,48068.65,348337.99,10,21,10,0.529412,2021-12-03T00:00:00,3,10,10,10,0.6,2022-01-04T00:00:00,5,10,10,11,0.7,2021-12-28T00:00:00,7,11,11,0,0.0,91,103,12,
four,mae_first,20,10,10,5,10,34935.74,389744.82,5,15,10,0.666667,2020-03-12T00:00:00,1,10,10,10,0.666667,2020-03-06T00:00:00,1,10,10,10,0.666667,2020-03-03T00:00:00,3,10,10,0,0.0,74,87,13,
wide,mae_first,20,5,5,5,15,62412.91,437061.66,5,15,5,0.666667,2020-03-12T00:00:00,0,5,5,6,0.666667,2020-03-06T00:00:00,1,6,6,8,0.666667,2020-03-03T00:00:00,2,8,8,0,0.0,75,92,17,
rr_0.50,mfe_first,18,0,0,0,18,51141.1,72194.45,18,14,18,1.0,2021-05-19T00:00:00,4,18,18,18,1.0,2021-05-13T00:00:00,4,18,18,18,1.0,2021-04-22T00:00:00,5,18,18,4,520.2891,68,88,20,
rr_0.75,mfe_first,16,13,13,5,3,8702.75,13800.65,16,21,17,1.0,2020-03-12T00:00:00,6,17,17,17,1.0,2020-03-06T00:00:00,6,17,17,17,1.0,2020-02-14T00:00:00,10,17,17,5,541.9678,99,109,10,
rr_1.00,mfe_first,20,20,20,19,0,-497.7,213178.35,19,19,20,1.0,2020-03-12T00:00:00,6,20,20,20,1.0,2020-03-06T00:00:00,10,20,20,20,1.0,2020-02-14T00:00:00,10,20,20,2,26.4262,110,113,3,
rr_1.25,mfe_first,20,20,20,20,0,-983.05,394348.3,20,15,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-07T00:00:00,3,20,20,3,27.2866,75,78,3,
rr_1.50,mfe_first,20,20,20,20,0,-693.35,420244.41,20,16,20,1.0,2020-03-02T00:00:00,2,20,20,20,1.0,2020-02-25T00:00:00,3,20,20,20,1.0,2020-02-07T00:00:00,4,20,20,3,27.1113,72,75,3,
rr_2.00,mfe_first,20,0,0,0,20,39018.08,457083.38,8,13,8,1.0,2020-03-12T00:00:00,1,8,8,8,1.0,2020-03-06T00:00:00,1,8,8,8,1.0,2020-02-14T00:00:00,1,8,8,1,8.1204,54,74,20,
rr_2.50,mfe_first,20,0,0,0,20,64049.69,525011.66,8,16,8,1.0,2020-02-28T00:00:00,1,8,8,9,1.0,2020-02-24T00:00:00,2,9,9,9,1.0,2020-02-07T00:00:00,3,9,9,2,11.6222,66,86,20,
rr_3.00,mfe_first,20,0,0,0,20,79819.91,389474.57,12,17,12,1.0,2020-02-28T00:00:00,7,12,12,15,1.0,2020-02-24T00:00:00,7,15,15,15,1.0,2020-02-07T00:00:00,7,15,15,2,53.7338,86,106,20,
rr_3.50,mfe_first,20,0,0,0,20,88125.95,476932.96,8,19,8,1.0,2020-02-28T00:00:00,1,8,8,11,1.0,2020-02-24T00:00:00,4,11,11,11,1.0,2020-02-07T00:00:00,5,11,11,2,12.3949,75,95,20,
near,mfe_first,20,10,10,10,10,32430.95,300250.8,10,17,10,1.0,2020-03-12T00:00:00,4,10,10,13,1.0,2020-03-06T00:00:00,5,13,13,14,1.0,2020-02-14T00:00:00,7,14,14,1,8.1204,73,86,13,
modest,mfe_first,20,10,10,10,10,48509.65,349149.94,10,19,10,0.529412,2021-12-03T00:00:00,3,10,10,10,0.6,2022-01-04T00:00:00,5,10,10,12,0.7,2021-12-28T00:00:00,6,12,12,0,0.0,85,98,13,
four,mfe_first,20,10,10,5,10,34219.84,387385.47,5,14,10,0.666667,2020-03-12T00:00:00,1,10,10,10,0.666667,2020-03-06T00:00:00,1,10,10,10,0.666667,2020-03-03T00:00:00,3,10,10,0,0.0,72,85,13,
wide,mfe_first,20,5,5,5,15,62924.07,428469.07,5,13,5,0.666667,2020-03-12T00:00:00,0,5,5,6,0.666667,2020-03-06T00:00:00,1,6,6,7,0.666667,2020-03-03T00:00:00,1,7,7,0,0.0,74,92,18,
