case,months,start,end,rr,budget,eligible,incoming_trade,accepted,closed,breached,trade_key,interval_start,exit
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,0.75,1500,True,,111,111,True,RR0.75:20-21:18:72,2020-03-18T20:37:40,2020-03-18T21:00:00
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.00,1500,True,,109,109,True,RR1.00:20-21:18:72,2020-03-18T20:37:40,2020-03-18T21:00:00
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.25,1500,True,,103,103,True,RR1.25:16-17:38:98,2020-03-17T16:49:40,2020-03-18T19:28:40
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.50,1500,True,,98,98,True,RR1.50:16-17:38:98,2020-03-17T16:49:40,2020-03-18T19:28:40
1m_2020-06-01,1,2020-06-01T00:00:00,2020-07-01T00:00:00,1.75,1500,True,,106,106,True,RR1.75:18-19:35:152,2020-06-26T18:07:40,2020-06-26T22:35:40
1m_2020-06-01,1,2020-06-01T00:00:00,2020-07-01T00:00:00,2.00,1500,True,,106,106,True,RR2.00:22-23:35:142,2020-06-26T22:47:40,2020-06-26T22:52:40
1m_2020-06-01,1,2020-06-01T00:00:00,2020-07-01T00:00:00,2.25,1500,True,,98,98,True,RR2.25:17-18:35:145,2020-06-29T17:26:40,2020-06-29T23:30:00
1m_2020-10-01,1,2020-10-01T00:00:00,2020-11-01T00:00:00,1000,1500,True,,73,73,True,RR1000:all:634:2137,2020-10-29T14:36:40,2020-10-30T07:17:40
1m_2021-05-01,1,2021-05-01T00:00:00,2021-06-01T00:00:00,0.50,1500,True,,125,125,True,RR0.50:8-9:129:476,2021-05-19T09:35:40,2021-05-19T09:35:40
1m_2021-09-01,1,2021-09-01T00:00:00,2021-10-01T00:00:00,2.75,1500,True,,99,99,True,RR2.75:18-19:118:525,2021-09-30T18:17:40,2021-09-30T18:38:40
1m_2021-09-01,1,2021-09-01T00:00:00,2021-10-01T00:00:00,3.00,1500,True,,96,96,True,RR3.00:16-17:259:694,2021-09-30T16:30:40,2021-09-30T17:30:40
1m_2021-09-01,1,2021-09-01T00:00:00,2021-10-01T00:00:00,1000,1500,True,,83,83,True,RR1000:all:1402:4755,2021-09-29T21:08:40,2021-09-29T22:55:40
1m_2021-12-01,1,2021-12-01T00:00:00,2022-01-01T00:00:00,1.50,1500,True,,113,113,True,RR1.50:17-18:123:593,2021-12-17T17:35:20,2021-12-17T23:30:00
1m_2021-12-01,1,2021-12-01T00:00:00,2022-01-01T00:00:00,3.50,1500,True,,101,101,True,RR3.50:18-19:136:595,2021-12-20T18:53:40,2021-12-20T20:01:40
1m_2021-12-01,1,2021-12-01T00:00:00,2022-01-01T00:00:00,1000,1500,True,,82,82,True,RR1000:all:1585:5357,2021-12-20T20:39:40,2021-12-20T23:30:00
1m_2022-01-01,1,2022-01-01T00:00:00,2022-02-01T00:00:00,2.50,1500,True,,89,89,True,RR2.50:18-19:138:610,2022-01-10T18:11:40,2022-01-10T23:00:00
1m_2022-01-01,1,2022-01-01T00:00:00,2022-02-01T00:00:00,2.75,1500,True,,85,85,True,RR2.75:18-19:138:610,2022-01-10T18:11:40,2022-01-10T23:00:00
1m_2022-01-01,1,2022-01-01T00:00:00,2022-02-01T00:00:00,3.25,1500,True,,80,80,True,RR3.25:18-19:138:610,2022-01-10T18:11:40,2022-01-10T23:00:00
1m_2022-01-01,1,2022-01-01T00:00:00,2022-02-01T00:00:00,3.50,1500,True,,77,77,True,RR3.50:18-19:138:610,2022-01-10T18:11:40,2022-01-10T23:00:00
1m_2022-01-01,1,2022-01-01T00:00:00,2022-02-01T00:00:00,1000,1500,True,,63,63,True,RR1000:all:1633:5538,2022-01-10T16:30:40,2022-01-10T16:31:40
1m_2022-03-01,1,2022-03-01T00:00:00,2022-04-01T00:00:00,1.25,1500,True,,120,120,True,RR1.25:4-5:183:736,2022-03-15T04:15:40,2022-03-15T09:00:40
1m_2022-03-01,1,2022-03-01T00:00:00,2022-04-01T00:00:00,1.50,1500,True,,116,116,True,RR1.50:17-18:136:667,2022-03-08T17:54:40,2022-03-08T18:32:40
1m_2022-03-01,1,2022-03-01T00:00:00,2022-04-01T00:00:00,1.75,1500,True,,106,106,True,RR1.75:17-18:136:667,2022-03-08T17:54:40,2022-03-08T18:32:40
1m_2022-03-01,1,2022-03-01T00:00:00,2022-04-01T00:00:00,2.00,1500,True,,105,105,True,RR2.00:17-18:136:667,2022-03-08T17:54:40,2022-03-08T18:32:40
