case,months,start,end,rr,budget,eligible,incoming_trade,accepted,closed,breached,trade_key,interval_start,exit
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,0.50,1500,True,,138,138,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,0.50,6800,True,,138,138,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,0.75,1500,True,,131,131,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,0.75,6800,True,,131,131,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.00,1500,True,,123,123,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.00,6800,True,,123,123,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.25,1500,True,,114,114,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.25,6800,True,,114,114,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.50,1500,True,,110,110,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.50,6800,True,,110,110,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.75,1500,True,,106,106,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1.75,6800,True,,106,106,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.00,1500,True,,104,104,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.00,6800,True,,104,104,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.25,1500,True,,101,101,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.25,6800,True,,101,101,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.50,1500,True,,97,97,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.50,6800,True,,97,97,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.75,1500,True,,95,95,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,2.75,6800,True,,95,95,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.00,1500,True,,92,92,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.00,6800,True,,92,92,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.25,1500,True,,88,88,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.25,6800,True,,88,88,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.50,1500,True,,88,88,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,3.50,6800,True,,88,88,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1000,1500,True,,61,61,False,,,
1m_2020-01-01,1,2020-01-01T00:00:00,2020-02-01T00:00:00,1000,6800,True,,61,61,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,0.50,1500,True,,125,124,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,0.50,6800,True,,125,124,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,0.75,1500,True,,118,117,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,0.75,6800,True,,118,117,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.00,1500,True,,109,108,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.00,6800,True,,109,108,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.25,1500,True,,103,102,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.25,6800,True,,103,102,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.50,1500,True,,100,99,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.50,6800,True,,100,99,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.75,1500,True,,96,95,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1.75,6800,True,,96,95,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.00,1500,True,,93,92,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.00,6800,True,,93,92,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.25,1500,True,,93,92,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.25,6800,True,,93,92,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.50,1500,True,,89,88,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.50,6800,True,,89,88,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.75,1500,True,,88,87,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,2.75,6800,True,,88,87,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.00,1500,True,,82,81,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.00,6800,True,,82,81,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.25,1500,True,,81,80,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.25,6800,True,,81,80,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.50,1500,True,,79,78,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,3.50,6800,True,,79,78,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1000,1500,True,,62,61,False,,,
1m_2020-02-01,1,2020-02-01T00:00:00,2020-03-01T00:00:00,1000,6800,True,,62,61,False,,,
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,0.50,1500,True,,118,118,False,,,
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,0.50,6800,True,,118,118,False,,,
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,0.75,1500,True,,111,111,True,RR0.75:20-21:18:72,2020-03-18T20:37:40,2020-03-18T21:00:00
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,0.75,6800,True,,111,111,False,,,
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.00,1500,True,,109,109,True,RR1.00:20-21:18:72,2020-03-18T20:37:40,2020-03-18T21:00:00
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.00,6800,True,,109,109,False,,,
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.25,1500,True,,103,103,True,RR1.25:16-17:38:98,2020-03-17T16:49:40,2020-03-18T19:28:40
1m_2020-03-01,1,2020-03-01T00:00:00,2020-04-01T00:00:00,1.25,6800,True,,103,103,False,,,
