case,experiment,phase,start_year,path_order,portfolio,nominal_sleeves,rr_count,rr_width,mean_target,net_operating_cash,receipts,total_costs,copies,prior_control_reproduced,max_same_signal_deaths,same_signal_multi_death_events,worst_1d_cohort_deaths,worst_1d_fraction,worst_1d_at,half_loss_1d_episodes_min5,peak_1d_replacement_demand,possible_1d_death_cluster,worst_5d_cohort_deaths,worst_5d_fraction,worst_5d_at,half_loss_5d_episodes_min5,peak_5d_replacement_demand,possible_5d_death_cluster,worst_20d_cohort_deaths,worst_20d_fraction,worst_20d_at,half_loss_20d_episodes_min5,peak_20d_replacement_demand,possible_20d_death_cluster,book_wipeouts,days_empty_after_first_activation,deaths,accounts,alive,largest_within_sleeve_signal_loss,max_sleeves_lost_same_signal,multi_sleeve_signal_events,max_sleeves_lost_same_day,multi_sleeve_day_events,sleeve_loss_events,full_copier_sleeve_loss_events,observed_live_days,mean_live_accounts,mean_occupied_sleeves,mean_equal_headroom_fraction,mean_effective_headroom_groups,mean_total_headroom,mean_total_positive_equity,march1_alive,march_cohort_deaths,march_total_deaths,march31_alive
primary__isolation__2020__mae_first__rr_0.50,primary,isolation,2020,mae_first,rr_0.50,1,1,0.0,6800.0,-4000.0,0.0,4000.0,44860,True,20,1,20,1.0,2021-06-04T00:00:00,1,20,20,20,1.0,2021-05-31T00:00:00,1,20,20,20,1.0,2021-05-10T00:00:00,1,20,20,1,1865.2451,20,20,0,20,1,0,1,0,1,1,521,20.0,1.0,1.0,1.0,39473.19769673704,38249.09404990403,0,0,0,0
primary__isolation__2020__mae_first__rr_0.66,primary,isolation,2020,mae_first,rr_0.66,1,1,0.0,6800.0,336000.0,340000.0,4000.0,201700,False,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0,2386,20.0,1.0,1.0,1.0,95054.40863369657,96356.5515507125,20,0,0,20
primary__isolation__2020__mae_first__rr_0.75,primary,isolation,2020,mae_first,rr_0.75,1,1,0.0,6800.0,-4000.0,0.0,4000.0,6020,True,20,1,20,1.0,2020-03-12T00:00:00,1,20,20,20,1.0,2020-03-06T00:00:00,1,20,20,20,1.0,2020-02-14T00:00:00,1,20,20,1,2314.0167,20,20,0,20,1,0,1,0,1,1,72,20.0,1.0,1.0,1.0,26032.01388888889,5338.444444444444,0,0,0,0
primary__isolation__2020__mae_first__rr_0.82,primary,isolation,2020,mae_first,rr_0.82,1,1,0.0,6800.0,-4000.0,0.0,4000.0,5980,False,20,1,20,1.0,2020-03-18T00:00:00,1,20,20,20,1.0,2020-03-12T00:00:00,1,20,20,20,1.0,2020-02-20T00:00:00,1,20,20,1,2308.0847,20,20,0,20,1,0,1,0,1,1,78,20.0,1.0,1.0,1.0,25080.44871794872,4706.807692307692,0,0,0,0
primary__isolation__2020__mae_first__rr_0.83,primary,isolation,2020,mae_first,rr_0.83,1,1,0.0,6800.0,-4000.0,0.0,4000.0,5980,False,20,1,20,1.0,2020-03-18T00:00:00,1,20,20,20,1.0,2020-03-12T00:00:00,1,20,20,20,1.0,2020-02-20T00:00:00,1,20,20,1,2308.0847,20,20,0,20,1,0,1,0,1,1,78,20.0,1.0,1.0,1.0,25047.75641025641,4454.910256410257,0,0,0,0
primary__isolation__2020__mae_first__rr_0.97,primary,isolation,2020,mae_first,rr_0.97,1,1,0.0,6800.0,-4000.0,0.0,4000.0,5660,False,20,1,20,1.0,2020-03-13T00:00:00,1,20,20,20,1.0,2020-03-09T00:00:00,1,20,20,20,1.0,2020-02-17T00:00:00,1,20,20,1,2313.7639,20,20,0,20,1,0,1,0,1,1,73,20.0,1.0,1.0,1.0,25478.15068493151,5181.767123287671,0,0,0,0
primary__isolation__2020__mae_first__rr_1.00,primary,isolation,2020,mae_first,rr_1.00,1,1,0.0,6800.0,-4000.0,0.0,4000.0,5640,True,20,1,20,1.0,2020-03-12T00:00:00,1,20,20,20,1.0,2020-03-06T00:00:00,1,20,20,20,1.0,2020-02-14T00:00:00,1,20,20,1,2314.0167,20,20,0,20,1,0,1,0,1,1,72,20.0,1.0,1.0,1.0,25935.75,5454.430555555556,0,0,0,0
primary__isolation__2020__mae_first__rr_1.13,primary,isolation,2020,mae_first,rr_1.13,1,1,0.0,6800.0,-4000.0,0.0,4000.0,4440,False,20,1,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-04T00:00:00,1,20,20,1,2324.7505,20,20,0,20,1,0,1,0,1,1,62,20.0,1.0,1.0,1.0,25921.41935483871,7411.193548387097,0,0,0,0
primary__isolation__2020__mae_first__rr_1.17,primary,isolation,2020,mae_first,rr_1.17,1,1,0.0,6800.0,-4000.0,0.0,4000.0,4360,False,20,1,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-04T00:00:00,1,20,20,1,2324.7505,20,20,0,20,1,0,1,0,1,1,62,20.0,1.0,1.0,1.0,25761.887096774193,6662.241935483871,0,0,0,0
primary__isolation__2020__mae_first__rr_1.25,primary,isolation,2020,mae_first,rr_1.25,1,1,0.0,6800.0,-4000.0,0.0,4000.0,4340,True,20,1,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-04T00:00:00,1,20,20,1,2324.7505,20,20,0,20,1,0,1,0,1,1,62,20.0,1.0,1.0,1.0,25255.548387096773,7013.258064516129,0,0,0,0
primary__isolation__2020__mae_first__rr_1.29,primary,isolation,2020,mae_first,rr_1.29,1,1,0.0,6800.0,-4000.0,0.0,4000.0,4320,False,20,1,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-04T00:00:00,1,20,20,1,2324.7296,20,20,0,20,1,0,1,0,1,1,62,20.0,1.0,1.0,1.0,25182.09677419355,6547.177419354839,0,0,0,0
primary__isolation__2020__mae_first__rr_1.45,primary,isolation,2020,mae_first,rr_1.45,1,1,0.0,6800.0,-4000.0,0.0,4000.0,4200,False,20,1,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-04T00:00:00,1,20,20,1,2324.7088,20,20,0,20,1,0,1,0,1,1,62,20.0,1.0,1.0,1.0,25747.983870967742,6193.096774193548,0,0,0,0
primary__isolation__2020__mae_first__rr_1.50,primary,isolation,2020,mae_first,rr_1.50,1,1,0.0,6800.0,-4000.0,0.0,4000.0,4200,True,20,1,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-04T00:00:00,1,20,20,1,2324.7088,20,20,0,20,1,0,1,0,1,1,62,20.0,1.0,1.0,1.0,25740.887096774193,7184.870967741936,0,0,0,0
primary__isolation__2020__mae_first__rr_1.61,primary,isolation,2020,mae_first,rr_1.61,1,1,0.0,6800.0,-4000.0,0.0,4000.0,4120,False,20,1,20,1.0,2020-03-02T00:00:00,1,20,20,20,1.0,2020-02-25T00:00:00,1,20,20,20,1.0,2020-02-04T00:00:00,1,20,20,1,2324.7088,20,20,0,20,1,0,1,0,1,1,62,20.0,1.0,1.0,1.0,25603.354838709678,6970.032258064516,0,0,0,0
primary__isolation__2020__mae_first__rr_1.75,primary,isolation,2020,mae_first,rr_1.75,1,1,0.0,6800.0,-4000.0,0.0,4000.0,4940,False,20,1,20,1.0,2020-03-12T00:00:00,1,20,20,20,1.0,2020-03-06T00:00:00,1,20,20,20,1.0,2020-02-14T00:00:00,1,20,20,1,2314.0167,20,20,0,20,1,0,1,0,1,1,72,20.0,1.0,1.0,1.0,25301.13888888889,7713.305555555556,0,0,0,0
primary__isolation__2020__mae_first__rr_1.76,primary,isolation,2020,mae_first,rr_1.76,1,1,0.0,6800.0,-4000.0,0.0,4000.0,4940,False,20,1,20,1.0,2020-03-12T00:00:00,1,20,20,20,1.0,2020-03-06T00:00:00,1,20,20,20,1.0,2020-02-14T00:00:00,1,20,20,1,2314.0167,20,20,0,20,1,0,1,0,1,1,72,20.0,1.0,1.0,1.0,25304.333333333332,7879.416666666667,0,0,0,0
