case,constituent,book_wipeouts_delta_vs_constituent,days_empty_after_first_activation_delta_vs_constituent,deaths_delta_vs_constituent,max_same_signal_deaths_delta_vs_constituent,possible_20d_death_cluster_delta_vs_constituent,net_operating_cash_delta_vs_constituent,mean_total_positive_equity_delta_vs_constituent
primary__isolation__2020__mae_first__wide4,0.50,0,0.0,0,-15,-5,0.0,-28041.2476
primary__isolation__2020__mae_first__wide4,1.50,0,-459.4637,0,-15,-5,0.0,3022.9755
primary__isolation__2020__mae_first__wide4,2.50,0,-461.9954,0,-15,-5,0.0,3912.2024
primary__isolation__2020__mae_first__wide4,3.50,0,-462.175,0,-15,-5,0.0,1250.7448
primary__isolation__2020__mae_first__center4,1.25,0,-10.7338,0,-15,0,0.0,23.926
primary__isolation__2020__mae_first__center4,1.75,0,0.0,0,-15,0,0.0,-676.1215
primary__isolation__2020__mae_first__center4,2.25,0,-0.1576,0,-15,0,0.0,-2878.6632
primary__isolation__2020__mae_first__center4,2.75,0,-13.4034,0,-15,0,0.0,1569.5908
primary__isolation__2020__mae_first__without050,0.75,0,0.0,0,-15,0,0.0,667.6042
primary__isolation__2020__mae_first__without050,1.50,0,-10.6921,0,-15,0,0.0,-1178.8224
primary__isolation__2020__mae_first__without050,2.50,0,-13.2238,0,-15,0,0.0,-289.5955
primary__isolation__2020__mae_first__without050,3.50,0,-13.4034,0,-15,0,0.0,-2951.0531
primary__isolation__2020__mae_first__edge4,0.50,0,0.0,0,-10,-5,0.0,-27992.8892
primary__isolation__2020__mae_first__edge4,0.75,0,-448.7716,0,-10,-5,0.0,4917.7604
primary__isolation__2020__mae_first__edge4,3.25,0,-462.175,0,-10,-5,0.0,1216.9507
primary__isolation__2020__mae_first__edge4,3.50,0,-462.175,0,-10,-5,0.0,1299.1032
primary__isolation__2020__mae_first__extremes2,0.50,0,0.0,0,-10,-10,0.0,-18617.3791
primary__isolation__2020__mae_first__extremes2,3.50,0,-462.175,0,-10,-10,0.0,10674.6133
primary__isolation__2020__mae_first__ladder4,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__grid5,0.50,0,0.0,0,-12,-4,0.0,-29845.7202
primary__isolation__2020__mae_first__grid5,1.25,0,-459.5054,0,-12,-4,0.0,1390.1158
primary__isolation__2020__mae_first__grid5,2.00,0,-448.7716,0,-12,-4,0.0,-1001.2372
primary__isolation__2020__mae_first__grid5,2.75,0,-462.175,0,-12,-4,0.0,2935.7807
primary__isolation__2020__mae_first__grid5,3.50,0,-462.175,0,-12,-4,0.0,-553.7278
primary__isolation__2020__mae_first__ladder20,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__uniform_low,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__uniform_high,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__ladder20_reverse,1.00,0,0.0,0,0,0,0.0,0.0
primary__isolation__2020__mae_first__grid10,0.50,0,0.0,0,-14,-2,0.0,-33599.1916
primary__isolation__2020__mae_first__grid10,0.83,0,-442.8396,0,-14,-2,0.0,194.9922
primary__isolation__2020__mae_first__grid10,1.17,0,-459.5054,0,-14,-2,0.0,-2012.3394
primary__isolation__2020__mae_first__grid10,1.50,0,-459.4637,0,-14,-2,0.0,-2534.9685
primary__isolation__2020__mae_first__grid10,1.83,0,-448.7716,0,-14,-2,0.0,-3273.6808
primary__isolation__2020__mae_first__grid10,2.17,0,-448.9292,0,-14,-2,0.0,-6326.5003
primary__isolation__2020__mae_first__grid10,2.50,0,-461.9954,0,-14,-2,0.0,-1645.7416
primary__isolation__2020__mae_first__grid10,2.83,0,-462.175,0,-14,-2,0.0,-1024.2331
primary__isolation__2020__mae_first__grid10,3.17,0,-462.175,0,-14,-2,0.0,-3769.1653
primary__isolation__2020__mae_first__grid10,3.50,0,-462.175,0,-14,-2,0.0,-4307.1992
primary__isolation__2020__mae_first__grid20,0.50,-1,-1865.2451,-1,-14,-2,17000.0,-32832.3253
primary__isolation__2020__mae_first__grid20,0.66,0,0.0,19,6,18,-323000.0,-90939.7828
primary__isolation__2020__mae_first__grid20,0.82,-1,-2308.0847,-1,-14,-2,17000.0,709.961
primary__isolation__2020__mae_first__grid20,0.97,-1,-2313.7639,-1,-14,-2,17000.0,235.0016
primary__isolation__2020__mae_first__grid20,1.13,-1,-2324.7505,-1,-14,-2,17000.0,-1994.4248
primary__isolation__2020__mae_first__grid20,1.29,-1,-2324.7296,-1,-14,-2,17000.0,-1130.4087
primary__isolation__2020__mae_first__grid20,1.45,-1,-2324.7088,-1,-14,-2,17000.0,-776.3281
primary__isolation__2020__mae_first__grid20,1.61,-1,-2324.7088,-1,-14,-2,17000.0,-1553.2635
primary__isolation__2020__mae_first__grid20,1.76,-1,-2314.0167,-1,-14,-2,17000.0,-2462.648
primary__isolation__2020__mae_first__grid20,1.92,-1,-2314.0167,-1,-14,-2,17000.0,-3668.4257
primary__isolation__2020__mae_first__grid20,2.08,-1,-2314.0167,-1,-14,-2,17000.0,-5302.273
primary__isolation__2020__mae_first__grid20,2.24,-1,-2314.1743,-1,-14,-2,17000.0,-4473.6618
primary__isolation__2020__mae_first__grid20,2.39,-1,-2327.2405,-1,-14,-2,17000.0,-1232.994
primary__isolation__2020__mae_first__grid20,2.55,-1,-2327.2405,-1,-14,-2,17000.0,-1700.0787
primary__isolation__2020__mae_first__grid20,2.71,-1,-2327.4201,-1,-14,-2,17000.0,13.0399
primary__isolation__2020__mae_first__grid20,2.87,-1,-2327.4201,-1,-14,-2,17000.0,-978.4008
primary__isolation__2020__mae_first__grid20,3.03,-1,-2327.4201,-1,-14,-2,17000.0,-1816.4008
primary__isolation__2020__mae_first__grid20,3.18,-1,-2327.4201,-1,-14,-2,17000.0,-3449.7567
primary__isolation__2020__mae_first__grid20,3.34,-1,-2327.4201,-1,-14,-2,17000.0,-3646.1126
primary__isolation__2020__mae_first__grid20,3.50,-1,-2327.4201,-1,-14,-2,17000.0,-3540.333
primary__isolation__2020__mae_first__grid20_reverse,0.50,-1,-1865.2451,-1,-14,-2,17000.0,-32832.3253
