arm,net_pnl,max_drawdown,worst_drawdown_at,longest_underwater_trading_dates,longest_underwater_calendar_days,unrecovered_at_end,recovered_episodes,worst_1d_change,worst_5d_change,worst_20d_change
RR:0.50,22563.7,4323.7,2022-01-21,371,528,True,83,-1529.8999999999996,-1767.3499999999985,-2317.3500000000004
RR:0.75,22039.75,4776.850000000002,2026-03-27,339,478,True,89,-1529.8999999999996,-2064.6,-3342.1500000000015
RR:1.00,27150.55,6378.75,2026-03-27,291,410,True,95,-1529.8999999999996,-2263.25,-4340.799999999999
RR:1.25,29497.65,6358.850000000002,2026-03-27,235,331,True,99,-1735.3500000000022,-2244.25,-4565.75
RR:1.50,33666.3,6535.149999999998,2026-03-27,243,343,True,110,-1735.3499999999985,-2306.949999999999,-4250.049999999999
RR:1.75,35748.9,7234.149999999998,2026-03-27,296,418,True,109,-1735.3500000000022,-2306.9500000000007,-4121.549999999999
RR:2.00,34528.55,5809.699999999997,2026-03-27,350,492,True,105,-1735.3500000000022,-2293.3499999999985,-4068.5
RR:2.25,36012.65,5286.999999999996,2026-03-27,296,416,True,106,-1735.3500000000022,-2293.3499999999985,-3745.9500000000007
RR:2.50,38945.6,5139.950000000001,2026-03-27,297,417,True,104,-1735.3500000000022,-2293.3499999999985,-3519.949999999997
RR:2.75,37255.7,5256.9000000000015,2026-03-27,266,374,True,105,-1735.3500000000022,-2372.2999999999993,-4534.25
RR:3.00,37136.3,5513.550000000003,2026-03-27,253,357,True,103,-1735.3499999999985,-2488.7999999999993,-4225.25
RR:3.25,39746.95,5047.350000000002,2026-03-27,139,199,True,106,-1735.3499999999985,-2499.25,-4238.6500000000015
RR:3.50,38131.5,6180.299999999996,2026-03-27,248,351,True,103,-1735.3499999999985,-2499.25,-4498.75
GG:0.50,16673.0,6308.249999999998,2026-03-27,255,360,True,70,-2294.3999999999996,-2333.3999999999996,-4009.8999999999996
GG:0.75,23810.15,5370.5,2025-04-04,316,447,True,87,-2127.9000000000015,-2352.75,-3395.45
GG:1.00,30171.6,6262.4,2022-05-12,324,457,True,106,-2127.899999999998,-2908.149999999998,-4148.35
GG:1.25,34035.7,6272.0999999999985,2025-04-04,284,401,True,110,-2127.9000000000015,-2805.449999999997,-3709.649999999998
GG:1.50,33495.65,5970.450000000001,2025-04-04,214,303,True,124,-2088.4000000000015,-2827.4000000000015,-4086.649999999998
GG:1.75,28945.3,6296.700000000001,2022-06-20,374,527,True,100,-2017.8499999999985,-2857.8499999999985,-4528.15
GG:2.00,32201.7,5787.5,2022-07-04,262,371,True,110,-2017.8499999999985,-2650.7999999999993,-3672.449999999999
GG:2.25,32047.7,6162.800000000001,2025-04-04,329,464,True,108,-2017.8500000000004,-2650.800000000001,-4232.75
GG:2.50,31019.15,7355.65,2025-04-04,359,506,True,100,-2017.8500000000004,-2598.199999999999,-5266.699999999997
GG:2.75,32475.95,6949.049999999999,2025-04-04,329,464,True,103,-2017.8499999999985,-2721.0,-5337.600000000002
GG:3.00,35364.15,6338.0,2025-04-04,222,315,True,100,-2017.8499999999985,-2903.5,-4898.0
GG:3.25,31808.1,8134.3499999999985,2025-04-07,283,400,True,100,-2017.8499999999985,-3611.7000000000007,-5069.0
GG:3.50,38503.3,7824.649999999998,2025-04-07,279,394,True,124,-2017.8499999999985,-3611.7000000000007,-4725.950000000001
